"","X","X.1","uuid","mylga","mylga_state","mylga_zone","X_lga_id","photo","unique_lga","X_id","formhub_photo_id","gps","facility_name","facility_type","maternal_health_delivery_services_24_7","facility_open_247_yn","essential_meds_stockout","emergency_transport_currently_functioning","skilled_birth_attendant","num_chews_and_chos","power_access_and_functional","comprehensive_obstetrics_yn","num_chews_total","num_nurses_fulltime","num_nursemidwives_fulltime","num_doctors_fulltime","num_lab_techs_fulltime","staff_paid_lastmth_yn","sulpha_and_antenatal","has_itns","medication_iron_tablets","medication_folic_acid","scale_yn","equipment_bp_machine","hiv_tx_srvcs_pmtct_services_calc","lab_tests_hemoglobin_testing_calc","lab_tests_urine_testing_calc","mobile_signal_funct_yn","iv_antibiotics_yn_calc","emoc_vacuum_extractor","emoc_forceps","compr_oc_c_sections","uterotonics_yn_calc","antishock_garment_yn","emoc_parenteral_anticonvulsant","at_least_two_skilled_birth_attendants","at_least_three_skilled_birth_attendants","at_least_four_skilled_birth_attendants","compr_oc_blood_transfusions","condoms_yn","family_planning_pill_calc_calc","family_planning_injectables_calc_calc","family_planning_iud_calc","family_planning_implants_calc","sterilization_yn_calc","child_health_growth_monitor","child_health_measles_immun_calc","child_health_opv_immuization_calc","child_health_dpt_immunization_calc","child_health_tetanus_immun_calc","child_health_hepb_immunization_calc","child_health_bcg_immunization_calc","child_health_yellow_fever_immun_calc","child_health_csm_immunization_calc","vaccines_icepack_calc","equipment_refrigerator","malaria_testing","malaria_treatment_artemisinin","malaria_treatment_sulphadoxine","paid_services_malaria_treatment","medication_anti_malarials","oral_antibiotics_calc","medication_antihistamines","medication_iv_fluid","lab_tests_pregnancy_calc","lab_tests_stool_calc","potable_water_access","improved_sanitation_and_functional","lab_tests_tb_microscopy_calc","tb_treatment_yn","lab_tests_hiv_testing_calc","hiv_treatment_yn","health_no_user_fees","iv_medications_yn","inpatient_care_yn","sector"
"4955",4955,4955,"ae39fb32-924f-4174-a65a-4b277a8714b1","ejigbo","osun","southwest",184,"1342270631907.jpg","osun_ejigbo","ae39fb32-924f-4174-a65a-4b277a8714b1","1342270631907.jpg","7.90614171 4.31665733 377.3999938964844 5.0","Grace Maternity Home","maternity",TRUE,TRUE,NA,FALSE,TRUE,4,NA,FALSE,4,2,0,1,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,NA,NA,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
"4956",4956,4956,"6d6f388c-de24-4659-aaa6-2adc7e12ce87","ejigbo","osun","southwest",184,"1342093633444.jpg","osun_ejigbo","6d6f388c-de24-4659-aaa6-2adc7e12ce87","1342093633444.jpg","7.8301128 4.13220804 284.29998779296875 5.0","Ife Olu Convalescent","maternity",TRUE,TRUE,NA,FALSE,FALSE,0,NA,FALSE,0,NA,0,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
"4957",4957,4957,"870f3dff-a72e-4fa3-9238-e03f2a5525ee","ejigbo","osun","southwest",184,"1342026994655.jpg","osun_ejigbo","870f3dff-a72e-4fa3-9238-e03f2a5525ee","1342026994655.jpg","7.86617055 4.29142295 379.79998779296875 5.0","ARAROMI COMMUNITY HEALTH CENTRE","healthpostdispensary",FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE,FALSE,2,0,0,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,TRUE,TRUE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"health"
"4958",4958,4958,"8c8f464d-5052-4b86-9cff-6382a5c198dd","ejigbo","osun","southwest",184,"1342105814028.jpg","osun_ejigbo","8c8f464d-5052-4b86-9cff-6382a5c198dd","1342105814028.jpg","7.92588595 4.24896957 380.3999938964844 5.0","Xxx","healthpostdispensary",TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,1,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"health"
"4959",4959,4959,"7df9f79a-c12a-4bcb-9a79-f6e80e282241","ejigbo","osun","southwest",184,"1342184398403.jpg","osun_ejigbo","7df9f79a-c12a-4bcb-9a79-f6e80e282241","1342184398403.jpg","7.90235929 4.30795412 371.79998779296875 5.0","AYEGBOGBO P H C","primaryhealthcarecentre",TRUE,TRUE,TRUE,TRUE,FALSE,2,FALSE,FALSE,2,0,0,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"health"
"4960",4960,4960,"ca24131a-ac92-4a74-aea5-2e406202b6eb","ejigbo","osun","southwest",184,"1342015428067.jpg","osun_ejigbo","ca24131a-ac92-4a74-aea5-2e406202b6eb","1342015428067.jpg","7.7407597 4.29574622 326.1000061035156 5.0","BADA HEALTH CENTRE","healthpostdispensary",TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,FALSE,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"health"
"4961",4961,4961,"711d5373-eaeb-4e29-bf1c-37ff47641b29","ejigbo","osun","southwest",184,"1342448457893.jpg","osun_ejigbo","711d5373-eaeb-4e29-bf1c-37ff47641b29","1342448457893.jpg","7.87917494 4.29792183 391.5 5.0","GENERAL HOSPITAL EJIGBO","generalhospital",TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,TRUE,0,4,15,2,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"health"
"4962",4962,4962,"2e014373-b70f-4958-9b3e-9a0e0961d654","ejigbo","osun","southwest",184,"1342018784397.jpg","osun_ejigbo","2e014373-b70f-4958-9b3e-9a0e0961d654","1342018784397.jpg","7.69373108 4.32833103 316.1000061035156 5.0","XXX","healthpostdispensary",FALSE,NA,TRUE,TRUE,FALSE,1,TRUE,FALSE,1,0,0,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,TRUE,NA,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"health"
"4963",4963,4963,"e41c7826-a761-4b2f-a7c5-96c31abcdb8c","ejigbo","osun","southwest",184,"1342189318320.jpg","osun_ejigbo","e41c7826-a761-4b2f-a7c5-96c31abcdb8c","1342189318320.jpg","7.90510512 4.32974078 400.3999938964844 5.0","Adeeyo Medical Centre","maternity",TRUE,TRUE,NA,TRUE,TRUE,2,NA,FALSE,1,1,2,1,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,FALSE,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
"4964",4964,4964,"c80e2981-ba80-4f2a-8621-d7143f16de9d","ejigbo","osun","southwest",184,"1342266809159.jpg","osun_ejigbo","c80e2981-ba80-4f2a-8621-d7143f16de9d","1342266809159.jpg","7.90692426 4.31604783 380.3999938964844 5.0","Ore Ofe Nursing/maternity home","maternity",TRUE,TRUE,NA,TRUE,TRUE,2,NA,FALSE,2,0,1,1,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
