access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,730.6872159,True,FALSE,False,,,,formal_educ,Comm pry alabakan,primary_only,1342012610199.jpg,,False,,7.23098305 4.47927039 255.8000030517578 5.0,False,False,primary_only,Ife-South,176,176,176.0,1,False,ife_south,osun,southwest,TRUE,2.0,2.0,2.0,120.0,2.0,2.0,,2.0,480.0,public,False,1342012610199.jpg,135338,185.220155841,,False,TRUE,FALSE,Inf,60,Inf,60,,False,False,Comm pry alabakan,education,Osun,0.0,148,False,False,TRUE,Inf,4,FALSE,,osun_ife_south,e881c8af-7c29-4c0b-b527-f2572293ef5f,False,e881c8af-7c29-4c0b-b527-f2572293ef5f,Southwest
True,False,730.6872159,True,FALSE,True,,,,formal_educ,Excellent N/P Schl,preprimary_only,1342093501898.jpg,,False,FALSE,7.39170821 4.61583492 320.79998779296875 5.0,False,False,preprimary_only,Ife-South,176,176,176.0,0.428571428571429,True,ife_south,osun,southwest,TRUE,0.0,0.0,2.0,40.0,2.0,5.0,,5.0,0.0,private,True,1342093501898.jpg,135338,185.220155841,,False,FALSE,FALSE,1.33333333333333,20,1.33333333333333,8,20,True,True,Excellent N/P Schl,education,Osun,35.0,148,True,False,TRUE,Inf,0,FALSE,,osun_ife_south,a769536b-d5c6-4270-8e0f-6016f8dd37af,False,a769536b-d5c6-4270-8e0f-6016f8dd37af,Southwest
True,False,730.6872159,True,FALSE,False,,,,formal_educ,AUD PRIMARY SCHOOL,primary_only,1342010749034.jpg,,False,,7.19731526 4.53989341 167.10000610351563 5.0,False,False,primary_only,Ife-South,176,176,176.0,0.656716417910448,True,ife_south,osun,southwest,TRUE,3.0,0.0,7.0,111.0,3.0,3.0,,2.0,356.0,public,False,1342010749034.jpg,135338,185.220155841,,False,TRUE,FALSE,2.84615384615385,15.8571428571429,5.28571428571429,37,,False,True,AUD PRIMARY SCHOOL,education,Osun,0.0,148,True,False,TRUE,Inf,3.20720720720721,FALSE,,osun_ife_south,6e432608-12bb-4571-acd2-2ce676d96d0e,False,6e432608-12bb-4571-acd2-2ce676d96d0e,Southwest
False,True,730.6872159,True,FALSE,False,,,,formal_educ,BEST FOUNDATION COLL,juniors_sec_only,1342430612678.jpg,,True,TRUE,7.19210546 4.70124167 252.0 5.0,False,False,juniors_sec_only,Ife-South,176,176,176.0,0.76,False,ife_south,osun,southwest,TRUE,0.0,2.0,7.0,132.0,9.0,9.0,,9.0,16.0,private,True,1342430612678.jpg,135338,185.220155841,,False,FALSE,FALSE,13.2,18.8571428571429,13.2,14.6666666666667,22,False,False,BEST FOUNDATION COLL,education,Osun,4.0,148,False,False,TRUE,Inf,0.121212121212121,FALSE,,osun_ife_south,b2182321-7bae-4694-a214-919b6ace7d61,False,b2182321-7bae-4694-a214-919b6ace7d61,Southwest
False,False,730.6872159,True,FALSE,False,,,,formal_educ,A.U.D PRY.,primary_only,1342009536301.jpg,,False,,7.19888867 4.46742783 195.5 5.0,False,False,primary_only,Ife-South,176,176,176.0,0.95,False,ife_south,osun,southwest,TRUE,,,10.0,195.0,3.0,3.0,,3.0,780.0,public,False,1342009536301.jpg,135338,185.220155841,,False,TRUE,FALSE,Inf,19.5,5.41666666666667,65,,False,False,A.U.D PRY.,education,Osun,0.0,148,False,False,TRUE,Inf,4,FALSE,,osun_ife_south,9bef76ab-2734-4afb-996e-455b797eb2e1,False,9bef76ab-2734-4afb-996e-455b797eb2e1,Southwest
False,False,730.6872159,True,FALSE,False,,,,formal_educ,C . A . C,primary_only,1342181582396.jpg,,False,,7.25924762 4.63628739 288.8999938964844 5.0,False,False,primary_only,Ife-South,176,176,176.0,0.666666666666667,False,ife_south,osun,southwest,TRUE,2.0,2.0,8.0,500.0,7.0,7.0,,7.0,800.0,public,False,1342181582396.jpg,135338,185.220155841,,False,TRUE,FALSE,6.25,62.5,8.33333333333333,71.4285714285714,,False,False,C . A . C,education,Osun,0.0,148,False,False,TRUE,Inf,1.6,FALSE,,osun_ife_south,e31aea65-d1f7-4aa8-985b-0c13bfcd8726,False,e31aea65-d1f7-4aa8-985b-0c13bfcd8726,Southwest
True,False,730.6872159,True,FALSE,False,,,,formal_educ,AUD Pry Schl,primary_only,1342191331721.jpg,,False,,7.17599768 4.64579223 241.60000610351563 5.0,False,False,primary_only,Ife-South,176,176,176.0,0.666666666666667,True,ife_south,osun,southwest,TRUE,5.0,0.0,7.0,155.0,4.0,4.0,,4.0,853.0,public,False,1342191331721.jpg,135338,185.220155841,,False,TRUE,TRUE,6.45833333333333,22.1428571428571,12.9166666666667,38.75,,False,True,AUD Pry Schl,education,Osun,30.0,148,True,False,TRUE,Inf,5.50322580645161,FALSE,,osun_ife_south,5f786eaf-3d7e-486a-a82c-5bbf266ceea0,False,5f786eaf-3d7e-486a-a82c-5bbf266ceea0,Southwest
False,False,730.6872159,True,FALSE,False,,,,formal_educ,St Peter Ang Pry Sch,primary_only,1342097376482.jpg,,False,FALSE,7.19346017 4.56616303 185.6999969482422 5.0,False,False,primary_only,Ife-South,176,176,176.0,1,False,ife_south,osun,southwest,TRUE,1.0,1.0,2.0,70.0,2.0,2.0,,2.0,186.0,public,False,1342097376482.jpg,135338,185.220155841,,False,TRUE,TRUE,1.94444444444444,35,1.94444444444444,35,Inf,False,False,St Peter Ang Pry Sch,education,Osun,5.0,148,False,False,TRUE,Inf,2.65714285714286,FALSE,,osun_ife_south,500f2e67-222c-4c7f-a42c-48395deb35b7,False,500f2e67-222c-4c7f-a42c-48395deb35b7,Southwest
False,False,730.6872159,True,FALSE,False,,,,formal_educ,ST BENEDICT R C.M PRY SCH. IDIOGUN,primary_only,1342097382496.jpg,,False,,7.13101922 4.60770229 246.5 5.0,False,False,primary_only,Ife-South,176,176,176.0,1.03448275862069,False,ife_south,osun,southwest,TRUE,4.0,,6.0,177.0,0.0,4.0,,3.0,708.0,public,False,1342097382496.jpg,135338,185.220155841,,False,TRUE,FALSE,2.2125,29.5,5.9,44.25,,False,False,ST BENEDICT R C.M PRY SCH. IDIOGUN,education,Osun,0.0,148,False,False,TRUE,Inf,4,FALSE,,osun_ife_south,7eef5bf8-3849-4b99-9842-aaf96753aa64,False,7eef5bf8-3849-4b99-9842-aaf96753aa64,Southwest
False,False,730.6872159,True,FALSE,False,,,,formal_educ,Ara Josua Comm. Gram Schl,junior_and_senior_sec,1342018815634.jpg,,False,,7.24700296 4.52787877 210.8000030517578 5.0,False,False,junior_and_senior_sec,Ife-South,176,176,176.0,,False,ife_south,osun,southwest,TRUE,2.0,1.0,5.0,,0.0,0.0,,0.0,,public,True,1342018815634.jpg,135338,185.220155841,,False,TRUE,TRUE,,,,,,False,True,Ara Josua Comm. Gram Schl,education,Osun,,148,False,False,TRUE,,,FALSE,,osun_ife_south,2c7c5134-5004-43cc-88e9-9a5e5a7b844e,False,2c7c5134-5004-43cc-88e9-9a5e5a7b844e,Southwest
