antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,114.5308019,False,False,False,True,False,True,False,True,False,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Owode Idi Ose PHC,FALSE,primaryhealthcarecentre,False,,False,,1346262873412.jpg,7.907828092575073 4.668663740158081 428.0 4.0,False,False,FALSE,False,False,False,False,TRUE,,False,False,False,True,False,False,False,Ifelodun,304,304,303.0,False,True,False,True,False,False,False,False,False,False,FALSE,ifelodun,osun,southwest,2,1,0.0,0.0,0.0,0.0,False,public,,False,1346262873412.jpg,96748,844.733455062,,False,False,health,False,TRUE,Osun,,True,Others,FALSE,osun_ifelodun,False,3d5ebdd8-1772-461a-bc4a-019375e08ac1,,,3d5ebdd8-1772-461a-bc4a-019375e08ac1,Southwest
False,114.5308019,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Primary Health Centre Eweta,,primaryhealthcarecentre,False,,False,,1346237657732.jpg,7.93183706 4.65639819 380.0 5.0,False,False,FALSE,False,,,False,TRUE,,False,False,False,False,False,False,False,Ifelodun,304,304,303.0,False,True,False,False,False,False,False,False,False,False,FALSE,ifelodun,osun,southwest,2,2,0.0,0.0,0.0,1.0,False,public,,True,1346237657732.jpg,96748,844.733455062,,False,False,health,True,TRUE,Osun,,True,Others,FALSE,osun_ifelodun,False,fdb511c5-5b3b-418e-a1a2-f6eb06033a07,,,fdb511c5-5b3b-418e-a1a2-f6eb06033a07,Southwest
False,114.5308019,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,,,False,,True,Orisa Elejin PHC,FALSE,primaryhealthcarecentre,False,,False,,1346341935129.jpg,7.895339727401733 4.661550521850586 406.0 4.0,False,False,FALSE,False,False,False,False,TRUE,,False,False,False,True,False,False,False,Ifelodun,304,304,303.0,False,True,False,True,False,False,False,False,False,False,FALSE,ifelodun,osun,southwest,2,2,0.0,0.0,0.0,0.0,False,public,,False,1346341935129.jpg,96748,844.733455062,,False,False,health,False,TRUE,Osun,,True,Others,FALSE,osun_ifelodun,False,f641b3dd-f422-443f-9031-4eefac7ad2c6,,,f641b3dd-f422-443f-9031-4eefac7ad2c6,Southwest
False,114.5308019,False,False,False,True,False,False,False,True,True,True,False,True,,False,FALSE,False,,,False,True,False,,,False,,True,Eko ajala,,healthpostdispensary,False,,False,,1345898432645.jpg,7.94416645 4.61797918 383.20001220703125 5.0,False,False,FALSE,False,,,False,TRUE,,False,False,False,True,False,False,False,Ifelodun,304,304,303.0,False,True,True,False,False,False,False,False,False,False,FALSE,ifelodun,osun,southwest,1,1,,,0.0,,False,public,,True,1345898432645.jpg,96748,844.733455062,False,False,False,health,False,TRUE,Osun,,True,Others,FALSE,osun_ifelodun,False,c2684e98-27b4-467c-894c-ad760c16ee59,,,c2684e98-27b4-467c-894c-ad760c16ee59,Southwest
False,114.5308019,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Olonde primary health care,FALSE,primaryhealthcarecentre,False,True,False,True,1346065584907.jpg,7.91452952 4.6742993 418.3999938964844 5.0,False,True,FALSE,False,,,False,TRUE,,False,False,False,False,False,False,False,Ifelodun,304,304,122.0,False,True,True,True,False,False,False,False,False,False,FALSE,ifelodun,osun,southwest,3,3,0.0,0.0,0.0,0.0,False,public,,False,1346065584907.jpg,96748,844.733455062,,False,False,health,False,TRUE,Osun,False,True,Others,FALSE,osun_ifelodun,False,ec2def33-69bf-405c-adb2-2825f1dda139,,,ec2def33-69bf-405c-adb2-2825f1dda139,Southwest
False,114.5308019,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,False,True,Maboreje PHC,FALSE,primaryhealthcarecentre,False,True,False,True,1345990810516.jpg,7.918712496757507 4.655376076698303 402.0 4.0,False,False,FALSE,False,True,True,False,TRUE,,False,False,False,True,False,False,False,Ifelodun,304,304,303.0,False,True,False,True,False,False,False,False,False,False,FALSE,ifelodun,osun,southwest,4,3,0.0,0.0,0.0,0.0,False,public,,True,1345990810516.jpg,96748,844.733455062,True,False,False,health,False,TRUE,Osun,False,True,Others,FALSE,osun_ifelodun,False,26313735-a921-46b1-9eab-e99b2fe5ffa1,False,False,26313735-a921-46b1-9eab-e99b2fe5ffa1,Southwest
False,114.5308019,True,True,True,True,False,True,False,True,True,True,True,True,True,True,TRUE,False,,,True,True,False,True,True,False,,True,State hospital,TRUE,comprehensivehealthcentre,False,True,False,True,1346319773872.jpg,7.90294584 4.668281 406.70001220703125 5.0,False,False,FALSE,False,,,False,TRUE,True,True,True,False,True,True,False,False,Ifelodun,304,304,303.0,False,True,True,True,True,False,False,False,False,False,FALSE,ifelodun,osun,southwest,13,12,2.0,2.0,8.0,15.0,False,public,,True,1346319773872.jpg,96748,844.733455062,True,False,False,health,True,TRUE,Osun,False,True,Others,TRUE,osun_ifelodun,False,4c4a0419-af85-412c-90de-a899f1386b58,,,4c4a0419-af85-412c-90de-a899f1386b58,Southwest
False,114.5308019,False,False,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,False,True,EKO ENDE P.H.C,TRUE,primaryhealthcarecentre,False,True,False,True,1345924087243.jpg,7.940915822982788 4.598722457885742 384.0 4.0,False,False,FALSE,False,,,False,TRUE,,False,False,False,True,False,False,False,Ifelodun,304,304,303.0,False,True,False,True,True,False,False,False,False,False,FALSE,ifelodun,osun,southwest,2,2,1.0,0.0,2.0,0.0,False,public,,True,1345924087243.jpg,96748,844.733455062,False,False,False,health,True,TRUE,Osun,False,True,Others,FALSE,osun_ifelodun,False,6613f0e5-0084-47d0-ba98-8e486fe91a73,False,False,6613f0e5-0084-47d0-ba98-8e486fe91a73,Southwest
False,114.5308019,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Emiloju PHC,FALSE,primaryhealthcarecentre,False,True,False,True,1346258677268.jpg,7.919839024543762 4.666324853897095 420.0 4.0,False,False,FALSE,False,False,False,False,TRUE,,False,False,False,True,False,False,False,Ifelodun,304,304,303.0,False,True,True,True,False,False,False,False,False,False,FALSE,ifelodun,osun,southwest,2,2,0.0,0.0,0.0,1.0,False,public,,False,1346258677268.jpg,96748,844.733455062,False,False,False,health,True,TRUE,Osun,False,True,Others,FALSE,osun_ifelodun,False,ac884b07-7366-428a-90d3-86aa26bf7317,,,ac884b07-7366-428a-90d3-86aa26bf7317,Southwest
False,114.5308019,False,False,True,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,,,False,,True,Iba PHC,TRUE,primaryhealthcarecentre,False,,False,,1345898060720.jpg,7.96573862 4.70725627 417.0 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Ifelodun,304,304,303.0,False,True,False,True,True,False,False,False,False,False,FALSE,ifelodun,osun,southwest,2,2,1.0,0.0,0.0,1.0,False,public,,True,1345898060720.jpg,96748,844.733455062,False,False,False,health,True,TRUE,Osun,,True,Others,FALSE,osun_ifelodun,False,6f23a523-66a3-4ee9-8423-83b45c5dd17b,,,6f23a523-66a3-4ee9-8423-83b45c5dd17b,Southwest
