"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"45409",45409,"b41e331a-75f7-4398-b9d8-27aaacb425ee","b41e331a-75f7-4398-b9d8-27aaacb425ee","Ifelodun","Osun","Southwest",304,"7.856404781341553 4.610245227813721 418.0 4.0","1346008508765.jpg","osun_ifelodun","1346008508765.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Dagbolu","Ward 5 Dagbolu","No","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"45410",45410,"6ea8709b-30d5-4882-97e4-8d2caa202cfb","6ea8709b-30d5-4882-97e4-8d2caa202cfb","Ifelodun","Osun","Southwest",304,"7.919318675994873 4.6530961990356445 399.0 4.0","1345995164570.jpg","osun_ifelodun","1345995164570.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Maboreje","Ward 6 Maboreje","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"45411",45411,"e00c75cd-81c0-4638-833c-633fdb0645db","e00c75cd-81c0-4638-833c-633fdb0645db","Ifelodun","Osun","Southwest",304,"7.91838282 4.65739369 409.20001220703125 70.0","1345460870708.jpg","osun_ifelodun","1345460870708.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","Station road","5","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"45412",45412,"b3935f7b-1176-4a19-bfdb-3b71ac563baf","b3935f7b-1176-4a19-bfdb-3b71ac563baf","Ifelodun","Osun","Southwest",304,"7.87611857 4.6283221 391.5 5.0","1345993151346.jpg","osun_ifelodun","1345993151346.jpg","Borehole",NA,"borehole_tube_well","water_source","Seke, Ikirun","5","Yes","Hand Pump","No","Poorly Constructed","No","Stand Alone Water Point"
"45413",45413,"3e5d9f35-731b-4477-aa8b-49bc26c4ab44","3e5d9f35-731b-4477-aa8b-49bc26c4ab44","Ifelodun","Osun","Southwest",304,"7.96939405 4.70486686 414.0 5.0","1345974761717.jpg","osun_ifelodun","1345974761717.jpg","Tap",NA,NA,"outlet","Iba","10","Yes","Tap (unknown lift)","No","Poorly Constructed","No","Water Scheme, Source further than 1km"
"45414",45414,"841e8ba4-3b04-4947-ab2d-87f1593f7fe6","841e8ba4-3b04-4947-ab2d-87f1593f7fe6","Ifelodun","Osun","Southwest",304,"7.96601159 4.70475748 417.70001220703125 5.0","1345909707368.jpg","osun_ifelodun","1345909707368.jpg","Tap",NA,NA,"outlet","Iba","10","Yes","Tap (unknown lift)","No","Under Construction","No","Water Scheme, Source further than 1km"
"45415",45415,"840c2afc-f824-462a-b91d-9e4e23515882","840c2afc-f824-462a-b91d-9e4e23515882","Ifelodun","Osun","Southwest",304,"7.9700574 4.70298558 430.20001220703125 5.0","1345902424341.jpg","osun_ifelodun","1345902424341.jpg","Tap",NA,NA,"outlet","Iba","9","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"45416",45416,"110039ee-a978-467f-b902-a8c7954927c6","110039ee-a978-467f-b902-a8c7954927c6","Ifelodun","Osun","Southwest",304,"7.9112688 4.66448744 383.5 5.0","1345982112111.jpg","osun_ifelodun","1345982112111.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","Isale Afo, Ikirun","6","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"45417",45417,"a8a6912d-a0c2-4c1d-887f-5d79c604c330","a8a6912d-a0c2-4c1d-887f-5d79c604c330","Ifelodun","Osun","Southwest",304,"7.957078814506531 4.99378502368927 532.0 4.0","1347104677699.jpg","osun_ifelodun","1347104677699.jpg","Tap",NA,NA,"outlet","OKE ILA","6","Yes","Tap (unknown lift)","No","Poorly Constructed","No","Water Scheme, Source within 100m"
"45418",45418,"8c2dea4e-7fae-4752-8e1c-32a3cf5f8a10","8c2dea4e-7fae-4752-8e1c-32a3cf5f8a10","Ifelodun","Osun","Southwest",304,"7.96863901 4.7043344 421.70001220703125 5.0","1345896227462.jpg","osun_ifelodun","1345896227462.jpg","Tap",NA,NA,"outlet","Iba","10","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"45419",45419,"5268f703-9276-48a6-9f93-dcd3c8d469be","5268f703-9276-48a6-9f93-dcd3c8d469be","Ifelodun","Osun","Southwest",304,"7.902688980102539 4.665740132331848 401.0 4.0","1346322985334.jpg","osun_ifelodun","1346322985334.jpg","Unprotected Spring",NA,"developed_protected_spring_water","water_source","Ajegunle","3","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"45420",45420,"08ee4b81-1e30-419d-9cfb-25577d77d267","08ee4b81-1e30-419d-9cfb-25577d77d267","Ifelodun","Osun","Southwest",304,"7.942305207252502 4.599210619926453 381.0 4.0","1345926527959.jpg","osun_ifelodun","1345926527959.jpg","Tap",NA,NA,"outlet","Eko Ende","Ward 12 Eko Ende","Yes","Tap (unknown lift)","No","Don't Know","No","Water Scheme, Source within 100m"
"45421",45421,"ab15ccd6-b247-4dd9-ba7b-4edc759b12e9","ab15ccd6-b247-4dd9-ba7b-4edc759b12e9","Ifelodun","Osun","Southwest",304,"7.97137307 4.70434084 413.29998779296875 5.0","1345904165233.jpg","osun_ifelodun","1345904165233.jpg","Tap",NA,NA,"outlet","Iba","10","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"45422",45422,"117dcd34-12d6-4848-827b-c4d625c4befc","117dcd34-12d6-4848-827b-c4d625c4befc","Ifelodun","Osun","Southwest",304,"7.97135056 4.70445498 388.1000061035156 5.0","1345973739129.jpg","osun_ifelodun","1345973739129.jpg","Untreated Surface Water",NA,"dam","water_source","Iba","10","No",NA,"No","Poorly Constructed","No","Stand Alone Water Point"
"45423",45423,"b92da7b2-db6b-49b6-9ebb-0b09bfa3c4ed","b92da7b2-db6b-49b6-9ebb-0b09bfa3c4ed","Ifelodun","Osun","Southwest",304,"7.94364777 4.62160493 386.70001220703125 5.0","1345897849835.jpg","osun_ifelodun","1345897849835.jpg","Borehole",NA,"borehole_tube_well","water_source","Eko ajala","Eko ajala","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
