antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,303.033354,True,True,True,True,False,True,False,True,True,True,False,True,,False,FALSE,False,,,True,True,False,True,False,False,True,True,Adekunle maternity hqt,TRUE,primaryhealthcarecentre,False,True,False,True,1347273570760.jpg,8.01120155 4.90234031 516.7999877929688 5.0,False,False,FALSE,False,True,True,False,TRUE,True,True,True,False,True,False,False,False,Ila,339,339,339.0,False,True,False,True,True,False,False,False,False,False,FALSE,ila,osun,southwest,12,10,1.0,1.0,5.0,0.0,False,public,,True,1347273570760.jpg,62049,204.759638439,True,False,False,health,True,TRUE,Osun,False,True,Others,TRUE,osun_ila,False,15c71ce2-b558-44ba-844c-033f341d3ea8,False,False,15c71ce2-b558-44ba-844c-033f341d3ea8,Southwest
False,303.033354,False,False,False,False,False,False,False,False,False,True,False,False,,False,FALSE,False,,,True,True,False,False,False,False,,True,Late adeoye oyinlola health centre,FALSE,healthpostdispensary,False,True,False,True,1347268149206.jpg,8.00674296 4.88359155 527.0 5.0,False,False,FALSE,False,,,False,FALSE,False,False,False,False,False,False,False,False,Ila,339,339,339.0,False,True,False,True,False,False,False,False,False,False,FALSE,ila,osun,southwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1347268149206.jpg,62049,204.759638439,False,False,False,health,False,TRUE,Osun,True,True,Others,FALSE,osun_ila,False,a076d23a-2cb9-48fe-88b3-e1f499f96a0c,,,a076d23a-2cb9-48fe-88b3-e1f499f96a0c,Southwest
False,303.033354,False,False,False,True,False,True,False,True,True,True,True,False,,False,FALSE,False,,,False,True,False,,,False,,True,Gaa obalumo health center,TRUE,maternity,False,False,False,False,1347154828316.jpg,8.03937308 4.86834287 486.70001220703125 5.0,False,False,FALSE,False,,,False,TRUE,,True,False,False,False,False,False,False,Ila,339,339,339.0,False,True,False,True,True,False,False,False,False,False,FALSE,ila,osun,southwest,1,1,1.0,,0.0,,False,public,,False,1347154828316.jpg,62049,204.759638439,,False,False,health,True,TRUE,Osun,False,True,Others,FALSE,osun_ila,False,ae430714-cd5a-424e-b1af-6468ad9c877f,,,ae430714-cd5a-424e-b1af-6468ad9c877f,Southwest
False,303.033354,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Dindin Obaloja Health Centre,,healthpostdispensary,False,,False,,1347535609893.jpg,8.02848397 4.8298888 461.6000061035156 5.0,False,False,FALSE,False,,,False,TRUE,,False,False,False,False,False,False,False,Ila,339,339,339.0,False,True,False,False,False,False,False,False,False,False,FALSE,ila,osun,southwest,2,2,0.0,0.0,0.0,0.0,False,public,,False,1347535609893.jpg,62049,204.759638439,,False,False,health,False,TRUE,Osun,,,Others,FALSE,osun_ila,False,c2f98659-b8b8-40bd-9a70-d29f1e8c066a,,,c2f98659-b8b8-40bd-9a70-d29f1e8c066a,Southwest
False,303.033354,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,False,False,False,,True,OGBAGBARA  HEALTH  CENTRE,FALSE,primaryhealthcarecentre,False,False,False,True,1347358217466.jpg,7.964009642601013 4.891211986541748 497.0 4.0,False,True,FALSE,False,,,False,TRUE,False,False,False,False,False,False,False,False,Ila,339,339,339.0,False,True,False,True,False,False,False,False,False,False,FALSE,ila,osun,southwest,0,0,0.0,0.0,0.0,0.0,False,public,,False,1347358217466.jpg,62049,204.759638439,False,False,False,health,False,TRUE,Osun,False,True,Others,FALSE,osun_ila,False,02eeb31b-d1be-4aa6-a8c7-6d8fd739bddc,,,02eeb31b-d1be-4aa6-a8c7-6d8fd739bddc,Southwest
False,303.033354,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Oyepata Health Centre,TRUE,healthpostdispensary,False,,False,,1347267325581.jpg,8.01453611 4.90791351 497.20001220703125 5.0,False,False,FALSE,False,False,False,False,TRUE,,False,False,False,True,False,False,False,Ila,339,339,339.0,False,True,False,True,True,False,False,False,False,False,FALSE,ila,osun,southwest,2,1,0.0,0.0,0.0,0.0,False,public,,False,1347267325581.jpg,62049,204.759638439,,False,False,health,False,TRUE,Osun,,True,Others,FALSE,osun_ila,False,c628464b-71ea-41e7-a718-56405d570d95,,,c628464b-71ea-41e7-a718-56405d570d95,Southwest
False,303.033354,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,Dagbolu Health Centre,TRUE,primaryhealthcarecentre,False,,False,,1347178774970.jpg,8.02015375 4.90988972 483.6000061035156 5.0,False,False,FALSE,False,True,False,False,TRUE,,False,False,False,False,False,False,False,Ila,339,339,339.0,False,True,False,True,True,False,False,False,False,False,FALSE,ila,osun,southwest,2,2,0.0,0.0,0.0,0.0,False,public,,False,1347178774970.jpg,62049,204.759638439,True,False,False,health,False,TRUE,Osun,,True,Others,FALSE,osun_ila,False,b849488d-5d8b-4f55-a600-5052dfb92264,,,b849488d-5d8b-4f55-a600-5052dfb92264,Southwest
False,303.033354,False,False,False,True,False,False,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Obajoko Health Maternity Centre,TRUE,maternity,False,True,False,True,1347100804727.jpg,8.01620207 4.90478769 511.79998779296875 5.0,False,False,FALSE,False,True,False,False,TRUE,,False,False,False,True,False,False,False,Ila,339,339,339.0,False,True,False,True,True,False,False,False,False,False,FALSE,ila,osun,southwest,6,5,0.0,0.0,0.0,0.0,False,public,,True,1347100804727.jpg,62049,204.759638439,True,False,False,health,False,TRUE,Osun,False,True,Others,FALSE,osun_ila,False,69b0f3ab-6d7f-4d99-8fc3-6a50d37bb8f5,,,69b0f3ab-6d7f-4d99-8fc3-6a50d37bb8f5,Southwest
False,303.033354,False,False,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,True,False,False,,True,PHC,TRUE,primaryhealthcarecentre,False,False,False,False,1347178294440.jpg,8.01597605 4.89924942 529.4000244140625 5.0,False,False,FALSE,False,,,False,TRUE,True,True,False,False,True,True,False,False,Ila,339,339,339.0,False,True,True,True,True,False,False,False,False,False,FALSE,ila,osun,southwest,1,1,1.0,,0.0,1.0,False,public,,False,1347178294440.jpg,62049,204.759638439,,False,False,health,True,TRUE,Osun,False,True,Others,FALSE,osun_ila,False,328c7de4-ad44-4e3a-9114-19c1a0c3605d,,,328c7de4-ad44-4e3a-9114-19c1a0c3605d,Southwest
False,303.033354,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Idi Aagbon Maternity Centre,TRUE,healthpostdispensary,False,,False,,1347186377929.jpg,8.02335246 4.91647082 495.29998779296875 5.0,False,False,FALSE,False,False,False,False,TRUE,,False,False,False,False,False,False,False,Ila,339,339,339.0,False,True,True,True,True,False,False,False,False,False,FALSE,ila,osun,southwest,2,2,0.0,0.0,0.0,0.0,False,public,,False,1347186377929.jpg,62049,204.759638439,,False,False,health,False,TRUE,Osun,,True,Others,FALSE,osun_ila,False,7e9b98e9-af78-4ab7-bf3e-47cae06a9bba,,,7e9b98e9-af78-4ab7-bf3e-47cae06a9bba,Southwest
