breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,Obanla,,,Stand Alone Water Point,1347100466319.jpg,Yes,8.02025241 4.90692811 520.9000244140625 5.0,False,Ila,339,339,339.0,Manual,No,1347100466319.jpg,water,Osun,osun_ila,d94d4c58-5725-48cd-ae8d-037c2115fce1,Ipirin eyindi,Unimproved Well,water_source,protected_dug_well,d94d4c58-5725-48cd-ae8d-037c2115fce1,Southwest
Functional,,Araromi,,,Stand Alone Water Point,1347177110553.jpg,Yes,8.01427571 4.8960861 528.2000122070313 5.0,False,Ila,339,339,339.0,,No,1347177110553.jpg,water,Osun,osun_ila,36ac3673-b895-49be-a62e-a71756fb7bf4,1,Unimproved Well,water_source,protected_dug_well,36ac3673-b895-49be-a62e-a71756fb7bf4,Southwest
Functional,,Ajioni,,,Stand Alone Water Point,1347105372542.jpg,Yes,8.01544028 4.90588327 514.7000122070313 4.0,False,Ila,339,339,339.0,Manual,No,1347105372542.jpg,water,Osun,osun_ila,82c7b6a2-0a3d-44d4-b3d7-1946b3c9835b,OKE EJIGBO WARD2,Unimproved Well,water_source,unprotected_dug_well,82c7b6a2-0a3d-44d4-b3d7-1946b3c9835b,Southwest
Mechanical Issue,,Alapini's  Compd,,,Stand Alone Water Point,1347098355314.jpg,No,8.019386529922485 4.905197024345398 502.0 4.0,True,Ila,339,339,339.0,Electric,No,1347098355314.jpg,water,Osun,osun_ila,ea475660-d938-4cb9-a87b-216cdc73dc07,Iperin Eyindi,Borehole,water_source,borehole_tube_well,ea475660-d938-4cb9-a87b-216cdc73dc07,Southwest
Functional,,Oke ola,,,Stand Alone Water Point,1347183149751.jpg,Yes,8.02469159 4.89607202 540.5999755859375 5.0,False,Ila,339,339,339.0,Manual,No,1347183149751.jpg,water,Osun,osun_ila,9d4a4a30-df7f-4981-ab6d-33557242ce17,Oke ola,Unimproved Well,water_source,protected_dug_well,9d4a4a30-df7f-4981-ab6d-33557242ce17,Southwest
Poorly Constructed,,Ejemu,,,"Water Scheme, Source further than 1km",1347179363216.jpg,No,8.0222821 4.9100051 509.0 5.0,True,Ila,339,339,339.0,Tap (unknown lift),No,1347179363216.jpg,water,Osun,osun_ila,d0641325-a704-4271-864a-c4a3bb8ebd79,Iperin Ward 6,Tap,outlet,,d0641325-a704-4271-864a-c4a3bb8ebd79,Southwest
Poor Water Quality,,Oke ejigbo 1,,,,1347147208325.jpg,No,8.01590893 4.89796434 529.4000244140625 5.0,True,Ila,339,339,339.0,Tap (unknown lift),No,1347147208325.jpg,water,Osun,osun_ila,befbb8e2-2906-4927-aaaf-1965f079d89f,1,Tap,outlet,,befbb8e2-2906-4927-aaaf-1965f079d89f,Southwest
Functional,,Kajola community,,,Stand Alone Water Point,1347362799975.jpg,Yes,7.91836775 4.90113977 432.1000061035156 5.0,False,Ila,339,339,339.0,Manual,No,1347362799975.jpg,water,Osun,osun_ila,aadc2c61-927a-4074-bdbb-ff3c60c444d1,Ajaba,Unimproved Well,water_source,protected_dug_well,aadc2c61-927a-4074-bdbb-ff3c60c444d1,Southwest
Functional,,Oke Ola,,,Stand Alone Water Point,1347182994794.jpg,Yes,8.025786280632019 4.895991683006287 521.0 4.0,False,Ila,339,339,339.0,,No,1347182994794.jpg,water,Osun,osun_ila,ed40299e-6926-406a-9eca-805f746138f7,Oke Ola,Unimproved Well,water_source,protected_dug_well,ed40299e-6926-406a-9eca-805f746138f7,Southwest
Functional,,Oke ola,,,Stand Alone Water Point,1347186344476.jpg,Yes,8.02344319 4.8939767 544.0999755859375 5.0,False,Ila,339,339,339.0,Manual,No,1347186344476.jpg,water,Osun,osun_ila,769e89ac-d4ff-4f34-a6a7-e26df2979eaa,Oke ola,Unimproved Well,water_source,protected_dug_well,769e89ac-d4ff-4f34-a6a7-e26df2979eaa,Southwest
