"","X","uuid","mylga","mylga_state","mylga_zone","X_lga_id","photo","unique_lga","X_id","formhub_photo_id","gps","facility_name","facility_type","maternal_health_delivery_services_24_7","facility_open_247_yn","essential_meds_stockout","emergency_transport_currently_functioning","skilled_birth_attendant","num_chews_and_chos","power_access_and_functional","comprehensive_obstetrics_yn","num_chews_total","num_nurses_fulltime","num_nursemidwives_fulltime","num_doctors_fulltime","num_lab_techs_fulltime","staff_paid_lastmth_yn","sulpha_and_antenatal","has_itns","medication_iron_tablets","medication_folic_acid","scale_yn","equipment_bp_machine","hiv_tx_srvcs_pmtct_services_calc","lab_tests_hemoglobin_testing_calc","lab_tests_urine_testing_calc","mobile_signal_funct_yn","iv_antibiotics_yn_calc","emoc_vacuum_extractor","emoc_forceps","compr_oc_c_sections","uterotonics_yn_calc","antishock_garment_yn","emoc_parenteral_anticonvulsant","at_least_two_skilled_birth_attendants","at_least_three_skilled_birth_attendants","at_least_four_skilled_birth_attendants","compr_oc_blood_transfusions","condoms_yn","family_planning_pill_calc_calc","family_planning_injectables_calc_calc","family_planning_iud_calc","family_planning_implants_calc","sterilization_yn_calc","child_health_growth_monitor","child_health_measles_immun_calc","child_health_opv_immuization_calc","child_health_dpt_immunization_calc","child_health_tetanus_immun_calc","child_health_hepb_immunization_calc","child_health_bcg_immunization_calc","child_health_yellow_fever_immun_calc","child_health_csm_immunization_calc","vaccines_icepack_calc","equipment_refrigerator","malaria_testing","malaria_treatment_artemisinin","malaria_treatment_sulphadoxine","paid_services_malaria_treatment","medication_anti_malarials","oral_antibiotics_calc","medication_antihistamines","medication_iv_fluid","lab_tests_pregnancy_calc","lab_tests_stool_calc","potable_water_access","improved_sanitation_and_functional","lab_tests_tb_microscopy_calc","tb_treatment_yn","lab_tests_hiv_testing_calc","hiv_treatment_yn","health_no_user_fees","iv_medications_yn","inpatient_care_yn"
"1",9356,"ee481217-7b5b-4649-a9e0-0c7867c78a66","isokan","osun","southwest",367,"1346071516481.jpg","osun_isokan","ee481217-7b5b-4649-a9e0-0c7867c78a66","1346071516481.jpg","7.247516512870789 4.205231666564941 232.0 3.0","Health Post Mugo","healthpostdispensary",FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2",9357,"f6be0364-e8c6-4acb-a63b-df2b99cb87e6","isokan","osun","southwest",367,"1346151797838.jpg","osun_isokan","f6be0364-e8c6-4acb-a63b-df2b99cb87e6","1346151797838.jpg","7.19224083 4.26901801 244.0 5.0","Egbeda Health Centre","primaryhealthcarecentre",TRUE,TRUE,NA,TRUE,FALSE,1,TRUE,FALSE,1,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"3",9358,"039b8a11-64e4-4d7e-aa25-696cc402d999","isokan","osun","southwest",367,"1345715895616.jpg","osun_isokan","039b8a11-64e4-4d7e-aa25-696cc402d999","1345715895616.jpg","7.34893579 4.1775698 215.89999389648438 5.0","Ikoyi pry hlt centre","wardmodelphccentre",TRUE,TRUE,NA,TRUE,TRUE,6,TRUE,FALSE,5,1,3,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"4",9359,"411fb20f-a060-4b56-b1d9-7cb67f416bfc","isokan","osun","southwest",367,"1346072781928.jpg","osun_isokan","411fb20f-a060-4b56-b1d9-7cb67f416bfc","1346072781928.jpg","7.35147865 4.18100312 226.89999389648438 5.0","Temidire Clinic","primaryhealthcarecentre",FALSE,NA,NA,TRUE,TRUE,0,NA,FALSE,0,0,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"5",9360,"5396e8f8-5199-4e16-8023-882d1f1b7719","isokan","osun","southwest",367,"1345718224491.jpg","osun_isokan","5396e8f8-5199-4e16-8023-882d1f1b7719","1345718224491.jpg","7.34872895 4.17779406 215.8000030517578 5.0","Isokan TBS unit","specialisthospital",FALSE,NA,NA,TRUE,TRUE,1,TRUE,FALSE,0,0,0,1,3,TRUE,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"6",9361,"fddbd2c0-6823-4a05-8fab-b8633944405f","isokan","osun","southwest",367,"1345816828799.jpg","osun_isokan","fddbd2c0-6823-4a05-8fab-b8633944405f","1345816828799.jpg","7.34719486 4.16438665 241.60000610351563 5.0","Ife Olu Maternity Home","maternity",TRUE,TRUE,NA,TRUE,TRUE,2,NA,TRUE,0,0,1,1,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,TRUE,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"7",9362,"fe56f98c-9d93-4965-befb-f56bbc182092","isokan","osun","southwest",367,"1346145574727.jpg","osun_isokan","fe56f98c-9d93-4965-befb-f56bbc182092","1346145574727.jpg","7.23865903 4.11948619 161.6999969482422 5.0","OLOKUTA HEALTH CENTRE","primaryhealthcarecentre",FALSE,FALSE,NA,TRUE,FALSE,1,TRUE,FALSE,1,NA,0,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"8",9363,"a89d01e6-d23c-4227-a6a5-676472ab1ffe","isokan","osun","southwest",367,"1346243684956.jpg","osun_isokan","a89d01e6-d23c-4227-a6a5-676472ab1ffe","1346243684956.jpg","7.34312684 4.17091687 252.89999389648438 5.0","J.Rapha Hospital","cottagehospital",TRUE,TRUE,NA,TRUE,TRUE,1,NA,TRUE,1,2,2,2,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE
"9",9364,"ccfe7746-c830-4ce7-83ca-5885cf653a43","isokan","osun","southwest",367,"1346144921419.jpg","osun_isokan","ccfe7746-c830-4ce7-83ca-5885cf653a43","1346144921419.jpg","7.264441251754761 4.162166118621826 176.0 4.0","Primary Health Centre","primaryhealthcarecentre",FALSE,FALSE,NA,FALSE,FALSE,1,NA,FALSE,1,0,0,0,0,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"10",9365,"6d7d60f6-bcb7-4ec6-958c-926c879c2bb7","isokan","osun","southwest",367,"1346146203229.jpg","osun_isokan","6d7d60f6-bcb7-4ec6-958c-926c879c2bb7","1346146203229.jpg","7.22854298 4.28185672 210.60000610351563 5.0","Aba Tisa Health Centre","primaryhealthcarecentre",FALSE,FALSE,NA,FALSE,FALSE,1,FALSE,FALSE,1,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
