"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"45344",45344,45344,"ae4b2d15-25f0-44a9-a787-7cf07f9d96a1","oriade","osun","southwest","7.70088489 4.84593434 401.3999938964844 5.0","Community Primary School Etioni","primary_only","osun_oriade",609,"1346240651748.jpg","ae4b2d15-25f0-44a9-a787-7cf07f9d96a1","primary_only","1346240651748.jpg",5,"formal_educ",TRUE,FALSE,3,4,NA,NA,TRUE,TRUE,0,1.525,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,33.6666666666667,FALSE,FALSE,FALSE,TRUE,10.1,10.1,40.4,Inf,5,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"education"
"45345",45345,45345,"3704abaa-8267-4ede-acf4-12923c3e2305","oriade","osun","southwest","7.37046556 4.88861123 307.79998779296875 5.0","Apoti Community Grammer School","junior_and_senior_sec","osun_oriade",609,"1345812319751.jpg","3704abaa-8267-4ede-acf4-12923c3e2305","junior_and_senior_sec","1345812319751.jpg",9,"formal_educ",TRUE,FALSE,5,0,40,0.1,TRUE,FALSE,50,1,FALSE,NA,NA,TRUE,0,FALSE,FALSE,FALSE,FALSE,36.3636363636364,FALSE,FALSE,TRUE,FALSE,1.33333333333333,1.05263157894737,44.4444444444444,3,5,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"education"
"45346",45346,45346,"e57f4759-0d7e-4764-b608-13c37b29c8c2","oriade","osun","southwest","7.45951341 4.9048166 315.29998779296875 5.0","Ipetu Ijesa Grammer School","juniors_sec_only","osun_oriade",609,"1345822907442.jpg","e57f4759-0d7e-4764-b608-13c37b29c8c2","juniors_sec_only","1345822907442.jpg",6,"formal_educ",TRUE,FALSE,16,0,NA,NA,FALSE,FALSE,100,1.13,FALSE,TRUE,177.5,FALSE,0,FALSE,FALSE,FALSE,FALSE,48.4090909090909,FALSE,FALSE,FALSE,FALSE,1,1,177.5,6,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"45347",45347,45347,"b6f79156-e487-4efa-a5df-ebf231e9bb8c","oriade","osun","southwest","7.43176254 4.95173456 396.29998779296875 5.0","Nawair-Ud-Deen (N. U. D). Primary School","primary_only","osun_oriade",609,"1346085080657.jpg","b6f79156-e487-4efa-a5df-ebf231e9bb8c","primary_only","1346085080657.jpg",10,"formal_educ",TRUE,FALSE,2,9,NA,NA,TRUE,TRUE,0,0.839506172839506,TRUE,FALSE,149,FALSE,0,TRUE,FALSE,FALSE,FALSE,27.0909090909091,FALSE,FALSE,FALSE,TRUE,1.98666666666667,1.98666666666667,29.8,Inf,10,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"education"
"45348",45348,45348,"a18db91e-eb97-41d4-91a2-56441511d795","oriade","osun","southwest","7.46222198009491 4.8564451932907104 288.0 4.0","Etioni Asalu Community Pry. Sch.","primary_only","osun_oriade",609,"1345888892087.jpg","a18db91e-eb97-41d4-91a2-56441511d795","primary_only","1345888892087.jpg",4,"formal_educ",FALSE,TRUE,4,4,NA,NA,TRUE,FALSE,0,0.833333333333333,FALSE,NA,NA,TRUE,0,FALSE,FALSE,FALSE,FALSE,41.25,FALSE,FALSE,TRUE,FALSE,3.3,3.3,41.25,Inf,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"education"
"45349",45349,45349,"5b1e6db3-72e8-4eac-81d8-00d17a85be3a","oriade","osun","southwest","7.68445074 4.82657397 402.70001220703125 5.0","Urban DayGrammer Sch.","junior_and_senior_sec","osun_oriade",609,"1346326443370.jpg","5b1e6db3-72e8-4eac-81d8-00d17a85be3a","junior_and_senior_sec","1346326443370.jpg",11,"formal_educ",FALSE,TRUE,15,0,440,1.66666666666667,TRUE,FALSE,0,1.29565217391304,FALSE,NA,NA,FALSE,0,FALSE,FALSE,TRUE,FALSE,16.5,FALSE,FALSE,FALSE,FALSE,2.64,2.64,24,2.75,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"education"
"45350",45350,45350,"dad590f9-a234-4b59-a617-37f263b357fd","oriade","osun","southwest","7.36700396 4.89138483 320.29998779296875 5.0","Community Primary School Orisunbare Labour Camp","primary_only","osun_oriade",609,"1345812013301.jpg","dad590f9-a234-4b59-a617-37f263b357fd","primary_only","1345812013301.jpg",4,"formal_educ",FALSE,FALSE,4,4,NA,NA,TRUE,TRUE,0,1.08888888888889,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,26.8571428571429,FALSE,FALSE,FALSE,TRUE,4.47619047619048,4.47619047619048,47,Inf,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"education"
"45351",45351,45351,"ac403fed-db63-4229-9df7-beeb46b52798","oriade","osun","southwest","7.66439924 4.77941496 407.1000061035156 5.0","Act Nursery School","preprimary_only","osun_oriade",609,"1346236988899.jpg","ac403fed-db63-4229-9df7-beeb46b52798","preprimary_only","1346236988899.jpg",4,"formal_educ",FALSE,FALSE,0,2,0,0,TRUE,TRUE,0,1.14285714285714,TRUE,FALSE,30,FALSE,5,FALSE,FALSE,TRUE,FALSE,6,FALSE,FALSE,FALSE,TRUE,1.2,1.2,7.5,4,4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"45352",45352,45352,"c91d3e06-e8b1-4458-95a6-4852601e20e1","oriade","osun","southwest","7.559816837310791 4.888717532157898 348.0 4.0","AFOPET GROUP OF SCH.","primary_and_junior_sec","osun_oriade",609,"1345982939737.jpg","c91d3e06-e8b1-4458-95a6-4852601e20e1","primary_and_junior_sec","1345982939737.jpg",9,"formal_educ",FALSE,TRUE,3,6,43,0.149825783972125,TRUE,FALSE,34,0.79375,TRUE,FALSE,143.5,TRUE,3,FALSE,FALSE,FALSE,FALSE,31.8888888888889,FALSE,FALSE,FALSE,FALSE,2.37190082644628,2.37190082644628,31.8888888888889,Inf,9,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"45353",45353,45353,"6412ebce-b085-44b4-9a22-dddd3a6c129d","oriade","osun","southwest","7.64412249 4.81641599 414.0 5.0","L A PRY SCHOOL ILOKO IJESA","preprimary_and_primary","osun_oriade",609,"1346163049691.jpg","6412ebce-b085-44b4-9a22-dddd3a6c129d","preprimary_and_primary","1346163049691.jpg",15,"formal_educ",TRUE,TRUE,1,13,682,2,FALSE,FALSE,10,1.0920245398773,TRUE,TRUE,42.625,TRUE,4,FALSE,FALSE,TRUE,TRUE,31,FALSE,FALSE,FALSE,FALSE,3.21698113207547,3.21698113207547,22.7333333333333,Inf,4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"education"
