breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,Lagunna,,,Stand Alone Water Point,1337906358944.jpg,Yes,7.7650685 4.56293388 333.1000061035156 5.0,False,Osogbo,625,625,625.0,Manual,No,1337906358944.jpg,water,Osun,osun_osogbo,baf38b84-e5b5-43e8-976c-c88075bcdb98,9,Unimproved Well,water_source,protected_dug_well,baf38b84-e5b5-43e8-976c-c88075bcdb98,Southwest
Functional,,Isale Osun,,,"Water Scheme, Source within 100m",1338122028278.jpg,Yes,7.76196522 4.54981173 347.1000061035156 5.0,True,Osogbo,625,625,625.0,Tap (unknown lift),Yes,1338122028278.jpg,water,Osun,osun_osogbo,7156d029-a375-4ac1-82c7-e856faac9210,Ward 3,Tap,outlet,,7156d029-a375-4ac1-82c7-e856faac9210,Southwest
Don't Know,,Jomakai school junction,,,"Water Scheme, Source further than 1km",1337987521161.jpg,No,7.75954538 4.56317159 336.70001220703125 5.0,True,Osogbo,625,625,625.0,Tap (unknown lift),No,1337987521161.jpg,water,Osun,osun_osogbo,733284ac-3f38-4564-bfe0-9a30b67b108f,A,Tap,outlet,,733284ac-3f38-4564-bfe0-9a30b67b108f,Southwest
Functional,,FIWASAYE,,,Stand Alone Water Point,1338258876989.jpg,Yes,7.77791466 4.57211085 381.0 5.0,False,Osogbo,625,625,625.0,Manual,No,1338258876989.jpg,water,Osun,osun_osogbo,33d25092-e7c6-4382-ae0d-d94fec41f44e,14,Unimproved Well,water_source,protected_dug_well,33d25092-e7c6-4382-ae0d-d94fec41f44e,Southwest
Functional,,AKEPE,,,"Water Scheme, Source within 100m",1338005724085.jpg,Yes,7.76823979 4.56247347 338.0 5.0,True,Osogbo,625,625,625.0,Tap (unknown lift),No,1338005724085.jpg,water,Osun,osun_osogbo,b846ddb1-a243-4a02-b10f-207bd5fe2ba4,13,Tap,outlet,,b846ddb1-a243-4a02-b10f-207bd5fe2ba4,Southwest
Don't Know,,OLUGUN STREET.OLOMU MOSQUE,,,"Water Scheme, Source within 100m",1338200310562.jpg,No,7.76823911 4.55987646 348.5 5.0,True,Osogbo,625,625,625.0,Tap (unknown lift),No,1338200310562.jpg,water,Osun,osun_osogbo,ecffdc25-a4b9-43ea-b647-5b2db579a42b,15,Tap,outlet,,ecffdc25-a4b9-43ea-b647-5b2db579a42b,Southwest
Functional,,OLUGUN LANE.BALOGUN HOUSE,,,Stand Alone Water Point,1338199707533.jpg,Yes,7.76754489 4.56093361 334.29998779296875 5.0,False,Osogbo,625,625,625.0,Manual,No,1338199707533.jpg,water,Osun,osun_osogbo,57c729ba-3008-41ae-b135-385efac14cbf,13,Unimproved Well,water_source,protected_dug_well,57c729ba-3008-41ae-b135-385efac14cbf,Southwest
Functional,,Ayepe,,,Stand Alone Water Point,1338040119666.jpg,Yes,7.74805766 4.57443829 364.20001220703125 5.0,False,Osogbo,625,625,625.0,Manual,No,1338040119666.jpg,water,Osun,osun_osogbo,b58a947a-f984-4704-9f23-cf87e75cfcc2,8,Unimproved Well,water_source,protected_dug_well,b58a947a-f984-4704-9f23-cf87e75cfcc2,Southwest
Dry Well,,Onward street okeayepe osogbo,,,Stand Alone Water Point,1337995760657.jpg,No,7.75386149 4.57095734 391.1000061035156 5.0,True,Osogbo,625,625,625.0,Electric,No,1337995760657.jpg,water,Osun,osun_osogbo,ad4bc436-6633-466f-b66b-93821fbeb89b,Xxx,Borehole,water_source,borehole_tube_well,ad4bc436-6633-466f-b66b-93821fbeb89b,Southwest
Don't Know,,IDI OMO,,,,1337895446159.jpg,No,7.76913888 4.55869473 354.70001220703125 5.0,True,Osogbo,625,625,625.0,Tap (unknown lift),No,1337895446159.jpg,water,Osun,osun_osogbo,fe1f2c57-4512-4c24-94d6-23c96e6cca72,12,Tap,outlet,,fe1f2c57-4512-4c24-94d6-23c96e6cca72,Southwest
