"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"2391",2391,2391,"501a3dae-b400-4f8a-8c2d-5d7626839b72","akinyele","oyo","southwest","7.6473212242126465 3.920418620109558 283.0 4.0","Iroko Community Grammar Sec Sch","junior_and_senior_sec","oyo_akinyele",30,"1345971131851.jpg","501a3dae-b400-4f8a-8c2d-5d7626839b72","junior_and_senior_sec","1345971131851.jpg",21,"formal_educ",TRUE,FALSE,6,10,1199,2.69438202247191,TRUE,NA,186,1.28205128205128,TRUE,TRUE,111.25,TRUE,6,FALSE,FALSE,TRUE,FALSE,27.8125,FALSE,FALSE,FALSE,TRUE,2.225,2.225,21.1904761904762,10.5,13,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"education"
"2392",2392,2392,"80114ce4-3f49-46fa-b03a-2180b1ed7cc7","akinyele","oyo","southwest","7.62860617 3.85288083 287.6000061035156 5.0","Emmanuel Anglican Pry School Ijaye","preprimary_and_primary","oyo_akinyele",30,"1345809449947.jpg","80114ce4-3f49-46fa-b03a-2180b1ed7cc7","preprimary_and_primary","1345809449947.jpg",8,"formal_educ",FALSE,FALSE,0,6,216,0.591780821917808,FALSE,TRUE,0,0.951871657754011,FALSE,NA,NA,FALSE,3,FALSE,FALSE,FALSE,FALSE,60.8333333333333,FALSE,FALSE,FALSE,TRUE,8.11111111111111,8.11111111111111,45.625,Inf,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"2393",2393,2393,"60331ae5-4d55-441b-aaa1-68c9970f12b3","akinyele","oyo","southwest","7.52442695 3.90442917 266.20001220703125 5.0","Aponmode moniya senior High School","senior_sec_only","oyo_akinyele",30,"1346326549271.jpg","60331ae5-4d55-441b-aaa1-68c9970f12b3","senior_sec_only","1346326549271.jpg",24,"religious_with_formal",FALSE,FALSE,NA,3,0,0,TRUE,NA,0,0.874031007751938,FALSE,NA,NA,TRUE,0,FALSE,FALSE,FALSE,FALSE,138.142857142857,FALSE,FALSE,FALSE,TRUE,2.14888888888889,2.14888888888889,40.2916666666667,1,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"2394",2394,2394,"b4ed59a1-7b04-4080-a5c7-8389b9d7a585","akinyele","oyo","southwest","7.645191550254822 3.7051284313201904 258.0 4.0","Community Pri Sch Olosun","preprimary_and_primary","oyo_akinyele",30,"1345810910504.jpg","b4ed59a1-7b04-4080-a5c7-8389b9d7a585","preprimary_and_primary","1345810910504.jpg",5,"formal_educ",TRUE,FALSE,2,4,138,0.404692082111437,TRUE,TRUE,0,0.766839378238342,FALSE,NA,NA,FALSE,0,FALSE,FALSE,TRUE,FALSE,56.8333333333333,FALSE,FALSE,TRUE,FALSE,5.68333333333333,5.68333333333333,68.2,Inf,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"education"
"2395",2395,2395,"86b17567-4ad6-40f3-9da2-b8772ffa27ea","akinyele","oyo","southwest","7.577878832817078 3.955056667327881 252.0 4.0","St James Anglican Church","preprimary_and_primary","oyo_akinyele",30,"1346250225372.jpg","86b17567-4ad6-40f3-9da2-b8772ffa27ea","preprimary_and_primary","1346250225372.jpg",6,"formal_educ",FALSE,FALSE,0,5,193,0.466183574879227,TRUE,FALSE,102,0.952830188679245,FALSE,NA,NA,FALSE,3,FALSE,FALSE,FALSE,FALSE,103.5,FALSE,FALSE,TRUE,TRUE,5.83098591549296,4.3125,69,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"2396",2396,2396,"0071465a-da20-415c-8fb3-11ee239cbfbb","akinyele","oyo","southwest","7.53279816 3.97157104 309.29998779296875 5.0","Christ Apostolic Church School","preprimary_and_primary","oyo_akinyele",30,"1346165193647.jpg","0071465a-da20-415c-8fb3-11ee239cbfbb","preprimary_and_primary","1346165193647.jpg",6,"formal_educ",FALSE,FALSE,0,6,240,0.830449826989619,TRUE,TRUE,95,0.993103448275862,FALSE,NA,NA,FALSE,2,FALSE,FALSE,TRUE,FALSE,144.5,FALSE,FALSE,TRUE,TRUE,19.2666666666667,19.2666666666667,48.1666666666667,Inf,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"2397",2397,2397,"d6902f64-d6ab-4911-b692-9eb99753ebce","akinyele","oyo","southwest","7.60193131 4.00921008 333.70001220703125 5.0","St. Peter‘s Angnican School","preprimary_and_primary","oyo_akinyele",30,"1346072015935.jpg","d6902f64-d6ab-4911-b692-9eb99753ebce","preprimary_and_primary","1346072015935.jpg",8,"formal_educ",FALSE,FALSE,2,5,136,0.535433070866142,TRUE,FALSE,10,1.0650406504065,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,50.8,FALSE,FALSE,TRUE,FALSE,16.9333333333333,12.7,31.75,Inf,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"2398",2398,2398,"df812c50-a995-4151-ad07-3f99105b4b1b","akinyele","oyo","southwest","7.45911248 3.92314153 255.10000610351563 5.0","Com Pry Sch Kajorepo","preprimary_and_primary","oyo_akinyele",30,"1346336643995.jpg","df812c50-a995-4151-ad07-3f99105b4b1b","preprimary_and_primary","1346336643995.jpg",0,"formal_educ",FALSE,FALSE,4,19,275,0.604395604395604,TRUE,FALSE,0,1.33333333333333,FALSE,NA,NA,FALSE,0,FALSE,FALSE,TRUE,FALSE,65,FALSE,FALSE,FALSE,FALSE,25.2777777777778,25.2777777777778,Inf,NA,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"education"
"2399",2399,2399,"c26863d9-442f-4a7e-b741-f564ce98db18","akinyele","oyo","southwest","7.67743194 3.7578024 277.1000061035156 5.0","St Mathew‘s Ang Pry. Atan Ojedele","preprimary_and_primary","oyo_akinyele",30,"1345895464939.jpg","c26863d9-442f-4a7e-b741-f564ce98db18","preprimary_and_primary","1345895464939.jpg",4,"formal_educ",FALSE,TRUE,6,4,0,0,FALSE,FALSE,0,0.916943521594684,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,72.125,FALSE,FALSE,FALSE,TRUE,57.7,115.4,144.25,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"2400",2400,2400,"d6dee5e1-2d6b-408c-af11-0b5dabbf47f4","akinyele","oyo","southwest","7.576376795768738 3.8789784908294678 294.0 4.0","Community Junior High School Alabata","juniors_sec_only","oyo_akinyele",30,"1346060455534.jpg","d6dee5e1-2d6b-408c-af11-0b5dabbf47f4","juniors_sec_only","1346060455534.jpg",10,"formal_educ",TRUE,FALSE,4,2,NA,NA,TRUE,NA,158,1.38970588235294,FALSE,FALSE,325,FALSE,0,FALSE,FALSE,FALSE,FALSE,54.1666666666667,FALSE,FALSE,FALSE,FALSE,3.21782178217822,3.21782178217822,32.5,Inf,8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"education"
