"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"4794",4794,4794,"55a70235-d303-4d8e-b1e6-9fd9e698fa82","atiba","oyo","southwest","7.95554007 3.75171402 287.3999938964844 5.0","Iponrin Sangodeyi Com
munnity Primary School","preprimary_and_primary","oyo_atiba",68,"1345885234770.jpg","55a70235-d303-4d8e-b1e6-9fd9e698fa82","preprimary_and_primary","1345885234770.jpg",5,"formal_educ",TRUE,FALSE,3,4,218,0.42495126705653,TRUE,TRUE,350,0.914179104477612,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,85.5,FALSE,FALSE,TRUE,FALSE,51.3,51.3,102.6,Inf,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"education"
"4795",4795,4795,"cee8d44d-67d5-4bd7-850e-dcacb9765433","atiba","oyo","southwest","8.2102849 3.84208057 368.29998779296875 5.0","Comm. Pry. School","preprimary_and_primary","oyo_atiba",68,"1335527034199.jpg","cee8d44d-67d5-4bd7-850e-dcacb9765433","preprimary_and_primary","1335527034199.jpg",2,"formal_educ",FALSE,FALSE,2,2,117,0.210431654676259,TRUE,TRUE,0,0.985714285714286,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,79.4285714285714,TRUE,FALSE,TRUE,FALSE,46.3333333333333,46.3333333333333,278,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"4796",4796,4796,"e2ab7d49-bc72-44c9-b3b2-e9f758cd6ea1","atiba","oyo","southwest","8.14198684 3.9043467 327.20001220703125 5.0","L. A. Pry. School","preprimary_and_primary","oyo_atiba",68,"1335536941461.jpg","e2ab7d49-bc72-44c9-b3b2-e9f758cd6ea1","preprimary_and_primary","1335536941461.jpg",4,"formal_educ",FALSE,FALSE,0,3,183,0.300986842105263,FALSE,FALSE,8,0.936305732484076,TRUE,FALSE,304,FALSE,6,TRUE,FALSE,TRUE,FALSE,101.333333333333,FALSE,FALSE,TRUE,TRUE,17.3714285714286,16.4324324324324,152,Inf,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"4797",4797,4797,"b98efd23-99a6-4311-b2f7-b15629e93254","atiba","oyo","southwest","7.8733134269714355 3.920472264289856 296.0 4.0","Isale Oyo Community Jnr  Grammar Sch 2","juniors_sec_only","oyo_atiba",68,"1346074751556.jpg","b98efd23-99a6-4311-b2f7-b15629e93254","juniors_sec_only","1346074751556.jpg",12,"formal_educ",FALSE,TRUE,5,6,NA,NA,FALSE,NA,60,1.16336633663366,FALSE,NA,NA,TRUE,0,FALSE,FALSE,FALSE,FALSE,87.4,FALSE,FALSE,FALSE,FALSE,36.4166666666667,31.2142857142857,36.4166666666667,Inf,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"4798",4798,4798,"270a2936-be3a-4cf6-8e7d-275a87136226","atiba","oyo","southwest","7.8672339 3.92967409 323.29998779296875 5.0","Aatan baptist school 2","preprimary_and_primary","oyo_atiba",68,"1346080076385.jpg","270a2936-be3a-4cf6-8e7d-275a87136226","preprimary_and_primary","1346080076385.jpg",28,"formal_educ",FALSE,FALSE,6,11,1920,1.90854870775348,TRUE,FALSE,0,1.012,FALSE,NA,NA,FALSE,1,FALSE,FALSE,TRUE,FALSE,91.4545454545455,FALSE,FALSE,TRUE,FALSE,1.07021276595745,1.07021276595745,35.9285714285714,Inf,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"4799",4799,4799,"662713df-3e49-43ed-a6f9-222df3acc69d","atiba","oyo","southwest","7.855246067047119 3.945465087890625 339.0 4.0","Ansar ud  deen society primary school","preprimary_and_primary","oyo_atiba",68,"1345797855404.jpg","662713df-3e49-43ed-a6f9-222df3acc69d","preprimary_and_primary","1345797855404.jpg",27,"formal_educ",FALSE,FALSE,2,22,416,0.423625254582485,FALSE,FALSE,0,1.00408163265306,TRUE,TRUE,245.5,TRUE,2,FALSE,FALSE,TRUE,FALSE,109.111111111111,FALSE,FALSE,TRUE,FALSE,19.64,19.64,36.3703703703704,Inf,20,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"education"
"4800",4800,4800,"0f45a544-6fc9-40cf-bc15-a953550ed19c","atiba","oyo","southwest","7.86704061 3.92881405 307.0 5.0"," Aatan baptist church nursery and pry school","preprimary_and_primary","oyo_atiba",68,"1346080429676.jpg","0f45a544-6fc9-40cf-bc15-a953550ed19c","preprimary_and_primary","1346080429676.jpg",38,"formal_educ",TRUE,FALSE,0,38,72,0.0923076923076923,TRUE,FALSE,20,1.6,TRUE,TRUE,78,TRUE,0,TRUE,FALSE,TRUE,TRUE,35.4545454545455,FALSE,FALSE,FALSE,TRUE,1.04,1.04,20.5263157894737,Inf,4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"4801",4801,4801,"546f4b79-a997-4af0-b2ab-d811f838972f","atiba","oyo","southwest","7.86859579 3.93611807 307.1000061035156 5.0","LA pry school 2 Saabo-oyo","preprimary_and_primary","oyo_atiba",68,"1346060684535.jpg","546f4b79-a997-4af0-b2ab-d811f838972f","preprimary_and_primary","1346060684535.jpg",26,"formal_educ",TRUE,FALSE,7,6,106,0.109278350515464,TRUE,FALSE,25,0.95959595959596,TRUE,FALSE,970,TRUE,0,FALSE,FALSE,FALSE,FALSE,97,FALSE,FALSE,TRUE,FALSE,5.54285714285714,5.54285714285714,37.3076923076923,Inf,21,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"education"
"4802",4802,4802,"81f5c1f7-f790-4052-816d-5f5a358785dc","atiba","oyo","southwest","7.873876690864563 3.9414364099502563 336.0 4.0","Oranyan Snr  Secondary  Grammar school Sabo","senior_sec_only","oyo_atiba",68,"1346066369563.jpg","81f5c1f7-f790-4052-816d-5f5a358785dc","senior_sec_only","1346066369563.jpg",16,"formal_educ",TRUE,FALSE,3,4,0,0,FALSE,FALSE,50,0.798295454545455,TRUE,TRUE,158.25,TRUE,3,FALSE,FALSE,TRUE,FALSE,52.75,FALSE,FALSE,FALSE,TRUE,31.65,31.65,39.5625,8,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"education"
"4803",4803,4803,"43459afc-620c-4eb3-869a-e294da5f5743","atiba","oyo","southwest","8.18732657 3.94121409 391.6000061035156 5.0","Oba Adeyemi Community Pry. Sch","preprimary_and_primary","oyo_atiba",68,"1335533722468.jpg","43459afc-620c-4eb3-869a-e294da5f5743","preprimary_and_primary","1335533722468.jpg",3,"formal_educ",TRUE,TRUE,3,2,173,1.10897435897436,TRUE,TRUE,68,0.733333333333333,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,52,TRUE,FALSE,TRUE,TRUE,Inf,Inf,52,Inf,2,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"education"
