"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"42855",42855,"dad9edbc-1134-4113-b3b9-2ce3320712ea","dad9edbc-1134-4113-b3b9-2ce3320712ea","Ibadan North","Oyo","Southwest",278,"7.41589367 3.88911495 268.20001220703125 5.0","1347021986189.jpg","oyo_ibadan_north","1347021986189.jpg","Tap",NA,NA,"outlet","Oke itunu","Ward 7","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"42856",42856,"10dbac46-2aad-4cc7-bed9-18435467e4c2","10dbac46-2aad-4cc7-bed9-18435467e4c2","Ibadan North","Oyo","Southwest",278,"7.41665102 3.88675054 245.8000030517578 5.0","1347022770028.jpg","oyo_ibadan_north","1347022770028.jpg","Tap",NA,NA,"outlet","Okun itunu 3","Ward7","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"42857",42857,"c4c75374-c3be-4af8-b1b0-0fbd82cd1023","c4c75374-c3be-4af8-b1b0-0fbd82cd1023","Ibadan North","Oyo","Southwest",278,"7.41275883 3.89273353 285.70001220703125 5.0","1347030210379.jpg","oyo_ibadan_north","1347030210379.jpg","Tap",NA,NA,"outlet","Oladeji mokola","Ward 7","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"42858",42858,"934682c4-1a21-4556-91cf-7d210648bd2d","934682c4-1a21-4556-91cf-7d210648bd2d","Ibadan North","Oyo","Southwest",278,"7.389743328094482 3.9013856649398804 244.0 4.0","1347106082679.jpg","oyo_ibadan_north","1347106082679.jpg","Tap",NA,"borehole_tube_well","water_source","YEMETU ALADORIN","3","Yes","Diesel","Yes","Functional","Yes","Stand Alone Water Point"
"42859",42859,"ad90e92d-6fb0-494f-b55c-2bc2b00fa714","ad90e92d-6fb0-494f-b55c-2bc2b00fa714","Ibadan North","Oyo","Southwest",278,"7.43929686 3.91769727 255.39999389648438 5.0","1347112902933.jpg","oyo_ibadan_north","1347112902933.jpg","Tap",NA,NA,"outlet","Olive Area Bodija","12","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"42860",42860,"e461627e-1cb3-4026-94a8-2560fb915d09","e461627e-1cb3-4026-94a8-2560fb915d09","Ibadan North","Oyo","Southwest",278,"7.40740294 3.9279894 278.29998779296875 5.0","1347364022658.jpg","oyo_ibadan_north","1347364022658.jpg","Tap",NA,"borehole_tube_well","water_source","Ikolaba","12","Yes","Diesel","Yes","Functional","No","Stand Alone Water Point"
"42861",42861,"a62fa4ce-b88e-44af-a2f2-84ba0e9d9db9","a62fa4ce-b88e-44af-a2f2-84ba0e9d9db9","Ibadan North","Oyo","Southwest",278,"7.3903656005859375 3.9097273349761963 250.0 4.0","1347292785870.jpg","oyo_ibadan_north","1347292785870.jpg","Tap",NA,NA,"outlet","ITUTABA","4","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source further than 1km"
"42862",42862,"15570c31-2391-4c88-9467-a948d210e853","15570c31-2391-4c88-9467-a948d210e853","Ibadan North","Oyo","Southwest",278,"7.406083345413208 3.8908177614212036 251.0 3.0","1347447409319.jpg","oyo_ibadan_north","1347447409319.jpg","Tap",NA,NA,"outlet","mokola","9","Yes","Tap (unknown lift)","No","Poorly Constructed","Don't Know","Water Scheme, Source within 100m"
"42863",42863,"8b9d501b-1509-4ed6-918d-527d80188f66","8b9d501b-1509-4ed6-918d-527d80188f66","Ibadan North","Oyo","Southwest",278,"7.399399280548096 3.893923759460449 230.0 4.0","1347197513969.jpg","oyo_ibadan_north","1347197513969.jpg","Tap",NA,NA,"outlet","INALENDE","2","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source further than 1km"
"42864",42864,"7b98b748-cf56-443a-a04f-1747d446b69d","7b98b748-cf56-443a-a04f-1747d446b69d","Ibadan North","Oyo","Southwest",278,"7.42034511 3.89408902 239.10000610351563 5.0","1347099129750.jpg","oyo_ibadan_north","1347099129750.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Sango","Ward 8","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"42865",42865,"289a8705-c1b7-4e91-9269-78af9e008d8b","289a8705-c1b7-4e91-9269-78af9e008d8b","Ibadan North","Oyo","Southwest",278,"7.4073781 3.89230326 241.5 5.0","1347365919174.jpg","oyo_ibadan_north","1347365919174.jpg","Tap",NA,NA,"outlet","Mokola","Ward 9","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"42866",42866,"fd54ad2c-0d9e-4e0f-b4f4-14737a2652e5","fd54ad2c-0d9e-4e0f-b4f4-14737a2652e5","Ibadan North","Oyo","Southwest",278,"7.385387420654297 3.8978934288024902 291.0 4.0","1347027349873.jpg","oyo_ibadan_north","1347027349873.jpg","Tap",NA,"borehole_tube_well","water_source","OKE ARE","1","Yes","Diesel","No","Mechanical Issue","No","Stand Alone Water Point"
"42867",42867,"7e951453-491d-44e6-b962-17f39338ef5d","7e951453-491d-44e6-b962-17f39338ef5d","Ibadan North","Oyo","Southwest",278,"7.38924256 3.8954526 249.6999969482422 5.0","1347200597562.jpg","oyo_ibadan_north","1347200597562.jpg","Unimproved Well",NA,"protected_dug_well","water_source","INALENDE","2","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"42868",42868,"2d844ad5-1c68-41de-a896-96f168c8fb51","2d844ad5-1c68-41de-a896-96f168c8fb51","Ibadan North","Oyo","Southwest",278,"7.387082576751709 3.8942456245422363 242.0 4.0","1347026787492.jpg","oyo_ibadan_north","1347026787492.jpg","Tap",NA,"borehole_tube_well","water_source","ONIYARIN","2","Yes","Diesel","No","Mechanical Issue","No","Stand Alone Water Point"
"42869",42869,"550fb082-5261-46ad-994f-b4d40361c424","550fb082-5261-46ad-994f-b4d40361c424","Ibadan North","Oyo","Southwest",278,"7.42156141 3.89508989 246.6999969482422 5.0","1347097877882.jpg","oyo_ibadan_north","1347097877882.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Sango","Ward 8","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"42870",42870,"33ed28bc-10f7-4beb-82f5-e993c89afcad","33ed28bc-10f7-4beb-82f5-e993c89afcad","Ibadan North","Oyo","Southwest",278,"7.397333979606628 3.8931405544281006 240.0 4.0","1347364098486.jpg","oyo_ibadan_north","1347364098486.jpg","Tap",NA,NA,"outlet","BOLA AREA INALENDE","2","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source further than 1km"
"42871",42871,"2910cfaa-d044-4363-aa6d-2f9e448b09da","2910cfaa-d044-4363-aa6d-2f9e448b09da","Ibadan North","Oyo","Southwest",278,"8.482168 3.2823548 409.79998779296875 5.0","1337964665502.jpg","oyo_ibadan_north","1337964665502.jpg","Tap",NA,NA,"outlet","Aba adeyemi","Ofiki","Yes","Tap (unknown lift)","No","Poor Water Quality","No","Water Scheme, Source within 100m"
"42872",42872,"a19d0391-67f4-467a-bc8a-3306455da334","a19d0391-67f4-467a-bc8a-3306455da334","Ibadan North","Oyo","Southwest",278,"7.3852211236953735 3.899819254875183 231.0 4.0","1347029656315.jpg","oyo_ibadan_north","1347029656315.jpg","Tap",NA,"borehole_tube_well","water_source","ODOYE AREA","3","Yes","Diesel","No","Under Construction","No","Stand Alone Water Point"
"42873",42873,"0bc1b895-5178-451a-8c52-aa04bbf200fb","0bc1b895-5178-451a-8c52-aa04bbf200fb","Ibadan North","Oyo","Southwest",278,"7.393128275871277 3.9126670360565186 228.0 4.0","1347018028372.jpg","oyo_ibadan_north","1347018028372.jpg","Tap",NA,"borehole_tube_well","water_source","AJIBODU COMMUNITY ATENDA","4","Yes","Diesel","No","Mechanical Issue","No","Stand Alone Water Point"
"42874",42874,"7fff31ff-e066-446b-91a6-c24260a70cc7","7fff31ff-e066-446b-91a6-c24260a70cc7","Ibadan North","Oyo","Southwest",278,"7.42278622 3.93222073 286.5 5.0","1347177485799.jpg","oyo_ibadan_north","1347177485799.jpg","Tap",NA,NA,"outlet","Oyebanji","5","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"42875",42875,"00af5393-af07-4c25-9f97-86b8a270e86d","00af5393-af07-4c25-9f97-86b8a270e86d","Ibadan North","Oyo","Southwest",278,"7.390333414077759 3.90363872051239 222.0 4.0","1347376756887.jpg","oyo_ibadan_north","1347376756887.jpg","Tap",NA,NA,"outlet","YEMETU","3","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source further than 1km"
"42876",42876,"c9d9d822-2589-49de-a644-ba827044ece6","c9d9d822-2589-49de-a644-ba827044ece6","Ibadan North","Oyo","Southwest",278,"7.3922377824783325 3.906063437461853 231.0 4.0","1347031713218.jpg","oyo_ibadan_north","1347031713218.jpg","Tap",NA,NA,"outlet","ALAWADA","3","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source further than 1km"
