access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,440.6734031,True,FALSE,False,,,,formal_educ,St.Micheal Roman Catholic Mission School 2,preprimary_and_primary,1347111542141.jpg,,True,FALSE,7.43264044 3.29852358 187.39999389648438 5.0,False,False,preprimary_and_primary,Ibarapa Central,284,284,284.0,0.936274509803922,False,ibarapa_central,oyo,southwest,TRUE,3.0,,13.0,395.0,8.0,15.0,,11.0,351.0,public,True,1347111542141.jpg,102979,233.685535082,,False,FALSE,FALSE,1.9949494949495,30.3846153846154,1.9949494949495,26.3333333333333,131.666666666667,False,False,St.Micheal Roman Catholic Mission School 2,education,Oyo,0.0,Others,False,False,FALSE,Inf,0.888607594936709,FALSE,,oyo_ibarapa_central,a29157a2-c21c-48b2-9dc2-30ea32d6b842,False,a29157a2-c21c-48b2-9dc2-30ea32d6b842,Southwest
False,False,440.6734031,True,TRUE,False,,,,formal_educ,"Nomadic primary school ,Geke Igboora",preprimary_and_primary,1347177388167.jpg,,False,,7.350068092346191 3.2988059520721436 158.0 4.0,False,False,preprimary_and_primary,Ibarapa Central,284,284,284.0,0.877777777777778,True,ibarapa_central,oyo,southwest,FALSE,0.0,2.0,2.0,338.0,5.0,5.0,,4.0,980.0,public,False,1347177388167.jpg,102979,233.685535082,,False,FALSE,FALSE,11.2666666666667,169,8.45,67.6,,False,True,"Nomadic primary school ,Geke Igboora",education,Oyo,0.0,Others,False,False,FALSE,Inf,2.89940828402367,FALSE,,oyo_ibarapa_central,276f474e-2b94-4f2a-a724-6fdbd3bd921d,False,276f474e-2b94-4f2a-a724-6fdbd3bd921d,Southwest
False,True,440.6734031,False,FALSE,False,,,,formal_educ,R.C.M Pry School 1,preprimary_and_primary,1347110055437.jpg,True,False,,7.43161397 3.29648768 210.0 5.0,False,False,preprimary_and_primary,Ibarapa Central,284,284,284.0,0.871331828442438,False,ibarapa_central,oyo,southwest,TRUE,,,26.0,829.0,4.0,26.0,,21.0,1283.0,public,False,1347110055437.jpg,102979,233.685535082,,False,TRUE,FALSE,4.145,31.8846153846154,4.71022727272727,31.8846153846154,,True,False,R.C.M Pry School 1,education,Oyo,0.0,Others,False,False,FALSE,Inf,1.54764776839566,FALSE,,oyo_ibarapa_central,46db864a-0cf5-4ed1-9871-3797cbbdc96c,False,46db864a-0cf5-4ed1-9871-3797cbbdc96c,Southwest
False,False,440.6734031,True,FALSE,False,,,,formal_educ,"Igboora Grammar School,junior.",juniors_sec_only,1347028389756.jpg,,False,,7.43847197 3.26703063 184.0 5.0,False,False,juniors_sec_only,Ibarapa Central,284,284,284.0,1.765625,False,ibarapa_central,oyo,southwest,TRUE,3.0,0.0,3.0,177.0,7.0,7.0,,2.0,8.0,public,False,1347028389756.jpg,102979,233.685535082,,False,FALSE,FALSE,17.7,59,17.7,25.2857142857143,,True,,"Igboora Grammar School,junior.",education,Oyo,45.0,Others,False,False,FALSE,1,0.0451977401129944,FALSE,,oyo_ibarapa_central,db7d5ac6-ef23-4d1b-b9b2-b5c82aa814b3,False,db7d5ac6-ef23-4d1b-b9b2-b5c82aa814b3,Southwest
False,False,440.6734031,True,FALSE,False,,,,formal_educ,Baptist primary school oritas bansa,primary_only,1347098584352.jpg,,False,,7.396266460418701 3.2053202390670776 161.0 4.0,False,False,primary_only,Ibarapa Central,284,284,284.0,0.933333333333333,False,ibarapa_central,oyo,southwest,FALSE,0.0,1.0,3.0,87.0,2.0,4.0,,4.0,42.0,public,False,1347098584352.jpg,102979,233.685535082,,False,FALSE,FALSE,1.33846153846154,29,1.93333333333333,21.75,,True,True,Baptist primary school oritas bansa,education,Oyo,0.0,Others,False,False,FALSE,Inf,0.482758620689655,FALSE,,oyo_ibarapa_central,309e9c9d-683b-4d74-a55a-5503faccc213,False,309e9c9d-683b-4d74-a55a-5503faccc213,Southwest
False,True,440.6734031,True,FALSE,True,,,,formal_educ,"Noble crown nursery/primary school,okeola road ,idofin Igboora",preprimary_and_primary,1347026011982.jpg,,False,FALSE,7.42132879 3.28307746 211.60000610351563 5.0,False,False,preprimary_and_primary,Ibarapa Central,284,284,284.0,0.666666666666667,True,ibarapa_central,oyo,southwest,TRUE,0.0,0.0,6.0,45.0,2.0,5.0,,5.0,20.0,private,False,1347026011982.jpg,102979,233.685535082,,False,FALSE,FALSE,4.5,7.5,2.25,9,22.5,False,False,"Noble crown nursery/primary school,okeola road ,idofin Igboora",education,Oyo,0.0,Others,True,False,TRUE,Inf,0.444444444444444,FALSE,,oyo_ibarapa_central,d3b18535-0ae3-47a4-a9ec-075288ef2926,True,d3b18535-0ae3-47a4-a9ec-075288ef2926,Southwest
False,False,440.6734031,False,FALSE,True,,,,formal_educ,Community Primary School Ibona Igboora,primary_only,1347099207147.jpg,True,False,FALSE,7.38382809 3.21937088 190.5 5.0,False,False,primary_only,Ibarapa Central,284,284,284.0,0.697674418604651,False,ibarapa_central,oyo,southwest,FALSE,0.0,0.0,6.0,219.0,4.0,7.0,,6.0,160.0,public,False,1347099207147.jpg,102979,233.685535082,,False,FALSE,FALSE,24.3333333333333,36.5,3.421875,31.2857142857143,109.5,False,False,Community Primary School Ibona Igboora,education,Oyo,0.0,Others,False,False,FALSE,Inf,0.730593607305936,FALSE,,oyo_ibarapa_central,6438d1d9-02d8-4e97-af10-25fcbca2a3dc,False,6438d1d9-02d8-4e97-af10-25fcbca2a3dc,Southwest
False,True,440.6734031,False,FALSE,True,,,,formal_educ,Kastad International Nur/Pry School,primary_junior_and_senior_sec,1347112217390.jpg,,True,FALSE,7.42406688 3.30234611 215.10000610351563 5.0,False,False,primary_junior_and_senior_sec,Ibarapa Central,284,284,284.0,0.416666666666667,False,ibarapa_central,oyo,southwest,TRUE,0.0,0.0,15.0,170.0,10.0,30.0,,20.0,36.0,private,True,1347112217390.jpg,102979,233.685535082,,True,FALSE,FALSE,Inf,11.3333333333333,Inf,5.66666666666667,56.6666666666667,False,False,Kastad International Nur/Pry School,education,Oyo,0.0,Others,False,False,TRUE,30,0.211764705882353,FALSE,,oyo_ibarapa_central,d1f8b85f-5a39-42de-83f3-890be7e37f19,True,d1f8b85f-5a39-42de-83f3-890be7e37f19,Southwest
False,True,440.6734031,True,FALSE,True,,,,formal_educ,Favourland Nursery/Primary School,preprimary_and_primary,1347111290082.jpg,,True,TRUE,7.4353086948394775 3.303789496421814 177.0 4.0,False,False,preprimary_and_primary,Ibarapa Central,284,284,284.0,0.975,False,ibarapa_central,oyo,southwest,TRUE,0.0,0.0,17.0,316.0,14.0,18.0,,14.0,10.0,private,False,1347111290082.jpg,102979,233.685535082,,True,TRUE,FALSE,1.85882352941176,18.5882352941176,1.85882352941176,17.5555555555556,52.6666666666667,False,False,Favourland Nursery/Primary School,education,Oyo,100.0,Others,False,False,TRUE,4.5,0.0316455696202532,FALSE,,oyo_ibarapa_central,93168ed5-7919-483c-aa50-ad3e6e9c280a,True,93168ed5-7919-483c-aa50-ad3e6e9c280a,Southwest
False,False,440.6734031,True,FALSE,False,,,,formal_educ,Igboora High school(senior),senior_sec_only,1347179030059.jpg,True,True,,7.416452765464783 3.301944136619568 189.0 4.0,False,False,senior_sec_only,Ibarapa Central,284,284,284.0,0.869179600886918,True,ibarapa_central,oyo,southwest,FALSE,0.0,,9.0,843.0,6.0,25.0,,3.0,0.0,public,False,1347179030059.jpg,102979,233.685535082,,True,FALSE,FALSE,5.62,93.6666666666667,5.62,33.72,,True,True,Igboora High school(senior),education,Oyo,200.0,Others,False,False,FALSE,12.5,0,FALSE,,oyo_ibarapa_central,2f9bee8f-f4d0-4e26-ae53-4b9f56d69672,False,2f9bee8f-f4d0-4e26-ae53-4b9f56d69672,Southwest
