"","X","uuid","mylga","mylga_state","mylga_zone","X_lga_id","photo","unique_lga","X_id","formhub_photo_id","gps","facility_name","facility_type","maternal_health_delivery_services_24_7","facility_open_247_yn","essential_meds_stockout","emergency_transport_currently_functioning","skilled_birth_attendant","num_chews_and_chos","power_access_and_functional","comprehensive_obstetrics_yn","num_chews_total","num_nurses_fulltime","num_nursemidwives_fulltime","num_doctors_fulltime","num_lab_techs_fulltime","staff_paid_lastmth_yn","sulpha_and_antenatal","has_itns","medication_iron_tablets","medication_folic_acid","scale_yn","equipment_bp_machine","hiv_tx_srvcs_pmtct_services_calc","lab_tests_hemoglobin_testing_calc","lab_tests_urine_testing_calc","mobile_signal_funct_yn","iv_antibiotics_yn_calc","emoc_vacuum_extractor","emoc_forceps","compr_oc_c_sections","uterotonics_yn_calc","antishock_garment_yn","emoc_parenteral_anticonvulsant","at_least_two_skilled_birth_attendants","at_least_three_skilled_birth_attendants","at_least_four_skilled_birth_attendants","compr_oc_blood_transfusions","condoms_yn","family_planning_pill_calc_calc","family_planning_injectables_calc_calc","family_planning_iud_calc","family_planning_implants_calc","sterilization_yn_calc","child_health_growth_monitor","child_health_measles_immun_calc","child_health_opv_immuization_calc","child_health_dpt_immunization_calc","child_health_tetanus_immun_calc","child_health_hepb_immunization_calc","child_health_bcg_immunization_calc","child_health_yellow_fever_immun_calc","child_health_csm_immunization_calc","vaccines_icepack_calc","equipment_refrigerator","malaria_testing","malaria_treatment_artemisinin","malaria_treatment_sulphadoxine","paid_services_malaria_treatment","medication_anti_malarials","oral_antibiotics_calc","medication_antihistamines","medication_iv_fluid","lab_tests_pregnancy_calc","lab_tests_stool_calc","potable_water_access","improved_sanitation_and_functional","lab_tests_tb_microscopy_calc","tb_treatment_yn","lab_tests_hiv_testing_calc","hiv_treatment_yn","health_no_user_fees","iv_medications_yn","inpatient_care_yn"
"1",7373,"0b3f2588-d750-49c4-b033-838711e4cd63","ibarapa_central","oyo","southwest",284,"1347018231596.jpg","oyo_ibarapa_central","0b3f2588-d750-49c4-b033-838711e4cd63","1347018231596.jpg","7.483813762664795 3.2574087381362915 202.0 4.0","SIX BEDS HOSPITAL","primaryhealthcarecentre",FALSE,NA,NA,TRUE,FALSE,0,TRUE,FALSE,0,0,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2",7374,"92e3209c-d65d-452a-afc7-eb1fd1c5cdd5","ibarapa_central","oyo","southwest",284,"1347032131429.jpg","oyo_ibarapa_central","92e3209c-d65d-452a-afc7-eb1fd1c5cdd5","1347032131429.jpg","7.4444711 3.27805868 192.6999969482422 5.0","Gafsol clinic","primaryhealthclinic",FALSE,NA,NA,TRUE,TRUE,2,NA,FALSE,2,0,0,1,1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,FALSE
"3",7375,"ee5768ae-e98f-4270-bbbb-221fe9c5c17d","ibarapa_central","oyo","southwest",284,"1347180531725.jpg","oyo_ibarapa_central","ee5768ae-e98f-4270-bbbb-221fe9c5c17d","1347180531725.jpg","7.426950931549072 3.291574716567993 185.0 4.0","Aanu oluwa maternity home and child welfare clinic","maternity",TRUE,TRUE,NA,TRUE,TRUE,0,NA,FALSE,0,2,2,0,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"4",7376,"b9b0e978-6f23-4a8c-8079-d33e89e40930","ibarapa_central","oyo","southwest",284,"1347121820203.jpg","oyo_ibarapa_central","b9b0e978-6f23-4a8c-8079-d33e89e40930","1347121820203.jpg","7.4856215715408325 3.3582329750061035 162.0 4.0","Xxx","primaryhealthclinic",FALSE,TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,FALSE,TRUE,TRUE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5",7377,"f2db3d12-14a3-4f5f-99e5-bddd5bae122c","ibarapa_central","oyo","southwest",284,"1347021102556.jpg","oyo_ibarapa_central","f2db3d12-14a3-4f5f-99e5-bddd5bae122c","1347021102556.jpg","7.493378520011902 3.2481712102890015 208.0 4.0","IDERE PHC","maternity",FALSE,TRUE,NA,TRUE,FALSE,1,FALSE,FALSE,1,NA,0,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"6",7378,"b3c34623-cc71-4fd0-912a-eee99a488913","ibarapa_central","oyo","southwest",284,"1347180821115.jpg","oyo_ibarapa_central","b3c34623-cc71-4fd0-912a-eee99a488913","1347180821115.jpg","7.428281307220459 3.289359211921692 185.0 4.0","Dr Andrew pearson memorial medical centre","specialisthospital",TRUE,TRUE,NA,TRUE,TRUE,0,NA,TRUE,0,0,1,1,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"7",7379,"eff297b2-684d-43d5-b06d-3842d68510bd","ibarapa_central","oyo","southwest",284,"1347037619126.jpg","oyo_ibarapa_central","eff297b2-684d-43d5-b06d-3842d68510bd","1347037619126.jpg","7.4539538 3.27622158 195.0 5.0","Olugbon Medical Centre","generalhospital",TRUE,TRUE,NA,TRUE,TRUE,1,NA,TRUE,1,0,1,1,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"8",7380,"05d66877-3cd0-44b9-909d-74666f74f080","ibarapa_central","oyo","southwest",284,"1347108671921.jpg","oyo_ibarapa_central","05d66877-3cd0-44b9-909d-74666f74f080","1347108671921.jpg","7.4265968799591064 3.295024037361145 206.0 4.0","ADURA C/MATERNITY HOME","maternity",TRUE,TRUE,NA,TRUE,TRUE,1,NA,FALSE,1,2,2,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"9",7381,"64e1c77a-103f-450f-9196-64088383173c","ibarapa_central","oyo","southwest",284,"1347017679993.jpg","oyo_ibarapa_central","64e1c77a-103f-450f-9196-64088383173c","1347017679993.jpg","7.478476166725159 3.256797194480896 184.0 4.0","AANU OLUWAPO HOSPITAL IDERE","cottagehospital",TRUE,TRUE,NA,TRUE,TRUE,0,NA,TRUE,0,1,2,3,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"10",7382,"d63a43a1-41c6-48c9-bae4-0675338b2b5b","ibarapa_central","oyo","southwest",284,"1347018317839.jpg","oyo_ibarapa_central","d63a43a1-41c6-48c9-bae4-0675338b2b5b","1347018317839.jpg","7.43639278 3.2862809 188.0 5.0","TBL Unit Sagan-un","primaryhealthclinic",FALSE,NA,NA,TRUE,FALSE,2,FALSE,FALSE,1,0,0,0,0,TRUE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
