"","X","uuid","mylga","mylga_state","mylga_zone","X_lga_id","photo","unique_lga","X_id","formhub_photo_id","gps","facility_name","facility_type","maternal_health_delivery_services_24_7","facility_open_247_yn","essential_meds_stockout","emergency_transport_currently_functioning","skilled_birth_attendant","num_chews_and_chos","power_access_and_functional","comprehensive_obstetrics_yn","num_chews_total","num_nurses_fulltime","num_nursemidwives_fulltime","num_doctors_fulltime","num_lab_techs_fulltime","staff_paid_lastmth_yn","sulpha_and_antenatal","has_itns","medication_iron_tablets","medication_folic_acid","scale_yn","equipment_bp_machine","hiv_tx_srvcs_pmtct_services_calc","lab_tests_hemoglobin_testing_calc","lab_tests_urine_testing_calc","mobile_signal_funct_yn","iv_antibiotics_yn_calc","emoc_vacuum_extractor","emoc_forceps","compr_oc_c_sections","uterotonics_yn_calc","antishock_garment_yn","emoc_parenteral_anticonvulsant","at_least_two_skilled_birth_attendants","at_least_three_skilled_birth_attendants","at_least_four_skilled_birth_attendants","compr_oc_blood_transfusions","condoms_yn","family_planning_pill_calc_calc","family_planning_injectables_calc_calc","family_planning_iud_calc","family_planning_implants_calc","sterilization_yn_calc","child_health_growth_monitor","child_health_measles_immun_calc","child_health_opv_immuization_calc","child_health_dpt_immunization_calc","child_health_tetanus_immun_calc","child_health_hepb_immunization_calc","child_health_bcg_immunization_calc","child_health_yellow_fever_immun_calc","child_health_csm_immunization_calc","vaccines_icepack_calc","equipment_refrigerator","malaria_testing","malaria_treatment_artemisinin","malaria_treatment_sulphadoxine","paid_services_malaria_treatment","medication_anti_malarials","oral_antibiotics_calc","medication_antihistamines","medication_iv_fluid","lab_tests_pregnancy_calc","lab_tests_stool_calc","potable_water_access","improved_sanitation_and_functional","lab_tests_tb_microscopy_calc","tb_treatment_yn","lab_tests_hiv_testing_calc","hiv_treatment_yn","health_no_user_fees","iv_medications_yn","inpatient_care_yn"
"1",9504,"eab6b6cf-8409-4004-be54-d8f8ead91cc8","itesiwaju","oyo","southwest",373,"1337957714017.jpg","oyo_itesiwaju","eab6b6cf-8409-4004-be54-d8f8ead91cc8","1337957714017.jpg","8.13634154 3.50689163 377.70001220703125 5.0","Ipapo  Primary  Health  Centre","primaryhealthcarecentre",FALSE,NA,NA,TRUE,FALSE,2,TRUE,FALSE,2,0,2,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"2",9505,"170e5637-0158-4af6-8f2d-56468d390e61","itesiwaju","oyo","southwest",373,"1338291786855.jpg","oyo_itesiwaju","170e5637-0158-4af6-8f2d-56468d390e61","1338291786855.jpg","8.29275284 3.03114455 315.3999938964844 5.0","PRIMARY HEALTH CARE","primaryhealthcarecentre",TRUE,TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,1,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"3",9506,"c60a911b-ae94-4381-9f74-8c0f84934c46","itesiwaju","oyo","southwest",373,"1338030144255.jpg","oyo_itesiwaju","c60a911b-ae94-4381-9f74-8c0f84934c46","1338030144255.jpg","8.23002559 3.56457592 400.29998779296875 5.0","MATERNITY HEALTH CRNTER, OWODE","primaryhealthclinic",FALSE,FALSE,TRUE,TRUE,FALSE,1,FALSE,FALSE,1,0,0,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"4",9507,"49f07a4f-bc24-4bbe-af49-17c20b298d55","itesiwaju","oyo","southwest",373,"1337830592472.jpg","oyo_itesiwaju","49f07a4f-bc24-4bbe-af49-17c20b298d55","1337830592472.jpg","8.20516771 3.41298217 309.20001220703125 5.0","TBL Clinic","wardmodelphccentre",FALSE,NA,NA,TRUE,FALSE,2,TRUE,FALSE,0,0,0,0,0,TRUE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"5",9508,"58bcf4f1-7233-4fab-8669-3b3e61d3d3ea","itesiwaju","oyo","southwest",373,"1338198638941.jpg","oyo_itesiwaju","58bcf4f1-7233-4fab-8669-3b3e61d3d3ea","1338198638941.jpg","8.23166254 3.23971215 323.8999938964844 5.0","Primary health centre lgbojaye","primaryhealthcarecentre",TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"6",9509,"fb22d143-24d5-4c93-93ce-0e8196ab1ad7","itesiwaju","oyo","southwest",373,"1337951177497.jpg","oyo_itesiwaju","fb22d143-24d5-4c93-93ce-0e8196ab1ad7","1337951177497.jpg","8.12701777 3.52790526 400.5 5.0","GENERAL HOSPITAL, OKE AMU - CHC","comprehensivehealthcentre",FALSE,TRUE,NA,TRUE,FALSE,3,TRUE,FALSE,3,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"7",9510,"bd159435-6142-470a-a472-92cb30a87ec2","itesiwaju","oyo","southwest",373,"1338039600624.jpg","oyo_itesiwaju","bd159435-6142-470a-a472-92cb30a87ec2","1338039600624.jpg","8.28239084 3.5673889 401.8999938964844 5.0","Shepherd Health Center","primaryhealthclinic",TRUE,TRUE,NA,TRUE,FALSE,0,NA,FALSE,0,NA,0,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"8",9511,"db3260d7-4410-41bc-a9cf-cd9d910f03e5","itesiwaju","oyo","southwest",373,"1337947833549.jpg","oyo_itesiwaju","db3260d7-4410-41bc-a9cf-cd9d910f03e5","1337947833549.jpg","8.13993952 3.52281187 405.70001220703125 5.0","Ifelodun  Health Centre Ipapo","primaryhealthcarecentre",TRUE,TRUE,TRUE,TRUE,FALSE,2,TRUE,FALSE,1,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"9",9512,"b6309d62-c49b-416e-9e21-68331b91f283","itesiwaju","oyo","southwest",373,"1337880604388.jpg","oyo_itesiwaju","b6309d62-c49b-416e-9e21-68331b91f283","1337880604388.jpg","8.2201735 3.45424134 317.29998779296875 5.0","General hospital okaka","generalhospital",FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,0,1,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"10",9513,"aa0bb861-3b22-4a11-8407-05271197e39d","itesiwaju","oyo","southwest",373,"1337867130899.jpg","oyo_itesiwaju","aa0bb861-3b22-4a11-8407-05271197e39d","1337867130899.jpg","8.21542037 3.45898067 307.8999938964844 5.0","Primary Health Care centre okaka","primaryhealthcarecentre",TRUE,TRUE,TRUE,TRUE,TRUE,4,TRUE,FALSE,4,0,2,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
