breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,OKE-ABE,,,Stand Alone Water Point,1343299324584.jpg,Yes,8.74396852 4.12770922 408.6000061035156 5.0,False,Olorunsogo,594,594,594.0,,No,1343299324584.jpg,water,Oyo,oyo_olorunsogo,b1de720a-2f6e-47d3-953c-5e2bc93f538c,4,Unimproved Well,water_source,protected_dug_well,b1de720a-2f6e-47d3-953c-5e2bc93f538c,Southwest
Functional,,GBORO,,,Stand Alone Water Point,1343301632206.jpg,Yes,8.74720347 4.13104739 415.20001220703125 5.0,False,Olorunsogo,594,594,594.0,,No,1343301632206.jpg,water,Oyo,oyo_olorunsogo,1e494ddb-d664-465f-a883-977d6c2d7c80,4,Unimproved Well,water_source,protected_dug_well,1e494ddb-d664-465f-a883-977d6c2d7c80,Southwest
Functional,,Oke Ago,,,Stand Alone Water Point,1343295694660.jpg,Yes,8.74768746 4.12731002 419.29998779296875 5.0,False,Olorunsogo,594,594,594.0,,No,1343295694660.jpg,water,Oyo,oyo_olorunsogo,1542e2f7-8555-492c-9846-dcd09c467531,04,Unimproved Well,water_source,protected_dug_well,1542e2f7-8555-492c-9846-dcd09c467531,Southwest
Mechanical Issue,,OKE-AGO,,,"Water Scheme, Source further than 1km",1343296532181.jpg,No,8.74600262 4.12707796 409.6000061035156 5.0,True,Olorunsogo,594,594,594.0,Tap (unknown lift),No,1343296532181.jpg,water,Oyo,oyo_olorunsogo,65dfc763-da97-40f5-b989-d079a8d11dac,4,Tap,outlet,,65dfc763-da97-40f5-b989-d079a8d11dac,Southwest
Under Construction,,Oritamefa,,,Stand Alone Water Point,1343345556773.jpg,No,8.75062669 4.14037777 384.8999938964844 5.0,True,Olorunsogo,594,594,594.0,,No,1343345556773.jpg,water,Oyo,oyo_olorunsogo,7ba17979-37f7-46e6-beab-2479604abcbd,6,Borehole,water_source,borehole_tube_well,7ba17979-37f7-46e6-beab-2479604abcbd,Southwest
Functional,,OKE-AGO,,,Stand Alone Water Point,1343296679580.jpg,Yes,8.74581285 4.12702878 387.5 5.0,False,Olorunsogo,594,594,594.0,,No,1343296679580.jpg,water,Oyo,oyo_olorunsogo,8bf9db67-a1e7-4bf9-8462-4e39015e60c3,4,Unimproved Well,water_source,protected_dug_well,8bf9db67-a1e7-4bf9-8462-4e39015e60c3,Southwest
Functional,,Oke Ago,,,Stand Alone Water Point,1343295515034.jpg,Yes,8.74818054 4.12745449 395.29998779296875 5.0,False,Olorunsogo,594,594,594.0,,No,1343295515034.jpg,water,Oyo,oyo_olorunsogo,79cb5511-0f8c-4f5a-9ea6-4bd17868e5dd,04,Unimproved Well,water_source,protected_dug_well,79cb5511-0f8c-4f5a-9ea6-4bd17868e5dd,Southwest
Poor Water Quality,,ILE BANKI,,,Stand Alone Water Point,1343303800813.jpg,No,8.74754376 4.13202172 398.0 5.0,True,Olorunsogo,594,594,594.0,Diesel,Yes,1343303800813.jpg,water,Oyo,oyo_olorunsogo,b8c1f1b4-a879-4b16-a6f5-88d3a064441e,04,Borehole,water_source,borehole_tube_well,b8c1f1b4-a879-4b16-a6f5-88d3a064441e,Southwest
Functional,,Pakoyi,,,Stand Alone Water Point,1343292969268.jpg,Yes,8.74952894 4.12666718 413.70001220703125 5.0,False,Olorunsogo,594,594,594.0,,No,1343292969268.jpg,water,Oyo,oyo_olorunsogo,235b9505-8e58-4b88-9402-5759540a75f7,08,Unimproved Well,water_source,protected_dug_well,235b9505-8e58-4b88-9402-5759540a75f7,Southwest
Functional,,Ile alabe,,,Stand Alone Water Point,1343349309868.jpg,Yes,8.74622225 4.13617868 391.3999938964844 5.0,False,Olorunsogo,594,594,594.0,Manual,No,1343349309868.jpg,water,Oyo,oyo_olorunsogo,466bf32f-93ab-47f5-9377-071d4aec70e5,3,Unimproved Well,water_source,unprotected_dug_well,466bf32f-93ab-47f5-9377-071d4aec70e5,Southwest
