"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"90322",90322,"2e947dc4-16a1-4dcf-8ecf-6a3c181b23ec","2e947dc4-16a1-4dcf-8ecf-6a3c181b23ec","Orelope","Oyo","Southwest",608,"8.82653193 3.74962119 406.5 5.0","1343388589347.jpg","oyo_orelope","1343388589347.jpg","Tap",NA,NA,"outlet","Asunnara - Modeke","9","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"90323",90323,"7cf614fe-df66-4f04-8c74-7b77c05a44ba","7cf614fe-df66-4f04-8c74-7b77c05a44ba","Orelope","Oyo","Southwest",608,"8.98910905 3.69175705 407.8999938964844 5.0","1343337781127.jpg","oyo_orelope","1343337781127.jpg","Tap",NA,NA,"outlet","Onisile Ajuba","3","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"90324",90324,"59d8a593-d146-475f-955c-f79606e07066","59d8a593-d146-475f-955c-f79606e07066","Orelope","Oyo","Southwest",608,"8.97105898 3.65084738 431.79998779296875 5.0","1343331680148.jpg","oyo_orelope","1343331680148.jpg","Tap",NA,NA,"outlet","Ologede","3","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"90325",90325,"6379a0d5-e395-4e29-8078-c82c23a1dbdc","6379a0d5-e395-4e29-8078-c82c23a1dbdc","Orelope","Oyo","Southwest",608,"8.92644428 3.78230289 455.20001220703125 5.0","1343351561416.jpg","oyo_orelope","1343351561416.jpg","Tap",NA,NA,"outlet","Soro","Ward 3","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"90326",90326,"58c83e08-2be1-4559-b807-884751704e36","58c83e08-2be1-4559-b807-884751704e36","Orelope","Oyo","Southwest",608,"8.83580195 3.75355571 448.20001220703125 5.0","1343386317759.jpg","oyo_orelope","1343386317759.jpg","Tap",NA,NA,"outlet","Modeke","9","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"90327",90327,"c00a00c4-f584-4dc2-990e-19259b34ec10","c00a00c4-f584-4dc2-990e-19259b34ec10","Orelope","Oyo","Southwest",608,"8.97035934 3.64668647 414.0 5.0","1343330614357.jpg","oyo_orelope","1343330614357.jpg","Tap",NA,NA,"outlet","Dongari ologede","3","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"90328",90328,"98aefa04-9a5a-470a-893d-6e9004a80666","98aefa04-9a5a-470a-893d-6e9004a80666","Orelope","Oyo","Southwest",608,"8.84320707 3.76733067 414.8999938964844 5.0","1343498279019.jpg","oyo_orelope","1343498279019.jpg","Borehole",NA,"borehole_tube_well","water_source","Evergree.","2","Yes",NA,"Yes","Functional","No","Stand Alone Water Point"
"90329",90329,"e4a48e13-2144-4cbe-a313-c1684550225e","e4a48e13-2144-4cbe-a313-c1684550225e","Orelope","Oyo","Southwest",608,"8.98663561 3.63617312 434.5 5.0","1343334623008.jpg","oyo_orelope","1343334623008.jpg","Tap",NA,NA,"outlet","Apata Alaje","3","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"90330",90330,"f1a0ec23-0c3f-42de-9bef-dee47c274897","f1a0ec23-0c3f-42de-9bef-dee47c274897","Orelope","Oyo","Southwest",608,"8.88591184 3.63836218 448.6000061035156 5.0","1343381903111.jpg","oyo_orelope","1343381903111.jpg","Tap",NA,NA,"outlet","Oloko","6","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"90331",90331,"3396ac61-345d-4c51-8e31-53ef9526de15","3396ac61-345d-4c51-8e31-53ef9526de15","Orelope","Oyo","Southwest",608,"8.84195653 3.75994626 439.29998779296875 5.0","1343468509959.jpg","oyo_orelope","1343468509959.jpg","Tap",NA,NA,"outlet","Sango","Ward 2","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"90332",90332,"d9847ff1-fbf8-43d9-900a-c6f4612b1137","d9847ff1-fbf8-43d9-900a-c6f4612b1137","Orelope","Oyo","Southwest",608,"8.83736231 3.78094177 410.0 5.0","1343350249217.jpg","oyo_orelope","1343350249217.jpg","Borehole",NA,"borehole_tube_well","water_source","Igbope","5","Yes","Hand Pump","No","Don't Know","No","Stand Alone Water Point"
