antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,526.41231,False,False,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,False,False,False,True,True,phc kolobo,TRUE,primaryhealthcarecentre,False,True,False,True,1345817977220.jpg,7.855326533317566 3.92411470413208 320.0 4.0,False,False,FALSE,False,True,True,False,TRUE,False,True,False,False,False,False,False,False,Oyo,638,638,638.0,False,True,False,True,False,False,False,False,False,False,FALSE,oyo_west,oyo,southwest,1,1,0.0,0.0,2.0,0.0,False,public,,True,1345817977220.jpg,136236,258.800938755,False,False,False,health,True,TRUE,Oyo,False,True,Others,TRUE,oyo_oyo,False,63d12af0-8679-46d8-830e-c264e860785a,False,False,63d12af0-8679-46d8-830e-c264e860785a,Southwest
False,526.41231,False,False,False,True,False,False,False,False,True,True,True,True,,False,FALSE,False,,,True,True,False,True,True,False,,True,LOW COST PHC,TRUE,primaryhealthcarecentre,False,True,False,True,1345288769442.jpg,7.85506983 3.8940688 291.70001220703125 5.0,False,False,FALSE,False,True,False,False,TRUE,True,False,True,False,True,True,False,False,Oyo,638,638,638.0,False,True,True,True,True,False,False,False,False,False,FALSE,oyo_west,oyo,southwest,1,0,0.0,0.0,0.0,0.0,False,public,,True,1345288769442.jpg,136236,258.800938755,True,False,False,health,False,TRUE,Oyo,False,True,Others,FALSE,oyo_oyo,False,d4ee3859-53d3-40b5-bb25-f24e87ff402b,,,d4ee3859-53d3-40b5-bb25-f24e87ff402b,Southwest
False,526.41231,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,False,True,False,True,True,xxx,FALSE,primaryhealthcarecentre,False,,False,,1345895573218.jpg,7.899867296218872 3.783937096595764 253.0 4.0,False,True,FALSE,False,True,True,False,TRUE,True,True,False,False,False,False,False,False,Oyo,638,638,638.0,False,True,True,True,False,False,False,False,False,False,FALSE,oyo_west,oyo,southwest,1,1,1.0,0.0,0.0,0.0,False,public,,False,1345895573218.jpg,136236,258.800938755,,False,False,health,True,TRUE,Oyo,,True,Others,FALSE,oyo_oyo,False,a362e5c5-6e99-4460-9808-718dac4f3e48,False,False,a362e5c5-6e99-4460-9808-718dac4f3e48,Southwest
False,526.41231,True,True,True,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,False,True,False,True,True,Isheke Pri. Health Centre,TRUE,primaryhealthcarecentre,False,True,False,True,1345794288294.jpg,7.83905685 3.91733857 311.6000061035156 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,False,False,False,False,False,False,Oyo,638,638,638.0,False,True,False,True,True,False,False,False,False,False,FALSE,oyo_west,oyo,southwest,2,2,0.0,0.0,4.0,3.0,False,public,,False,1345794288294.jpg,136236,258.800938755,True,False,False,health,True,TRUE,Oyo,True,True,Others,FALSE,oyo_oyo,False,45af8e55-2c8b-412c-921e-550a5e7f4505,False,False,45af8e55-2c8b-412c-921e-550a5e7f4505,Southwest
False,526.41231,False,False,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,False,False,False,True,True,phc kolobo,TRUE,primaryhealthcarecentre,False,True,False,True,1345817977220.jpg,7.855326533317566 3.92411470413208 320.0 4.0,False,False,FALSE,False,True,True,False,TRUE,False,True,False,False,False,False,False,False,Oyo,638,638,638.0,False,True,False,True,False,False,False,False,False,False,FALSE,oyo_west,oyo,southwest,1,1,0.0,0.0,2.0,0.0,False,public,,True,1345817977220.jpg,136236,258.800938755,False,False,False,health,True,TRUE,Oyo,False,True,Others,TRUE,oyo_oyo,False,63d12af0-8679-46d8-830e-c264e860785a,False,False,63d12af0-8679-46d8-830e-c264e860785a,Southwest
False,526.41231,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,0.0259050524224,2.87034489798,False,False,False,,,False,,True,Orowole health center,,primaryhealthclinic,False,,False,,1346043563760.jpg,7.81520252 3.81054678 271.6000061035156 5.0,False,False,FALSE,False,,,False,TRUE,,False,False,False,False,False,False,False,Oyo,638,638,15.0,False,True,True,False,False,False,False,False,False,False,FALSE,oyo_west,oyo,southwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1346043563760.jpg,136236,258.800938755,,False,False,health,False,TRUE,Oyo,,,Others,FALSE,oyo_oyo,False,37f65ecd-0ba5-4d6f-badb-eb706eaaed70,,,37f65ecd-0ba5-4d6f-badb-eb706eaaed70,Southwest
False,526.41231,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,Frlorence  medical  centre.,TRUE,primaryhealthcarecentre,False,,False,,1346153361011.jpg,7.850074768066406 3.9105480909347534 322.0 4.0,False,False,FALSE,False,True,True,False,TRUE,,False,False,False,False,True,False,False,Oyo,638,638,638.0,False,True,False,True,True,False,False,False,False,False,FALSE,oyo_west,oyo,southwest,1,0,1.0,0.0,0.0,0.0,False,public,,True,1346153361011.jpg,136236,258.800938755,True,False,False,health,True,TRUE,Oyo,,True,Others,FALSE,oyo_oyo,False,c79710a1-798a-4cc1-b94d-d8ae3319417b,,,c79710a1-798a-4cc1-b94d-d8ae3319417b,Southwest
False,526.41231,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Isokun Primary health centre,,primaryhealthclinic,False,,False,,1345790415376.jpg,7.84742605 3.92138775 313.8999938964844 5.0,False,False,FALSE,False,True,True,False,FALSE,,False,False,False,False,False,False,False,Oyo,638,638,638.0,False,True,False,False,False,False,False,False,False,False,FALSE,oyo_west,oyo,southwest,2,1,0.0,0.0,0.0,0.0,False,public,,True,1345790415376.jpg,136236,258.800938755,True,False,False,health,False,TRUE,Oyo,,,Others,TRUE,oyo_oyo,False,9910aae9-12e3-4852-b627-ec45a8f46289,,,9910aae9-12e3-4852-b627-ec45a8f46289,Southwest
,526.41231,False,True,True,,,,,,,,,,,False,FALSE,,,,True,True,,True,True,,,,Mogbesola Hospital,TRUE,primaryhealthclinic,,True,,True,1345807569998.jpg,7.8383253 3.9221255 324.70001220703125 5.0,,,,,,,,TRUE,True,,,,,,,,Oyo,638,638,638.0,,False,,True,True,,,,,,,oyo_west,oyo,southwest,2,2,2.0,0.0,2.0,1.0,,,,,1345807569998.jpg,136236,258.800938755,,,,health,True,,Oyo,True,True,Others,TRUE,oyo_oyo,,06b7dca3-eabd-401f-9b90-3eb4b6d5597d,,,06b7dca3-eabd-401f-9b90-3eb4b6d5597d,Southwest
False,526.41231,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Ladigbolu Health Clinic.,FALSE,primaryhealthclinic,False,,False,,1345562513687.jpg,7.81999171 3.91648188 334.6000061035156 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Oyo,638,638,638.0,False,True,False,True,False,False,False,False,False,False,FALSE,oyo_west,oyo,southwest,1,1,1.0,0.0,0.0,0.0,False,public,,True,1345562513687.jpg,136236,258.800938755,True,False,False,health,True,TRUE,Oyo,,,Others,TRUE,oyo_oyo,False,03e54cc2-a60e-4da2-b729-ff62270b2d43,,,03e54cc2-a60e-4da2-b729-ff62270b2d43,Southwest
