"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"93836",93836,"d60f4fdc-a8c4-4e60-ad08-a8649a00c8fe","d60f4fdc-a8c4-4e60-ad08-a8649a00c8fe","Oyo","Oyo","Southwest",638,"7.8444743156433105 3.9172106981277466 340.0 4.0","1300329214318.jpg","oyo_oyo","1300329214318.jpg","Tap",NA,NA,"outlet","Ishokun","6","Yes","Tap (unknown lift)","No","Poorly Constructed","No","Water Scheme, Source within 100m"
"93837",93837,"e9db26c9-017e-43f1-a0c6-86f1d5738ec6","e9db26c9-017e-43f1-a0c6-86f1d5738ec6","Oyo","Oyo","Southwest",638,"7.85036752 3.92017677 323.3999938964844 5.0","1345782224284.jpg","oyo_oyo","1345782224284.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Awumoro","6","No",NA,"No","Poor Water Quality","No","Stand Alone Water Point"
"93838",93838,"6efa4b2d-9dfc-421d-b7fe-3f13b4eec07e","6efa4b2d-9dfc-421d-b7fe-3f13b4eec07e","Oyo","Oyo","Southwest",638,"7.72006773 3.77399808 243.89999389648438 5.0","1345398581586.jpg","oyo_oyo","1345398581586.jpg","Borehole",NA,"borehole_tube_well","water_source","Itosi Village","5","Yes","Hand Pump","No","Dry Well","No","Stand Alone Water Point"
"93839",93839,"2e7b3e45-7098-43cb-a697-c2374ae19ed3","2e7b3e45-7098-43cb-a697-c2374ae19ed3","Oyo","Oyo","Southwest",638,"7.860111594200134 3.8910967111587524 272.0 4.0","1345797172396.jpg","oyo_oyo","1345797172396.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","ojongbodu 2","6","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"93840",93840,"402a71be-05df-409d-b742-3c56976cfece","402a71be-05df-409d-b742-3c56976cfece","Oyo","Oyo","Southwest",638,"7.859129905700684 3.92311692237854 301.0 4.0","1345820469474.jpg","oyo_oyo","1345820469474.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","opapa comm","8","No","Manual","No","Poor Water Quality","No","Stand Alone Water Point"
"93841",93841,"01497198-2b29-4ec1-98e3-315114d502b3","01497198-2b29-4ec1-98e3-315114d502b3","Oyo","Oyo","Southwest",638,"7.85611374 3.92519468 311.20001220703125 5.0","1345799095604.jpg","oyo_oyo","1345799095604.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Fatuke","8","No",NA,"No","Poor Water Quality","No","Stand Alone Water Point"
"93842",93842,"808c4857-da7a-4201-a1bd-8d63bc0a05a0","808c4857-da7a-4201-a1bd-8d63bc0a05a0","Oyo","Oyo","Southwest",638,"7.83658066 3.90994318 330.1000061035156 5.0","1345292906540.jpg","oyo_oyo","1345292906540.jpg","Tap",NA,NA,"outlet","Celestial","6","Yes","Tap (unknown lift)","Yes","Functional","No",NA
"93843",93843,"4b47b79d-dc01-4ebd-bf14-d31ca83166bf","4b47b79d-dc01-4ebd-bf14-d31ca83166bf","Oyo","Oyo","Southwest",638,"7.84916066 3.92144894 307.70001220703125 5.0","1345782970626.jpg","oyo_oyo","1345782970626.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Awumoro","6","No",NA,"No","Poor Water Quality","No","Stand Alone Water Point"
"93844",93844,"ed6ad5cf-11ea-416a-81d6-f0687c9977ec","ed6ad5cf-11ea-416a-81d6-f0687c9977ec","Oyo","Oyo","Southwest",638,"8.07221369 4.17604335 347.70001220703125 5.0","1343643837403.jpg","oyo_oyo","1343643837403.jpg","Unimproved Well",NA,"protected_dug_well","water_source","OWODE","8","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"93845",93845,"1ba7f82f-2a2c-406a-819e-f091d60680b5","1ba7f82f-2a2c-406a-819e-f091d60680b5","Oyo","Oyo","Southwest",638,"7.84424252 3.92237339 329.6000061035156 5.0","1345815739559.jpg","oyo_oyo","1345815739559.jpg","Tap",NA,"borehole_tube_well","water_source","Isheke","4","Yes","Electric","No","Mechanical Issue","No","Stand Alone Water Point"
