"","X","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn"
"1",49911,"f60c1d56-f7ad-43f1-88fe-a4094bec2011","saki_east","oyo","southwest","8.87463317 3.53079846 432.8999938964844 5.0","Muslim Community Primary School Agbonle","preprimary_and_primary","oyo_saki_east",665,"1337937990072.jpg","f60c1d56-f7ad-43f1-88fe-a4094bec2011","preprimary_and_primary","1337937990072.jpg",2,"formal_educ",FALSE,TRUE,3,1,510,1.83453237410072,TRUE,FALSE,63,2.56410256410256,TRUE,FALSE,69.5,FALSE,0,FALSE,FALSE,FALSE,FALSE,46.3333333333333,FALSE,FALSE,TRUE,FALSE,13.9,13.9,139,Inf,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"2",49912,"09ef001a-85d1-401d-a6db-7c7f1a2c1d77","saki_east","oyo","southwest","8.58429729938507 3.5175079107284546 470.0 4.0","Oje Grammar School","junior_and_senior_sec","oyo_saki_east",665,"1337856275791.jpg","09ef001a-85d1-401d-a6db-7c7f1a2c1d77","junior_and_senior_sec","1337856275791.jpg",0,"formal_educ",TRUE,FALSE,NA,NA,0,0,TRUE,FALSE,0,0.646864686468647,FALSE,NA,NA,FALSE,9,FALSE,FALSE,TRUE,FALSE,41.5833333333333,FALSE,FALSE,FALSE,TRUE,4.15833333333333,4.15833333333333,Inf,0,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"3",49913,"8599c527-a5a2-4495-8fec-ed9e3e4c713c","saki_east","oyo","southwest","8.84755419 3.62503783 420.20001220703125 5.0","Community Primary School Budo Apata Ogbooro","preprimary_and_primary","oyo_saki_east",665,"1338036497609.jpg","8599c527-a5a2-4495-8fec-ed9e3e4c713c","preprimary_and_primary","1338036497609.jpg",6,"formal_educ",TRUE,FALSE,0,3,145,0.299586776859504,FALSE,TRUE,52,1.01666666666667,FALSE,NA,NA,FALSE,3,FALSE,FALSE,FALSE,FALSE,161.333333333333,FALSE,FALSE,TRUE,FALSE,24.2,20.1666666666667,80.6666666666667,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4",49914,"def4e35f-3705-4ee6-b224-95d7c56ce077","saki_east","oyo","southwest","8.77230168 3.61240137 427.8999938964844 5.0","ADS I primary School Ogbooro","preprimary_and_primary","oyo_saki_east",665,"1337960827544.jpg","def4e35f-3705-4ee6-b224-95d7c56ce077","preprimary_and_primary","1337960827544.jpg",20,"formal_educ",FALSE,FALSE,7,12,449,0.557071960297767,FALSE,TRUE,51,0.752173913043478,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,89.5555555555556,FALSE,FALSE,FALSE,TRUE,20.15,20.15,40.3,Inf,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5",49915,"869f8900-62fd-45b1-be28-eb185ecbf09f","saki_east","oyo","southwest","8.87299564 3.52346345 417.20001220703125 5.0","Divine Grace Nur Pry school","preprimary_and_primary","oyo_saki_east",665,"1337947533699.jpg","869f8900-62fd-45b1-be28-eb185ecbf09f","preprimary_and_primary","1337947533699.jpg",6,"formal_educ",FALSE,FALSE,0,3,24,0.324324324324324,TRUE,FALSE,20,1.17647058823529,FALSE,NA,NA,FALSE,3,TRUE,FALSE,TRUE,FALSE,12.3333333333333,FALSE,FALSE,FALSE,TRUE,1.85,1.85,12.3333333333333,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"6",49916,"1acd4b13-6f11-4a87-9e82-db38025beb2e","saki_east","oyo","southwest","8.57883095741272 3.5086405277252197 437.0 4.0","PRECIOUS NURSERY, PRIMARY SCHOOL.","preprimary_and_primary","oyo_saki_east",665,"1338030551023.jpg","1acd4b13-6f11-4a87-9e82-db38025beb2e","preprimary_and_primary","1338030551023.jpg",13,"formal_educ",FALSE,FALSE,6,8,28,0.207407407407407,FALSE,TRUE,0,1.25,FALSE,NA,NA,FALSE,4,FALSE,FALSE,TRUE,FALSE,13.5,FALSE,FALSE,FALSE,TRUE,1.6875,1.8,10.3846153846154,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7",49917,"2e1ea863-625e-4d8e-85cc-9960964f8e0d","saki_east","oyo","southwest","8.58930230140686 3.4989148378372192 419.0 4.0","Nawair Nu Deen Pry. Sch. 2","preprimary_and_primary","oyo_saki_east",665,"1337862822409.jpg","2e1ea863-625e-4d8e-85cc-9960964f8e0d","preprimary_and_primary","1337862822409.jpg",20,"formal_educ",FALSE,FALSE,0,15,339,0.537242472266244,TRUE,FALSE,0,1.06885245901639,FALSE,NA,NA,FALSE,3,FALSE,FALSE,TRUE,FALSE,90.1428571428571,FALSE,FALSE,FALSE,TRUE,7.8875,6.00952380952381,31.55,Inf,8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"8",49918,"3cf4a4e7-042a-485e-a553-26b171753354","saki_east","oyo","southwest","8.5621436 3.607189 402.8999938964844 5.0","Community Pry Sch","preprimary_and_primary","oyo_saki_east",665,"1338027374546.jpg","3cf4a4e7-042a-485e-a553-26b171753354","preprimary_and_primary","1338027374546.jpg",2,"formal_educ",FALSE,FALSE,0,2,36,0.161434977578475,FALSE,TRUE,0,0.39375,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,74.3333333333333,TRUE,FALSE,TRUE,TRUE,44.6,44.6,111.5,Inf,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9",49919,"05a2f64e-72fd-42b2-868a-69dab3ab2b84","saki_east","oyo","southwest","8.578219413757324 3.5036730766296387 449.0 4.0","Community Primary Schoool Okeola oje Owode","preprimary_and_primary","oyo_saki_east",665,"1337858500077.jpg","05a2f64e-72fd-42b2-868a-69dab3ab2b84","preprimary_and_primary","1337858500077.jpg",28,"formal_educ",FALSE,FALSE,6,21,621,0.664882226980728,TRUE,TRUE,0,0.910020449897751,FALSE,NA,NA,FALSE,4,FALSE,FALSE,FALSE,FALSE,93.4,FALSE,FALSE,FALSE,TRUE,23.35,23.35,33.3571428571429,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"10",49920,"ffaffe9d-8ffa-4f6a-a755-0899a4e005ad","saki_east","oyo","southwest","8.583481907844543 3.494124412536621 450.0 4.0","BAPTIST PRIMARY SCHOOL","primary_only","oyo_saki_east",665,"1337857435233.jpg","ffaffe9d-8ffa-4f6a-a755-0899a4e005ad","primary_only","1337857435233.jpg",24,"formal_educ",FALSE,FALSE,5,20,NA,NA,TRUE,TRUE,0,1.08150470219436,FALSE,NA,NA,FALSE,5,FALSE,FALSE,FALSE,FALSE,66.4,FALSE,FALSE,FALSE,FALSE,3.32,4.42666666666667,27.6666666666667,Inf,15,NA,NA,FALSE,FALSE,TRUE,FALSE
"11",49921,"3b683154-6552-4088-89a6-c1b83ca07e4c","saki_east","oyo","southwest","8.87991078 3.57997892 510.6000061035156 5.0","Migrant Farmers Primary School Aba Ilado Agbonle","preprimary_and_primary","oyo_saki_east",665,"1337865570766.jpg","3b683154-6552-4088-89a6-c1b83ca07e4c","preprimary_and_primary","1337865570766.jpg",2,"formal_educ",FALSE,FALSE,1,1,75,0.295275590551181,TRUE,TRUE,65,0.5875,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,254,TRUE,FALSE,TRUE,TRUE,8.46666666666667,25.4,127,Inf,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"12",49922,"92598b25-901e-4252-bf90-eebd48f5b8a8","saki_east","oyo","southwest","8.72429542 3.60600915 421.0 5.0","Migrant Farmers Primary School Yikiyiki Ogbooro","preprimary_and_primary","oyo_saki_east",665,"1338025876792.jpg","92598b25-901e-4252-bf90-eebd48f5b8a8","preprimary_and_primary","1338025876792.jpg",2,"formal_educ",TRUE,FALSE,3,1,74,0.265232974910394,FALSE,TRUE,0,1.325,FALSE,NA,NA,FALSE,3,FALSE,FALSE,FALSE,FALSE,46.5,FALSE,FALSE,TRUE,FALSE,27.9,Inf,139.5,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
