antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,1681.848926,False,False,False,True,True,True,False,True,True,True,True,False,,False,FALSE,False,,,False,True,False,,,False,,True,PHC Mokotong,,healthpostdispensary,False,True,False,True,1344004915792.jpg,9.11860207 8.92218517 1107.199951171875 5.0,False,True,FALSE,False,,,False,TRUE,,False,False,False,False,False,False,False,Bokkos,84,84,84.0,False,True,True,False,False,False,False,False,False,False,FALSE,bokkos,plateau,north_central,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1344004915792.jpg,178454,106.105844135,False,False,False,health,False,FALSE,Plateau,False,,Others,FALSE,plateau_bokkos,False,f82dcb2c-0eaa-426f-b145-5ffc6db3f92a,,,f82dcb2c-0eaa-426f-b145-5ffc6db3f92a,North-Central
False,1681.848926,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Phc butura kampani,TRUE,primaryhealthclinic,False,True,False,True,1344083614985.jpg,9.33640145 8.93405027 1388.5 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,True,True,False,False,Bokkos,84,84,84.0,False,True,True,True,False,False,False,False,False,False,FALSE,bokkos,plateau,north_central,4,4,0.0,1.0,0.0,0.0,False,public,False,False,1344083614985.jpg,178454,106.105844135,True,False,False,health,False,FALSE,Plateau,False,True,Others,FALSE,plateau_bokkos,False,df594333-3401-4aee-a506-93d61a7a5528,,,df594333-3401-4aee-a506-93d61a7a5528,North-Central
False,1681.848926,False,False,False,True,False,True,False,False,True,True,False,False,,False,FALSE,False,,,False,True,False,True,False,False,,True,Primary Health care Njukudel.,TRUE,primaryhealthcarecentre,False,True,False,True,1344096667425.jpg,9.27929035 8.99555275 1360.0 5.0,False,True,FALSE,False,,,False,FALSE,True,False,False,False,True,True,False,False,Bokkos,84,84,84.0,False,True,False,True,False,False,False,False,False,False,FALSE,bokkos,plateau,north_central,2,2,0.0,0.0,0.0,0.0,False,public,,False,1344096667425.jpg,178454,106.105844135,,False,False,health,False,FALSE,Plateau,False,False,Others,FALSE,plateau_bokkos,False,4969a6dd-227d-4ef2-9721-5ff123168afc,,,4969a6dd-227d-4ef2-9721-5ff123168afc,North-Central
False,1681.848926,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,False,False,,True,PHC Manguna,TRUE,primaryhealthcarecentre,False,True,False,True,1343905765605.jpg,9.3309965 8.808698 1383.199951171875 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Bokkos,84,84,84.0,False,False,False,True,True,False,False,False,False,False,FALSE,bokkos,plateau,north_central,5,4,0.0,1.0,2.0,0.0,False,public,False,False,1343905765605.jpg,178454,106.105844135,False,False,False,health,False,TRUE,Plateau,False,True,Others,FALSE,plateau_bokkos,False,32060646-1e74-4442-bc14-6ef962a20f5e,,,32060646-1e74-4442-bc14-6ef962a20f5e,North-Central
False,1681.848926,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Phc sha,TRUE,primaryhealthclinic,False,False,False,True,1343749692299.jpg,9.1992752 8.77697476 1268.0 5.0,False,True,FALSE,False,True,True,False,TRUE,,True,True,False,True,True,False,False,Bokkos,84,84,84.0,False,True,False,True,False,False,False,False,False,False,FALSE,bokkos,plateau,north_central,2,2,0.0,1.0,1.0,0.0,False,public,False,False,1343749692299.jpg,178454,106.105844135,True,False,False,health,True,FALSE,Plateau,False,True,Others,FALSE,plateau_bokkos,False,2e14befa-93d6-45e8-ae67-a40282b68fe5,,,2e14befa-93d6-45e8-ae67-a40282b68fe5,North-Central
False,1681.848926,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Xxx,TRUE,healthpostdispensary,False,True,False,True,1344272302483.jpg,9.31112181 9.02215142 1379.5 5.0,False,True,FALSE,False,,,False,FALSE,,True,False,False,False,False,False,False,Bokkos,84,84,84.0,False,True,True,True,False,False,False,False,False,False,FALSE,bokkos,plateau,north_central,3,3,0.0,0.0,0.0,0.0,False,public,False,False,1344272302483.jpg,178454,106.105844135,,False,False,health,False,FALSE,Plateau,False,True,Others,FALSE,plateau_bokkos,False,69502f6a-745d-4c1f-9107-67fd2fa6e3e9,,,69502f6a-745d-4c1f-9107-67fd2fa6e3e9,North-Central
False,1681.848926,False,False,False,True,False,True,False,False,True,True,False,False,,False,FALSE,False,,,False,True,False,True,False,False,,True,Primary health care Mandarken.,FALSE,primaryhealthcarecentre,False,False,False,True,1344098367073.jpg,9.27249876 8.97739385 1380.5 5.0,False,True,FALSE,False,,,False,FALSE,True,False,False,False,True,True,False,False,Bokkos,84,84,84.0,False,False,False,True,False,False,False,False,False,False,FALSE,bokkos,plateau,north_central,2,1,0.0,0.0,0.0,0.0,False,public,,False,1344098367073.jpg,178454,106.105844135,,False,False,health,False,FALSE,Plateau,False,True,Others,FALSE,plateau_bokkos,False,5c374580-fb8a-4865-9cae-3465d6c0f057,,,5c374580-fb8a-4865-9cae-3465d6c0f057,North-Central
False,1681.848926,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Phc magi mbar,,primaryhealthclinic,False,True,False,True,1343985976726.jpg,9.22758511 8.91311021 1341.5 5.0,False,True,FALSE,False,,,False,FALSE,,True,False,False,False,False,False,False,Bokkos,84,84,84.0,False,True,True,False,False,False,False,False,False,False,FALSE,bokkos,plateau,north_central,3,3,0.0,0.0,0.0,0.0,False,public,False,False,1343985976726.jpg,178454,106.105844135,True,False,False,health,False,FALSE,Plateau,False,True,Others,FALSE,plateau_bokkos,False,12129dce-faf5-41d3-833b-9f6b305f9afe,,,12129dce-faf5-41d3-833b-9f6b305f9afe,North-Central
False,1681.848926,False,False,False,True,False,False,False,False,True,True,False,True,,False,FALSE,False,,,False,True,False,,,False,False,True,PHC Bot,TRUE,primaryhealthclinic,False,True,False,True,1344080078177.jpg,9.31402162 9.0273848 1371.199951171875 5.0,False,True,FALSE,False,True,True,False,TRUE,,True,False,False,True,True,False,False,Bokkos,84,84,84.0,False,True,True,True,True,False,False,False,False,False,FALSE,bokkos,plateau,north_central,2,2,0.0,0.0,1.0,1.0,False,public,False,False,1344080078177.jpg,178454,106.105844135,,False,False,health,True,FALSE,Plateau,False,True,Others,FALSE,plateau_bokkos,False,9a2dd6dd-feaf-4569-bc14-5c427ba42d14,False,False,9a2dd6dd-feaf-4569-bc14-5c427ba42d14,North-Central
False,1681.848926,True,True,True,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,True,False,False,,True,PHC Richa,TRUE,primaryhealthclinic,False,True,False,True,1343740018609.jpg,9.12384105 8.87173297 1075.800048828125 5.0,False,True,FALSE,False,,,False,TRUE,True,True,True,False,True,True,False,False,Bokkos,84,84,84.0,False,True,False,True,True,False,False,False,False,False,FALSE,bokkos,plateau,north_central,0,0,0.0,0.0,4.0,0.0,False,public,False,False,1343740018609.jpg,178454,106.105844135,True,False,False,health,True,TRUE,Plateau,False,True,Others,TRUE,plateau_bokkos,False,f5855ac6-2f6f-47b6-832e-071d1e608a74,,,f5855ac6-2f6f-47b6-832e-071d1e608a74,North-Central
False,1681.848926,False,False,False,True,False,True,False,False,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,True,True,"PHC Referral Centre, Goro, Daffo",TRUE,primaryhealthclinic,False,True,False,True,1343843469926.jpg,9.20143363 8.83381613 1333.4000244140625 5.0,False,True,FALSE,False,,,False,TRUE,,True,True,False,True,True,False,False,Bokkos,84,84,84.0,False,True,False,True,True,False,False,False,False,False,FALSE,bokkos,plateau,north_central,3,3,0.0,1.0,1.0,0.0,False,public,False,False,1343843469926.jpg,178454,106.105844135,False,False,False,health,False,FALSE,Plateau,False,,Others,TRUE,plateau_bokkos,False,c3608e24-b1e3-4978-bda9-fb9930b51728,False,False,c3608e24-b1e3-4978-bda9-fb9930b51728,North-Central
