antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,739.0941768,False,False,False,True,True,True,True,True,True,True,True,True,,,no,,,,,False,,,,False,False,False,PHC Pangkai,yes,primaryhealthcarecentre,False,True,False,True,1305200292088.jpg,8.968738317489624 9.740307927131653 279.0 4.0,True,True,no,False,False,False,False,no,,True,False,False,False,False,False,False,Mikang,501,501,501.0,False,False,False,False,False,True,True,True,True,True,yes,MIKANG,plateau,north_central,3,3,0.0,0.0,0.0,0.0,True,public,False,False,1305200292088.jpg,97411,131.797818272,False,False,True,health,False,no,Plateau,False,False,113,no,plateau_mikang,False,caf5556ab21c30f7079e40d277c3254f,,True,7629,North-Central
False,739.0941768,False,False,False,False,False,False,,False,False,False,False,False,,,no,,,,,False,,,,False,False,False,PHC PANGPIT,no,primaryhealthclinic,False,True,False,False,1305620671769.jpg,8.966732025146484 9.51714277267456 289.0 4.0,False,True,no,,False,False,False,no,,,False,False,False,False,False,False,Mikang,501,501,501.0,False,False,False,False,False,True,True,True,False,False,,MIKANG,plateau,north_central,3,3,0.0,0.0,0.0,0.0,True,public,True,False,1305620671769.jpg,97411,131.797818272,False,False,,health,False,yes,Plateau,False,False,113,no,plateau_mikang,False,9b769f5056ccd6671be0ae9dddb3b788,,False,11959,North-Central
False,739.0941768,False,False,False,False,False,False,False,False,False,False,False,False,False,False,yes,,,,,,,,,True,False,True,Kopji Medical Clinic,yes,primaryhealthclinic,False,True,True,True,1305047615430.jpg,9.015360474586487 9.485127925872803 298.0 4.0,False,True,no,,False,False,False,yes,,True,False,False,False,False,False,False,Mikang,501,501,501.0,False,False,True,False,False,True,True,True,True,True,,MIKANG,plateau,north_central,5,5,0.0,0.0,0.0,0.0,True,private,True,False,1305047615430.jpg,97411,131.797818272,True,False,True,health,False,no,Plateau,False,True,113,no,plateau_mikang,True,229bb57a7b46e75b1367f4681687a49c,,False,7262,North-Central
False,739.0941768,False,False,False,False,False,False,,False,False,False,False,False,,,no,,,,,False,,,,False,False,,Model PHC: yet to be commissioned,no,primaryhealthcarecentre,False,False,False,False,1305126981853.jpg,9.028337001800537 9.490465521812439 311.0 4.0,False,False,no,False,True,True,True,no,,,False,False,False,False,False,False,Mikang,501,501,501.0,False,,,False,False,False,False,False,False,False,,MIKANG,plateau,north_central,0,0,0.0,0.0,0.0,0.0,False,public,False,False,1305126981853.jpg,97411,131.797818272,True,False,,health,False,no,Plateau,False,False,113,no,plateau_mikang,False,69957b03a410c3cfd2bc2b968b18f07f,,False,7304,North-Central
False,739.0941768,False,False,False,False,False,False,,False,False,False,False,False,,,no,,0.00960170615205,1.0621584986,,False,,,,False,False,,PHC,no,primaryhealthclinic,False,False,False,False,1305059514172.jpg,9.092114567756653 9.73614513874054 354.0 4.0,False,False,no,False,True,True,True,no,,,False,False,False,False,False,False,Mikang,501,501,463.0,False,,,False,False,False,False,False,False,False,,MIKANG,plateau,north_central,0,0,0.0,0.0,0.0,0.0,False,public,False,False,1305059514172.jpg,97411,131.797818272,True,False,,health,False,no,Plateau,False,False,113,no,plateau_mikang,False,512eb9cbbf6f117f4eb71fff3227ec59,,False,7162,North-Central
False,739.0941768,False,False,False,True,False,True,True,True,True,True,True,True,,,no,,0.00746888179363,0.82623342258,,False,,,,False,False,True,PHC Nwoop,yes,primaryhealthcarecentre,False,True,False,False,1305278468655.jpg,9.082421064376831 9.404484629631042 346.0 4.0,True,True,no,,False,False,True,no,,,False,False,False,False,False,False,Mikang,501,501,642.0,False,False,False,False,False,True,False,True,True,False,yes,MIKANG,plateau,north_central,3,3,0.0,0.0,0.0,0.0,True,public,True,False,1305278468655.jpg,97411,131.797818272,True,False,False,health,False,yes,Plateau,False,False,113,no,plateau_mikang,False,954e390825b6071af2e63769b24eab61,,True,8234,North-Central
False,739.0941768,False,False,False,False,False,False,,False,False,False,False,False,,,no,,0.00536727380151,0.593830642528,,False,,,,False,False,,Model PHC; yet to be commissioned,no,primaryhealthcarecentre,False,False,False,False,1305208139787.jpg,8.979499340057373 9.41853940486908 275.0 4.0,False,False,no,False,False,False,False,no,,,False,False,False,False,False,False,Mikang,501,501,677.0,False,,,False,False,False,False,False,False,False,,MIKANG,plateau,north_central,0,0,0.0,0.0,0.0,0.0,False,public,False,False,1305208139787.jpg,97411,131.797818272,True,False,,health,False,no,Plateau,False,False,113,no,plateau_mikang,False,72ec7c694c0d556ec6f38a375acb815f,,False,7682,North-Central
False,739.0941768,False,False,False,False,False,False,False,False,False,False,False,False,,,no,,,,False,True,True,True,False,True,False,False,St. More Medical Dispensary Piapung,yes,dispensary,False,True,False,False,1305034461289.jpg,9.024844765663147 9.484655857086182 309.0 4.0,False,True,no,,True,False,True,yes,True,True,False,False,False,False,False,False,Mikang,501,501,501.0,False,True,True,True,True,True,True,True,True,True,yes,MIKANG,plateau,north_central,3,3,0.0,0.0,0.0,0.0,True,private,True,False,1305034461289.jpg,97411,131.797818272,False,False,True,health,False,yes,Plateau,False,True,113,no,plateau_mikang,True,64b0c6a3ae7698efef3d735888aebed4,,False,7225,North-Central
False,739.0941768,False,False,False,False,False,False,,False,False,False,False,False,,,no,,,,,False,,,,False,False,,PHC Kila,no,primaryhealthclinic,False,False,False,False,1305028166632.jpg,8.93189549446106 9.807599186897278 233.0 4.0,False,False,no,False,True,True,False,no,,,False,False,False,False,False,False,Mikang,501,501,501.0,False,,,False,False,False,False,False,False,False,,MIKANG,plateau,north_central,0,0,0.0,0.0,0.0,0.0,False,public,False,False,1305028166632.jpg,97411,131.797818272,False,False,,health,False,no,Plateau,False,False,113,no,plateau_mikang,False,1a4b0a0f6b913ffb8e85ef6bcd73c9c3,,False,6860,North-Central
False,739.0941768,False,False,False,True,True,True,False,True,True,True,True,True,,,no,False,,,,False,True,False,False,True,False,True,PHC LAMER,yes,primaryhealthclinic,False,False,False,False,1305200900132.jpg,9.033658504486084 9.422487616539001 315.0 4.0,False,True,yes,False,False,False,True,no,True,True,False,False,False,False,False,False,Mikang,501,501,501.0,False,False,False,True,True,True,True,True,True,True,yes,MIKANG,plateau,north_central,4,4,0.0,0.0,0.0,0.0,True,public,False,False,1305200900132.jpg,97411,131.797818272,False,False,False,health,False,yes,Plateau,False,False,113,no,plateau_mikang,True,5671b1c57729e05b60ff313d1824de91,,True,7557,North-Central
