"","X","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn"
"1",47849,"eb968f4a-a4f2-4afa-852a-f9292a28a608","pankshin","plateau","north_central","9.13129776 9.49097116 446.3999938964844 5.0","Central Primary School Tal","primary_only","plateau_pankshin",642,"1343737720112.jpg","eb968f4a-a4f2-4afa-852a-f9292a28a608","primary_only","1343737720112.jpg",7,"formal_educ",TRUE,FALSE,5,6,NA,NA,TRUE,FALSE,0,1.46666666666667,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,46.25,TRUE,FALSE,TRUE,FALSE,Inf,Inf,52.8571428571429,Inf,5,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"2",47850,"934ed48b-bcf4-4bdc-8923-7fbea6a2e03b","pankshin","plateau","north_central","9.50433284 9.37029811 1239.5999755859375 5.0","Brainfield academy","junior_and_senior_sec","plateau_pankshin",642,"1343840149437.jpg","934ed48b-bcf4-4bdc-8923-7fbea6a2e03b","junior_and_senior_sec","1343840149437.jpg",10,"formal_educ",FALSE,FALSE,4,10,22,0.191304347826087,TRUE,FALSE,0,0.769230769230769,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,19.1666666666667,FALSE,FALSE,FALSE,FALSE,5.75,5.75,11.5,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3",47851,"4cf3ede1-a359-460e-973e-38a68f5f2996","pankshin","plateau","north_central","9.32758139 9.4270827 1257.800048828125 5.0","Modern nusery and primary sch.","preprimary_only","plateau_pankshin",642,"1344268025613.jpg","4cf3ede1-a359-460e-973e-38a68f5f2996","preprimary_only","1344268025613.jpg",10,"formal_educ",TRUE,TRUE,7,9,0,0,FALSE,FALSE,5,0.739130434782609,FALSE,FALSE,200,FALSE,3,FALSE,FALSE,TRUE,FALSE,20,FALSE,FALSE,FALSE,TRUE,6.66666666666667,1.66666666666667,20,Inf,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"4",47852,"02459db3-251f-470c-bba4-153746203e04","pankshin","plateau","north_central","9.50433284 9.37029811 1239.5999755859375 5.0","Brainfield academy","junior_and_senior_sec","plateau_pankshin",642,"1343840149437.jpg","02459db3-251f-470c-bba4-153746203e04","junior_and_senior_sec","1343840149437.jpg",10,"formal_educ",FALSE,FALSE,4,10,22,0.191304347826087,TRUE,FALSE,0,0.769230769230769,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,19.1666666666667,FALSE,FALSE,FALSE,FALSE,5.75,5.75,11.5,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5",47853,"822335d8-8dcd-4882-badd-dba203e951a9","pankshin","plateau","north_central","9.10941052 9.39327847 386.70001220703125 5.0","LEA kamshar","primary_only","plateau_pankshin",642,"1343990479249.jpg","822335d8-8dcd-4882-badd-dba203e951a9","primary_only","1343990479249.jpg",6,"formal_educ",FALSE,FALSE,3,5,NA,NA,TRUE,TRUE,0,0.893333333333333,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,47.3333333333333,TRUE,FALSE,TRUE,FALSE,Inf,Inf,23.6666666666667,Inf,6,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"6",47854,"e28e4f94-2cc5-4ebb-8f04-a759aa821204","pankshin","plateau","north_central","9.33538726 9.42792752 1250.300048828125 5.0","Govt. College pankshin","junior_and_senior_sec","plateau_pankshin",642,"1344262312043.jpg","e28e4f94-2cc5-4ebb-8f04-a759aa821204","junior_and_senior_sec","1344262312043.jpg",29,"formal_educ",FALSE,FALSE,8,15,200,0.66006600660066,TRUE,FALSE,0,Inf,TRUE,FALSE,30.3,TRUE,6,FALSE,TRUE,FALSE,FALSE,21.6428571428571,FALSE,FALSE,FALSE,FALSE,10.1,6.06,10.448275862069,14.5,8,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"7",47855,"0b8c32f2-72ce-4215-8cf9-566475ba11bf","pankshin","plateau","north_central","9.21564248 9.2763415 852.9000244140625 5.0","LGEA Tilengdyes","primary_only","plateau_pankshin",642,"1343910821808.jpg","0b8c32f2-72ce-4215-8cf9-566475ba11bf","primary_only","1343910821808.jpg",0,"formal_educ",FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,1.24358974358974,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,29.1666666666667,FALSE,FALSE,FALSE,TRUE,Inf,Inf,Inf,NA,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"8",47856,"8dbb6dbf-68da-4a5f-9f22-574b2a1a126e","pankshin","plateau","north_central","9.219557046890259 9.353769421577454 474.0 4.0","LEA Pri Sch Mhinzam","primary_only","plateau_pankshin",642,"1343742295596.jpg","8dbb6dbf-68da-4a5f-9f22-574b2a1a126e","primary_only","1343742295596.jpg",0,"formal_educ",TRUE,FALSE,4,0,0,NA,TRUE,TRUE,NA,NA,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"9",47857,"90bd124a-83c4-4b4e-bf82-a81d141e6b5a","pankshin","plateau","north_central","9.39216625 9.47105881 879.5999755859375 5.0","Jesuit private primary sch","preprimary_and_primary","plateau_pankshin",642,"1343994156984.jpg","90bd124a-83c4-4b4e-bf82-a81d141e6b5a","preprimary_and_primary","1343994156984.jpg",3,"formal_educ",FALSE,FALSE,2,2,48,0.533333333333333,FALSE,FALSE,0,0.636363636363636,FALSE,NA,NA,FALSE,4,FALSE,FALSE,FALSE,FALSE,15,FALSE,FALSE,FALSE,TRUE,9,9,30,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10",47858,"d8c48eba-8eec-4cdc-8be7-08c9f885a567","pankshin","plateau","north_central","9.45371261 9.3678162 1168.9000244140625 5.0","Ekan transfer primary sch takkas","primary_only","plateau_pankshin",642,"1343902472675.jpg","d8c48eba-8eec-4cdc-8be7-08c9f885a567","primary_only","1343902472675.jpg",5,"formal_educ",FALSE,FALSE,4,4,NA,NA,FALSE,TRUE,0,1.4,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,17.1428571428571,FALSE,FALSE,FALSE,FALSE,12,12,24,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
