"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"94941",94941,"f8291c5a-9cdd-44f6-b34f-77f95b844211","f8291c5a-9cdd-44f6-b34f-77f95b844211","Pankshin","Plateau","North-Central",642,"9.259650707244873 9.280920624732971 939.0 4.0","1343922244820.jpg","plateau_pankshin","1343922244820.jpg","Rainwater Harvesting System","rainwater","rainwater_harvesting_scheme","water_source","Abwor Dyis","Jibilik","Yes",NA,"Yes","Functional","No","Stand Alone Water Point"
"94942",94942,"028ce1f0-6beb-4201-8efb-76d71f989bf4","028ce1f0-6beb-4201-8efb-76d71f989bf4","Pankshin","Plateau","North-Central",642,"9.47260394 9.32560951 1169.699951171875 5.0","1343908287345.jpg","plateau_pankshin","1343908287345.jpg","Handpump","handpump","borehole_tube_well","water_source"," Wishna","Kadung","Yes","Hand Pump","No","Poorly Constructed","No","Stand Alone Water Point"
"94943",94943,"22eb058f-7e9b-4f06-90f0-fcbc81199acd","22eb058f-7e9b-4f06-90f0-fcbc81199acd","Pankshin","Plateau","North-Central",642,"9.34253691 9.429465 1226.9000244140625 5.0","1344260563170.jpg","plateau_pankshin","1344260563170.jpg","Handpump","handpump",NA,"outlet","Fwor","Pankshin central","Yes","Hand Pump","Yes","Functional","No","Water Scheme, Source within 100m"
"94944",94944,"b71833e5-4d8a-4e69-82a8-84ef40f46c94","b71833e5-4d8a-4e69-82a8-84ef40f46c94","Pankshin","Plateau","North-Central",642,"9.495072 9.30696276 1132.9000244140625 5.0","1343914103156.jpg","plateau_pankshin","1343914103156.jpg","Handpump","handpump","borehole_tube_well","water_source","Tinjim","Kanshu","Yes","Hand Pump","No","Poorly Constructed","No","Stand Alone Water Point"
"94945",94945,"2f310ffd-4808-44b4-bb07-f15521dfbdaf","2f310ffd-4808-44b4-bb07-f15521dfbdaf","Pankshin","Plateau","North-Central",642,"9.20558227 9.68712927 538.0 5.0","1343743636129.jpg","plateau_pankshin","1343743636129.jpg","Handpump","handpump","borehole_tube_well","water_source","Bwer","Pie","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"94946",94946,"9c4bfeef-981f-4cca-946a-b49bb28a252f","9c4bfeef-981f-4cca-946a-b49bb28a252f","Pankshin","Plateau","North-Central",642,"9.51811252 9.30320239 1113.9000244140625 5.0","1343915838100.jpg","plateau_pankshin","1343915838100.jpg","Handpump","handpump","borehole_tube_well","water_source","Kwangka","Kanshu","Yes","Hand Pump","No","Poorly Constructed","No","Stand Alone Water Point"
"94947",94947,"509c4a5d-940e-45d0-a00c-02644328b062","509c4a5d-940e-45d0-a00c-02644328b062","Pankshin","Plateau","North-Central",642,"9.39139506 9.47112159 874.5 5.0","1343994595863.jpg","plateau_pankshin","1343994595863.jpg","Handpump","handpump","borehole_tube_well","water_source","Ballang shipang","Wuchenbe","Yes","Hand Pump","No","Poorly Constructed","No","Stand Alone Water Point"
"94948",94948,"2e1fe9d8-39a5-43df-bca2-bdc81eed6fee","2e1fe9d8-39a5-43df-bca2-bdc81eed6fee","Pankshin","Plateau","North-Central",642,"9.32772895 9.42877904 1259.0999755859375 5.0","1344262013829.jpg","plateau_pankshin","1344262013829.jpg","Handpump","handpump",NA,"dk","Pankshin","Pankshin Central","Yes","Hand Pump","Yes","Functional","No",NA
"94949",94949,"e41473e6-fa78-4f15-9a77-d3ff28473e12","e41473e6-fa78-4f15-9a77-d3ff28473e12","Pankshin","Plateau","North-Central",642,"9.22872657 9.26524474 968.7000122070313 5.0","1343916773648.jpg","plateau_pankshin","1343916773648.jpg","Unimproved Well","unimproved ","protected_dug_well","water_source","Kagu","Jiblik","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"94950",94950,"3055326f-2430-41ea-ba4a-710d1b1b808a","3055326f-2430-41ea-ba4a-710d1b1b808a","Pankshin","Plateau","North-Central",642,"9.33311939 9.41355677 1245.5999755859375 5.0","1344335016545.jpg","plateau_pankshin","1344335016545.jpg","Unimproved Well","unimproved ","protected_dug_well","water_source","Duk","Pankshin Central","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"94951",94951,"8a283ecd-eb3a-434e-b994-d4e3a3f4a0ac","8a283ecd-eb3a-434e-b994-d4e3a3f4a0ac","Pankshin","Plateau","North-Central",642,"9.36152741 9.52220939 848.0999755859375 5.0","1344000313404.jpg","plateau_pankshin","1344000313404.jpg","Handpump","handpump","borehole_tube_well","water_source","Kubum","Wuchenbe","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"94952",94952,"c7cf5e7a-a25c-45f4-a835-a27b6d2a5bd6","c7cf5e7a-a25c-45f4-a835-a27b6d2a5bd6","Pankshin","Plateau","North-Central",642,"9.189494848251343 9.381406903266907 457.0 4.0","1343733560340.jpg","plateau_pankshin","1343733560340.jpg","Handpump","handpump","borehole_tube_well","water_source","Kwalla","Chip","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"94953",94953,"7a76828d-88a1-486a-b46e-f784eb6f731a","7a76828d-88a1-486a-b46e-f784eb6f731a","Pankshin","Plateau","North-Central",642,"9.145694375038147 9.355748891830444 412.0 4.0","1343834403707.jpg","plateau_pankshin","1343834403707.jpg","Handpump","handpump","borehole_tube_well","water_source","Longkat","Chip","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"94954",94954,"5a080e09-5577-4c50-b1b0-622b6c30ce3b","5a080e09-5577-4c50-b1b0-622b6c30ce3b","Pankshin","Plateau","North-Central",642,"9.4018185 9.52080619 789.4000244140625 5.0","1344002234843.jpg","plateau_pankshin","1344002234843.jpg","Handpump","handpump","borehole_tube_well","water_source","Som","Wuseli","Yes","Hand Pump","No","Poorly Constructed","No","Stand Alone Water Point"
"94955",94955,"67885741-15f1-43a6-9a5a-5e5bae926da4","67885741-15f1-43a6-9a5a-5e5bae926da4","Pankshin","Plateau","North-Central",642,"9.37051463 9.45138898 1062.4000244140625 5.0","1343998752237.jpg","plateau_pankshin","1343998752237.jpg","Handpump","handpump",NA,"outlet","Ballang Kalep","Wuchenbe","Yes","Hand Pump","Yes","Functional","No","Water Scheme, Source within 100m"
"94956",94956,"935264ec-881b-41ba-872d-c3188805718d","935264ec-881b-41ba-872d-c3188805718d","Pankshin","Plateau","North-Central",642,"9.34505531 9.4452637 1151.4000244140625 5.0","1344096036781.jpg","plateau_pankshin","1344096036781.jpg","Handpump","handpump","borehole_tube_well","water_source","Ner","Pankshin Central","Yes","Hand Pump","No","Poorly Constructed","No","Stand Alone Water Point"
"94957",94957,"00872ba4-f29b-46ed-93e6-c1a87e975782","00872ba4-f29b-46ed-93e6-c1a87e975782","Pankshin","Plateau","North-Central",642,"9.47866943 9.44055798 836.9000244140625 5.0","1343815624658.jpg","plateau_pankshin","1343815624658.jpg","Handpump","handpump","borehole_tube_well","water_source","Basum","Kadung","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"94958",94958,"6b405726-0cd9-41fa-94c1-248b6fd87b45","6b405726-0cd9-41fa-94c1-248b6fd87b45","Pankshin","Plateau","North-Central",642,"9.22379003 9.62112513 575.0999755859375 5.0","1343735105663.jpg","plateau_pankshin","1343735105663.jpg","Handpump","handpump","borehole_tube_well","water_source","Dock","Dock pie","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"94959",94959,"9c9c3400-df55-45d7-9d3c-f782c059c172","9c9c3400-df55-45d7-9d3c-f782c059c172","Pankshin","Plateau","North-Central",642,"9.355464577674866 9.417557716369629 1237.0 4.0","1344074118193.jpg","plateau_pankshin","1344074118193.jpg","Handpump","handpump","borehole_tube_well","water_source","Bwarak - Gida","Pankshin Central","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"94960",94960,"c0054865-fd5d-4c56-9426-6605a55f62e6","c0054865-fd5d-4c56-9426-6605a55f62e6","Pankshin","Plateau","North-Central",642,"9.271307587623596 9.251373410224915 1113.0 4.0","1343988227173.jpg","plateau_pankshin","1343988227173.jpg","Handpump","handpump","borehole_tube_well","water_source","JIBILIK","Jibilik","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"94961",94961,"065360f9-6da4-463a-8e1e-1fe827d069b4","065360f9-6da4-463a-8e1e-1fe827d069b4","Pankshin","Plateau","North-Central",642,"9.349156022071838 9.42328155040741 1228.0 4.0","1344072124901.jpg","plateau_pankshin","1344072124901.jpg","Handpump","handpump","borehole_tube_well","water_source","Duk","Pankshin Central","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"94962",94962,"c4877680-12c5-4daf-ba64-97cdfc98a2c3","c4877680-12c5-4daf-ba64-97cdfc98a2c3","Pankshin","Plateau","North-Central",642,"9.33283003 9.41335376 1253.800048828125 5.0","1344335777547.jpg","plateau_pankshin","1344335777547.jpg","Handpump","handpump","borehole_tube_well","water_source","Duk","Pankshin Central","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"94963",94963,"09141ab0-4c70-4640-bc97-3f00e7d07b24","09141ab0-4c70-4640-bc97-3f00e7d07b24","Pankshin","Plateau","North-Central",642,"9.36929422 9.4523099 1086.0 5.0","1343998383044.jpg","plateau_pankshin","1343998383044.jpg","Handpump","handpump","borehole_tube_well","water_source","Ballan kalep","Wuchenbe","Yes","Hand Pump","No","Poorly Constructed","No","Stand Alone Water Point"
"94964",94964,"bf86bdd0-ef45-4e64-9942-b161a0624ce0","bf86bdd0-ef45-4e64-9942-b161a0624ce0","Pankshin","Plateau","North-Central",642,"9.286547899246216 9.265508651733398 1143.0 4.0","1343995265118.jpg","plateau_pankshin","1343995265118.jpg","Handpump","handpump","borehole_tube_well","water_source","Jibilik Center","Jibilik","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"94965",94965,"20aae381-d7df-4d25-aec5-3f984110993c","20aae381-d7df-4d25-aec5-3f984110993c","Pankshin","Plateau","North-Central",642,"9.25746751 9.36480815 1001.2000122070313 5.0","1344079317004.jpg","plateau_pankshin","1344079317004.jpg","Handpump","handpump",NA,"dk","Koplok","Belning","Yes","Hand Pump","Yes","Functional","No",NA
"94966",94966,"32a34c26-f3e1-4086-8590-03c480884626","32a34c26-f3e1-4086-8590-03c480884626","Pankshin","Plateau","North-Central",642,"9.333134 9.41351296 1256.699951171875 5.0","1344335473732.jpg","plateau_pankshin","1344335473732.jpg","Handpump","handpump","borehole_tube_well","water_source","Duk","Pankshin Central","Yes","Hand Pump","No","Under Construction","No","Stand Alone Water Point"
"94967",94967,"5ac0d317-0eb9-4c21-8d22-f3fb3b07ba3e","5ac0d317-0eb9-4c21-8d22-f3fb3b07ba3e","Pankshin","Plateau","North-Central",642,"9.356424808502197 9.41853940486908 1229.0 4.0","1344074561285.jpg","plateau_pankshin","1344074561285.jpg","Handpump","handpump","borehole_tube_well","water_source","Bwarak - Gida","Pankshin Central","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"94968",94968,"8fbf97c4-081c-40aa-9de6-83ae9d3632eb","8fbf97c4-081c-40aa-9de6-83ae9d3632eb","Pankshin","Plateau","North-Central",642,"9.232447743415833 9.29192304611206 918.0 4.0","1343907855552.jpg","plateau_pankshin","1343907855552.jpg","Handpump","handpump","borehole_tube_well","water_source","Lingpang","Jibilik","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"94969",94969,"9a6ca13b-225d-4441-8e7d-439e34bf1f80","9a6ca13b-225d-4441-8e7d-439e34bf1f80","Pankshin","Plateau","North-Central",642,"9.53369673 9.37116762 1217.300048828125 5.0","1343838595592.jpg","plateau_pankshin","1343838595592.jpg","Handpump","handpump","borehole_tube_well","water_source","Gonzi","Kadung","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
