"","X","uuid","mylga","mylga_state","mylga_zone","X_lga_id","photo","unique_lga","X_id","formhub_photo_id","gps","facility_name","facility_type","maternal_health_delivery_services_24_7","facility_open_247_yn","essential_meds_stockout","emergency_transport_currently_functioning","skilled_birth_attendant","num_chews_and_chos","power_access_and_functional","comprehensive_obstetrics_yn","num_chews_total","num_nurses_fulltime","num_nursemidwives_fulltime","num_doctors_fulltime","num_lab_techs_fulltime","staff_paid_lastmth_yn","sulpha_and_antenatal","has_itns","medication_iron_tablets","medication_folic_acid","scale_yn","equipment_bp_machine","hiv_tx_srvcs_pmtct_services_calc","lab_tests_hemoglobin_testing_calc","lab_tests_urine_testing_calc","mobile_signal_funct_yn","iv_antibiotics_yn_calc","emoc_vacuum_extractor","emoc_forceps","compr_oc_c_sections","uterotonics_yn_calc","antishock_garment_yn","emoc_parenteral_anticonvulsant","at_least_two_skilled_birth_attendants","at_least_three_skilled_birth_attendants","at_least_four_skilled_birth_attendants","compr_oc_blood_transfusions","condoms_yn","family_planning_pill_calc_calc","family_planning_injectables_calc_calc","family_planning_iud_calc","family_planning_implants_calc","sterilization_yn_calc","child_health_growth_monitor","child_health_measles_immun_calc","child_health_opv_immuization_calc","child_health_dpt_immunization_calc","child_health_tetanus_immun_calc","child_health_hepb_immunization_calc","child_health_bcg_immunization_calc","child_health_yellow_fever_immun_calc","child_health_csm_immunization_calc","vaccines_icepack_calc","equipment_refrigerator","malaria_testing","malaria_treatment_artemisinin","malaria_treatment_sulphadoxine","paid_services_malaria_treatment","medication_anti_malarials","oral_antibiotics_calc","medication_antihistamines","medication_iv_fluid","lab_tests_pregnancy_calc","lab_tests_stool_calc","potable_water_access","improved_sanitation_and_functional","lab_tests_tb_microscopy_calc","tb_treatment_yn","lab_tests_hiv_testing_calc","hiv_treatment_yn","health_no_user_fees","iv_medications_yn","inpatient_care_yn"
"1",17825,"6179320d-d2d5-4031-9196-fe69b778b1b4","shendam","plateau","north_central",677,"1338203571193.jpg","plateau_shendam","6179320d-d2d5-4031-9196-fe69b778b1b4","1338203571193.jpg","8.790371417999268 9.356811046600342 248.0 2.0","Primary Health Care Nder","primaryhealthclinic",FALSE,NA,TRUE,TRUE,TRUE,2,FALSE,FALSE,2,1,0,0,0,TRUE,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"2",17826,"4373f028-9e57-4c4b-be78-803a797ff688","shendam","plateau","north_central",677,"1338036251931.jpg","plateau_shendam","4373f028-9e57-4c4b-be78-803a797ff688","1338036251931.jpg","8.867168426513672 9.567718505859375 222.0 4.0","primary health care","primaryhealthclinic",FALSE,TRUE,TRUE,TRUE,FALSE,5,FALSE,FALSE,5,0,0,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"3",17827,"40942c2d-28ab-4515-8ddd-227e4e884772","shendam","plateau","north_central",677,"1338133745080.jpg","plateau_shendam","40942c2d-28ab-4515-8ddd-227e4e884772","1338133745080.jpg","9.099866151809692 9.356650114059448 381.0 3.0","Xxx","primaryhealthclinic",TRUE,TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,1,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"4",17828,"25520302-1264-471a-8dd4-9d2d1a85f897","shendam","plateau","north_central",677,"1338023006749.jpg","plateau_shendam","25520302-1264-471a-8dd4-9d2d1a85f897","1338023006749.jpg","8.9109585 9.49477686 280.6000061035156 5.0","PHC Tingzet","primaryhealthclinic",TRUE,TRUE,TRUE,TRUE,TRUE,0,FALSE,FALSE,0,1,2,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"5",17829,"450d3b2f-02a9-48ba-a758-e2370b30af76","shendam","plateau","north_central",677,"1338110349908.jpg","plateau_shendam","450d3b2f-02a9-48ba-a758-e2370b30af76","1338110349908.jpg","8.877988457679749 9.361172318458557 230.0 4.0","Phc clinic","primaryhealthclinic",TRUE,TRUE,NA,TRUE,FALSE,2,TRUE,FALSE,1,0,0,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,FALSE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"6",17830,"f80491f4-b4c6-49eb-a920-5830e36fbf5e","shendam","plateau","north_central",677,"1338383424223.jpg","plateau_shendam","f80491f4-b4c6-49eb-a920-5830e36fbf5e","1338383424223.jpg","8.86721867 9.56772137 237.3000030517578 5.0","P H.C KWANSAN","primaryhealthclinic",FALSE,TRUE,TRUE,TRUE,FALSE,5,FALSE,FALSE,4,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"7",17831,"657276c6-cc13-43ea-a1c4-3c592c8708cc","shendam","plateau","north_central",677,"1338033713337.jpg","plateau_shendam","657276c6-cc13-43ea-a1c4-3c592c8708cc","1338033713337.jpg","8.71797852 9.49222816 180.89999389648438 5.0","PHC Angwan Dadi","primaryhealthcarecentre",TRUE,TRUE,TRUE,FALSE,FALSE,3,TRUE,FALSE,3,0,0,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"8",17832,"e3593c4e-e95f-4562-9357-1ee634896d01","shendam","plateau","north_central",677,"1337967920789.jpg","plateau_shendam","e3593c4e-e95f-4562-9357-1ee634896d01","1337967920789.jpg","8.81754755973816 9.537414908409119 219.0 4.0","xxx","primaryhealthclinic",FALSE,FALSE,NA,TRUE,FALSE,2,FALSE,FALSE,1,0,0,0,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"9",17833,"7a30206a-b990-4fd7-9b48-f1fc7a9bf5e0","shendam","plateau","north_central",677,"1338036779236.jpg","plateau_shendam","7a30206a-b990-4fd7-9b48-f1fc7a9bf5e0","1338036779236.jpg","8.816372752189636 9.450951218605042 235.0 4.0","Primary Health Care pouship","primaryhealthcarecentre",TRUE,TRUE,NA,FALSE,TRUE,6,FALSE,FALSE,6,0,1,0,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"10",17834,"5c63c92b-d7c3-42d8-ab4b-16e3886cb428","shendam","plateau","north_central",677,"1338024805353.jpg","plateau_shendam","5c63c92b-d7c3-42d8-ab4b-16e3886cb428","1338024805353.jpg","8.879002332687378 9.540220499038696 227.0 4.0","primary health care clinic","primaryhealthcarecentre",TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE,FALSE,5,0,3,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
