breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Dry Well,,Kwansan,,,"Water Scheme, Source within 100m",1338385312580.jpg,No,8.86753179 9.56846946 229.6999969482422 5.0,True,Shendam,677,677,677.0,Tap (unknown lift),No,1338385312580.jpg,water,Plateau,plateau_shendam,a91c7b45-f763-4bae-9610-8f9f12d56cdb,Shendam A,Tap,outlet,,a91c7b45-f763-4bae-9610-8f9f12d56cdb,North-Central
Functional,,Kwapjur,,,Stand Alone Water Point,1338214565769.jpg,Yes,8.8042567 9.62880413 236.10000610351563 5.0,False,Shendam,677,677,677.0,Manual,No,1338214565769.jpg,water,Plateau,plateau_shendam,5ee43f45-9278-4dbe-bec9-239710a04f2a,Krou.ngbou (b),Unimproved Well,water_source,unprotected_dug_well,5ee43f45-9278-4dbe-bec9-239710a04f2a,North-Central
Mechanical Issue,,longvel,,,Stand Alone Water Point,1338024213425.jpg,No,8.855860233306885 9.596584439277649 229.0 3.0,True,Shendam,677,677,677.0,Solar,No,1338024213425.jpg,water,Plateau,plateau_shendam,b3f29a95-f569-4285-a287-3383091f8836,kwapkilik,Borehole,water_source,borehole_tube_well,b3f29a95-f569-4285-a287-3383091f8836,North-Central
Don't Know,,Shimankar,,,Stand Alone Water Point,1338215540347.jpg,No,8.63392046 9.52296337 181.39999389648438 5.0,True,Shendam,677,677,677.0,Hand Pump,No,1338215540347.jpg,water,Plateau,plateau_shendam,e4f31715-5ac2-45ca-b88b-9b364cb830ff,Shimankar,Borehole,water_source,borehole_tube_well,e4f31715-5ac2-45ca-b88b-9b364cb830ff,North-Central
Mechanical Issue,,kwansan,,,"Water Scheme, Source within 100m",1338358866300.jpg,No,8.867495656013489 9.568415880203247 248.0 4.0,True,Shendam,677,677,677.0,Tap (unknown lift),No,1338358866300.jpg,water,Plateau,plateau_shendam,77553ded-669b-4ae7-9f52-2c7a6635b5fd,shendam a,Tap,outlet,,77553ded-669b-4ae7-9f52-2c7a6635b5fd,North-Central
Functional,,Lawur,,,Stand Alone Water Point,1338193145332.jpg,Yes,8.48641132 9.64044608 167.10000610351563 5.0,True,Shendam,677,677,677.0,Hand Pump,No,1338193145332.jpg,water,Plateau,plateau_shendam,0868379d-67c7-428d-915f-3df62736dcf6,Kurumbou. B,Borehole,water_source,borehole_tube_well,0868379d-67c7-428d-915f-3df62736dcf6,North-Central
Mechanical Issue,,Makera Agu,,,Stand Alone Water Point,1338293103000.jpg,No,8.500118851661682 9.444122314453125 160.0 4.0,True,Shendam,677,677,677.0,Hand Pump,No,1338293103000.jpg,water,Plateau,plateau_shendam,eb18fd34-36bf-4f95-964f-bb2f8409c390,Maambial,Borehole,water_source,borehole_tube_well,eb18fd34-36bf-4f95-964f-bb2f8409c390,North-Central
Mechanical Issue,,Jiban kuka,,,Stand Alone Water Point,1338114347697.jpg,No,8.44862644 9.69333078 154.60000610351563 5.0,True,Shendam,677,677,677.0,Solar,No,1338114347697.jpg,water,Plateau,plateau_shendam,e02deac0-b8d8-48d6-af39-ab99bed20674,Jiban,Borehole,water_source,borehole_tube_well,e02deac0-b8d8-48d6-af39-ab99bed20674,North-Central
Functional,,Poediel,,,"Water Scheme, Source within 1km",1338049387602.jpg,Yes,8.8793017 9.45191387 219.1999969482422 5.0,True,Shendam,677,677,677.0,Tap (unknown lift),No,1338049387602.jpg,water,Plateau,plateau_shendam,cb572d8a-f5fb-4c49-829f-82e877188a69,Pangshoom,Tap,outlet,,cb572d8a-f5fb-4c49-829f-82e877188a69,North-Central
Functional,,Hosptal Road,,,Stand Alone Water Point,1338301155358.jpg,Yes,8.87654034 9.54583728 232.39999389648438 5.0,False,Shendam,677,677,677.0,Manual,No,1338301155358.jpg,water,Plateau,plateau_shendam,7ea85599-362e-4214-aca9-50b988114129,Shendam Ward A,Unimproved Well,water_source,protected_dug_well,7ea85599-362e-4214-aca9-50b988114129,North-Central
Mechanical Issue,,Makera Sabon Gida,,,Stand Alone Water Point,1338294108450.jpg,No,8.507264256477356 9.461948275566101 185.0 4.0,True,Shendam,677,677,677.0,,No,1338294108450.jpg,water,Plateau,plateau_shendam,6b4fd902-9198-4cb1-8666-989a32a4f9d4,Maambial,Borehole,water_source,borehole_tube_well,6b4fd902-9198-4cb1-8666-989a32a4f9d4,North-Central
Mechanical Issue,,Angwan rina,,,Stand Alone Water Point,1338036541899.jpg,No,8.68265315 9.47248907 178.10000610351563 5.0,True,Shendam,677,677,677.0,Solar,No,1338036541899.jpg,water,Plateau,plateau_shendam,081c62ab-d9bc-422a-a8d5-17f9eb43ef99,Ngootlong,Borehole,water_source,borehole_tube_well,081c62ab-d9bc-422a-a8d5-17f9eb43ef99,North-Central
Dry Well,,Kopgalwa,,,Stand Alone Water Point,1338282471883.jpg,No,8.91449697 9.5553735 255.10000610351563 5.0,False,Shendam,677,677,677.0,Manual,No,1338282471883.jpg,water,Plateau,plateau_shendam,a47c3b7b-bc57-4512-aedc-05be48ccf1f7,Shendam Ward A,Unimproved Well,water_source,unprotected_dug_well,a47c3b7b-bc57-4512-aedc-05be48ccf1f7,North-Central
