access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,5027.776452,False,TRUE,False,,,,formal_educ,LEA Male Primary School,primary_only,1338030895183.jpg,,False,,9.013617038726807 10.005079507827759 227.0 3.0,False,False,primary_only,Wase,749,749,749.0,1.22388059701493,True,wase,plateau,north_central,FALSE,4.0,0.0,4.0,149.0,0.0,6.0,,3.0,377.0,public,False,1338030895183.jpg,161714,32.1641189786,,False,FALSE,FALSE,Inf,37.25,Inf,24.8333333333333,,True,True,LEA Male Primary School,education,Plateau,57.0,Others,True,False,FALSE,Inf,2.53020134228188,FALSE,,plateau_wase,76b68a7a-2861-4e74-925c-ec65cefb19fa,False,76b68a7a-2861-4e74-925c-ec65cefb19fa,North-Central
False,False,5027.776452,False,TRUE,False,,,,formal_educ,LEA Gimbi Nomadic Pri. Sch.,primary_only,1338203716065.jpg,,False,,8.995270729064941 10.273150205612183 201.0 4.0,False,False,primary_only,Wase,749,749,749.0,0.849315068493151,True,wase,plateau,north_central,TRUE,3.0,0.0,3.0,135.0,0.0,3.0,,0.0,221.0,public,False,1338203716065.jpg,161714,32.1641189786,,False,FALSE,FALSE,Inf,45,Inf,45,,True,,LEA Gimbi Nomadic Pri. Sch.,education,Plateau,135.0,Others,True,False,FALSE,Inf,1.63703703703704,FALSE,,plateau_wase,f46586f8-9177-4ffd-8697-87b38e7ce009,False,f46586f8-9177-4ffd-8697-87b38e7ce009,North-Central
False,True,5027.776452,True,TRUE,False,,,,formal_educ,Bashar Central School,preprimary_and_primary,1338377800426.jpg,,False,TRUE,9.31213191 10.1609849 440.79998779296875 5.0,False,False,preprimary_and_primary,Wase,749,749,749.0,0.987915407854985,False,wase,plateau,north_central,TRUE,5.0,,19.0,658.0,21.0,32.0,,21.0,1550.0,public,False,1338377800426.jpg,161714,32.1641189786,,False,FALSE,FALSE,Inf,34.6315789473684,10.9666666666667,20.5625,164.5,False,False,Bashar Central School,education,Plateau,0.0,Others,True,False,FALSE,Inf,2.35562310030395,FALSE,,plateau_wase,56e53df4-5111-4d9b-ac6d-410973c84503,False,56e53df4-5111-4d9b-ac6d-410973c84503,North-Central
False,False,5027.776452,False,TRUE,False,,,,formal_educ,LEA WADATA KUDU,primary_only,1338297602160.jpg,,False,,8.781128525733948 9.968376159667969 206.0 4.0,False,False,primary_only,Wase,749,749,749.0,0.883870967741936,True,wase,plateau,north_central,FALSE,2.0,0.0,4.0,876.0,4.0,4.0,,4.0,374.0,public,False,1338297602160.jpg,161714,32.1641189786,,False,FALSE,FALSE,Inf,219,Inf,219,,False,False,LEA WADATA KUDU,education,Plateau,0.0,Others,True,False,FALSE,Inf,0.426940639269406,FALSE,,plateau_wase,b6b562a0-60e1-40a5-87a5-29e5a971619a,False,b6b562a0-60e1-40a5-87a5-29e5a971619a,North-Central
False,False,5027.776452,True,FALSE,False,,,,formal_educ,Yola Wakat Primary School,primary_only,1337941449476.jpg,,False,,9.154272079467773 9.990359544754028 300.0 4.0,False,False,primary_only,Wase,749,749,749.0,2.33333333333333,False,wase,plateau,north_central,TRUE,0.0,,6.0,100.0,3.0,16.0,,5.0,200.0,public,True,1337941449476.jpg,161714,32.1641189786,,False,FALSE,FALSE,Inf,16.6666666666667,Inf,6.25,,False,True,Yola Wakat Primary School,education,Plateau,0.0,Others,True,False,TRUE,Inf,2,FALSE,,plateau_wase,b1862919-f679-4834-8d8e-7acbdc564175,False,b1862919-f679-4834-8d8e-7acbdc564175,North-Central
False,False,5027.776452,False,TRUE,False,,,,formal_educ,Zamtip primary School,primary_only,1338281370827.jpg,,False,,8.98989475 9.93232491 237.39999389648438 5.0,False,False,primary_only,Wase,749,749,749.0,0.818181818181818,True,wase,plateau,north_central,FALSE,3.0,0.0,6.0,100.0,3.0,3.0,,3.0,155.0,public,False,1338281370827.jpg,161714,32.1641189786,,False,FALSE,FALSE,Inf,16.6666666666667,Inf,33.3333333333333,,False,True,Zamtip primary School,education,Plateau,0.0,Others,True,False,FALSE,Inf,1.55,FALSE,,plateau_wase,5c31eb28-1c61-4c9a-8781-a52d0dce8b57,False,5c31eb28-1c61-4c9a-8781-a52d0dce8b57,North-Central
False,False,5027.776452,False,FALSE,False,,,,formal_educ,Pilot Science Primary School,primary_only,1338201387018.jpg,,False,,9.08923365 9.96051123 272.5 5.0,False,False,primary_only,Wase,749,749,749.0,2.33333333333333,True,wase,plateau,north_central,FALSE,,,12.0,100.0,20.0,40.0,,20.0,140.0,public,False,1338201387018.jpg,161714,32.1641189786,,False,TRUE,FALSE,Inf,8.33333333333333,Inf,2.5,,False,False,Pilot Science Primary School,education,Plateau,0.0,Others,True,False,FALSE,Inf,1.4,FALSE,,plateau_wase,8aa46b45-0092-4328-b73d-e01ad2352d71,False,8aa46b45-0092-4328-b73d-e01ad2352d71,North-Central
False,False,5027.776452,False,FALSE,False,,,,formal_educ,LGEA Pry School,primary_only,1338388717222.jpg,,False,,9.2902010679245 10.216223001480103 357.0 4.0,False,False,primary_only,Wase,749,749,749.0,1.5,False,wase,plateau,north_central,TRUE,5.0,,10.0,500.0,5.0,22.0,,20.0,550.0,public,False,1338388717222.jpg,161714,32.1641189786,,False,FALSE,FALSE,Inf,50,Inf,22.7272727272727,,False,,LGEA Pry School,education,Plateau,0.0,Others,True,False,TRUE,Inf,1.1,FALSE,,plateau_wase,8925b769-7311-4757-8114-2cf0958f1fef,False,8925b769-7311-4757-8114-2cf0958f1fef,North-Central
False,False,5027.776452,False,FALSE,False,,,,formal_educ,LEA Primary School,primary_only,1338116358441.jpg,,False,,9.129804968833923 9.924243092536926 259.0 3.0,False,False,primary_only,Wase,749,749,749.0,4,False,wase,plateau,north_central,TRUE,,0.0,12.0,750.0,17.0,17.0,,17.0,139.0,public,False,1338116358441.jpg,161714,32.1641189786,,False,FALSE,FALSE,75,62.5,Inf,44.1176470588235,,False,False,LEA Primary School,education,Plateau,10.0,Others,True,False,FALSE,2.83333333333333,0.185333333333333,FALSE,,plateau_wase,c1c92318-d942-419c-93cb-2908ab583045,False,c1c92318-d942-419c-93cb-2908ab583045,North-Central
False,True,5027.776452,True,TRUE,False,0.0223276909935,2.47068534883,,formal_educ,Yoilet Nomadic primary school kadarko,primary_only,1338125319820.jpg,,False,,8.86334645 10.35673626 176.10000610351563 5.0,False,False,primary_only,Wase,749,749,,0.862068965517241,False,wase,plateau,north_central,TRUE,4.0,0.0,4.0,162.0,1.0,5.0,,4.0,80.0,public,False,1338125319820.jpg,161714,32.1641189786,,False,FALSE,FALSE,Inf,40.5,Inf,32.4,,False,,Yoilet Nomadic primary school kadarko,education,Plateau,90.0,Others,True,False,TRUE,Inf,0.493827160493827,FALSE,,plateau_wase,fd2b5e02-a4a3-4ca8-bb0d-c67002edb418,False,fd2b5e02-a4a3-4ca8-bb0d-c67002edb418,North-Central
