breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Poorly Constructed,tap,Ekede,,,"Water Scheme, Source within 100m",1343328727737.jpg,No,4.48061023 7.43388029 27.5 5.0,True,Andoni,50,50,50.0,Tap (unknown lift),No,1343328727737.jpg,water,Rivers,rivers_andoni,ef7411c7-3bea-4636-a46c-8d03ecec336d,4,Tap,outlet,,ef7411c7-3bea-4636-a46c-8d03ecec336d,South-South
Poorly Constructed,handpump,Ataba,,,"Water Scheme, Source within 1km",1343377152356.jpg,No,4.56614815 7.32940842 29.700000762939453 5.0,True,Andoni,50,50,50.0,Hand Pump,No,1343377152356.jpg,water,Rivers,rivers_andoni,7d7810e4-327b-4a94-a7ba-d75ccdb78b5f,Ataba ward 11,Handpump,outlet,,7d7810e4-327b-4a94-a7ba-d75ccdb78b5f,South-South
Functional,unimproved,IWOGONI,,,Stand Alone Water Point,1343469948289.jpg,Yes,4.467583894729614 7.3403531312942505 4.0 4.0,False,Andoni,50,50,50.0,Manual,Yes,1343469948289.jpg,water,Rivers,rivers_andoni,053cf9cf-e5f5-463d-a469-64c346c12a29,3,Unimproved,water_source,unprotected_dug_well,053cf9cf-e5f5-463d-a469-64c346c12a29,South-South
,one_thousand_overhead,Samanga,,,,1343396636100.jpg,Don't Know,4.56718342 7.3740426 37.599998474121094 5.0,True,Andoni,50,50,50.0,,Don't Know,1343396636100.jpg,water,Rivers,rivers_andoni,f6b71e57-2ec3-481d-830c-af9c41a24dbc,Samanga ward 8,"Overhead Tank (1,000)",dk,,f6b71e57-2ec3-481d-830c-af9c41a24dbc,South-South
,unimproved,Isiodum,,,Stand Alone Water Point,1343473438412.jpg,Don't Know,4.53800404 7.42373222 26.399999618530273 5.0,False,Andoni,50,50,50.0,,Don't Know,1343473438412.jpg,water,Rivers,rivers_andoni,a0f88b5c-7b93-4799-bb92-a7158c314af5,Andoni ward 7,Unimproved,water_source,dk,a0f88b5c-7b93-4799-bb92-a7158c314af5,South-South
Functional,unimproved,Egbormung,,,Stand Alone Water Point,1343466634774.jpg,Yes,4.55252648 7.4017583 29.799999237060547 5.0,False,Andoni,50,50,50.0,Manual,No,1343466634774.jpg,water,Rivers,rivers_andoni,1c7b694c-82ca-4a36-a874-b0e6a604ffc9,Ward 7,Unimproved,water_source,unprotected_dug_well,1c7b694c-82ca-4a36-a874-b0e6a604ffc9,South-South
Functional,unimproved,UNYENGALA,,,Stand Alone Water Point,1343372412968.jpg,Yes,4.487770199775696 7.403996586799622 23.0 4.0,False,Andoni,50,50,50.0,Manual,No,1343372412968.jpg,water,Rivers,rivers_andoni,27480852-64ae-4434-ba13-6adfe10701e3,2,Unimproved,water_source,unprotected_dug_well,27480852-64ae-4434-ba13-6adfe10701e3,South-South
Functional,unimproved,ANYAMBOKO,,,Stand Alone Water Point,1343386049447.jpg,Yes,4.484594464302063 7.392999529838562 25.0 4.0,False,Andoni,50,50,50.0,Manual,No,1343386049447.jpg,water,Rivers,rivers_andoni,a75f3738-6d07-46f7-9150-bac2c5d707a1,2,Unimproved,water_source,unprotected_dug_well,a75f3738-6d07-46f7-9150-bac2c5d707a1,South-South
Poorly Constructed,tap,Ikuru Town,,,"Water Scheme, Source within 100m",1343349059574.jpg,No,4.48115273 7.4946201 16.0 5.0,True,Andoni,50,50,50.0,Tap (unknown lift),No,1343349059574.jpg,water,Rivers,rivers_andoni,d7ea405c-7c1d-4bd3-bbde-66d6d2de4782,5,Tap,outlet,,d7ea405c-7c1d-4bd3-bbde-66d6d2de4782,South-South
Functional,unimproved,OKOROLO,,,Stand Alone Water Point,1343379877403.jpg,Yes,4.49085817 7.47509448 23.100000381469727 5.0,False,Andoni,50,50,50.0,,No,1343379877403.jpg,water,Rivers,rivers_andoni,ec047110-b1a3-464f-94f1-6ab162b43e25,4,Unimproved,water_source,unprotected_dug_well,ec047110-b1a3-464f-94f1-6ab162b43e25,South-South
Functional,unimproved,AMA UBULOM,,,Stand Alone Water Point,1343377245660.jpg,Yes,4.49392499 7.45026412 20.200000762939453 5.0,False,Andoni,50,50,50.0,,No,1343377245660.jpg,water,Rivers,rivers_andoni,9f3bb722-f898-4d28-a1fe-21d3bdb2f264,1,Unimproved,water_source,unprotected_dug_well,9f3bb722-f898-4d28-a1fe-21d3bdb2f264,South-South
Functional,unimproved,MUMA,,,Stand Alone Water Point,1343730008327.jpg,Yes,4.458834528923035 7.336780428886414 24.0 4.0,False,Andoni,50,50,50.0,Manual,No,1343730008327.jpg,water,Rivers,rivers_andoni,8f607987-259c-4c56-9575-8fb1188bbe81,3,Unimproved,water_source,unprotected_dug_well,8f607987-259c-4c56-9575-8fb1188bbe81,South-South
Functional,one_thousand_overhead,UKWA,,,"Water Scheme, Source within 100m",1343655489906.jpg,Yes,4.4801634550094604 7.410358786582947 12.0 4.0,True,Andoni,50,50,50.0,Tap (unknown lift),No,1343655489906.jpg,water,Rivers,rivers_andoni,12196444-4eb2-4ecf-9db0-9f8cb488fec5,1,"Overhead Tank (1,000)",outlet,,12196444-4eb2-4ecf-9db0-9f8cb488fec5,South-South
,one_thousand_overhead,Samanga,,,,1343396808257.jpg,Don't Know,4.56719993 7.37399624 26.600000381469727 5.0,True,Andoni,50,50,50.0,,Don't Know,1343396808257.jpg,water,Rivers,rivers_andoni,2d25d562-9a9c-4d04-9c47-3fee5afbcc83,Samanga ward 8,"Overhead Tank (1,000)",dk,,2d25d562-9a9c-4d04-9c47-3fee5afbcc83,South-South
Functional,one_thousand_overhead,AGBALAMA TOWN,,,Stand Alone Water Point,1343382013212.jpg,Yes,4.49869161 7.44300082 32.29999923706055 5.0,True,Andoni,50,50,50.0,Manual,No,1343382013212.jpg,water,Rivers,rivers_andoni,9b1750d7-9dd8-4ec5-84a9-a24274b0d2fd,WARD 4,"Overhead Tank (1,000)",water_source,unprotected_dug_well,9b1750d7-9dd8-4ec5-84a9-a24274b0d2fd,South-South
Under Construction,ten_thousand_overhead,IKURU,,,"Water Scheme, Source within 1km",1343391255361.jpg,No,4.47891437 7.49070922 20.100000381469727 5.0,True,Andoni,50,50,50.0,Tap (unknown lift),No,1343391255361.jpg,water,Rivers,rivers_andoni,c0301289-f6a7-46cf-bf77-803b5810668e,5,"Overhead Tank (10,000)",outlet,,c0301289-f6a7-46cf-bf77-803b5810668e,South-South
Functional,handpump,ILOTOMBI,,,Stand Alone Water Point,1343397246062.jpg,Yes,4.479272961616516 7.374921441078186 9.0 4.0,True,Andoni,50,50,50.0,Hand Pump,No,1343397246062.jpg,water,Rivers,rivers_andoni,b8532da9-3525-4548-86f1-8e4a1214aa42,3,Handpump,water_source,unprotected_dug_well,b8532da9-3525-4548-86f1-8e4a1214aa42,South-South
Functional,unimproved,OTUDUNG,,,Stand Alone Water Point,1343465072472.jpg,Yes,4.468157887458801 7.347707748413086 18.0 4.0,False,Andoni,50,50,50.0,,No,1343465072472.jpg,water,Rivers,rivers_andoni,2cdf676e-0eff-4076-aa43-73e89529602f,3,Unimproved,water_source,dam,2cdf676e-0eff-4076-aa43-73e89529602f,South-South
Functional,unimproved,NGO,,,Stand Alone Water Point,1343754462400.jpg,Yes,4.485345482826233 7.407349348068237 17.0 3.0,False,Andoni,50,50,50.0,Manual,No,1343754462400.jpg,water,Rivers,rivers_andoni,d75893a9-9045-40b5-b3e5-42734d080012,1,Unimproved,water_source,unprotected_dug_well,d75893a9-9045-40b5-b3e5-42734d080012,South-South
Functional,unimproved,AJAKAJAK,,,Stand Alone Water Point,1343394464612.jpg,Yes,4.56559594 7.37011955 19.200000762939453 5.0,False,Andoni,50,50,50.0,Manual,No,1343394464612.jpg,water,Rivers,rivers_andoni,a9f62273-5fd0-4ce9-80c8-cc0d3a2af9cc,Ward 8,Unimproved,water_source,unprotected_dug_well,a9f62273-5fd0-4ce9-80c8-cc0d3a2af9cc,South-South
Functional,unimproved,NGO,,,Stand Alone Water Point,1343287348857.jpg,Yes,4.483569860458374 7.419349551200867 9.0 4.0,False,Andoni,50,50,50.0,Manual,No,1343287348857.jpg,water,Rivers,rivers_andoni,34a503fe-1960-4295-8849-ad598078444c,1,Unimproved,water_source,unprotected_dug_well,34a503fe-1960-4295-8849-ad598078444c,South-South
Functional,unimproved,Otunria,,,Stand Alone Water Point,1343463307770.jpg,Yes,4.56712125 7.38635408 35.599998474121094 5.0,False,Andoni,50,50,50.0,Manual,No,1343463307770.jpg,water,Rivers,rivers_andoni,4a409fe4-e03c-4a73-b0e4-b07079d91774,Otunria Ward 7,Unimproved,water_source,unprotected_dug_well,4a409fe4-e03c-4a73-b0e4-b07079d91774,South-South
Functional,unimproved,AMANGEREKPON TOWN,,,Stand Alone Water Point,1343379014688.jpg,Yes,4.49522692 7.44712121 33.70000076293945 5.0,False,Andoni,50,50,50.0,Manual,No,1343379014688.jpg,water,Rivers,rivers_andoni,88862bbf-9800-4a90-a29a-3f4d66bd1e52,WARD 4,Unimproved,water_source,unprotected_dug_well,88862bbf-9800-4a90-a29a-3f4d66bd1e52,South-South
Poorly Constructed,one_thousand_overhead,NGO,,,"Water Scheme, Source within 100m",1343284763408.jpg,No,4.485645890235901 7.407231330871582 9.0 4.0,True,Andoni,50,50,50.0,Tap (unknown lift),No,1343284763408.jpg,water,Rivers,rivers_andoni,7611da4e-2bd6-46d5-b398-14d6c7bfc9e9,1,"Overhead Tank (1,000)",outlet,,7611da4e-2bd6-46d5-b398-14d6c7bfc9e9,South-South
Poor Water Quality,unimproved,Isita - Ataba,,,Stand Alone Water Point,1343373652370.jpg,No,4.57685514 7.33272004 17.700000762939453 5.0,False,Andoni,50,50,50.0,,No,1343373652370.jpg,water,Rivers,rivers_andoni,2ea2b96a-da23-4d09-aafd-9f03636cc8c4,Ataba ward 11,Unimproved,water_source,unprotected_dug_well,2ea2b96a-da23-4d09-aafd-9f03636cc8c4,South-South
Poorly Constructed,handpump,Ekede,,,"Water Scheme, Source within 100m",1343328924079.jpg,No,4.48027511 7.4338544 18.700000762939453 5.0,True,Andoni,50,50,50.0,Hand Pump,No,1343328924079.jpg,water,Rivers,rivers_andoni,33c144c1-e276-4a50-bebb-4247d9617117,4,Handpump,outlet,,33c144c1-e276-4a50-bebb-4247d9617117,South-South
Functional,unimproved,OTAKO TOWN,,,Stand Alone Water Point,1343384830451.jpg,Yes,4.49708164 7.43636091 37.599998474121094 5.0,False,Andoni,50,50,50.0,Manual,No,1343384830451.jpg,water,Rivers,rivers_andoni,925c9d32-3750-49b8-860e-509ef37b7ea5,WARD 4,Unimproved,water_source,unprotected_dug_well,925c9d32-3750-49b8-860e-509ef37b7ea5,South-South
Functional,unimproved,UNYENGALA,,,Stand Alone Water Point,1343371988041.jpg,Yes,4.486573934555054 7.403492331504822 24.0 4.0,False,Andoni,50,50,50.0,,No,1343371988041.jpg,water,Rivers,rivers_andoni,ff21a46d-6ca4-4a3f-803e-571ce7ecbd5a,2,Unimproved,water_source,unprotected_dug_well,ff21a46d-6ca4-4a3f-803e-571ce7ecbd5a,South-South
,handpump,Isiodium,,,Stand Alone Water Point,1343472242497.jpg,Don't Know,4.53819149 7.42289501 35.900001525878906 5.0,True,Andoni,50,50,50.0,Hand Pump,Don't Know,1343472242497.jpg,water,Rivers,rivers_andoni,24cc38f0-4776-42c7-b7d6-e8220abe39aa,WArd 7,Handpump,water_source,dk,24cc38f0-4776-42c7-b7d6-e8220abe39aa,South-South
Poorly Constructed,unimproved,Ebukuma,,,Stand Alone Water Point,1343339762019.jpg,No,4.51027331 7.47249816 24.299999237060547 5.0,False,Andoni,50,50,50.0,,No,1343339762019.jpg,water,Rivers,rivers_andoni,b8a77f3b-0bf4-4630-bf40-b2334cded6c1,4,Unimproved,water_source,unprotected_dug_well,b8a77f3b-0bf4-4630-bf40-b2334cded6c1,South-South
,one_thousand_overhead,Dema,,,,1343460320824.jpg,Don't Know,4.56578281 7.3882557 17.799999237060547 5.0,True,Andoni,50,50,50.0,,Don't Know,1343460320824.jpg,water,Rivers,rivers_andoni,524ef637-22a0-4a25-9c3e-4426a0ce0a16,Dema ward 7,"Overhead Tank (1,000)",dk,,524ef637-22a0-4a25-9c3e-4426a0ce0a16,South-South
,unimproved,Isiodum,,,,1343473189503.jpg,Don't Know,4.53763862 7.42348988 17.899999618530273 5.0,False,Andoni,50,50,50.0,,Don't Know,1343473189503.jpg,water,Rivers,rivers_andoni,d046913b-d3e2-47d0-bab9-0edf2f07d25a,Ward 7,Unimproved,dk,,d046913b-d3e2-47d0-bab9-0edf2f07d25a,South-South
,unimproved,Ogbonte,,,,1343401399614.jpg,Don't Know,4.56085125 7.38150813 36.599998474121094 5.0,False,Andoni,50,50,50.0,,Don't Know,1343401399614.jpg,water,Rivers,rivers_andoni,dc60bc01-b096-4ce1-95bd-ffc6fa1e14c9,Samanga ward 8,Unimproved,dk,,dc60bc01-b096-4ce1-95bd-ffc6fa1e14c9,South-South
