"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"7598",7598,"2cf8ae05-b2dd-4e85-bcfc-cdeec2616794","2cf8ae05-b2dd-4e85-bcfc-cdeec2616794","Asari Toru","Rivers","South-South",64,"4.80209171 6.83947742 32.0 5.0","1342263104637.jpg","rivers_asari_toru","1342263104637.jpg","Unimproved","unimproved","unprotected_dug_well","water_source","OPROAMA","11","No","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"7599",7599,"5ef1dc7c-ae92-464b-801f-20443c580476","5ef1dc7c-ae92-464b-801f-20443c580476","Asari Toru","Rivers","South-South",64,"4.79674496 6.7863699 27.899999618530273 5.0","1342005440311.jpg","rivers_asari_toru","1342005440311.jpg","Overhead Tank (1,000)","one_thousand_overhead",NA,"outlet","Ilelema","11","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"7600",7600,"7f36af65-8bb7-42eb-9315-074a430ac67f","7f36af65-8bb7-42eb-9315-074a430ac67f","Asari Toru","Rivers","South-South",64,"4.79672515 6.78570901 23.200000762939453 5.0","1342005750730.jpg","rivers_asari_toru","1342005750730.jpg","Unimproved","unimproved","unprotected_dug_well","water_source","Ilelema","11","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"7601",7601,"07b2a1f9-7b6e-4b75-ac9b-6839c5233d6e","07b2a1f9-7b6e-4b75-ac9b-6839c5233d6e","Asari Toru","Rivers","South-South",64,"4.74393599 6.85533414 22.899999618530273 5.0","1342090797962.jpg","rivers_asari_toru","1342090797962.jpg","Unimproved","unimproved","unprotected_dug_well","water_source","IDO","12 (IDO)","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"7602",7602,"17ce9571-3313-4faa-8d6c-092ef62d2e44","17ce9571-3313-4faa-8d6c-092ef62d2e44","Asari Toru","Rivers","South-South",64,"4.71239749 6.8335875 27.100000381469727 5.0","1342179543908.jpg","rivers_asari_toru","1342179543908.jpg","Handpump","handpump",NA,"outlet","TARIAMA","13","Yes","Hand Pump","Yes","Functional","No","Water Scheme, Source within 100m"
"7603",7603,"7b697233-91a4-4042-a100-399ee4dba93e","7b697233-91a4-4042-a100-399ee4dba93e","Asari Toru","Rivers","South-South",64,"4.73427337 6.86143668 22.0 5.0","1342430334203.jpg","rivers_asari_toru","1342430334203.jpg","Unimproved","unimproved","protected_dug_well","water_source","Buguma","7","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"7604",7604,"5dabea8a-8301-4ef2-b386-67c128b2e220","5dabea8a-8301-4ef2-b386-67c128b2e220","Asari Toru","Rivers","South-South",64,"4.76334795 6.84044206 64.5999984741211 5.0","1342085273697.jpg","rivers_asari_toru","1342085273697.jpg","Unimproved","unimproved","unprotected_dug_well","water_source","ABALAMA","11 (ABALAMA)","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"7605",7605,"30eabfec-9f39-4893-be38-85e37a2f0f52","30eabfec-9f39-4893-be38-85e37a2f0f52","Asari Toru","Rivers","South-South",64,"4.7376938 6.8628616 31.0 5.0","1342433840387.jpg","rivers_asari_toru","1342433840387.jpg","Overhead Tank (1,000)","one_thousand_overhead",NA,"outlet","BUGUMA","6 (BUGUMA)","Yes","Tap (unknown lift)","No","Under Construction","No","Water Scheme, Source within 100m"
"7606",7606,"a2e64fed-a4fd-4642-8ef6-b26ac30f99ab","a2e64fed-a4fd-4642-8ef6-b26ac30f99ab","Asari Toru","Rivers","South-South",64,"4.76740739 6.83696246 26.5 5.0","1342080356729.jpg","rivers_asari_toru","1342080356729.jpg","Overhead Tank (5,000)","ten_thousand_overhead",NA,"outlet","ABALAMA","11 (ABALAMA)","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"7607",7607,"c6e1559a-f192-4719-90ee-26f1b7a32844","c6e1559a-f192-4719-90ee-26f1b7a32844","Asari Toru","Rivers","South-South",64,"4.73221796 6.8631609 21.5 5.0","1342431827876.jpg","rivers_asari_toru","1342431827876.jpg","Handpump","handpump","dam","water_source","Buguma","5","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
