breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,EPELLAMA,,,Stand Alone Water Point,1342104094015.jpg,Yes,4.44932702 7.19770509 6.0 5.0,False,Bonny,120,120,120.0,Manual,No,1342104094015.jpg,water,Rivers,rivers_bonny,a806cea2-2193-4d07-80d2-342e4dd534a3,10,Unimproved Well,water_source,unprotected_dug_well,a806cea2-2193-4d07-80d2-342e4dd534a3,South-South
Mechanical Issue,,BURUKIRI,,,"Water Scheme, Source within 100m",1342011962917.jpg,No,4.45429316 7.21846888 27.200000762939453 5.0,True,Bonny,120,120,120.0,Tap (unknown lift),No,1342011962917.jpg,water,Rivers,rivers_bonny,92804fc1-5893-4538-9445-b9ec2051194c,10,Tap,outlet,,92804fc1-5893-4538-9445-b9ec2051194c,South-South
Functional,,MINIMA,,,Stand Alone Water Point,1342107060960.jpg,Yes,4.44948993 7.20354933 9.300000190734863 5.0,False,Bonny,120,120,120.0,Manual,No,1342107060960.jpg,water,Rivers,rivers_bonny,b006ddc5-8fff-42bc-b81d-d6ecdb785fa6,10,Unimproved Well,water_source,protected_dug_well,b006ddc5-8fff-42bc-b81d-d6ecdb785fa6,South-South
Functional,,ILOMA,,,Stand Alone Water Point,1342105470403.jpg,Yes,4.44552729 7.1938043 29.899999618530273 5.0,False,Bonny,120,120,120.0,Manual,No,1342105470403.jpg,water,Rivers,rivers_bonny,9bf5f1c0-8c64-4d4f-b46f-3d0680f61a7a,10,Unimproved Well,water_source,protected_dug_well,9bf5f1c0-8c64-4d4f-b46f-3d0680f61a7a,South-South
Functional,,OLD MARKET SQUARE,,,"Water Scheme, Source within 100m",1342176284797.jpg,Yes,4.44958933 7.17175602 13.800000190734863 5.0,True,Bonny,120,120,120.0,Tap (unknown lift),No,1342176284797.jpg,water,Rivers,rivers_bonny,1c1caac4-ab17-49da-b77b-35f0046ca218,2,Tap,outlet,,1c1caac4-ab17-49da-b77b-35f0046ca218,South-South
Functional,,Orosikiri,,,Stand Alone Water Point,1342255776482.jpg,Yes,4.4427756 7.1644123 28.5 5.0,False,Bonny,120,120,120.0,Manual,No,1342255776482.jpg,water,Rivers,rivers_bonny,48d51b7e-83b4-4cef-b8ce-dd83de0dcf52,3,Unimproved Well,water_source,unprotected_dug_well,48d51b7e-83b4-4cef-b8ce-dd83de0dcf52,South-South
Functional,,OWUPIRI,,,Stand Alone Water Point,1342021292587.jpg,Yes,4.47162034 7.19770227 30.399999618530273 5.0,False,Bonny,120,120,120.0,Manual,No,1342021292587.jpg,water,Rivers,rivers_bonny,45b7f0a7-a5b0-44d1-9aa1-d0a3307477c7,10,Unimproved Well,water_source,unprotected_dug_well,45b7f0a7-a5b0-44d1-9aa1-d0a3307477c7,South-South
Functional,,POLO NWATO,,,Stand Alone Water Point,1342173800349.jpg,Yes,4.45197979 7.1726729 27.299999237060547 5.0,False,Bonny,120,120,120.0,Manual,No,1342173800349.jpg,water,Rivers,rivers_bonny,db14fc00-5d92-453b-89fa-0b862137cf96,1,Unimproved Well,water_source,unprotected_dug_well,db14fc00-5d92-453b-89fa-0b862137cf96,South-South
Poor Water Quality,,COLE BEACH,,,"Water Scheme, Source within 100m",1342170423469.jpg,No,4.45773518 7.17263511 7.199999809265137 5.0,True,Bonny,120,120,120.0,Tap (unknown lift),Don't Know,1342170423469.jpg,water,Rivers,rivers_bonny,b6f3eed0-21e3-491d-a39c-5eb8ba1a6460,1,Tap,outlet,,b6f3eed0-21e3-491d-a39c-5eb8ba1a6460,South-South
Functional,,Fibiri,,,Stand Alone Water Point,1342083740028.jpg,Yes,4.47642664 7.1569332 33.29999923706055 5.0,False,Bonny,120,120,120.0,Manual,No,1342083740028.jpg,water,Rivers,rivers_bonny,6da16acf-8a4e-4a8c-bf61-6b977c2cea93,11,Unimproved Well,water_source,unprotected_dug_well,6da16acf-8a4e-4a8c-bf61-6b977c2cea93,South-South
Mechanical Issue,,AYAMINIMA,,,Stand Alone Water Point,1342100897407.jpg,No,4.4607652 7.19409474 -4.300000190734863 5.0,True,Bonny,120,120,120.0,,Don't Know,1342100897407.jpg,water,Rivers,rivers_bonny,b45174f1-fb7b-4f96-8db2-2af3ee7cf8ba,10,Borehole,water_source,borehole_tube_well,b45174f1-fb7b-4f96-8db2-2af3ee7cf8ba,South-South
Under Construction,,PETER SIDE,,,"Water Scheme, Source within 100m",1342019278790.jpg,No,4.47865172 7.1630114 49.0 5.0,True,Bonny,120,120,120.0,Tap (unknown lift),Don't Know,1342019278790.jpg,water,Rivers,rivers_bonny,97f39caf-3080-454e-b28d-a84a5e5caf7d,11,Tap,outlet,,97f39caf-3080-454e-b28d-a84a5e5caf7d,South-South
Functional,,Banigo Ishile-Ogono,,,"Water Scheme, Source within 100m",1342093711551.jpg,Yes,4.4533692 7.24091488 20.399999618530273 5.0,True,Bonny,120,120,120.0,Tap (unknown lift),No,1342093711551.jpg,water,Rivers,rivers_bonny,40b48f4a-5bff-437c-9f49-98bc593a44bc,7,Tap,outlet,,40b48f4a-5bff-437c-9f49-98bc593a44bc,South-South
Functional,,PARK,,,"Water Scheme, Source within 100m",1342262043359.jpg,Yes,4.43870227 7.16301837 37.099998474121094 5.0,True,Bonny,120,120,120.0,Tap (unknown lift),No,1342262043359.jpg,water,Rivers,rivers_bonny,a5c92937-cae1-4710-8d81-04cdfcd30362,4,Tap,outlet,,a5c92937-cae1-4710-8d81-04cdfcd30362,South-South
Functional,,Dappa-posia,,,"Water Scheme, Source within 100m",1342176471678.jpg,Yes,4.44928305 7.17215978 10.899999618530273 5.0,True,Bonny,120,120,120.0,Tap (unknown lift),No,1342176471678.jpg,water,Rivers,rivers_bonny,f6b8fb3e-ce9d-43fa-b503-4970dc8c1e9b,2,Tap,outlet,,f6b8fb3e-ce9d-43fa-b503-4970dc8c1e9b,South-South
Poor Water Quality,,CHRISTY WILCOX,,,Stand Alone Water Point,1342092561217.jpg,No,4.46939439 7.23704849 18.0 5.0,True,Bonny,120,120,120.0,Hand Pump,No,1342092561217.jpg,water,Rivers,rivers_bonny,1e60815e-6ddd-4467-962d-24048506851d,09,Borehole,water_source,borehole_tube_well,1e60815e-6ddd-4467-962d-24048506851d,South-South
Poor Water Quality,,OLOMA,,,Stand Alone Water Point,1342101542207.jpg,No,4.45932101 7.19572198 4.5 5.0,True,Bonny,120,120,120.0,Hand Pump,Don't Know,1342101542207.jpg,water,Rivers,rivers_bonny,28977916-bd8e-4fdd-9814-f04f0691fbad,10,Borehole,water_source,borehole_tube_well,28977916-bd8e-4fdd-9814-f04f0691fbad,South-South
