access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,138.0841968,True,FALSE,False,,,,formal_educ,community secondary school 2 Ebubu,juniors_sec_only,1343827752821.jpg,True,False,,4.782582521438599 7.149057984352112 44.0 4.0,False,False,juniors_sec_only,Eleme,192,192,192.0,0.864197530864197,False,eleme,rivers,south_south,TRUE,0.0,,7.0,453.0,4.0,20.0,,1.0,1600.0,public,False,1343827752821.jpg,190884,1382.37397489,,False,FALSE,FALSE,22.65,64.7142857142857,5.03333333333333,22.65,,False,True,community secondary school 2 Ebubu,education,Rivers,0.0,Others,False,False,TRUE,5,3.53200883002207,FALSE,,rivers_eleme,ff0dd70b-22cb-4f3b-ad74-97c2676d2e53,False,ff0dd70b-22cb-4f3b-ad74-97c2676d2e53,South-South
False,False,138.0841968,False,TRUE,False,,,,formal_educ,state school 2 ebubu,preprimary_and_primary,1343822380903.jpg,,False,,4.78004515171051 7.146289944648743 28.0 4.0,False,False,preprimary_and_primary,Eleme,192,192,192.0,0.720321931589537,True,eleme,rivers,south_south,FALSE,0.0,0.0,1.0,855.0,3.0,8.0,,4.0,3400.0,public,False,1343822380903.jpg,190884,1382.37397489,,False,FALSE,FALSE,12.2142857142857,855,12.2142857142857,106.875,,False,False,state school 2 ebubu,education,Rivers,0.0,Others,False,False,FALSE,4,3.9766081871345,FALSE,,rivers_eleme,0bcda375-ea4c-4dc4-9067-06c51678339f,False,0bcda375-ea4c-4dc4-9067-06c51678339f,South-South
False,True,138.0841968,True,FALSE,True,,,,formal_educ,King Brown International Schools Aleto,preprimary_and_primary,1343721945860.jpg,,False,FALSE,4.7972867 7.11069864 46.099998474121094 5.0,False,False,preprimary_and_primary,Eleme,192,192,192.0,0.930232558139535,False,eleme,rivers,south_south,TRUE,0.0,0.0,7.0,166.0,3.0,12.0,,7.0,664.0,private,True,1343721945860.jpg,190884,1382.37397489,,True,FALSE,FALSE,1.18571428571429,23.7142857142857,1.18571428571429,13.8333333333333,55.3333333333333,True,False,King Brown International Schools Aleto,education,Rivers,0.0,Others,False,False,TRUE,12,4,FALSE,,rivers_eleme,d740922f-cc34-4d96-9049-3b1031cce97b,True,d740922f-cc34-4d96-9049-3b1031cce97b,South-South
False,True,138.0841968,False,FALSE,True,,,,formal_educ,Bigsky International School Alejor Onne,primary_junior_and_senior_sec,1343813600241.jpg,True,True,FALSE,4.72723573 7.15472848 33.79999923706055 5.0,False,False,primary_junior_and_senior_sec,Eleme,192,192,192.0,1.05555555555556,False,eleme,rivers,south_south,TRUE,0.0,0.0,16.0,333.0,12.0,18.0,,8.0,880.0,private,True,1343813600241.jpg,190884,1382.37397489,,True,FALSE,FALSE,1.665,20.8125,1.665,18.5,83.25,True,,Bigsky International School Alejor Onne,education,Rivers,30.0,Others,False,False,FALSE,Inf,2.64264264264264,FALSE,,rivers_eleme,eb1dd554-2d1a-4296-baed-9b828f5eee31,True,eb1dd554-2d1a-4296-baed-9b828f5eee31,South-South
True,False,138.0841968,True,FALSE,True,,,,formal_educ,Government Secondary School Onne,senior_sec_only,1343743919299.jpg,True,True,FALSE,4.7480176 7.15329635 33.0 7.0,False,False,senior_sec_only,Eleme,192,192,192.0,1.03125,False,eleme,rivers,south_south,FALSE,0.0,2.0,8.0,650.0,3.0,20.0,,1.0,0.0,public,False,1343743919299.jpg,190884,1382.37397489,,False,FALSE,FALSE,32.5,81.25,18.5714285714286,32.5,325,True,,Government Secondary School Onne,education,Rivers,0.0,Others,False,False,TRUE,5,0,FALSE,,rivers_eleme,007212e3-b47b-432e-b15b-c724c32012fc,False,007212e3-b47b-432e-b15b-c724c32012fc,South-South
False,False,138.0841968,False,FALSE,False,,,,formal_educ,state school Agbeta 2,preprimary_and_primary,1343891468778.jpg,,False,,4.817794561386108 7.180547118186951 45.0 4.0,False,False,preprimary_and_primary,Eleme,192,192,192.0,1.04,True,eleme,rivers,south_south,FALSE,1.0,1.0,6.0,510.0,5.0,5.0,,2.0,2040.0,public,False,1343891468778.jpg,190884,1382.37397489,,False,FALSE,FALSE,14.1666666666667,85,14.1666666666667,102,,False,True,state school Agbeta 2,education,Rivers,0.0,Others,False,False,FALSE,Inf,4,FALSE,,rivers_eleme,2bce3e91-8c82-486c-9faf-7459dd439cb8,False,2bce3e91-8c82-486c-9faf-7459dd439cb8,South-South
True,False,138.0841968,True,FALSE,True,,,,formal_educ,De Living Proof Academy Ogale Eleme P H,preprimary_and_primary,1343492501314.jpg,True,True,TRUE,4.78700763 7.13266575 49.099998474121094 5.0,False,False,preprimary_and_primary,Eleme,192,192,192.0,0.910569105691057,False,eleme,rivers,south_south,TRUE,0.0,0.0,9.0,235.0,16.0,16.0,,5.0,640.0,private,False,1343492501314.jpg,190884,1382.37397489,,True,FALSE,FALSE,1.74074074074074,26.1111111111111,1.74074074074074,14.6875,47,True,False,De Living Proof Academy Ogale Eleme P H,education,Rivers,0.0,Others,True,False,TRUE,16,2.72340425531915,FALSE,,rivers_eleme,858cfc9f-a09e-4c11-983b-40a97071c7af,True,858cfc9f-a09e-4c11-983b-40a97071c7af,South-South
False,True,138.0841968,True,FALSE,True,,,,formal_educ,Peniel Academy International,junior_and_senior_sec,1343725712767.jpg,True,False,TRUE,4.79722272 7.11329793 38.099998474121094 5.0,False,False,junior_and_senior_sec,Eleme,192,192,192.0,0.579710144927536,False,eleme,rivers,south_south,TRUE,0.0,0.0,6.0,109.0,10.0,10.0,,2.0,,private,True,1343725712767.jpg,190884,1382.37397489,,True,FALSE,FALSE,Inf,18.1666666666667,1.81666666666667,10.9,18.1666666666667,False,False,Peniel Academy International,education,Rivers,0.0,Others,False,False,TRUE,Inf,,FALSE,,rivers_eleme,a83d2d27-6e37-4bfd-8206-60828fc47b42,True,a83d2d27-6e37-4bfd-8206-60828fc47b42,South-South
False,False,138.0841968,True,FALSE,True,,,,formal_educ,State Primary School Aleto Eleme,preprimary_and_primary,1343720242830.jpg,True,True,,4.79400736 7.11372065 46.5 5.0,False,False,preprimary_and_primary,Eleme,192,192,192.0,0.909090909090909,True,eleme,rivers,south_south,FALSE,0.0,0.0,4.0,756.0,6.0,18.0,,9.0,3024.0,public,True,1343720242830.jpg,190884,1382.37397489,,True,FALSE,FALSE,6.3,189,6.3,42,,False,False,State Primary School Aleto Eleme,education,Rivers,0.0,Others,False,False,FALSE,Inf,4,FALSE,,rivers_eleme,b05af28d-abb3-4846-b708-65f680b79d49,True,b05af28d-abb3-4846-b708-65f680b79d49,South-South
False,True,138.0841968,True,FALSE,False,,,,formal_educ,STATE SCHOOL ALODE ELEME,primary_only,1343470888646.jpg,True,False,TRUE,4.78326953 7.12385288 46.0 5.0,False,False,primary_only,Eleme,192,192,192.0,1.03333333333333,False,eleme,rivers,south_south,TRUE,0.0,,15.0,305.0,3.0,17.0,,3.0,40.0,public,True,1343470888646.jpg,190884,1382.37397489,,True,TRUE,FALSE,61,20.3333333333333,20.3333333333333,17.9411764705882,50.8333333333333,True,True,STATE SCHOOL ALODE ELEME,education,Rivers,50.0,Others,False,False,TRUE,5.66666666666667,0.131147540983607,FALSE,,rivers_eleme,5eda2ca9-c2eb-47c9-91d3-cef36461a6c4,False,5eda2ca9-c2eb-47c9-91d3-cef36461a6c4,South-South
