breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Poor Water Quality,tap,Isaka,,,Stand Alone Water Point,1338038907924.jpg,No,4.73805343 6.99982964 30.799999237060547 5.0,True,Okrika,590,590,590.0,Diesel,No,1338038907924.jpg,water,Rivers,rivers_okrika,b044cbca-f4f3-4d7a-b6c1-aa5bf5083c87,6,Tap,water_source,borehole_tube_well,b044cbca-f4f3-4d7a-b6c1-aa5bf5083c87,South-South
Poorly Constructed,tap,Kalio Ama,,,"Water Scheme, Source within 100m",1338376870270.jpg,No,4.76020744 7.07093887 12.699999809265137 3.0,True,Okrika,590,590,590.0,Tap (unknown lift),No,1338376870270.jpg,water,Rivers,rivers_okrika,8903c6d7-516a-4ba0-9dad-4d7fcabe8fd4,009,Tap,outlet,,8903c6d7-516a-4ba0-9dad-4d7fcabe8fd4,South-South
Don't Know,tap,Ngeme biri,,,"Water Scheme, Source within 1km",1338288545431.jpg,No,4.74137817 7.08850722 33.79999923706055 5.0,True,Okrika,590,590,590.0,Tap (unknown lift),No,1338288545431.jpg,water,Rivers,rivers_okrika,8f8e7b9d-15a4-4833-8e50-ee31c4b3a1e6,2,Tap,outlet,,8f8e7b9d-15a4-4833-8e50-ee31c4b3a1e6,South-South
Functional,one_thousand_overhead,Isaka,,,"Water Scheme, Source within 100m",1338040535691.jpg,Yes,4.74059828 6.99898849 27.100000381469727 5.0,True,Okrika,590,590,590.0,Tap (unknown lift),No,1338040535691.jpg,water,Rivers,rivers_okrika,e9ee5609-8a8b-4b2d-a37e-0feb9f59876d,6,"Overhead Tank (1,000)",outlet,,e9ee5609-8a8b-4b2d-a37e-0feb9f59876d,South-South
Poorly Constructed,tap,ISAKA,,,"Water Scheme, Source within 100m",1338039478002.jpg,No,4.73955038 6.99994093 39.5 5.0,True,Okrika,590,590,590.0,Tap (unknown lift),No,1338039478002.jpg,water,Rivers,rivers_okrika,f58ad5a1-18d4-4c12-85fc-05e6411e9c36,6,Tap,outlet,,f58ad5a1-18d4-4c12-85fc-05e6411e9c36,South-South
Poorly Constructed,unimproved,Semeinibipi-Ama,,,Stand Alone Water Point,1338030869561.jpg,No,4.67600341 7.12354561 29.899999618530273 5.0,False,Okrika,590,590,590.0,,No,1338030869561.jpg,water,Rivers,rivers_okrika,7db7c190-b0bd-43ef-9ec8-79d762100eb3,Semeinibipi-Ama,Unimproved,water_source,unprotected_dug_well,7db7c190-b0bd-43ef-9ec8-79d762100eb3,South-South
Poor Water Quality,tap,NGEME BIRI. KONIJU TOWN,,,"Water Scheme, Source within 1km",1338284366771.jpg,No,4.74136552 7.0888886 25.0 5.0,True,Okrika,590,590,590.0,Tap (unknown lift),No,1338284366771.jpg,water,Rivers,rivers_okrika,f4dc54d8-9044-46ab-91d2-120650528af2,2,Tap,outlet,,f4dc54d8-9044-46ab-91d2-120650528af2,South-South
Functional,tap,ATC,,,"Water Scheme, Source further than 1km",1338291313157.jpg,Yes,4.74239451 7.0824099 29.700000762939453 5.0,True,Okrika,590,590,590.0,Tap (unknown lift),No,1338291313157.jpg,water,Rivers,rivers_okrika,17503d60-e1f6-4fda-bada-c578c3d6dea5,4,Tap,outlet,,17503d60-e1f6-4fda-bada-c578c3d6dea5,South-South
Functional,tap,OKOLOBO-OGOLOMA,,,"Water Scheme, Source within 100m",1338205065566.jpg,Yes,4.7377976 7.082783 17.399999618530273 5.0,True,Okrika,590,590,590.0,Tap (unknown lift),No,1338205065566.jpg,water,Rivers,rivers_okrika,8fac9ad4-716d-46e7-82c3-56bc22e8874a,10,Tap,outlet,,8fac9ad4-716d-46e7-82c3-56bc22e8874a,South-South
Poorly Constructed,tap,George -Ama,,,"Water Scheme, Source within 100m",1338135191429.jpg,No,4.75607029 7.07743691 50.79999923706055 5.0,True,Okrika,590,590,590.0,Tap (unknown lift),No,1338135191429.jpg,water,Rivers,rivers_okrika,ed26adf6-ea07-4ede-82fa-698a2340fb01,008,Tap,outlet,,ed26adf6-ea07-4ede-82fa-698a2340fb01,South-South
Poor Water Quality,handpump,AMANOGUBIRI,,,,1338286689179.jpg,No,4.74082869 7.08848058 14.300000190734863 5.0,True,Okrika,590,590,590.0,Hand Pump,No,1338286689179.jpg,water,Rivers,rivers_okrika,b3736321-301f-47ff-bbce-408c73866eeb,2,Handpump,outlet,,b3736321-301f-47ff-bbce-408c73866eeb,South-South
Poor Water Quality,tap,NGEME BIRI. KONIJU TOWN,,,"Water Scheme, Source within 1km",1338284962382.jpg,No,4.74170673 7.08848583 20.799999237060547 5.0,True,Okrika,590,590,590.0,Tap (unknown lift),No,1338284962382.jpg,water,Rivers,rivers_okrika,f0354abd-9729-410f-936f-1eef71723d7c,2,Tap,outlet,,f0354abd-9729-410f-936f-1eef71723d7c,South-South
Under Construction,tap,KALIO-AMA,,,"Water Scheme, Source within 1km",1338132397429.jpg,No,4.76075961 7.0723334 29.299999237060547 13.0,True,Okrika,590,590,590.0,Tap (unknown lift),No,1338132397429.jpg,water,Rivers,rivers_okrika,6db2ea10-e121-45c1-aedd-047b8973f77f,9,Tap,outlet,,6db2ea10-e121-45c1-aedd-047b8973f77f,South-South
Functional,handpump,OKOMANGA,,,Stand Alone Water Point,1338031874746.jpg,Yes,4.73186736 7.0073306 27.899999618530273 5.0,True,Okrika,590,590,590.0,Hand Pump,No,1338031874746.jpg,water,Rivers,rivers_okrika,b4bb264b-9865-4428-8b3d-7a3a2665255a,6,Handpump,water_source,borehole_tube_well,b4bb264b-9865-4428-8b3d-7a3a2665255a,South-South
Functional,one_thousand_overhead,Isaka,,,"Water Scheme, Source within 100m",1338039548541.jpg,Yes,4.73887681 6.99978607 9.399999618530273 5.0,True,Okrika,590,590,590.0,Tap (unknown lift),No,1338039548541.jpg,water,Rivers,rivers_okrika,6af3e672-3571-4f89-84f2-7ed8e4b09d73,6,"Overhead Tank (1,000)",outlet,,6af3e672-3571-4f89-84f2-7ed8e4b09d73,South-South
Functional,unimproved,Oba. Ama,,,Stand Alone Water Point,1338032216284.jpg,Yes,4.77724777 7.07752302 23.100000381469727 5.0,False,Okrika,590,590,590.0,Manual,No,1338032216284.jpg,water,Rivers,rivers_okrika,572a20df-1119-4ca2-8e91-69a71d8ace73,9,Unimproved,water_source,unprotected_dug_well,572a20df-1119-4ca2-8e91-69a71d8ace73,South-South
