"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"8330",8330,8330,"e086d19a-d383-49c2-9099-42c06e6f739e","bodinga","sokoto","northwest","12.74012852 5.26367231 393.70001220703125 5.0","Bangi Dutsi Primary School","primary_only","sokoto_bodinga",115,"1336386206692.jpg","e086d19a-d383-49c2-9099-42c06e6f739e","primary_only","1336386206692.jpg",3,"formal_educ",TRUE,FALSE,0,0,NA,NA,FALSE,TRUE,0,8,FALSE,NA,NA,FALSE,3,FALSE,FALSE,FALSE,FALSE,69,FALSE,FALSE,TRUE,TRUE,18.8181818181818,18.8181818181818,69,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"8331",8331,8331,"74e50f12-ae78-4bcd-8446-9667de711e4d","bodinga","sokoto","northwest","12.75125546 5.2499787 289.29998779296875 5.0","Bangi Rafi Primary school","primary_only","sokoto_bodinga",115,"1336388371269.jpg","74e50f12-ae78-4bcd-8446-9667de711e4d","primary_only","1336388371269.jpg",1,"formal_educ",TRUE,FALSE,3,1,0,NA,FALSE,TRUE,0,NA,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"8332",8332,8332,"99e3ff57-dc78-4269-bc75-ee668aa67414","bodinga","sokoto","northwest","12.70961042 5.30628007 307.3999938964844 5.0","Wumumu primary school","primary_only","sokoto_bodinga",115,"1336303646951.jpg","99e3ff57-dc78-4269-bc75-ee668aa67414","primary_only","1336303646951.jpg",2,"formal_educ",FALSE,FALSE,3,1,NA,NA,TRUE,TRUE,7,2.5,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,11.6666666666667,FALSE,FALSE,FALSE,FALSE,Inf,Inf,35,Inf,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"education"
"8333",8333,8333,"2bc3adaa-e12d-4225-a54a-57e9cef5222d","bodinga","sokoto","northwest","12.87359571 5.16689425 324.8999938964844 5.0","Famfo primary school","primary_only","sokoto_bodinga",115,"1336227516853.jpg","2bc3adaa-e12d-4225-a54a-57e9cef5222d","primary_only","1336227516853.jpg",4,"formal_educ",FALSE,FALSE,1,2,NA,NA,TRUE,FALSE,0,0.96551724137931,FALSE,NA,NA,FALSE,1,FALSE,FALSE,FALSE,FALSE,114,TRUE,FALSE,TRUE,TRUE,Inf,Inf,28.5,Inf,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"education"
"8334",8334,8334,"87cb5f08-3416-475e-9031-629f9887d2e5","bodinga","sokoto","northwest","12.77679934 5.29458148 308.0 5.0","Maikataru primary school","primary_only","sokoto_bodinga",115,"1336228493229.jpg","87cb5f08-3416-475e-9031-629f9887d2e5","primary_only","1336228493229.jpg",3,"formal_educ",TRUE,FALSE,3,1,NA,NA,TRUE,TRUE,25,3.92857142857143,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,23,FALSE,FALSE,TRUE,TRUE,5.75,5.75,23,Inf,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"8335",8335,8335,"9cc4378c-1738-4ce5-acd1-0c48da20bf96","bodinga","sokoto","northwest","12.88389198 5.24000485 324.0 5.0","Zangalawa Primary School","primary_only","sokoto_bodinga",115,"1335961783420.jpg","9cc4378c-1738-4ce5-acd1-0c48da20bf96","primary_only","1335961783420.jpg",4,"formal_educ",FALSE,FALSE,4,2,NA,NA,TRUE,TRUE,0,1.85714285714286,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,16.6666666666667,FALSE,FALSE,FALSE,TRUE,5,5,25,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"8336",8336,8336,"511ff126-de00-450d-af17-738eec7fe324","bodinga","sokoto","northwest","12.801668643951416 5.152603983879089 288.0 4.0","Danmalle  Primary School","primary_only","sokoto_bodinga",115,"1336216476257.jpg","511ff126-de00-450d-af17-738eec7fe324","primary_only","1336216476257.jpg",7,"formal_educ",FALSE,FALSE,0,1,NA,NA,TRUE,TRUE,0,4.54545454545455,FALSE,NA,NA,TRUE,0,TRUE,FALSE,FALSE,FALSE,101.666666666667,TRUE,FALSE,TRUE,TRUE,Inf,Inf,43.5714285714286,Inf,3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"education"
"8337",8337,8337,"2ca0f10f-71dc-43a0-8a8b-83666c026226","bodinga","sokoto","northwest","12.75767185 5.22234616 300.20001220703125 5.0","Gida Gadanga Primary School","primary_only","sokoto_bodinga",115,"1336380417569.jpg","2ca0f10f-71dc-43a0-8a8b-83666c026226","primary_only","1336380417569.jpg",2,"formal_educ",TRUE,TRUE,0,2,NA,NA,FALSE,TRUE,50,2,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,NA,Inf,Inf,75,Inf,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"8338",8338,8338,"3f5fd5cc-f2d1-45bc-9e83-047ee5e3366f","bodinga","sokoto","northwest","12.79447264 5.14025636 300.3999938964844 5.0","Adult Literacy class","juniors_sec_only","sokoto_bodinga",115,"1336222352936.jpg","3f5fd5cc-f2d1-45bc-9e83-047ee5e3366f","juniors_sec_only","1336222352936.jpg",2,"formal_educ",FALSE,FALSE,0,0,NA,NA,FALSE,TRUE,20,1.54761904761905,TRUE,FALSE,53.5,FALSE,0,TRUE,FALSE,FALSE,FALSE,107,TRUE,FALSE,FALSE,TRUE,7.13333333333333,7.13333333333333,53.5,Inf,1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"education"
"8339",8339,8339,"5145be0d-e94a-4147-b8fc-2f64bbc9a737","bodinga","sokoto","northwest","12.84394191 5.14953545 335.29998779296875 5.0","All fodio model primary school","preprimary_and_primary","sokoto_bodinga",115,"1336121463794.jpg","5145be0d-e94a-4147-b8fc-2f64bbc9a737","preprimary_and_primary","1336121463794.jpg",40,"formal_educ",TRUE,FALSE,12,25,3350,1.9044911881751,FALSE,FALSE,0,1.49150141643059,TRUE,TRUE,109.9375,TRUE,6,FALSE,FALSE,TRUE,FALSE,92.5789473684211,FALSE,FALSE,FALSE,TRUE,3.0859649122807,3.0859649122807,43.975,Inf,40,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"education"
