"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"56065",56065,56065,"99f7a740-3255-4d54-94d4-a46e71ec0ff8","wamakko","sokoto","northwest","13.135013580322266 5.231514573097229 305.0 4.0","yarkanta pri sch","primary_only","sokoto_wammako",741,"1343301347398.jpg","99f7a740-3255-4d54-94d4-a46e71ec0ff8","primary_only","1343301347398.jpg",4,"formal_educ",FALSE,FALSE,3,2,NA,NA,TRUE,FALSE,0,4.75,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,76.6666666666667,FALSE,FALSE,FALSE,TRUE,46,11.5,57.5,Inf,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"56066",56066,56066,"4908f677-07bb-4358-b740-052924b57041","wamakko","sokoto","northwest","13.05058553 5.13735656 281.3999938964844 5.0","ASARI PRIMARY SCHOOL","primary_only","sokoto_wammako",741,"1343378499486.jpg","4908f677-07bb-4358-b740-052924b57041","primary_only","1343378499486.jpg",3,"formal_educ",TRUE,FALSE,0,2,NA,NA,FALSE,TRUE,2,2.89655172413793,FALSE,NA,NA,FALSE,0,TRUE,FALSE,FALSE,FALSE,37.6666666666667,FALSE,FALSE,TRUE,TRUE,56.5,3.53125,37.6666666666667,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"56067",56067,56067,"cfcd989e-f33a-4fc9-bc47-7a7008fb4c9d","wamakko","sokoto","northwest","13.133307695388794 5.241143703460693 307.0 4.0","s\dunki pri sch","primary_only","sokoto_wammako",741,"1343303568547.jpg","cfcd989e-f33a-4fc9-bc47-7a7008fb4c9d","primary_only","1343303568547.jpg",2,"formal_educ",FALSE,FALSE,0,0,NA,NA,TRUE,FALSE,0,5.25,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,31.25,FALSE,FALSE,FALSE,FALSE,Inf,Inf,62.5,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"56068",56068,56068,"f3f28d6f-45ee-459a-921b-80f3da764d22","wamakko","sokoto","northwest","13.038931488990784 5.1889801025390625 312.0 4.0","Kalambaina primary school","preprimary_and_primary","sokoto_wammako",741,"1343467914239.jpg","f3f28d6f-45ee-459a-921b-80f3da764d22","preprimary_and_primary","1343467914239.jpg",16,"formal_educ",TRUE,FALSE,2,9,168,0.648648648648649,FALSE,TRUE,10,1.17647058823529,TRUE,FALSE,64.75,FALSE,0,TRUE,FALSE,TRUE,FALSE,37,FALSE,FALSE,FALSE,TRUE,43.1666666666667,4.17741935483871,16.1875,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"56069",56069,56069,"a82a304f-a0c7-4183-9417-f264b652648f","wamakko","sokoto","northwest","12.967332601547241 5.198126435279846 315.0 3.0","Kasarawa primary school","preprimary_and_primary","sokoto_wammako",741,"1343228115655.jpg","a82a304f-a0c7-4183-9417-f264b652648f","preprimary_and_primary","1343228115655.jpg",15,"formal_educ",TRUE,FALSE,1,10,0,0,TRUE,TRUE,0,1.5,TRUE,FALSE,187.5,FALSE,2,FALSE,FALSE,FALSE,FALSE,93.75,TRUE,TRUE,TRUE,FALSE,Inf,35.7142857142857,50,3.75,5,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"education"
"56070",56070,56070,"41d10b74-2cce-49dc-964a-67b407f5c6fe","wamakko","sokoto","northwest","13.070447444915771 5.187821388244629 277.0 4.0","Hidayatuddullabi","vocational","sokoto_wammako",741,"1343390293640.jpg","41d10b74-2cce-49dc-964a-67b407f5c6fe","vocational","1343390293640.jpg",4,"religious_with_formal",TRUE,FALSE,0,0,0,0,FALSE,TRUE,45,0.833333333333333,FALSE,NA,NA,FALSE,0,TRUE,FALSE,FALSE,FALSE,55,FALSE,TRUE,FALSE,FALSE,Inf,Inf,27.5,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"56071",56071,56071,"ce7264a4-4c71-4306-9743-1bc7f0415fdc","wamakko","sokoto","northwest","13.013595342636108 5.233038067817688 325.0 4.0","Madarasatul Ta'alimul Qur'an Wat-Tarbiyya","primary_junior_and_senior_sec","sokoto_wammako",741,"1343405658048.jpg","ce7264a4-4c71-4306-9743-1bc7f0415fdc","primary_junior_and_senior_sec","1343405658048.jpg",12,"religious_with_formal",FALSE,FALSE,4,4,440,0.488888888888889,FALSE,FALSE,100,0.8,FALSE,NA,NA,FALSE,4,FALSE,FALSE,FALSE,FALSE,225,TRUE,TRUE,FALSE,FALSE,90,4.5,75,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"56072",56072,56072,"2026ded0-db93-49cf-baa1-d1fa3114c4d6","wamakko","sokoto","northwest","13.02578330039978 5.219551920890808 320.0 4.0","islamic education trust (I.E.T)","preprimary_and_primary","sokoto_wammako",741,"1343403428677.jpg","2026ded0-db93-49cf-baa1-d1fa3114c4d6","preprimary_and_primary","1343403428677.jpg",24,"religious_with_formal",TRUE,FALSE,0,15,0,0,TRUE,TRUE,100,1.6304347826087,TRUE,TRUE,302.5,TRUE,0,TRUE,TRUE,FALSE,TRUE,86.4285714285714,FALSE,TRUE,FALSE,TRUE,2.42,Inf,50.4166666666667,8,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"56073",56073,56073,"9bc2403e-70d3-4323-b7e3-a61d05ebeee6","wamakko","sokoto","northwest","13.056194186210632 5.179533362388611 309.0 4.0","Gidan gamba primary school","primary_only","sokoto_wammako",741,"1343388893596.jpg","9bc2403e-70d3-4323-b7e3-a61d05ebeee6","primary_only","1343388893596.jpg",7,"formal_educ",FALSE,FALSE,2,3,NA,NA,FALSE,FALSE,0,1.33333333333333,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,116.666666666667,FALSE,FALSE,FALSE,TRUE,11.6666666666667,11.6666666666667,50,Inf,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"56074",56074,56074,"f2a7c44e-b30b-4fdd-b3b0-33b82bb5cd1a","wamakko","sokoto","northwest","13.00780713558197 5.224696397781372 337.0 4.0","Haliru Rijiya Model Primary School","primary_only","sokoto_wammako",741,"1343316256358.jpg","f2a7c44e-b30b-4fdd-b3b0-33b82bb5cd1a","primary_only","1343316256358.jpg",28,"formal_educ",TRUE,FALSE,0,24,NA,NA,FALSE,FALSE,0,1.44444444444444,TRUE,FALSE,550,TRUE,0,TRUE,FALSE,TRUE,TRUE,68.75,FALSE,FALSE,FALSE,FALSE,Inf,2.2,39.2857142857143,Inf,10,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"education"
