access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,4351.649976,False,FALSE,False,,,,formal_educ,Pri Sch Ma ana,primary_only,1339573539274.jpg,,False,,12.76133812 11.84615541 343.20001220703125 5.0,False,False,primary_only,Geidam,246,246,246.0,1.5,False,geidam,yobe,northeast,FALSE,5.0,0.0,7.0,500.0,2.0,5.0,,3.0,65.0,public,False,1339573539274.jpg,157295,36.14605974,,False,FALSE,FALSE,Inf,71.4285714285714,Inf,100,,True,True,Pri Sch Ma ana,education,Yobe,150.0,148,False,False,TRUE,Inf,0.13,FALSE,,yobe_geidam,6c2f91f8-aca1-4837-a878-2c9e892400b0,False,6c2f91f8-aca1-4837-a878-2c9e892400b0,Northeast
False,False,4351.649976,True,FALSE,False,,,,formal_educ,Govt Day Jnr Secondary. Kafela,juniors_sec_only,1339517365262.jpg,False,False,,12.88734064 11.9248556 352.0 5.0,False,False,juniors_sec_only,Geidam,246,246,246.0,Inf,True,geidam,yobe,northeast,TRUE,3.0,1.0,11.0,1000.0,6.0,6.0,,4.0,70.0,public,False,1339517365262.jpg,157295,36.14605974,,False,FALSE,FALSE,Inf,90.9090909090909,Inf,166.666666666667,,False,True,Govt Day Jnr Secondary. Kafela,education,Yobe,100.0,148,False,False,TRUE,Inf,0.07,FALSE,,yobe_geidam,98c2ffee-150d-46a6-a8e0-15dbdc591340,False,98c2ffee-150d-46a6-a8e0-15dbdc591340,Northeast
False,False,4351.649976,False,FALSE,False,,,,formal_educ,Dejina fukurti kasuwa,primary_only,1339580677133.jpg,,False,,12.84515633 12.3163051 334.6000061035156 5.0,False,False,primary_only,Geidam,246,246,246.0,,False,geidam,yobe,northeast,FALSE,3.0,,3.0,,0.0,0.0,,0.0,0.0,public,False,1339580677133.jpg,157295,36.14605974,,False,FALSE,FALSE,,,,,,False,False,Dejina fukurti kasuwa,education,Yobe,,148,False,False,FALSE,,,FALSE,,yobe_geidam,956e9ef0-8a3c-459f-849c-710878d6f678,False,956e9ef0-8a3c-459f-849c-710878d6f678,Northeast
False,False,4351.649976,True,FALSE,False,,,,formal_educ,Dejina Pri. Sch,primary_only,1339574160011.jpg,,False,,12.87530864 12.23578735 327.79998779296875 5.0,False,False,primary_only,Geidam,246,246,246.0,2,False,geidam,yobe,northeast,FALSE,2.0,0.0,2.0,30.0,0.0,1.0,,0.0,0.0,public,False,1339574160011.jpg,157295,36.14605974,,False,FALSE,FALSE,Inf,15,Inf,30,,False,,Dejina Pri. Sch,education,Yobe,0.0,148,False,False,FALSE,Inf,0,FALSE,,yobe_geidam,0d054c62-54e5-4c59-955e-878189740f4a,False,0d054c62-54e5-4c59-955e-878189740f4a,Northeast
False,False,4351.649976,False,FALSE,False,,,,formal_educ,Pri .Sch. Gumzugumi,primary_only,1339585243709.jpg,,False,,12.53721425 11.7811722 362.79998779296875 5.0,False,False,primary_only,Geidam,246,246,246.0,2,False,geidam,yobe,northeast,TRUE,2.0,0.0,4.0,180.0,2.0,4.0,,2.0,24.0,public,False,1339585243709.jpg,157295,36.14605974,,False,FALSE,FALSE,Inf,45,Inf,45,,True,True,Pri .Sch. Gumzugumi,education,Yobe,30.0,148,True,False,TRUE,Inf,0.133333333333333,FALSE,,yobe_geidam,9a5ed0a5-2f67-47c4-92fd-186137676bfc,False,9a5ed0a5-2f67-47c4-92fd-186137676bfc,Northeast
False,False,4351.649976,True,FALSE,True,,,,formal_educ,Fuchimiram Pri. Sch,primary_only,1339581401691.jpg,True,False,,12.7799841 12.40654468 334.6000061035156 5.0,False,False,primary_only,Geidam,246,246,246.0,1.856,False,geidam,yobe,northeast,FALSE,0.0,0.0,5.0,357.0,0.0,4.0,,0.0,120.0,public,False,1339581401691.jpg,157295,36.14605974,,False,FALSE,FALSE,Inf,71.4,29.75,89.25,,False,False,Fuchimiram Pri. Sch,education,Yobe,0.0,148,False,False,FALSE,Inf,0.336134453781513,FALSE,,yobe_geidam,18942574-8de7-49fd-99c0-0b380b678c6c,False,18942574-8de7-49fd-99c0-0b380b678c6c,Northeast
False,False,4351.649976,True,FALSE,False,,,,formal_educ,Dejina Pri. Sch,primary_only,1339574160011.jpg,,False,,12.87530864 12.23578735 327.79998779296875 5.0,False,False,primary_only,Geidam,246,246,246.0,2,False,geidam,yobe,northeast,FALSE,2.0,0.0,2.0,30.0,0.0,1.0,,0.0,0.0,public,False,1339574160011.jpg,157295,36.14605974,,False,FALSE,FALSE,Inf,15,Inf,30,,False,,Dejina Pri. Sch,education,Yobe,0.0,148,False,False,FALSE,Inf,0,FALSE,,yobe_geidam,0d054c62-54e5-4c59-955e-878189740f4a,False,0d054c62-54e5-4c59-955e-878189740f4a,Northeast
False,False,4351.649976,True,FALSE,False,,,,formal_educ,Govt Day Jnr Secondary. Kafela,juniors_sec_only,1339517365262.jpg,False,False,,12.88734064 11.9248556 352.0 5.0,False,False,juniors_sec_only,Geidam,246,246,246.0,Inf,True,geidam,yobe,northeast,TRUE,3.0,1.0,11.0,1000.0,6.0,6.0,,4.0,70.0,public,False,1339517365262.jpg,157295,36.14605974,,False,FALSE,FALSE,Inf,90.9090909090909,Inf,166.666666666667,,False,True,Govt Day Jnr Secondary. Kafela,education,Yobe,100.0,148,False,False,TRUE,Inf,0.07,FALSE,,yobe_geidam,98c2ffee-150d-46a6-a8e0-15dbdc591340,False,98c2ffee-150d-46a6-a8e0-15dbdc591340,Northeast
False,False,4351.649976,False,FALSE,False,,,,formal_educ,Pri Sch Makantari,primary_only,1339577691399.jpg,,False,,12.76722227 11.77926469 358.29998779296875 5.0,False,False,primary_only,Geidam,246,246,246.0,1.375,False,geidam,yobe,northeast,TRUE,4.0,0.0,6.0,190.0,2.0,3.0,,2.0,13.0,public,False,1339577691399.jpg,157295,36.14605974,,False,FALSE,FALSE,Inf,31.6666666666667,Inf,63.3333333333333,,True,True,Pri Sch Makantari,education,Yobe,59.0,148,True,False,TRUE,Inf,0.068421052631579,FALSE,,yobe_geidam,ac00146d-8d25-413e-b82a-4ed10a116a1b,False,ac00146d-8d25-413e-b82a-4ed10a116a1b,Northeast
False,False,4351.649976,False,TRUE,False,,,,formal_educ,PRI SCH DAMATAR,primary_only,1339579346812.jpg,,False,,12.70396701 11.79893711 355.20001220703125 5.0,False,False,primary_only,Geidam,246,246,246.0,1.06896551724138,True,geidam,yobe,northeast,TRUE,4.0,0.0,4.0,120.0,2.0,4.0,,2.0,10.0,public,False,1339579346812.jpg,157295,36.14605974,,False,FALSE,FALSE,Inf,30,Inf,30,,True,True,PRI SCH DAMATAR,education,Yobe,35.0,148,True,False,TRUE,Inf,0.0833333333333333,FALSE,,yobe_geidam,d2a4bf23-31ac-41f1-8d38-8baa7ba9e298,False,d2a4bf23-31ac-41f1-8d38-8baa7ba9e298,Northeast
