antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,1160.996676,False,False,False,True,False,True,False,True,True,True,True,True,False,False,yes,True,,,,False,True,False,False,False,False,True,Bula Rafi Dispensary,yes,dispensary,False,False,False,False,1307432542572.jpg,12.984552383422852 10.646690726280212 351.0 4.0,False,True,no,,False,False,True,yes,True,True,False,False,False,False,False,False,Karasuwa,413,413,413.0,False,False,True,True,True,True,False,True,True,False,yes,KARASUWA,yobe,northeast,4,1,0.0,0.0,0.0,0.0,True,public,False,False,1307432542572.jpg,106992,92.1553026048,True,False,False,health,False,no,Yobe,False,False,113,yes,yobe_karasuwa,True,101e6fdd377100a62a04600f783a108c,,True,25743,Northeast
False,1160.996676,False,False,False,True,False,False,False,True,True,False,True,True,,,no,,0.0363355281086,3.99297795734,,False,,,,True,False,False,Jajeri Moden clinic,yes,primaryhealthclinic,False,False,False,False,1307470509211.jpg,13.035085201263428 10.528678894042969 354.0 4.0,True,True,no,False,True,True,True,no,,,False,True,True,True,False,True,Karasuwa,413,413,529.0,False,False,True,False,False,True,False,True,True,False,,KARASUWA,yobe,northeast,2,0,0.0,0.0,0.0,0.0,True,public,True,False,1307470509211.jpg,106992,92.1553026048,True,False,True,health,False,yes,Yobe,False,True,113,no,yobe_karasuwa,True,36a4f3c9be9eb34dade22b19eba14a28,,False,27111,Northeast
False,1160.996676,False,False,False,False,False,False,,False,False,False,False,False,,,no,,0.0530580007226,5.8291286283,,False,,,,False,False,,clinic,no,primaryhealthclinic,False,False,False,False,1307737851075.jpg,13.160258531570435 10.896790623664856 354.0 3.0,False,False,no,False,True,True,False,no,,,False,False,False,False,False,False,Karasuwa,413,413,767.0,False,,,False,False,False,False,False,False,False,yes,KARASUWA,yobe,northeast,0,0,0.0,0.0,0.0,0.0,False,,False,False,1307737851075.jpg,106992,92.1553026048,True,False,,health,False,no,Yobe,False,False,113,no,yobe_karasuwa,False,5168504597232b45345d19ef8ed343e2,,False,27894,Northeast
False,1160.996676,False,False,False,True,True,True,True,True,True,True,True,True,,,no,,0.00271131418962,0.298079715754,,False,,,,True,True,False,Wachakal Dispensery,yes,dispensary,False,False,False,False,1307630062740.jpg,12.826355695724487 10.52789032459259 365.0 4.0,True,True,no,False,True,True,True,no,,True,False,False,False,False,False,False,Karasuwa,413,413,262.0,False,False,True,False,False,True,True,True,True,True,yes,KARASUWA,yobe,northeast,4,4,0.0,0.0,0.0,1.0,True,public,False,False,1307630062740.jpg,106992,92.1553026048,True,True,True,health,False,no,Yobe,False,True,113,no,yobe_karasuwa,True,5c7a3bc6ff457b2070eefe7a000f1aab,True,True,26591,Northeast
False,1160.996676,False,False,False,True,True,True,True,True,True,False,True,True,,,no,,0.038742990056,4.25943286606,,False,,,,True,False,True,Daban giwa dispensary,no,dispensary,False,False,False,False,1307643049652.jpg,12.806400060653687 10.474900603294373 369.0 4.0,False,False,no,False,True,True,True,yes,,,False,False,False,False,False,False,Karasuwa,413,413,262.0,False,False,False,False,False,True,True,True,True,False,,KARASUWA,yobe,northeast,2,0,0.0,0.0,0.0,0.0,True,public,False,False,1307643049652.jpg,106992,92.1553026048,True,False,True,health,False,yes,Yobe,False,False,113,no,yobe_karasuwa,False,8a737c3daf6a012e691702fe4e5cd576,,True,27172,Northeast
False,1160.996676,False,False,False,False,False,False,,False,False,False,False,False,,,no,,0.0187838887148,2.06386988779,,False,,,,False,False,,Mallam Musari Health Post,no,healthpost,False,False,False,False,1307721768395.jpg,13.121286034584045 10.898083448410034 356.0 4.0,False,False,no,False,False,False,True,no,,,False,False,False,False,False,False,Karasuwa,413,413,767.0,False,,,False,False,False,False,False,False,False,yes,KARASUWA,yobe,northeast,0,0,0.0,0.0,0.0,0.0,False,,False,False,1307721768395.jpg,106992,92.1553026048,False,False,,health,False,no,Yobe,False,False,113,no,yobe_karasuwa,False,5336d9646202b9744d68edc8cfd75093,,False,27072,Northeast
False,1160.996676,True,True,True,True,False,True,True,True,True,True,True,True,,,no,True,,,,False,,,,True,False,True,Primary Health Care,yes,primaryhealthcarecentre,False,True,False,True,1307615272829.jpg,12.89668321609497 10.802221298217773 357.0 4.0,False,False,no,False,True,False,True,yes,,True,False,False,False,False,False,False,Karasuwa,413,413,413.0,False,True,False,False,False,True,False,True,True,True,,KARASUWA,yobe,northeast,15,13,1.0,4.0,4.0,4.0,True,,False,False,1307615272829.jpg,106992,92.1553026048,True,True,True,health,True,yes,Yobe,False,False,113,yes,yobe_karasuwa,False,bd8551a852fc002b18c130535d372d06,True,True,24289,Northeast
False,1160.996676,False,False,True,True,False,True,True,True,True,True,True,True,,,no,,,,,False,True,False,False,False,False,False,Modern health centre,yes,wardmodelprimaryhealthcarecentre,False,True,False,True,1307444392430.jpg,13.044387102127075 10.842964053153992 357.0 4.0,False,True,no,,True,True,False,yes,True,True,False,False,False,False,False,False,Karasuwa,413,413,413.0,False,True,False,True,True,True,True,False,True,True,,KARASUWA,yobe,northeast,3,3,0.0,0.0,0.0,0.0,True,public,True,False,1307444392430.jpg,106992,92.1553026048,False,True,True,health,True,yes,Yobe,False,False,113,no,yobe_karasuwa,True,6c1036ca7a95593f017bd1478922c8a9,,True,23108,Northeast
False,1160.996676,False,False,False,False,False,False,True,False,False,False,False,True,,,no,,,,True,True,False,True,False,True,False,True,Karasuwa galu MDGs health clinic,yes,primaryhealthclinic,False,True,False,True,1307545640452.jpg,12.913125157356262 10.59580385684967 369.0 4.0,True,True,no,,True,True,True,yes,True,True,False,False,False,False,False,False,Karasuwa,413,413,413.0,False,True,True,True,True,True,True,True,True,True,yes,KARASUWA,yobe,northeast,3,3,0.0,0.0,0.0,0.0,True,public,False,False,1307545640452.jpg,106992,92.1553026048,True,False,False,health,False,yes,Yobe,False,True,113,yes,yobe_karasuwa,True,181938a03d1b7a0cb620a2e8d2d2d3ee,,False,27131,Northeast
False,1160.996676,False,False,False,False,False,False,False,False,False,False,False,False,,,no,,,,,False,,,,True,False,True,Fajiganari dispensary,yes,dispensary,False,False,False,False,1307465832344.jpg,13.004620671272278 10.866433382034302 360.0 4.0,False,False,no,,False,False,True,yes,,,False,False,False,False,False,False,Karasuwa,413,413,413.0,False,False,False,False,False,True,False,True,True,False,,KARASUWA,yobe,northeast,1,0,0.0,0.0,0.0,0.0,False,public,False,False,1307465832344.jpg,106992,92.1553026048,True,False,True,health,False,yes,Yobe,False,False,113,no,yobe_karasuwa,False,e078b6dcedb111224dbbb17268274221,,True,23135,Northeast
