"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"57748",57748,57748,"934d7e9e-4fbc-43ce-91cb-7657f649150b","yusufari","yobe","northeast","13.15357976 10.63857096 372.29998779296875 5.0","GDJSS Kumaganam","juniors_sec_only","yobe_yusufari",767,"1335970635287.jpg","934d7e9e-4fbc-43ce-91cb-7657f649150b","juniors_sec_only","1335970635287.jpg",4,"formal_educ",FALSE,TRUE,0,2,NA,NA,FALSE,TRUE,0,1.2741935483871,FALSE,NA,NA,FALSE,0,TRUE,FALSE,FALSE,FALSE,47,FALSE,FALSE,FALSE,TRUE,70.5,1.7625,35.25,1,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"57749",57749,57749,"1fdcbdb6-f6ea-4fb2-a4ee-c115be10f635","yusufari","yobe","northeast","13.08454996 10.45994949 360.0 5.0","Garin Tsangai Pri. Sch.","primary_only","yobe_yusufari",767,"1293637567099.jpg","1fdcbdb6-f6ea-4fb2-a4ee-c115be10f635","primary_only","1293637567099.jpg",1,"formal_educ",TRUE,TRUE,4,0,NA,NA,FALSE,NA,100,2,FALSE,NA,NA,FALSE,3,FALSE,FALSE,FALSE,FALSE,42.8571428571429,FALSE,FALSE,FALSE,FALSE,12,20,300,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"57750",57750,57750,"74eeda25-de3d-42f0-b29c-e8857c5a86b8","yusufari","yobe","northeast","13.25884561 10.5046265 363.1000061035156 5.0","Mayori Pri. Sch.","primary_only","yobe_yusufari",767,"1293655912915.jpg","74eeda25-de3d-42f0-b29c-e8857c5a86b8","primary_only","1293655912915.jpg",6,"formal_educ",FALSE,TRUE,0,0,NA,NA,FALSE,NA,0,2,TRUE,FALSE,50,FALSE,0,FALSE,FALSE,FALSE,FALSE,30,FALSE,FALSE,FALSE,TRUE,3,Inf,25,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"57751",57751,57751,"fca66760-ca15-4561-af8a-efec9f675a72","yusufari","yobe","northeast","13.1928342 10.55791199 360.1000061035156 5.0","Kajimaram Pri. Sch.","primary_only","yobe_yusufari",767,"1335954598477.jpg","fca66760-ca15-4561-af8a-efec9f675a72","primary_only","1335954598477.jpg",2,"formal_educ",FALSE,FALSE,0,1,NA,NA,FALSE,TRUE,0,1.5,FALSE,TRUE,25,FALSE,0,TRUE,FALSE,FALSE,FALSE,25,FALSE,FALSE,FALSE,TRUE,2.5,3.33333333333333,50,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"57752",57752,57752,"2357c75e-b4f0-43a1-b2a3-c541fe37dcd0","yusufari","yobe","northeast","13.20544499 10.73020832 356.1000061035156 5.0","Gakore Pri. Sch","primary_only","yobe_yusufari",767,"1335962400359.jpg","2357c75e-b4f0-43a1-b2a3-c541fe37dcd0","primary_only","1335962400359.jpg",5,"formal_educ",FALSE,TRUE,0,2,NA,NA,FALSE,TRUE,0,1,FALSE,NA,NA,FALSE,0,TRUE,FALSE,FALSE,FALSE,50,FALSE,FALSE,TRUE,FALSE,Inf,Inf,20,2.5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"57753",57753,57753,"5a3803a0-4298-42b4-9c4e-1bd677fbc791","yusufari","yobe","northeast","13.05941174 10.60009125 380.6000061035156 5.0","Mai Niya Pri. Sch","primary_only","yobe_yusufari",767,"1335974176017.jpg","5a3803a0-4298-42b4-9c4e-1bd677fbc791","primary_only","1335974176017.jpg",2,"formal_educ",FALSE,FALSE,0,0,NA,NA,FALSE,TRUE,0,4.28571428571429,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,92.5,FALSE,FALSE,FALSE,FALSE,6.16666666666667,6.16666666666667,92.5,Inf,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"education"
"57754",57754,57754,"a895574c-14f5-497f-8ec9-e8198e59ef73","yusufari","yobe","northeast","13.16956998 10.25745404 365.70001220703125 5.0","Gumshi Pri. Sch.","primary_only","yobe_yusufari",767,"1293630611027.jpg","a895574c-14f5-497f-8ec9-e8198e59ef73","primary_only","1293630611027.jpg",1,"formal_educ",FALSE,FALSE,0,0,NA,NA,FALSE,FALSE,0,0.527777777777778,FALSE,NA,NA,FALSE,0,TRUE,FALSE,FALSE,FALSE,27.5,FALSE,FALSE,FALSE,TRUE,5.5,5.5,55,Inf,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"education"
"57755",57755,57755,"3be3d91f-86f3-4148-838b-5675a0d7cf16","yusufari","yobe","northeast","13.04835566 10.47978603 357.79998779296875 5.0","Abatura Pri. SCH.","primary_only","yobe_yusufari",767,"1293640162148.jpg","3be3d91f-86f3-4148-838b-5675a0d7cf16","primary_only","1293640162148.jpg",2,"formal_educ",FALSE,TRUE,0,1,NA,NA,TRUE,TRUE,0,2.11340206185567,TRUE,TRUE,75.5,FALSE,0,TRUE,FALSE,FALSE,FALSE,100.666666666667,TRUE,FALSE,FALSE,TRUE,11.6153846153846,3.775,151,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"education"
"57756",57756,57756,"859a899e-4b42-4841-93e9-ccda3678e9d0","yusufari","yobe","northeast","13.15344458 10.63852889 372.79998779296875 5.0","Kumaganam Central Pri. Sch.","primary_only","yobe_yusufari",767,"1335969790456.jpg","859a899e-4b42-4841-93e9-ccda3678e9d0","primary_only","1335969790456.jpg",8,"formal_educ",TRUE,TRUE,3,0,NA,NA,FALSE,TRUE,0,2.34666666666667,FALSE,TRUE,62.75,FALSE,0,TRUE,FALSE,FALSE,FALSE,50.2,FALSE,FALSE,FALSE,FALSE,16.7333333333333,16.7333333333333,62.75,Inf,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"57757",57757,57757,"21cc03dd-2f0c-4318-8ec3-740d77f542d3","yusufari","yobe","northeast","13.15804775 10.63321444 366.6000061035156 5.0","Kumaganam Islamiya Sch.","primary_only","yobe_yusufari",767,"1335966167631.jpg","21cc03dd-2f0c-4318-8ec3-740d77f542d3","primary_only","1335966167631.jpg",4,"religious_with_formal",FALSE,TRUE,0,0,NA,NA,FALSE,TRUE,0,0.857142857142857,FALSE,FALSE,32.5,FALSE,0,TRUE,FALSE,FALSE,FALSE,21.6666666666667,FALSE,FALSE,FALSE,TRUE,Inf,Inf,16.25,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
