"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"6135",6135,6135,"560af304-baef-4e83-936d-79b345ec0602","bakura","zamfara","northwest","12.392980456352234 5.85146963596344 327.0 4.0","D Mazauda Primary School","primary_only","zamfara_bakura",86,"1336124468247.jpg","560af304-baef-4e83-936d-79b345ec0602","primary_only","1336124468247.jpg",2,"formal_educ",FALSE,FALSE,0,1,NA,NA,FALSE,TRUE,0,Inf,TRUE,FALSE,NA,FALSE,1,FALSE,FALSE,FALSE,FALSE,36,FALSE,FALSE,FALSE,TRUE,2.4,2.4,54,Inf,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"6136",6136,6136,"e226b8eb-66fb-41b2-8707-212346230748","bakura","zamfara","northwest","12.73216724395752 5.901181697845459 316.0 4.0"," L e a Rugoji ","primary_only","zamfara_bakura",86,"1336127506242.jpg","e226b8eb-66fb-41b2-8707-212346230748","primary_only","1336127506242.jpg",7,"formal_educ",FALSE,FALSE,1,2,NA,NA,TRUE,TRUE,0,3.36111111111111,TRUE,FALSE,157,FALSE,3,FALSE,FALSE,FALSE,FALSE,39.25,FALSE,FALSE,FALSE,FALSE,3.48888888888889,7.85,22.4285714285714,Inf,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"6137",6137,6137,"7717820b-96aa-46dc-a4b8-97a393c0e92a","bakura","zamfara","northwest","12.817348837852478 5.773041844367981 302.0 4.0","masgo pri sch","primary_only","zamfara_bakura",86,"1335951717742.jpg","7717820b-96aa-46dc-a4b8-97a393c0e92a","primary_only","1335951717742.jpg",1,"formal_educ",FALSE,FALSE,2,1,NA,NA,FALSE,NA,0,4.44444444444444,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,49,TRUE,FALSE,TRUE,FALSE,Inf,Inf,98,Inf,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"6138",6138,6138,"68be0c52-a29a-4ac5-8cdd-3c7fed8a8baa","bakura","zamfara","northwest","12.606682777404785 5.992757678031921 322.0 4.0","Tungar Kalgo Primary School","primary_only","zamfara_bakura",86,"1336033585391.jpg","68be0c52-a29a-4ac5-8cdd-3c7fed8a8baa","primary_only","1336033585391.jpg",4,"formal_educ",FALSE,FALSE,0,2,NA,NA,TRUE,TRUE,0,1.4,FALSE,NA,NA,FALSE,0,TRUE,FALSE,FALSE,FALSE,60,FALSE,FALSE,FALSE,TRUE,Inf,Inf,30,Inf,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"education"
"6139",6139,6139,"777b705b-9c42-4600-b2ee-af3c64693ea7","bakura","zamfara","northwest","12.715135216712952 5.927590727806091 340.0 4.0","kurunkudu","primary_only","zamfara_bakura",86,"1336046677834.jpg","777b705b-9c42-4600-b2ee-af3c64693ea7","primary_only","1336046677834.jpg",9,"formal_educ",FALSE,FALSE,2,3,NA,NA,TRUE,TRUE,0,9.12,TRUE,FALSE,63.25,FALSE,0,FALSE,FALSE,TRUE,FALSE,42.1666666666667,FALSE,FALSE,FALSE,FALSE,12.65,36.1428571428571,28.1111111111111,1.5,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"6140",6140,6140,"adad9be5-1ba8-41e1-ac50-e8c7d9ddde2e","bakura","zamfara","northwest","12.623156905174255 5.973751544952393 313.0 4.0","Kabawa Primary School","primary_only","zamfara_bakura",86,"1336039617093.jpg","adad9be5-1ba8-41e1-ac50-e8c7d9ddde2e","primary_only","1336039617093.jpg",2,"formal_educ",FALSE,FALSE,0,1,0,0,FALSE,TRUE,0,2,FALSE,NA,NA,FALSE,0,TRUE,FALSE,FALSE,FALSE,37.5,TRUE,FALSE,TRUE,TRUE,Inf,Inf,37.5,Inf,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"6141",6141,6141,"f7ec5d83-3c0e-40e8-ac56-9920edbb451c","bakura","zamfara","northwest","12.654849886894226 5.949423909187317 328.0 4.0","kofoji","junior_and_senior_sec","zamfara_bakura",86,"1336231303160.jpg","f7ec5d83-3c0e-40e8-ac56-9920edbb451c","junior_and_senior_sec","1336231303160.jpg",9,"formal_educ",TRUE,FALSE,0,6,350,1.73267326732673,TRUE,FALSE,60,5.3125,TRUE,FALSE,50.5,FALSE,0,TRUE,FALSE,FALSE,FALSE,25.25,FALSE,FALSE,TRUE,FALSE,20.2,4.48888888888889,22.4444444444444,4.5,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"6142",6142,6142,"321d39b8-adc2-4871-b553-73497c8628f2","bakura","zamfara","northwest","12.698103189468384 6.06519877910614 324.0 12.0","J S S Rini","juniors_sec_only","zamfara_bakura",86,"1336212500153.jpg","321d39b8-adc2-4871-b553-73497c8628f2","juniors_sec_only","1336212500153.jpg",7,"formal_educ",TRUE,FALSE,7,5,NA,NA,TRUE,TRUE,3,3.09230769230769,TRUE,FALSE,53.2,TRUE,2,FALSE,FALSE,FALSE,FALSE,29.5555555555556,FALSE,FALSE,FALSE,FALSE,13.3,13.3,38,Inf,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"6143",6143,6143,"2fdc840a-2faf-4f93-a60e-cbb11c1d263c","bakura","zamfara","northwest","12.802494764328003 5.805759429931641 306.0 4.0","govt day sch sch nasarawa bakura","juniors_sec_only","zamfara_bakura",86,"1336041999713.jpg","2fdc840a-2faf-4f93-a60e-cbb11c1d263c","juniors_sec_only","1336041999713.jpg",7,"formal_educ",FALSE,TRUE,4,3,NA,NA,TRUE,TRUE,0,16.1111111111111,TRUE,FALSE,115.5,FALSE,0,FALSE,FALSE,FALSE,FALSE,46.2,FALSE,FALSE,FALSE,TRUE,15.4,0.822064056939502,66,7,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"6144",6144,6144,"f183a214-2030-4a18-b0a1-d579a2f90b5c","bakura","zamfara","northwest","12.71701531 5.96442202 329.1000061035156 5.0","J S S Dankewa ","juniors_sec_only","zamfara_bakura",86,"1336054647688.jpg","f183a214-2030-4a18-b0a1-d579a2f90b5c","juniors_sec_only","1336054647688.jpg",7,"formal_educ",TRUE,FALSE,0,5,NA,NA,TRUE,TRUE,50,1.69230769230769,TRUE,TRUE,29.1666666666667,FALSE,0,FALSE,FALSE,TRUE,FALSE,25,FALSE,FALSE,FALSE,FALSE,5.46875,5.46875,25,Inf,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
