"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"19085",19085,"6b8df45a-81fe-4734-835c-f60463557662","6b8df45a-81fe-4734-835c-f60463557662","Bungudu","Zamfara","Northwest",129,"12.11214691 6.84772766 528.5999755859375 5.0","1340023214418.jpg","zamfara_bungudu","1340023214418.jpg","Borehole",NA,"borehole_tube_well","water_source","TAZAME","KWATARKWASHI","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"19086",19086,"f4e81d37-293a-4f88-8541-f6e77796a120","f4e81d37-293a-4f88-8541-f6e77796a120","Bungudu","Zamfara","Northwest",129,"12.24270325 6.58983732 463.1000061035156 5.0","1339946465027.jpg","zamfara_bungudu","1339946465027.jpg","Tap",NA,NA,"outlet","FURFURI","FURFURI KWAKWA","Yes","Tap (unknown lift)","No","Poorly Constructed","No","Water Scheme, Source within 100m"
"19087",19087,"2696a1ed-fae6-4540-9fdb-6c47f1134f0a","2696a1ed-fae6-4540-9fdb-6c47f1134f0a","Bungudu","Zamfara","Northwest",129,"12.20937033 6.64285313 471.20001220703125 5.0","1339946031857.jpg","zamfara_bungudu","1339946031857.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","Gidan dawa","Furfuri kwaikwai","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"19088",19088,"f3935d18-b649-4a41-85e8-fdca9d99e886","f3935d18-b649-4a41-85e8-fdca9d99e886","Bungudu","Zamfara","Northwest",129,"12.21307701 6.69074664 478.29998779296875 5.0","1340193266169.jpg","zamfara_bungudu","1340193266169.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","NASARAWA BAKKE","BELA/RAWAYYA","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"19089",19089,"a3c14073-e519-417b-a5da-ba533f048c7b","a3c14073-e519-417b-a5da-ba533f048c7b","Bungudu","Zamfara","Northwest",129,"12.366212010383606 6.538887619972229 446.0 4.0","1339575369315.jpg","zamfara_bungudu","1339575369315.jpg","Tap",NA,NA,"outlet","Nahuche","Nahuche","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"19090",19090,"4286d2ba-7d03-4d92-829d-b46e556249be","4286d2ba-7d03-4d92-829d-b46e556249be","Bungudu","Zamfara","Northwest",129,"12.152761816978455 6.843779683113098 514.0 3.0","1340108481638.jpg","zamfara_bungudu","1340108481638.jpg","Unimproved Well",NA,"protected_dug_well","water_source","GIDAN NARUNJI","KOTORKOSHI","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"19091",19091,"47d54078-4336-410b-ae43-5b41ad8ac03c","47d54078-4336-410b-ae43-5b41ad8ac03c","Bungudu","Zamfara","Northwest",129,"12.049394845962524 6.5184009075164795 473.0 4.0","1339927168870.jpg","zamfara_bungudu","1339927168870.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","Yarkatsina A /B","Bingi North","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"19092",19092,"e5341a27-02b8-45f1-83bf-ed3eed106dfd","e5341a27-02b8-45f1-83bf-ed3eed106dfd","Bungudu","Zamfara","Northwest",129,"12.400206327438354 6.56733512878418 477.0 4.0","1339613762581.jpg","zamfara_bungudu","1339613762581.jpg","Borehole",NA,"borehole_tube_well","water_source","Ganuwaje","Nahuche","Yes","Manual","Yes","Functional","No","Stand Alone Water Point"
"19093",19093,"56a445b0-07af-42ed-9dd6-95ef8440b7e1","56a445b0-07af-42ed-9dd6-95ef8440b7e1","Bungudu","Zamfara","Northwest",129,"11.7473861 6.56289314 545.0999755859375 5.0","1339772658803.jpg","zamfara_bungudu","1339772658803.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","Chediya","Bingi south","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"19094",19094,"baaa701e-6fb0-4184-96d6-804f163ae94e","baaa701e-6fb0-4184-96d6-804f163ae94e","Bungudu","Zamfara","Northwest",129,"12.13538110256195 6.4761292934417725 504.0 3.0","1339923599382.jpg","zamfara_bungudu","1339923599382.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","Kekun Wajje","Bingi North","No","Manual","Yes","Functional","No","Stand Alone Water Point"
