"","X","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn"
"1",18888,"67eb4a88-3f66-4463-927d-a7f94c03a1f9","gummi","zamfara","northwest","12.1388107 5.1221576 265.20001220703125 18.0","Darudda‘awa arabic primary. Sch","preprimary_only","zamfara_gummi",260,"1335976995869.jpg","67eb4a88-3f66-4463-927d-a7f94c03a1f9","preprimary_only","1335976995869.jpg",5,"religious_with_formal",FALSE,FALSE,2,2,0,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,Inf,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"2",18889,"f2cb2ce2-74dd-4c9e-826d-ec7936b1cc89","gummi","zamfara","northwest","12.56552701 6.06598158 335.6000061035156 5.0","Focal primary sch","preprimary_only","zamfara_gummi",260,"1336128744256.jpg","f2cb2ce2-74dd-4c9e-826d-ec7936b1cc89","preprimary_only","1336128744256.jpg",10,"formal_educ",FALSE,FALSE,0,10,0,0,TRUE,FALSE,0,0,TRUE,FALSE,90,TRUE,7,FALSE,FALSE,FALSE,FALSE,36,FALSE,FALSE,FALSE,FALSE,7.2,7.2,36,Inf,6,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"3",18890,"2a812735-e27f-4b37-ab8f-515396df2ee2","gummi","zamfara","northwest","12.03340937 5.0733948 262.8999938964844 5.0","Awala model pri sch","primary_only","zamfara_gummi",260,"1336297244299.jpg","2a812735-e27f-4b37-ab8f-515396df2ee2","primary_only","1336297244299.jpg",8,"religious_with_formal",TRUE,FALSE,0,1,0,0,TRUE,TRUE,88,3.32142857142857,FALSE,NA,NA,FALSE,4,FALSE,FALSE,FALSE,FALSE,60.5,FALSE,FALSE,FALSE,FALSE,17.2857142857143,16.1333333333333,30.25,Inf,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"4",18891,"b1a064c7-fc84-4344-bc28-1612996f0b08","gummi","zamfara","northwest","12.1422621 5.14449094 261.1000061035156 5.0","Kagara pry sch","primary_only","zamfara_gummi",260,"1336380833889.jpg","b1a064c7-fc84-4344-bc28-1612996f0b08","primary_only","1336380833889.jpg",11,"religious_with_formal",TRUE,FALSE,0,5,0,0,TRUE,TRUE,147,1.24576271186441,TRUE,TRUE,26.5,FALSE,4,TRUE,FALSE,FALSE,FALSE,66.25,FALSE,FALSE,FALSE,TRUE,9.46428571428571,9.46428571428571,24.0909090909091,Inf,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"5",18892,"d39546b4-ec53-4d58-9868-510c5f13bff1","gummi","zamfara","northwest","12.0239412 5.31802458 305.29998779296875 16.0","Leshhe primary school","primary_only","zamfara_gummi",260,"1336046115189.jpg","d39546b4-ec53-4d58-9868-510c5f13bff1","primary_only","1336046115189.jpg",12,"religious_with_formal",TRUE,FALSE,0,0,0,0,FALSE,TRUE,135,2.43689320388349,TRUE,TRUE,39.3333333333333,FALSE,4,FALSE,FALSE,FALSE,FALSE,88.5,FALSE,FALSE,FALSE,TRUE,14.75,14.75,29.5,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6",18893,"f6be11b1-443b-4e60-b0e4-c2b868171741","gummi","zamfara","northwest","12.12653569 5.18387677 262.8999938964844 5.0","Konda dusi pry sch","primary_only","zamfara_gummi",260,"1336379749829.jpg","f6be11b1-443b-4e60-b0e4-c2b868171741","primary_only","1336379749829.jpg",11,"religious_with_formal",TRUE,FALSE,0,3,0,NA,TRUE,TRUE,NA,NA,FALSE,NA,NA,FALSE,4,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,Inf,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"7",18894,"41f91577-6c32-4c29-8dd3-3bb71d4a6dee","gummi","zamfara","northwest","12.14657877 5.12370997 263.0 34.0","Madarasatu othman bin fodo pry sch","primary_only","zamfara_gummi",260,"1336129682496.jpg","41f91577-6c32-4c29-8dd3-3bb71d4a6dee","primary_only","1336129682496.jpg",6,"religious_with_formal",FALSE,FALSE,0,2,0,0,TRUE,TRUE,254,1.51741293532338,FALSE,NA,NA,FALSE,4,TRUE,FALSE,FALSE,FALSE,126.5,FALSE,FALSE,FALSE,FALSE,36.1428571428571,36.1428571428571,84.3333333333333,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"8",18895,"83735f3a-2f9b-4436-96bd-839e6c9bfaac","gummi","zamfara","northwest","12.13911418 5.12083621 256.6000061035156 16.0","Mahad islamiya sabon gari","primary_only","zamfara_gummi",260,"1335977475906.jpg","83735f3a-2f9b-4436-96bd-839e6c9bfaac","primary_only","1335977475906.jpg",8,"religious_with_formal",FALSE,FALSE,2,3,0,0,FALSE,TRUE,58,1.21782178217822,FALSE,NA,NA,FALSE,1,FALSE,FALSE,FALSE,FALSE,44.8,FALSE,FALSE,FALSE,TRUE,Inf,Inf,28,Inf,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9",18896,"3c186f5c-3f28-44aa-82f9-ddf3491c1ede","gummi","zamfara","northwest","12.18754909 5.16331092 267.79998779296875 5.0","Naniya Model Pri Sch","primary_only","zamfara_gummi",260,"1336118783753.jpg","3c186f5c-3f28-44aa-82f9-ddf3491c1ede","primary_only","1336118783753.jpg",12,"religious_with_formal",TRUE,FALSE,0,2,0,0,TRUE,TRUE,103,1.30612244897959,TRUE,TRUE,37.6666666666667,FALSE,3,FALSE,FALSE,FALSE,FALSE,75.3333333333333,FALSE,FALSE,FALSE,TRUE,18.8333333333333,18.8333333333333,18.8333333333333,Inf,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"10",18897,"73ff2f1d-be35-48b4-b22d-e030ae3d913b","gummi","zamfara","northwest","12.11940586566925 4.900551438331604 241.0 4.0","GAYARI MODEL PRIMARY SCHOOL","primary_only","zamfara_gummi",260,"1336217402297.jpg","73ff2f1d-be35-48b4-b22d-e030ae3d913b","primary_only","1336217402297.jpg",4,"formal_educ",FALSE,TRUE,2,2,NA,NA,TRUE,TRUE,29,2.54054054054054,FALSE,NA,NA,FALSE,3,FALSE,FALSE,FALSE,FALSE,26.2,FALSE,TRUE,FALSE,FALSE,0.903448275862069,0.623809523809524,32.75,2,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"11",18898,"e1b3f1b6-9e96-4501-a3f1-4eb2425e38eb","gummi","zamfara","northwest","12.08125549 5.30110811 297.29998779296875 6.0","Brinin tudu 2 primary school","primary_only","zamfara_gummi",260,"1336041688979.jpg","e1b3f1b6-9e96-4501-a3f1-4eb2425e38eb","primary_only","1336041688979.jpg",7,"religious_with_formal",TRUE,FALSE,8,0,0,0,FALSE,TRUE,86,1.53125,TRUE,TRUE,30.375,FALSE,0,FALSE,FALSE,FALSE,FALSE,30.375,FALSE,FALSE,FALSE,TRUE,Inf,Inf,34.7142857142857,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
