breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,KAURA NAMODA,,,"Water Scheme, Source within 100m",1339841954171.jpg,Yes,12.5745811 6.59608445 422.3999938964844 5.0,True,Kaura Namoda,422,422,422.0,Tap (unknown lift),No,1339841954171.jpg,water,Zamfara,zamfara_kaura_namoda,dec00caf-3009-44d1-b8e4-e4be0fb3bfcd,SARKIN BAURA/ SARKIN MAFARA,Tap,outlet,,dec00caf-3009-44d1-b8e4-e4be0fb3bfcd,Northwest
Functional,,Katsaura,,,Stand Alone Water Point,1339930271675.jpg,Yes,12.48913957 6.64361222 414.5 5.0,True,Kaura Namoda,422,422,422.0,,No,1339930271675.jpg,water,Zamfara,zamfara_kaura_namoda,82c26901-d011-4a4e-86bd-33b38cbbf153,Banga,Borehole,water_source,borehole_tube_well,82c26901-d011-4a4e-86bd-33b38cbbf153,Northwest
Mechanical Issue,,sabongari,,,"Water Scheme, Source within 100m",1339747911688.jpg,No,12.576942443847656 6.569920778274536 413.0 4.0,True,Kaura Namoda,422,422,422.0,Tap (unknown lift),No,1339747911688.jpg,water,Zamfara,zamfara_kaura_namoda,812292e4-00c4-422c-b91b-54846a68d4d9,kungurki,Tap,outlet,,812292e4-00c4-422c-b91b-54846a68d4d9,Northwest
Functional,,Shiyar Galadima,,,Stand Alone Water Point,1339677179521.jpg,Yes,12.4938226 6.56066832 437.3999938964844 5.0,True,Kaura Namoda,422,422,422.0,Hand Pump,No,1339677179521.jpg,water,Zamfara,zamfara_kaura_namoda,cd8d0f73-dff8-4413-8e0f-bf3e81733667,Kurya Madaro,Borehole,water_source,borehole_tube_well,cd8d0f73-dff8-4413-8e0f-bf3e81733667,Northwest
Functional,,Kibbo,,,Stand Alone Water Point,1339937876976.jpg,Yes,12.50191374 6.61445986 418.5 5.0,False,Kaura Namoda,422,422,422.0,Manual,No,1339937876976.jpg,water,Zamfara,zamfara_kaura_namoda,1415709d-3117-41b3-a531-14d7034a1d92,Banga,Unimproved Well,water_source,unprotected_dug_well,1415709d-3117-41b3-a531-14d7034a1d92,Northwest
Functional,,barkeji,,,Stand Alone Water Point,1339572609465.jpg,Yes,12.652924060821533 6.630908846855164 432.0 4.0,True,Kaura Namoda,422,422,422.0,Hand Pump,No,1339572609465.jpg,water,Zamfara,zamfara_kaura_namoda,7f60651f-12a2-4970-974a-fedafdd44041,yankaba,Borehole,water_source,borehole_tube_well,7f60651f-12a2-4970-974a-fedafdd44041,Northwest
Don't Know,,Tundu Kurya,,,Stand Alone Water Point,1339691566395.jpg,No,12.48892206 6.55499665 443.0 5.0,True,Kaura Namoda,422,422,422.0,Solar,No,1339691566395.jpg,water,Zamfara,zamfara_kaura_namoda,fc862268-919b-47a4-805b-118225d39610,Kurya Madaro,Borehole,water_source,borehole_tube_well,fc862268-919b-47a4-805b-118225d39610,Northwest
Under Construction,,FAGOJI,,,Stand Alone Water Point,1339685781954.jpg,No,12.5466539 6.57287595 426.8999938964844 5.0,True,Kaura Namoda,422,422,422.0,,No,1339685781954.jpg,water,Zamfara,zamfara_kaura_namoda,832c55d7-de87-47a3-b230-32ad1a8aa2a8,KUNGURKI,Borehole,water_source,borehole_tube_well,832c55d7-de87-47a3-b230-32ad1a8aa2a8,Northwest
Functional,,sabongari,,,"Water Scheme, Source within 100m",1339746950662.jpg,Yes,12.572940587997437 6.569266319274902 424.0 4.0,True,Kaura Namoda,422,422,422.0,Tap (unknown lift),No,1339746950662.jpg,water,Zamfara,zamfara_kaura_namoda,2b2b1854-5bc1-4fd8-9456-838b3da39af5,kungurki,Tap,outlet,,2b2b1854-5bc1-4fd8-9456-838b3da39af5,Northwest
Functional,,sabongari,,,Stand Alone Water Point,1339750162339.jpg,Yes,12.57611632347107 6.576873064041138 435.0 4.0,True,Kaura Namoda,422,422,422.0,Hand Pump,No,1339750162339.jpg,water,Zamfara,zamfara_kaura_namoda,ac8a35fd-1112-406e-abce-1dc77053643a,kungurki,Borehole,water_source,borehole_tube_well,ac8a35fd-1112-406e-abce-1dc77053643a,Northwest
