antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,2729.505114,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,Dispensary,FALSE,healthpostdispensary,False,True,False,False,1336139527911.jpg,12.894505262374878 6.069892644882202 325.0 4.0,False,False,FALSE,False,True,True,False,TRUE,,False,False,False,False,False,False,False,Maradun,488,488,488.0,False,False,False,True,False,False,False,False,False,False,FALSE,maradun,zamfara,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1336139527911.jpg,210852,77.2491683267,,False,False,health,False,TRUE,Zamfara,False,True,Others,FALSE,zamfara_maradun,False,d8b3f072-81bd-49e8-b8bf-b942840ea686,,,d8b3f072-81bd-49e8-b8bf-b942840ea686,Northwest
False,2729.505114,False,False,False,True,False,True,False,False,True,True,True,False,,False,FALSE,False,,,False,False,False,,,False,,,Orphan less previlage,,primaryhealthclinic,False,True,False,True,1335944502559.jpg,12.55548793 6.16718811 360.29998779296875 5.0,False,False,FALSE,False,False,False,False,TRUE,,False,False,False,False,False,False,False,Maradun,488,488,488.0,False,True,False,False,False,False,False,False,False,False,FALSE,maradun,zamfara,northwest,7,6,,1.0,0.0,,False,public,,True,1335944502559.jpg,210852,77.2491683267,,False,False,health,False,TRUE,Zamfara,False,True,Others,FALSE,zamfara_maradun,False,168537e9-51b7-4f00-b583-8d620f73cf6a,,,168537e9-51b7-4f00-b583-8d620f73cf6a,Northwest
False,2729.505114,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,,wcwc,FALSE,primaryhealthclinic,False,True,False,True,1335968538437.jpg,12.55712628364563 6.165561676025391 354.0 3.0,False,False,FALSE,False,True,False,False,TRUE,,False,False,False,False,False,False,False,Maradun,488,488,488.0,False,True,False,True,False,False,False,False,False,False,FALSE,maradun,zamfara,northwest,4,4,,,0.0,,False,public,,False,1335968538437.jpg,210852,77.2491683267,,False,False,health,False,TRUE,Zamfara,False,True,Others,FALSE,zamfara_maradun,False,7f8a4c1c-bc2c-4e7e-9fc3-bdfb73cef8f8,,,7f8a4c1c-bc2c-4e7e-9fc3-bdfb73cef8f8,Northwest
False,2729.505114,True,True,True,True,False,False,False,False,True,True,True,False,True,True,TRUE,False,,,False,False,False,True,False,False,,True,G h maradh.,TRUE,generalhospital,False,True,False,True,1336214052112.jpg,12.55419376 6.1931859 380.0 5.0,False,False,FALSE,False,,,False,TRUE,True,True,True,False,True,True,False,False,Maradun,488,488,488.0,False,True,True,True,True,False,False,False,False,False,FALSE,maradun,zamfara,northwest,0,0,1.0,3.0,1.0,15.0,False,public,,True,1336214052112.jpg,210852,77.2491683267,,False,False,health,True,TRUE,Zamfara,True,True,Others,TRUE,zamfara_maradun,False,b9ddda1d-c369-4c93-a0a7-ba6f1b83d15c,,,b9ddda1d-c369-4c93-a0a7-ba6f1b83d15c,Northwest
False,2729.505114,False,False,False,False,False,False,False,False,False,True,False,False,,False,FALSE,False,0.0100109578233,1.10073399261,False,True,False,,,False,False,,kindigahe,,wardmodelphccentre,False,,False,,1335972491860.jpg,12.759214639663696 6.389703154563904 403.0 4.0,False,True,FALSE,False,True,True,False,FALSE,,False,False,False,False,False,False,False,Maradun,488,488,773.0,False,False,False,False,False,False,False,False,False,False,FALSE,maradun,zamfara,northwest,2,1,0.0,0.0,0.0,0.0,False,public,False,True,1335972491860.jpg,210852,77.2491683267,,False,False,health,False,TRUE,Zamfara,,False,Others,FALSE,zamfara_maradun,False,9f04c3ef-53d4-4945-826d-e761a872c2aa,False,False,9f04c3ef-53d4-4945-826d-e761a872c2aa,Northwest
False,2729.505114,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,False,,dispensary,FALSE,healthpostdispensary,False,True,False,True,1335975448052.jpg,12.528373003005981 6.158625483512878 339.0 4.0,False,False,FALSE,False,True,False,False,FALSE,,False,False,False,True,False,False,False,Maradun,488,488,488.0,False,True,False,True,False,False,False,False,False,False,FALSE,maradun,zamfara,northwest,1,1,,,0.0,,False,public,,False,1335975448052.jpg,210852,77.2491683267,False,False,False,health,False,TRUE,Zamfara,False,True,Others,FALSE,zamfara_maradun,False,cf6c57c6-dd45-4b9e-afef-d6ecb0da09f5,False,False,cf6c57c6-dd45-4b9e-afef-d6ecb0da09f5,Northwest
False,2729.505114,False,False,True,True,True,True,False,True,True,True,True,True,,False,FALSE,False,0.00191008026477,0.210001895032,True,True,False,True,True,False,False,True,phc kaya,FALSE,primaryhealthcarecentre,False,True,False,True,1336127201573.jpg,12.804007530212402 6.438819766044617 386.0 4.0,False,False,FALSE,False,True,True,False,FALSE,True,False,True,False,True,True,False,False,Maradun,488,488,773.0,False,True,False,True,False,False,False,False,False,False,FALSE,maradun,zamfara,northwest,5,4,0.0,0.0,0.0,2.0,False,public,,True,1336127201573.jpg,210852,77.2491683267,,False,False,health,True,TRUE,Zamfara,False,True,Others,FALSE,zamfara_maradun,False,7ecb044a-d8e6-4d36-8691-a4246c051657,False,False,7ecb044a-d8e6-4d36-8691-a4246c051657,Northwest
,2729.505114,False,False,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,1336064103035.jpg,12.588776350021362 6.275392770767212 368.0 4.0,,,,,,,,,,,,,,,,,Maradun,488,488,488.0,,,,,,,,,,,,maradun,zamfara,,0,0,,,0.0,,,,,,1336064103035.jpg,210852,77.2491683267,,,,health,False,,Zamfara,,,Others,,zamfara_maradun,,1c4392f1-0bb6-4b2c-8494-c95d9b4baa66,,,1c4392f1-0bb6-4b2c-8494-c95d9b4baa66,Northwest
,2729.505114,False,False,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,1336064103035.jpg,12.588776350021362 6.275392770767212 368.0 4.0,,,,,,,,,,,,,,,,,Maradun,488,488,488.0,,,,,,,,,,,,maradun,zamfara,,0,0,,,0.0,,,,,,1336064103035.jpg,210852,77.2491683267,,,,health,False,,Zamfara,,,Others,,zamfara_maradun,,e8c26de2-8f1f-4345-8df2-69c341acac75,,,e8c26de2-8f1f-4345-8df2-69c341acac75,Northwest
False,2729.505114,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,,dispensary,,healthpostdispensary,False,,False,,1336056256690.jpg,12.597273588180542 6.226361989974976 365.0 4.0,False,False,FALSE,False,True,True,False,FALSE,,False,False,False,False,False,False,False,Maradun,488,488,488.0,False,False,False,False,False,False,False,False,False,False,FALSE,maradun,zamfara,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1336056256690.jpg,210852,77.2491683267,,False,False,health,False,TRUE,Zamfara,,False,Others,FALSE,zamfara_maradun,False,c8975c62-799a-4da6-96af-3cebd1456342,,,c8975c62-799a-4da6-96af-3cebd1456342,Northwest
