"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"107693",107693,"68f7020e-8bcc-4c06-81ee-86b52f40a05a","68f7020e-8bcc-4c06-81ee-86b52f40a05a","Tsafe","Zamfara","Northwest",711,"12.042571306228638 6.88292384147644 559.0 4.0","1339856184744.jpg","zamfara_tsafe","1339856184744.jpg","Unimproved","unimproved","unprotected_dug_well","water_source","GIDAN DAWA","YANDOTON DAJI","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"107694",107694,"131db088-eb9e-4c23-8de1-b91c9b1569bd","131db088-eb9e-4c23-8de1-b91c9b1569bd","Tsafe","Zamfara","Northwest",711,"11.98932945728302 6.913704872131348 554.0 4.0","1340013999756.jpg","zamfara_tsafe","1340013999756.jpg","Unimproved","unimproved","unprotected_dug_well","water_source","MAKERA","TSAFE","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"107695",107695,"65ff3117-cd94-4055-8a82-3fc6d9c4be66","65ff3117-cd94-4055-8a82-3fc6d9c4be66","Tsafe","Zamfara","Northwest",711,"11.952980160713196 6.919959783554077 572.0 4.0","1340026100182.jpg","zamfara_tsafe","1340026100182.jpg","Handpump","handpump",NA,"outlet","chediya","Emmanuel inah","Yes","Hand Pump","No","Under Construction","No","Water Scheme, Source within 100m"
"107696",107696,"dfdde3c3-2ff2-40b9-a061-158a63995ee6","dfdde3c3-2ff2-40b9-a061-158a63995ee6","Tsafe","Zamfara","Northwest",711,"11.75444838 6.83208094 646.5999755859375 5.0","1339947994258.jpg","zamfara_tsafe","1339947994258.jpg","Handpump","handpump","borehole_tube_well","water_source","Danjibga","Danjibga","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"107697",107697,"8b2d427b-5770-446f-aa54-5356ae408e5a","8b2d427b-5770-446f-aa54-5356ae408e5a","Tsafe","Zamfara","Northwest",711,"12.06722617149353 6.935028433799744 509.0 4.0","1339934731306.jpg","zamfara_tsafe","1339934731306.jpg","Unimproved","unimproved","unprotected_dug_well","water_source","AWALAR SABON GARI","YANDOTONDAJI","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"107698",107698,"573de8d6-1afc-43ca-9a37-ed7d84229603","573de8d6-1afc-43ca-9a37-ed7d84229603","Tsafe","Zamfara","Northwest",711,"11.86993613 6.88936168 600.0999755859375 5.0","1339954790874.jpg","zamfara_tsafe","1339954790874.jpg","Unimproved","unimproved","protected_dug_well","water_source","Kibari","Bilbis","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"107699",107699,"3cb93734-2ee0-4df0-806b-d01ee9202fd7","3cb93734-2ee0-4df0-806b-d01ee9202fd7","Tsafe","Zamfara","Northwest",711,"11.95868169 6.91799537 583.2000122070313 5.0","1340023847293.jpg","zamfara_tsafe","1340023847293.jpg","Handpump","handpump","borehole_tube_well","water_source","Tsafe","Tsafe","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"107700",107700,"ffb687a9-da7a-43a0-a1bb-66fe2c14f41a","ffb687a9-da7a-43a0-a1bb-66fe2c14f41a","Tsafe","Zamfara","Northwest",711,"11.92255535 6.9386981 626.5999755859375 5.0","1339836252527.jpg","zamfara_tsafe","1339836252527.jpg","Unimproved","unimproved","unprotected_dug_well","water_source","Gidan giye","Bilbis","No","Manual","No","Dry Well","No","Stand Alone Water Point"
"107701",107701,"04684a29-5d55-441b-b5e3-635551460ee4","04684a29-5d55-441b-b5e3-635551460ee4","Tsafe","Zamfara","Northwest",711,"11.89369797706604 7.029222249984741 585.0 3.0","1339933972812.jpg","zamfara_tsafe","1339933972812.jpg","Tap","tap","borehole_tube_well","water_source","GIDAN DANKAKA","YANWARE","Yes","Solar","Yes","Functional","No","Stand Alone Water Point"
"107702",107702,"f71d6cf7-ddc4-4f34-91ea-4bfaf650bf89","f71d6cf7-ddc4-4f34-91ea-4bfaf650bf89","Tsafe","Zamfara","Northwest",711,"11.90372175 6.72866568 556.5 5.0","1339689660490.jpg","zamfara_tsafe","1339689660490.jpg","Handpump","handpump","borehole_tube_well","water_source","WARA WARS","GWAREN GANUWA","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"107703",107703,"260a2d27-0105-47e3-b83e-b7fa5305fe1e","260a2d27-0105-47e3-b83e-b7fa5305fe1e","Tsafe","Zamfara","Northwest",711,"11.83530515 6.92930137 602.5999755859375 5.0","1340033719125.jpg","zamfara_tsafe","1340033719125.jpg","Unimproved","unimproved","unprotected_dug_well","water_source","KATANGAR YAMMA","BILBIS","No","Manual","No","Dry Well","No","Stand Alone Water Point"
"107704",107704,"3bdabfac-cbb9-4723-94e2-7db55a08c7ed","3bdabfac-cbb9-4723-94e2-7db55a08c7ed","Tsafe","Zamfara","Northwest",711,"11.95510983467102 6.922363042831421 589.0 4.0","1340024740771.jpg","zamfara_tsafe","1340024740771.jpg","Tap","tap",NA,"outlet","TSAFE","TSAFE","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source further than 1km"
"107705",107705,"5616d8c3-3f60-49f2-84c3-6b0a0b9ca991","5616d8c3-3f60-49f2-84c3-6b0a0b9ca991","Tsafe","Zamfara","Northwest",711,"12.03403651714325 6.839616894721985 551.0 4.0","1339860824336.jpg","zamfara_tsafe","1339860824336.jpg","Handpump","handpump","borehole_tube_well","water_source","BIYABIKI","YANDOTODAJIle","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"107706",107706,"fc6c0412-aa40-46ba-9d80-0090303842c9","fc6c0412-aa40-46ba-9d80-0090303842c9","Tsafe","Zamfara","Northwest",711,"12.005524635314941 6.9242459535598755 548.0 4.0","1339927504673.jpg","zamfara_tsafe","1339927504673.jpg","Handpump","handpump",NA,"outlet","Bamamu","Chediya","Yes","Hand Pump","No","Mechanical Issue","No","Water Scheme, Source within 100m"
