antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,22.77506109,False,False,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,OGBOR HILL CLINIC,,primaryhealthclinic,False,True,False,True,1343386850531.jpg,5.11351196 7.38734286 87.9000015258789 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,True,False,False,False,Aba North,5,5,5.0,False,True,True,False,False,False,False,False,False,False,FALSE,aba_north,abia,southeast,5,4,0.0,0.0,5.0,0.0,False,public,,True,1343386850531.jpg,107488,4719.54826269,,False,False,health,True,TRUE,Abia,False,,Others,FALSE,abia_aba_north,False,823312ff-2648-4c46-8e6f-df071d755b37,,,823312ff-2648-4c46-8e6f-df071d755b37,Southeast
False,22.77506109,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,,,False,,,Asaokpuaja Health Centre,,healthpostdispensary,False,True,False,True,1343829068570.jpg,5.10728402 7.35094759 101.0999984741211 5.0,False,True,FALSE,False,,,False,FALSE,,False,True,False,True,False,False,False,Aba North,5,5,5.0,False,True,True,False,False,False,False,False,False,False,FALSE,aba_north,abia,southeast,1,1,0.0,0.0,1.0,0.0,False,public,False,False,1343829068570.jpg,107488,4719.54826269,False,False,False,health,True,FALSE,Abia,False,True,Others,FALSE,abia_aba_north,False,a806f96f-952d-402c-8c73-7170e675073a,,,a806f96f-952d-402c-8c73-7170e675073a,Southeast
False,22.77506109,True,True,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Osusu H C,,primaryhealthcarecentre,False,False,False,True,1343646406838.jpg,5.112708806991577 7.35783576965332 67.0 4.0,False,True,FALSE,False,,,False,FALSE,,True,False,False,False,False,False,False,Aba North,5,5,5.0,False,True,False,False,False,False,False,False,False,False,FALSE,aba_north,abia,southeast,0,0,0.0,0.0,5.0,0.0,False,public,False,False,1343646406838.jpg,107488,4719.54826269,True,False,False,health,True,FALSE,Abia,False,,Others,FALSE,abia_aba_north,False,d172228a-dca1-40ca-9431-b4b25e9727fd,,,d172228a-dca1-40ca-9431-b4b25e9727fd,Southeast
False,22.77506109,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.0134612917996,1.4955514866,False,True,False,,,False,False,True,Uratta Health Centre,TRUE,primaryhealthcarecentre,False,True,False,True,1343644849102.jpg,5.08606367 7.32692728 71.0999984741211 5.0,False,True,FALSE,False,True,True,False,TRUE,,True,True,False,True,True,False,False,Aba North,5,5,6.0,False,True,True,True,True,False,False,False,False,False,FALSE,aba_north,abia,southeast,8,7,0.0,1.0,2.0,0.0,False,public,False,False,1343644849102.jpg,107488,4719.54826269,,False,False,health,True,FALSE,Abia,True,True,Others,FALSE,abia_aba_north,False,d9228005-2a79-4880-adfd-6e9408dfad53,False,False,d9228005-2a79-4880-adfd-6e9408dfad53,Southeast
False,22.77506109,False,False,True,True,False,True,False,True,True,True,True,False,,False,FALSE,False,0.0336164884334,3.73483546091,True,True,False,,,False,,,Osoke Amato PHC,FALSE,primaryhealthclinic,False,True,False,True,1343388791045.jpg,5.06554085 7.33410492 72.0999984741211 5.0,False,True,FALSE,False,True,True,False,TRUE,,False,True,False,True,False,False,False,Aba North,5,5,6.0,False,True,True,True,False,False,False,False,False,False,FALSE,aba_north,abia,southeast,3,3,0.0,0.0,2.0,0.0,False,public,False,True,1343388791045.jpg,107488,4719.54826269,,False,False,health,True,FALSE,Abia,False,True,Others,FALSE,abia_aba_north,False,4d1d88ea-e2b8-4d29-b38a-783fb0e2d8df,,,4d1d88ea-e2b8-4d29-b38a-783fb0e2d8df,Southeast
False,22.77506109,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.0194140298676,2.15690826288,False,True,False,,,False,True,True,Umuogorosoke Health Centre,TRUE,primaryhealthcarecentre,False,True,False,True,1343476677936.jpg,5.07994109 7.33007375 69.19999694824219 5.0,False,True,FALSE,False,True,True,False,TRUE,,True,False,False,True,False,False,False,Aba North,5,5,6.0,False,True,True,True,True,False,False,False,False,False,FALSE,aba_north,abia,southeast,5,5,0.0,0.0,1.0,0.0,False,public,False,True,1343476677936.jpg,107488,4719.54826269,True,False,False,health,True,FALSE,Abia,False,True,Others,FALSE,abia_aba_north,False,2f6109de-45dc-4668-8451-b544ac214cd1,False,False,2f6109de-45dc-4668-8451-b544ac214cd1,Southeast
False,22.77506109,True,True,True,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,False,False,True,False,False,,True,Umuola Egbelu primary health centre,TRUE,primaryhealthcarecentre,False,True,False,True,1343478174719.jpg,5.12427457 7.38171794 64.4000015258789 5.0,False,True,FALSE,False,True,True,False,TRUE,True,False,False,False,True,False,False,False,Aba North,5,5,5.0,False,True,True,True,True,False,False,False,False,False,FALSE,aba_north,abia,southeast,5,5,0.0,0.0,0.0,13.0,False,public,False,False,1343478174719.jpg,107488,4719.54826269,False,False,False,health,True,FALSE,Abia,False,True,Others,FALSE,abia_aba_north,False,c1f51c8e-6c9d-4b6d-834f-12b4d3ed6e32,,,c1f51c8e-6c9d-4b6d-834f-12b4d3ed6e32,Southeast
False,22.77506109,True,True,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,False,True,False,False,True,Eziama P H C,TRUE,primaryhealthcarecentre,False,True,False,True,1343475660000.jpg,5.127954483032227 7.364444732666016 84.0 4.0,False,True,FALSE,False,False,False,False,TRUE,False,False,False,False,True,False,False,False,Aba North,5,5,5.0,False,True,False,True,True,False,False,False,False,False,FALSE,aba_north,abia,southeast,14,10,0.0,2.0,4.0,0.0,False,public,False,True,1343475660000.jpg,107488,4719.54826269,True,False,False,health,True,FALSE,Abia,False,True,Others,TRUE,abia_aba_north,False,8cab71a9-9c14-4f0e-a8d0-bc3c93739a4b,False,False,8cab71a9-9c14-4f0e-a8d0-bc3c93739a4b,Southeast
False,22.77506109,False,False,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,OGBOR HILL CLINIC,,primaryhealthclinic,False,True,False,True,1343386850531.jpg,5.11351196 7.38734286 87.9000015258789 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,True,False,False,False,Aba North,5,5,5.0,False,True,True,False,False,False,False,False,False,False,FALSE,aba_north,abia,southeast,5,4,0.0,0.0,5.0,0.0,False,public,,True,1343386850531.jpg,107488,4719.54826269,,False,False,health,True,TRUE,Abia,False,,Others,FALSE,abia_aba_north,False,823312ff-2648-4c46-8e6f-df071d755b37,,,823312ff-2648-4c46-8e6f-df071d755b37,Southeast
False,22.77506109,True,True,True,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,False,False,True,False,False,,True,Umuola Egbelu primary health centre,TRUE,primaryhealthcarecentre,False,True,False,True,1343478174719.jpg,5.12427457 7.38171794 64.4000015258789 5.0,False,True,FALSE,False,True,True,False,TRUE,True,False,False,False,True,False,False,False,Aba North,5,5,5.0,False,True,True,True,True,False,False,False,False,False,FALSE,aba_north,abia,southeast,5,5,0.0,0.0,0.0,13.0,False,public,False,False,1343478174719.jpg,107488,4719.54826269,False,False,False,health,True,FALSE,Abia,False,True,Others,FALSE,abia_aba_north,False,c1f51c8e-6c9d-4b6d-834f-12b4d3ed6e32,,,c1f51c8e-6c9d-4b6d-834f-12b4d3ed6e32,Southeast
