breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Poorly Constructed,,"Nungvan
",,,"Water Scheme, Source within 100m",1337915692522.jpg,No,8.47070574760437 11.967142224311829 558.0 4.0,True,Ganaye,234,234,234.0,Tap (unknown lift),No,1337915692522.jpg,water,Adamawa,adamawa_ganaye,f7fa70fd-37ed-4602-b5f7-61889cafde36,yelwa,Tap,outlet,,f7fa70fd-37ed-4602-b5f7-61889cafde36,Northeast
Functional,,gagjanyang,,,"Water Scheme, Source within 100m",1337817117534.jpg,Yes,8.4200119972229 11.957239508628845 576.0 4.0,True,Ganaye,234,234,234.0,Tap (unknown lift),No,1337817117534.jpg,water,Adamawa,adamawa_ganaye,b3bf2195-1a79-44a2-b2eb-d103f842f7de,gutum pawo,Tap,outlet,,b3bf2195-1a79-44a2-b2eb-d103f842f7de,Northeast
Functional,,sugu,,,"Water Scheme, Source within 100m",1338281443920.jpg,Yes,8.37333083152771 12.066593170166016 583.0 4.0,True,Ganaye,234,234,234.0,Tap (unknown lift),No,1338281443920.jpg,water,Adamawa,adamawa_ganaye,fc04d876-6915-4c50-b614-ef9e5c51d8bb,sugu,Tap,outlet,,fc04d876-6915-4c50-b614-ef9e5c51d8bb,Northeast
Mechanical Issue,,waziri   abo,,,"Water Scheme, Source within 100m",1338305776351.jpg,No,8.434120416641235 12.055032849311829 506.0 4.0,True,Ganaye,234,234,234.0,Tap (unknown lift),No,1338305776351.jpg,water,Adamawa,adamawa_ganaye,4660c991-20a1-4580-b199-9c19454ea95d,ganye   1,Tap,outlet,,4660c991-20a1-4580-b199-9c19454ea95d,Northeast
Poorly Constructed,,sansirin,,,"Water Scheme, Source within 100m",1337969145168.jpg,No,8.444704413414001 12.012165784835815 518.0 4.0,True,Ganaye,234,234,234.0,Tap (unknown lift),No,1337969145168.jpg,water,Adamawa,adamawa_ganaye,20d47448-0221-4d65-a98c-ad8eefc636db,yelwa,Tap,outlet,,20d47448-0221-4d65-a98c-ad8eefc636db,Northeast
Mechanical Issue,,Central Grave Yard,,,"Water Scheme, Source within 100m",1338308327025.jpg,No,8.441373109817505 12.063900232315063 508.0 4.0,True,Ganaye,234,234,234.0,Tap (unknown lift),No,1338308327025.jpg,water,Adamawa,adamawa_ganaye,ebf812c4-e291-4068-8d4b-6f8eacee4c0b,Ganye II,Tap,outlet,,ebf812c4-e291-4068-8d4b-6f8eacee4c0b,Northeast
Poorly Constructed,,timdore,,,"Water Scheme, Source within 100m",1337987974413.jpg,No,8.53513240814209 11.979040503501892 506.0 4.0,True,Ganaye,234,234,234.0,Tap (unknown lift),No,1337987974413.jpg,water,Adamawa,adamawa_ganaye,8ef9e93f-173b-405e-a8f3-455de2b925c3,Yelwa,Tap,outlet,,8ef9e93f-173b-405e-a8f3-455de2b925c3,Northeast
Functional,,santasa,,,"Water Scheme, Source within 100m",1337946486480.jpg,Yes,8.438025712966919 12.029675245285034 522.0 3.0,True,Ganaye,234,234,234.0,Tap (unknown lift),No,1337946486480.jpg,water,Adamawa,adamawa_ganaye,74f756a0-c635-42b0-9ea4-4ba5ce86d534,Sangasumi,Tap,outlet,,74f756a0-c635-42b0-9ea4-4ba5ce86d534,Northeast
Mechanical Issue,,sofon kasuwa,,,"Water Scheme, Source within 100m",1338365351430.jpg,No,8.431035876274109 12.05273687839508 489.0 4.0,True,Ganaye,234,234,234.0,Tap (unknown lift),No,1338365351430.jpg,water,Adamawa,adamawa_ganaye,d52c7e09-ae02-4f64-b0cc-ddea24edffd8,ganye 4,Tap,outlet,,d52c7e09-ae02-4f64-b0cc-ddea24edffd8,Northeast
Mechanical Issue,,Dawasa,,,"Water Scheme, Source within 100m",1338390662783.jpg,No,8.433841466903687 12.038081288337708 519.0 4.0,True,Ganaye,234,234,234.0,Tap (unknown lift),No,1338390662783.jpg,water,Adamawa,adamawa_ganaye,1226f311-4fc4-4c26-84fb-a1141924e685,Sangassimi,Tap,outlet,,1226f311-4fc4-4c26-84fb-a1141924e685,Northeast
