breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,sabon layi,,,"Water Scheme, Source within 100m",,Yes,9.578629732131958 11.733457446098328 186.0 4.0,True,Larmurde,465,465,415.0,Electric,No,1307778166852.jpg,water,Adamawa,adamawa_larmurde,94fc4723ecc8bd24c23cf03429865a52,nbebungun,Tap,,,,
Functional,,opalo,,,Stand Alone Water Point,,Yes,9.51016366481781 11.929371356964111 154.0 3.0,True,Larmurde,465,465,415.0,Hand Pump,No,1307455005197.jpg,water,Adamawa,adamawa_larmurde,41c41241e7526f3e82b950fe00442702,opalo,Handpump,,,,
Functional,,bang tipto,,,"Water Scheme, Source within 100m",,Yes,9.615370631217957 11.660919785499573 372.0 4.0,True,Larmurde,465,465,415.0,Electric,No,1307541975404.jpg,water,Adamawa,adamawa_larmurde,c106a009751de9b1c3327d2acaf4d7e0,ngbebungun,Tap,,,,
Mechanical Issue,,tisso,,,Stand Alone Water Point,,No,9.50443983078003 11.467323303222656 182.0 4.0,True,Larmurde,465,465,415.0,Hand Pump,No,1307712557437.jpg,water,Adamawa,adamawa_larmurde,9baf136f386e35713de95601dbb995d6,suwa,Handpump,,,,
Functional,,hoki,,,Stand Alone Water Point,,Yes,9.526230096817017 11.872605085372925 155.0 4.0,True,Larmurde,465,465,415.0,Hand Pump,Yes,1307445680733.jpg,water,Adamawa,adamawa_larmurde,96591d44b53cda269a796012cd8b0e87,opalo,Handpump,,,,
Functional,,tisso,,,Stand Alone Water Point,,Yes,9.504117965698242 11.466545462608337 177.0 4.0,True,Larmurde,465,465,415.0,Hand Pump,No,1307712175040.jpg,water,Adamawa,adamawa_larmurde,5e01eb8a1882c3288192e3395a2e3241,suwa,Handpump,,,,
Functional,,Kabawa,,,Stand Alone Water Point,,Yes,9.52266812324524 11.824700832366943 143.0 4.0,True,Larmurde,465,465,415.0,Hand Pump,No,1307442409534.jpg,water,Adamawa,adamawa_larmurde,4496eeb70d56a22beea9b42e6e897282,Ngbakowo,Handpump,,,,
Functional,,opalo,,,"Water Scheme, Source within 100m",,Yes,9.510008096694946 11.928818821907043 156.0 2.0,True,Larmurde,465,465,415.0,Electric,Yes,1307454609210.jpg,water,Adamawa,adamawa_larmurde,ff70b6062b7dbb24e0c034349e1150b8,opalo,Tap,,,,
Mechanical Issue,,lassun,,,Stand Alone Water Point,,No,9.544710516929626 11.66572630405426 178.0 4.0,True,Larmurde,465,465,415.0,Hand Pump,No,1307784433018.jpg,water,Adamawa,adamawa_larmurde,2435365c4577f9626632970d02e98f2c,nbebungun,Handpump,,,,
Functional,,tisso,,,"Water Scheme, Source within 100m",,Yes,9.515361785888672 11.4435213804245 178.0 4.0,True,Larmurde,465,465,,Electric,No,1307709502538.jpg,water,Adamawa,adamawa_larmurde,8233eb7188135a9dde7dff34943c3c8b,suwa,Tap,,,,
Functional,,opalo,,,"Water Scheme, Source within 100m",,Yes,9.510201215744019 11.930556893348694 148.0 4.0,True,Larmurde,465,465,415.0,Electric,No,1307455548768.jpg,water,Adamawa,adamawa_larmurde,bccacaede9d7b9a77dc520ffedfc9155,opalo,Tap,,,,
Functional,,kawei,,,Stand Alone Water Point,,Yes,9.521622061729431 11.833106875419617 147.0 4.0,True,Larmurde,465,465,415.0,Hand Pump,No,1307441040758.jpg,water,Adamawa,adamawa_larmurde,538bf644065ba7a70e3d9851191e71ca,ngbakawo,Handpump,,,,
Functional,,balaifi,,,"Water Scheme, Source within 100m",,Yes,9.502487182617188 11.466652750968933 170.0 4.0,True,Larmurde,465,465,415.0,Diesel,No,1307711642722.jpg,water,Adamawa,adamawa_larmurde,ae46cf4b45c0c6090191968f9e32c81d,suwa,Tap,,,,
Functional,,bunari,,,Stand Alone Water Point,,Yes,9.48318600654602 11.473605036735535 170.0 4.0,True,Larmurde,465,465,415.0,Diesel,No,1307718730011.jpg,water,Adamawa,adamawa_larmurde,a2cf77c607fa1b1aca015b959b883976,suwa,Tap,,,,
Functional,,Gwei,,,"Water Scheme, Source within 100m",,Yes,9.536792635917664 11.632343530654907 178.0 4.0,True,Larmurde,465,465,415.0,Electric,No,1307790738703.jpg,water,Adamawa,adamawa_larmurde,6202df9a4428607d7e0e0335605b82dc,Suwa,Tap,,,,
Functional,,luwafute,,,Stand Alone Water Point,,Yes,9.530113935470581 11.597775220870972 183.0 4.0,True,Larmurde,465,465,415.0,Electric,No,1307792358489.jpg,water,Adamawa,adamawa_larmurde,0c0107b4d5273460e6b7850fc3e88e53,suwa,Tap,,,,
