access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,819.4232618,False,FALSE,False,,,,formal_educ,Worogas A Primary School,primary_only,1342009278217.jpg,,False,,10.709636807441711 13.53716790676117 594.0 4.0,False,False,primary_only,Madgali,472,472,472.0,0.909090909090909,True,madagali,adamawa,northeast,FALSE,2.0,0.0,6.0,231.0,0.0,6.0,,6.0,253.0,public,False,1342009278217.jpg,134827,164.538897399,,False,FALSE,FALSE,Inf,38.5,28.875,38.5,,False,False,Worogas A Primary School,education,Adamawa,0.0,Others,False,False,FALSE,Inf,1.0952380952381,FALSE,,adamawa_madgali,fab962a3-3600-4c1a-ab82-7baad45cfd9f,False,fab962a3-3600-4c1a-ab82-7baad45cfd9f,Northeast
False,False,819.4232618,True,FALSE,True,,,,formal_educ,GJDSS KWAMBULA,juniors_sec_only,1342000721061.jpg,True,False,FALSE,10.765812993049622 13.395450711250305 466.0 4.0,False,False,juniors_sec_only,Madgali,472,472,472.0,1.18181818181818,False,madagali,adamawa,northeast,FALSE,0.0,0.0,3.0,24.0,1.0,3.0,,2.0,5.0,public,False,1342000721061.jpg,134827,164.538897399,,False,FALSE,FALSE,0.8,8,2.4,8,,False,True,GJDSS KWAMBULA,education,Adamawa,3.0,Others,False,False,FALSE,,0.208333333333333,FALSE,,adamawa_madgali,b221ceb7-1333-4bf2-a5a5-8e6b5a7fe4ee,False,b221ceb7-1333-4bf2-a5a5-8e6b5a7fe4ee,Northeast
False,False,819.4232618,False,FALSE,False,,,,formal_educ,Muduvu primary School,primary_only,1342104092787.jpg,,False,,10.79957664012909 13.5923570394516 562.0 4.0,False,False,primary_only,Madgali,472,472,472.0,1.125,True,madagali,adamawa,northeast,FALSE,2.0,,7.0,340.0,4.0,7.0,,7.0,228.0,public,False,1342104092787.jpg,134827,164.538897399,,False,FALSE,FALSE,340,48.5714285714286,14.7826086956522,48.5714285714286,,False,,Muduvu primary School,education,Adamawa,0.0,Others,,,FALSE,,0.670588235294118,FALSE,,adamawa_madgali,78e5d3dd-acaa-405e-9fbc-e8197129d6f5,False,78e5d3dd-acaa-405e-9fbc-e8197129d6f5,Northeast
False,False,819.4232618,False,FALSE,False,,,,formal_educ,Pallam primary school,primary_only,1342011841775.jpg,,False,,10.734474062919617 13.489488959312439 528.0 4.0,False,False,primary_only,Madgali,472,472,472.0,1.09836065573771,True,madagali,adamawa,northeast,FALSE,5.0,0.0,19.0,1024.0,1.0,22.0,,13.0,240.0,public,False,1342011841775.jpg,134827,164.538897399,,False,FALSE,FALSE,146.285714285714,53.8947368421053,20.48,46.5454545454545,,False,False,Pallam primary school,education,Adamawa,0.0,Others,False,False,FALSE,Inf,0.234375,FALSE,,adamawa_madgali,3963845a-08a4-4b81-9994-f95c60bbfc8b,False,3963845a-08a4-4b81-9994-f95c60bbfc8b,Northeast
False,False,819.4232618,False,TRUE,False,,,,formal_educ,GADA MAHUL PRIMARY SCHOOL,primary_only,1342176972003.jpg,,False,FALSE,10.882017016410828 13.62754225730896 546.0 4.0,False,False,primary_only,Madgali,472,472,472.0,0.846153846153846,True,madagali,adamawa,northeast,FALSE,0.0,0.0,5.0,120.0,1.0,9.0,,4.0,125.0,public,False,1342176972003.jpg,134827,164.538897399,,False,FALSE,FALSE,6,24,6,13.3333333333333,,False,False,GADA MAHUL PRIMARY SCHOOL,education,Adamawa,0.0,Others,True,False,FALSE,1.8,1.04166666666667,FALSE,,adamawa_madgali,7a6da28d-d256-400b-b815-9b08be07283a,False,7a6da28d-d256-400b-b815-9b08be07283a,Northeast
False,False,819.4232618,True,TRUE,False,,,,formal_educ,Gadadamai pry sch.,primary_only,1342006762837.jpg,,False,,10.841435194015503 13.390263319015503 436.0 4.0,False,False,primary_only,Madgali,472,472,472.0,0.778947368421053,False,madagali,adamawa,northeast,FALSE,3.0,,6.0,169.0,0.0,8.0,,5.0,93.0,public,False,1342006762837.jpg,134827,164.538897399,,False,FALSE,FALSE,3.18867924528302,28.1666666666667,3.18867924528302,21.125,,False,,Gadadamai pry sch.,education,Adamawa,0.0,Others,True,,FALSE,,0.550295857988166,FALSE,,adamawa_madgali,f754ad25-5576-48d5-8234-5a063170a0d5,False,f754ad25-5576-48d5-8234-5a063170a0d5,Northeast
False,False,819.4232618,False,FALSE,False,,,,formal_educ,Kojiti primary school,primary_only,1342005187385.jpg,,False,,10.68771243095398 13.541201949119568 593.0 4.0,False,False,primary_only,Madgali,472,472,472.0,1.06474820143885,True,madagali,adamawa,northeast,FALSE,2.0,0.0,6.0,287.0,0.0,4.0,,3.0,148.0,public,False,1342005187385.jpg,134827,164.538897399,,False,FALSE,FALSE,Inf,47.8333333333333,Inf,71.75,,False,False,Kojiti primary school,education,Adamawa,0.0,Others,False,False,FALSE,,0.515679442508711,FALSE,,adamawa_madgali,8b820eba-8172-452f-a36c-93bf6eb8471e,False,8b820eba-8172-452f-a36c-93bf6eb8471e,Northeast
True,False,819.4232618,False,FALSE,False,0.00246474421956,0.271983414003,,formal_educ,Government Christian Secondary School Shuwa (Junior),juniors_sec_only,1342075107309.jpg,True,False,TRUE,10.734967589378357 13.407590389251709 479.0 4.0,False,False,juniors_sec_only,Madgali,472,472,499.0,0.970873786407767,False,madagali,adamawa,northeast,FALSE,,1.0,15.0,2030.0,7.0,27.0,,23.0,,public,False,1342075107309.jpg,134827,164.538897399,,True,FALSE,FALSE,29,135.333333333333,26.025641025641,75.1851851851852,507.5,False,False,Government Christian Secondary School Shuwa (Junior),education,Adamawa,0.0,Others,False,False,TRUE,Inf,,FALSE,,adamawa_madgali,4bb8b53e-0e26-4906-8785-b8b195770ee2,False,4bb8b53e-0e26-4906-8785-b8b195770ee2,Northeast
False,False,819.4232618,False,TRUE,False,0.0172346060306,1.90193625112,,formal_educ,BRISHI SHUWA PRIMARY SCHOOL ,primary_only,1342086464934.jpg,False,False,,10.695646405220032 13.45127284526825 504.0 4.0,False,False,primary_only,Madgali,472,472,499.0,1.40796019900498,False,madagali,adamawa,northeast,TRUE,0.0,,15.0,968.0,5.0,16.0,,13.0,418.0,public,False,1342086464934.jpg,134827,164.538897399,,False,FALSE,FALSE,7.5625,64.5333333333333,7.5625,60.5,,False,False,BRISHI SHUWA PRIMARY SCHOOL ,education,Adamawa,200.0,Others,False,False,TRUE,Inf,0.431818181818182,FALSE,,adamawa_madgali,c4b0db80-0912-4377-a5a5-1309f3711d9d,False,c4b0db80-0912-4377-a5a5-1309f3711d9d,Northeast
False,False,819.4232618,True,FALSE,False,,,,formal_educ,Kubu pry sch.,primary_only,1342008210089.jpg,,False,FALSE,10.857710838317871 13.389973640441895 438.0 4.0,False,False,primary_only,Madgali,472,472,472.0,0.582089552238806,False,madagali,adamawa,northeast,TRUE,0.0,,6.0,318.0,2.0,9.0,,6.0,134.0,public,False,1342008210089.jpg,134827,164.538897399,,False,FALSE,FALSE,7.3953488372093,53,7.3953488372093,35.3333333333333,159,False,False,Kubu pry sch.,education,Adamawa,0.0,Others,True,False,TRUE,,0.421383647798742,FALSE,,adamawa_madgali,9335ea75-df65-48c0-961e-96a8f0a40337,False,9335ea75-df65-48c0-961e-96a8f0a40337,Northeast
