antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,112.5914137,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,0.112360475695,12.4270153618,False,True,False,True,True,False,True,,Njoboli Primary Health Clinic,TRUE,primaryhealthclinic,False,,False,,1345892544008.jpg,9.20091807 12.58809512 201.1999969482422 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,False,False,False,Yola South,764,764,763.0,False,True,True,True,False,False,False,False,False,False,FALSE,yola_south,adamawa,northeast,2,2,0.0,0.0,0.0,0.0,False,public,False,True,1345892544008.jpg,194607,1728.43553167,,False,False,health,False,TRUE,Adamawa,,True,Others,TRUE,adamawa_yola_south,False,7541c7c8-5b27-4ecb-9fc8-e4c7fa06f96d,False,False,7541c7c8-5b27-4ecb-9fc8-e4c7fa06f96d,Northeast
False,112.5914137,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,0.0170818353902,1.88929707858,False,False,False,True,False,False,True,,Damare polo clinic,TRUE,primaryhealthcarecentre,False,True,False,True,1345910284631.jpg,9.21414592 12.48907697 203.6999969482422 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,False,False,True,False,False,False,Yola South,764,764,763.0,False,True,True,True,False,False,False,False,False,False,FALSE,yola_south,adamawa,northeast,6,6,1.0,0.0,0.0,0.0,False,public,,True,1345910284631.jpg,194607,1728.43553167,False,False,False,health,True,TRUE,Adamawa,False,True,Others,FALSE,adamawa_yola_south,False,daeb52c0-6e87-4b23-b17a-ddd101ead358,False,False,daeb52c0-6e87-4b23-b17a-ddd101ead358,Northeast
False,112.5914137,False,False,False,True,False,True,False,True,True,True,True,True,True,True,TRUE,False,0.014349408791,1.58709813735,True,True,False,True,False,False,False,,"Nana Asmau 
Maternity",TRUE,maternity,False,True,False,True,1345901806622.jpg,9.2084345 12.47696204 216.60000610351563 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Yola South,764,764,763.0,False,True,True,True,True,False,False,False,False,False,FALSE,yola_south,adamawa,northeast,10,6,1.0,,0.0,0.0,False,public,,True,1345901806622.jpg,194607,1728.43553167,True,False,False,health,True,TRUE,Adamawa,False,True,Others,FALSE,adamawa_yola_south,False,8086cfe9-4fe8-4c6e-99d7-0973fb6d23a8,False,False,8086cfe9-4fe8-4c6e-99d7-0973fb6d23a8,Northeast
False,112.5914137,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.0317507162925,3.51180926596,False,True,False,True,True,False,True,True,Health Clinic,TRUE,primaryhealthclinic,False,True,False,True,1345974252339.jpg,9.189714789390564 12.478939890861511 175.0 4.0,False,True,FALSE,False,True,True,False,TRUE,True,True,False,False,False,False,False,False,Yola South,764,764,763.0,False,True,True,True,True,False,False,False,False,False,FALSE,yola_south,adamawa,northeast,5,0,0.0,0.0,0.0,0.0,False,public,,True,1345974252339.jpg,194607,1728.43553167,,False,False,health,False,TRUE,Adamawa,False,True,Others,TRUE,adamawa_yola_south,False,37ebcb9f-44ae-4937-9166-24689e44a3fa,False,False,37ebcb9f-44ae-4937-9166-24689e44a3fa,Northeast
False,112.5914137,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,0.0792705522476,8.76770915634,True,True,False,False,False,False,False,,Mbamba Ardo Health Clinic,TRUE,primaryhealthclinic,False,True,False,True,1345896841537.jpg,9.17808453 12.54032836 202.10000610351563 5.0,False,True,FALSE,False,True,True,False,TRUE,False,True,True,False,True,True,False,False,Yola South,764,764,763.0,False,True,False,True,True,False,False,False,False,False,FALSE,yola_south,adamawa,northeast,6,5,0.0,0.0,5.0,0.0,False,public,,True,1345896841537.jpg,194607,1728.43553167,,False,False,health,True,TRUE,Adamawa,False,True,Others,TRUE,adamawa_yola_south,False,03bb10ef-0b50-4c21-9ee1-16318484a77b,False,False,03bb10ef-0b50-4c21-9ee1-16318484a77b,Northeast
False,112.5914137,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.0151585792555,1.67658564677,False,False,False,,,False,False,True,Lamido Aliyu Clinic Yola,TRUE,primaryhealthclinic,False,True,False,True,1345909845156.jpg,9.212315 12.48447447 228.1999969482422 5.0,False,True,FALSE,False,True,True,False,TRUE,,True,True,False,True,True,False,False,Yola South,764,764,763.0,False,True,True,True,True,False,False,False,False,False,FALSE,yola_south,adamawa,northeast,7,5,1.0,1.0,0.0,0.0,False,public,False,True,1345909845156.jpg,194607,1728.43553167,True,False,False,health,True,TRUE,Adamawa,False,True,Others,FALSE,adamawa_yola_south,False,a1608c92-1f47-4b9e-92d8-4409efc3ff5c,False,False,a1608c92-1f47-4b9e-92d8-4409efc3ff5c,Northeast
False,112.5914137,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,0.00221496384309,0.24495999662,False,True,False,,,False,,,A.A Namtari M C H,TRUE,maternity,False,True,False,True,1345809624430.jpg,9.2804576 12.45313899 191.3000030517578 5.0,False,True,FALSE,False,True,True,False,TRUE,,True,True,False,True,False,False,False,Yola South,764,764,251.0,False,True,True,True,False,False,False,False,False,False,FALSE,yola_south,adamawa,northeast,8,7,0.0,0.0,0.0,0.0,False,public,,True,1345809624430.jpg,194607,1728.43553167,,False,False,health,False,TRUE,Adamawa,False,True,Others,FALSE,adamawa_yola_south,False,409bc3fa-964a-4223-9487-7523590bb3a9,,,409bc3fa-964a-4223-9487-7523590bb3a9,Northeast
False,112.5914137,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.0214649487222,2.37411000831,True,True,False,True,True,False,,True,Tongo Health Clinic,TRUE,primaryhealthclinic,False,True,False,True,1345978701483.jpg,9.20392432 12.48345909 230.5 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,False,False,False,Yola South,764,764,763.0,False,True,False,True,True,False,False,False,False,False,FALSE,yola_south,adamawa,northeast,7,6,0.0,0.0,0.0,0.0,False,public,,True,1345978701483.jpg,194607,1728.43553167,True,False,False,health,False,TRUE,Adamawa,False,True,Others,FALSE,adamawa_yola_south,False,7f458fd9-cb57-42c3-bd3e-af1a2fb45d0d,,,7f458fd9-cb57-42c3-bd3e-af1a2fb45d0d,Northeast
False,112.5914137,True,True,True,True,True,True,False,True,True,True,True,True,True,True,TRUE,False,0.0316952640231,3.50564510664,True,True,False,True,True,False,True,True,Federal Medical Centero,TRUE,federalmedicalcentre,False,False,False,False,1345982959930.jpg,9.19603407382965 12.490269541740417 192.0 4.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Yola South,764,764,763.0,False,True,True,True,True,False,False,False,False,False,FALSE,yola_south,adamawa,northeast,0,0,,23.0,0.0,155.0,False,public,False,True,1345982959930.jpg,194607,1728.43553167,True,False,False,health,True,TRUE,Adamawa,False,True,Others,TRUE,adamawa_yola_south,False,994e71b8-cc37-4d85-8659-cfae9b8d0c2e,False,False,994e71b8-cc37-4d85-8659-cfae9b8d0c2e,Northeast
False,112.5914137,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.142419206068,15.7529759679,False,True,False,,,False,,,Dispensary,,healthpostdispensary,False,,False,,1345884321364.jpg,9.12300973 12.57515992 250.89999389648438 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Yola South,764,764,763.0,False,True,False,False,False,False,False,False,False,False,FALSE,yola_south,adamawa,northeast,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1345884321364.jpg,194607,1728.43553167,True,False,False,health,False,TRUE,Adamawa,,,Others,FALSE,adamawa_yola_south,False,f411a63f-4f0a-4750-a605-c3080ac1e49d,,,f411a63f-4f0a-4750-a605-c3080ac1e49d,Northeast
