breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,Wauru Jabbe,,,"Water Scheme, Source within 100m",1345812352371.jpg,Yes,9.2626234 12.39810798 189.89999389648438 5.0,True,Yola South,764,764,764.0,Tap (unknown lift),Yes,1345812352371.jpg,water,Adamawa,adamawa_yola_south,2f9bf1b2-274f-48cd-a4b5-10f97486d76d,Namtari,Tap,outlet,,2f9bf1b2-274f-48cd-a4b5-10f97486d76d,Northeast
Functional,,Saminaka,,,"Water Scheme, Source within 100m",1345982047287.jpg,Yes,9.27547565 12.37371081 186.89999389648438 5.0,True,Yola South,764,764,764.0,Tap (unknown lift),Yes,1345982047287.jpg,water,Adamawa,adamawa_yola_south,35cbf46b-43ce-4684-80c9-a657b29e250e,Namtari,Tap,outlet,,35cbf46b-43ce-4684-80c9-a657b29e250e,Northeast
Poorly Constructed,,Wauru Jabbe,,,"Water Scheme, Source within 100m",1345812218209.jpg,No,9.26265256 12.39841646 190.1999969482422 5.0,True,Yola South,764,764,764.0,Tap (unknown lift),No,1345812218209.jpg,water,Adamawa,adamawa_yola_south,94ac9e29-f8b4-4fb9-95da-fe8af6030cd4,Namtari,Tap,outlet,,94ac9e29-f8b4-4fb9-95da-fe8af6030cd4,Northeast
Functional,,Wauru Jabbe,,,"Water Scheme, Source within 100m",1345812618092.jpg,Yes,9.26265418 12.3977622 168.10000610351563 5.0,True,Yola South,764,764,764.0,Tap (unknown lift),Yes,1345812618092.jpg,water,Adamawa,adamawa_yola_south,89d029cb-db2b-4983-a750-db03e70434a9,Namtari,Tap,outlet,,89d029cb-db2b-4983-a750-db03e70434a9,Northeast
Poorly Constructed,,Saminaka,,,"Water Scheme, Source within 100m",1345981302691.jpg,No,9.27618311 12.3740732 174.60000610351563 5.0,True,Yola South,764,764,764.0,Tap (unknown lift),No,1345981302691.jpg,water,Adamawa,adamawa_yola_south,72d313ca-68fd-48fe-8978-f933a5ea74b9,Namtari,Tap,outlet,,72d313ca-68fd-48fe-8978-f933a5ea74b9,Northeast
Poorly Constructed,,Wauru Jabbe,,,"Water Scheme, Source within 1km",1345809878357.jpg,No,9.25928684 12.39493569 194.5 5.0,True,Yola South,764,764,764.0,Tap (unknown lift),No,1345809878357.jpg,water,Adamawa,adamawa_yola_south,c621b0b1-b0f2-4e43-a128-62b17bbd3f04,Namtari,Tap,outlet,,c621b0b1-b0f2-4e43-a128-62b17bbd3f04,Northeast
Functional,,Wauru Jabbe,,,"Water Scheme, Source within 100m",1345812937203.jpg,Yes,9.26950214 12.39724067 174.89999389648438 5.0,True,Yola South,764,764,764.0,Tap (unknown lift),Yes,1345812937203.jpg,water,Adamawa,adamawa_yola_south,ce1f9d16-3b83-46b3-b3d4-18028364e104,Namtari,Tap,outlet,,ce1f9d16-3b83-46b3-b3d4-18028364e104,Northeast
Don't Know,,Wauru Jabbe,,,"Water Scheme, Source within 100m",1345810233515.jpg,No,9.25960952 12.39793111 178.60000610351563 2.0,True,Yola South,764,764,764.0,Tap (unknown lift),No,1345810233515.jpg,water,Adamawa,adamawa_yola_south,a67d3d8b-53f3-4522-9050-9079242e2f32,NAMTARI,Tap,outlet,,a67d3d8b-53f3-4522-9050-9079242e2f32,Northeast
Don't Know,,Wauru jabbe,,,"Water Scheme, Source within 100m",1345809480629.jpg,No,9.26220609 12.39627527 195.0 5.0,True,Yola South,764,764,764.0,Tap (unknown lift),No,1345809480629.jpg,water,Adamawa,adamawa_yola_south,e1ddf4bd-930c-48d2-a33b-4b6101e4af51,Namtari,Tap,outlet,,e1ddf4bd-930c-48d2-a33b-4b6101e4af51,Northeast
Functional,,Wauru Jabbe,,,"Water Scheme, Source within 1km",1345811505912.jpg,Yes,9.2602884 12.39720304 211.10000610351563 5.0,True,Yola South,764,764,764.0,Tap (unknown lift),No,1345811505912.jpg,water,Adamawa,adamawa_yola_south,06e51dc1-9ba1-488e-8bbc-f6e2aeb45334,Namtari,Tap,outlet,,06e51dc1-9ba1-488e-8bbc-f6e2aeb45334,Northeast
Functional,,Sabon pegi II,,,"Water Scheme, Source within 100m",1345890791974.jpg,Yes,9.213849306106567 12.441083192825317 179.0 4.0,True,Yola South,764,764,764.0,Tap (unknown lift),No,1345890791974.jpg,water,Adamawa,adamawa_yola_south,4c0b3bb6-a547-47ea-a145-dcbd9f211046,Yolde Pate II,Tap,outlet,,4c0b3bb6-a547-47ea-a145-dcbd9f211046,Northeast
Mechanical Issue,,Sebore,0.138486170337,15.3178481098,"Water Scheme, Source within 100m",1345884820622.jpg,No,9.12886575 12.57550306 224.8000030517578 5.0,True,Yola South,764,764,763.0,Tap (unknown lift),No,1345884820622.jpg,water,Adamawa,adamawa_yola_south,c0ab2c78-8d4b-436f-ba8c-412ba7283248,Mbamba,Tap,outlet,,c0ab2c78-8d4b-436f-ba8c-412ba7283248,Northeast
Mechanical Issue,,Namtari Manga,0.0677488349298,7.49202428764,"Water Scheme, Source within 100m",1345825872827.jpg,No,9.30815471 12.29253431 186.3000030517578 5.0,True,Yola South,764,764,763.0,Tap (unknown lift),No,1345825872827.jpg,water,Adamawa,adamawa_yola_south,9229415d-cc94-4cc8-9484-130a624a3e0d,Namtari,Tap,outlet,,9229415d-cc94-4cc8-9484-130a624a3e0d,Northeast
Functional,,Njoboliyo,0.110930738434,12.2688317429,"Water Scheme, Source within 100m",1345891964757.jpg,Yes,9.20464375 12.58782311 194.6999969482422 5.0,True,Yola South,764,764,763.0,Tap (unknown lift),No,1345891964757.jpg,water,Adamawa,adamawa_yola_south,b48cae9e-84be-4a44-9afe-3dc25306f22b,Mbamba,Tap,outlet,,b48cae9e-84be-4a44-9afe-3dc25306f22b,Northeast
Don't Know,,Wuro Hausa,0.0270960201653,2.99690971538,"Water Scheme, Source within 100m",1345910751168.jpg,No,9.20659783 12.49568402 221.3000030517578 5.0,True,Yola South,764,764,763.0,Tap (unknown lift),No,1345910751168.jpg,water,Adamawa,adamawa_yola_south,41628c0e-94d4-4156-b31e-d549d507dde7,Adarawo,Tap,outlet,,41628c0e-94d4-4156-b31e-d549d507dde7,Northeast
