antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,295.0497968,True,True,True,True,False,False,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,True,False,False,True,,HEALTH CENTRE UKANA EAST,TRUE,primaryhealthcarecentre,False,True,False,True,1342001260461.jpg,5.099056363105774 7.725679278373718 93.0 4.0,False,True,FALSE,False,True,True,False,TRUE,True,False,False,False,True,False,False,False,Essien Udim,205,205,205.0,False,True,False,True,True,False,False,False,False,False,FALSE,essien_udim,akwa_ibom,south_south,6,5,0.0,0.0,4.0,6.0,False,public,False,True,1342001260461.jpg,192668,653.00163596,,False,False,health,True,TRUE,Akwa Ibom,False,True,148,FALSE,akwa_ibom_essien_udim,False,dad76ad9-defa-4eef-ac1a-89646a558aef,False,False,dad76ad9-defa-4eef-ac1a-89646a558aef,South-South
False,295.0497968,True,True,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,True,False,False,,,XXXX,TRUE,primaryhealthcarecentre,False,True,False,True,1342011681093.jpg,5.123008489608765 7.693734169006348 57.0 4.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,False,False,False,Essien Udim,205,205,205.0,False,True,False,True,True,False,False,False,False,False,FALSE,essien_udim,akwa_ibom,south_south,8,7,0.0,0.0,4.0,0.0,False,public,False,False,1342011681093.jpg,192668,653.00163596,True,False,False,health,True,TRUE,Akwa Ibom,False,True,148,FALSE,akwa_ibom_essien_udim,False,01b81046-b442-4c30-ba2b-248cb83f756a,,,01b81046-b442-4c30-ba2b-248cb83f756a,South-South
False,295.0497968,False,False,True,True,False,False,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,,HEALTH POST,,healthpostdispensary,False,,False,,1342439119907.jpg,5.146649479866028 7.6794809103012085 112.0 4.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Essien Udim,205,205,205.0,False,False,False,False,False,False,False,False,False,False,FALSE,essien_udim,akwa_ibom,south_south,2,1,0.0,0.0,2.0,0.0,False,public,,False,1342439119907.jpg,192668,653.00163596,,False,False,health,True,TRUE,Akwa Ibom,,False,148,FALSE,akwa_ibom_essien_udim,False,cb132153-fb6e-429e-9b06-0ee6535f35a8,,,cb132153-fb6e-429e-9b06-0ee6535f35a8,South-South
False,295.0497968,False,True,True,True,False,False,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,PHC MBIEBET IKPE ANNANNG,,primaryhealthcarecentre,False,True,False,True,1342098900933.jpg,5.103852152824402 7.762205600738525 97.0 4.0,False,True,FALSE,False,True,True,False,FALSE,,False,True,False,True,False,False,False,Essien Udim,205,205,205.0,False,False,False,False,False,False,False,False,False,False,FALSE,essien_udim,akwa_ibom,south_south,4,2,0.0,1.0,3.0,0.0,False,public,False,False,1342098900933.jpg,192668,653.00163596,False,False,False,health,True,TRUE,Akwa Ibom,False,True,148,FALSE,akwa_ibom_essien_udim,False,28044fbb-58e7-48ab-a5a5-ed20ee9cf18d,,,28044fbb-58e7-48ab-a5a5-ed20ee9cf18d,South-South
False,295.0497968,False,True,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,0.00130825221511,0.145337303213,False,True,False,True,True,False,,True,HEALTH CENTRE IKOT OTU ,TRUE,primaryhealthcarecentre,False,True,False,True,1342436688835.jpg,5.175912380218506 7.629784941673279 116.0 4.0,False,True,FALSE,False,True,True,False,TRUE,True,True,False,False,True,False,False,False,Essien Udim,205,205,551.0,False,True,False,True,True,False,False,False,False,False,FALSE,essien_udim,akwa_ibom,south_south,7,7,0.0,1.0,2.0,1.0,False,public,False,True,1342436688835.jpg,192668,653.00163596,,False,False,health,True,TRUE,Akwa Ibom,False,True,148,FALSE,akwa_ibom_essien_udim,False,63832596-0b6c-48b5-8123-4857517fc251,,,63832596-0b6c-48b5-8123-4857517fc251,South-South
False,295.0497968,True,True,True,True,False,True,False,False,True,True,True,False,,False,FALSE,False,,,True,True,False,True,False,False,False,True,Health Centre Afaha Ikot Ebeak,TRUE,primaryhealthcarecentre,False,True,False,True,1342016268603.jpg,5.1299285888671875 7.6689612865448 94.0 3.0,False,True,FALSE,False,True,False,False,FALSE,True,False,True,False,True,False,False,False,Essien Udim,205,205,205.0,False,True,False,True,True,False,False,False,False,False,FALSE,essien_udim,akwa_ibom,south_south,13,7,0.0,4.0,12.0,14.0,False,public,False,True,1342016268603.jpg,192668,653.00163596,,False,False,health,True,TRUE,Akwa Ibom,False,True,148,TRUE,akwa_ibom_essien_udim,False,03100aa8-d4fe-4fc1-babb-80eaf2d8e906,False,False,03100aa8-d4fe-4fc1-babb-80eaf2d8e906,South-South
False,295.0497968,False,True,True,True,False,False,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,PHC MBIEBET IKPE ANNANNG,,primaryhealthcarecentre,False,True,False,True,1342098900933.jpg,5.103852152824402 7.762205600738525 97.0 4.0,False,True,FALSE,False,True,True,False,FALSE,,False,True,False,True,False,False,False,Essien Udim,205,205,205.0,False,False,False,False,False,False,False,False,False,False,FALSE,essien_udim,akwa_ibom,south_south,4,2,0.0,1.0,3.0,0.0,False,public,False,False,1342098900933.jpg,192668,653.00163596,False,False,False,health,True,TRUE,Akwa Ibom,False,True,148,FALSE,akwa_ibom_essien_udim,False,28044fbb-58e7-48ab-a5a5-ed20ee9cf18d,,,28044fbb-58e7-48ab-a5a5-ed20ee9cf18d,South-South
False,295.0497968,True,True,True,True,False,True,False,False,True,True,True,False,,False,FALSE,False,,,True,True,False,True,False,False,False,True,Health Centre Afaha Ikot Ebeak,TRUE,primaryhealthcarecentre,False,True,False,True,1342016268603.jpg,5.1299285888671875 7.6689612865448 94.0 3.0,False,True,FALSE,False,True,False,False,FALSE,True,False,True,False,True,False,False,False,Essien Udim,205,205,205.0,False,True,False,True,True,False,False,False,False,False,FALSE,essien_udim,akwa_ibom,south_south,13,7,0.0,4.0,12.0,14.0,False,public,False,True,1342016268603.jpg,192668,653.00163596,,False,False,health,True,TRUE,Akwa Ibom,False,True,148,TRUE,akwa_ibom_essien_udim,False,03100aa8-d4fe-4fc1-babb-80eaf2d8e906,False,False,03100aa8-d4fe-4fc1-babb-80eaf2d8e906,South-South
False,295.0497968,True,True,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,True,False,False,,,XXXX,TRUE,primaryhealthcarecentre,False,True,False,True,1342011681093.jpg,5.123008489608765 7.693734169006348 57.0 4.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,False,False,False,Essien Udim,205,205,205.0,False,True,False,True,True,False,False,False,False,False,FALSE,essien_udim,akwa_ibom,south_south,8,7,0.0,0.0,4.0,0.0,False,public,False,False,1342011681093.jpg,192668,653.00163596,True,False,False,health,True,TRUE,Akwa Ibom,False,True,148,FALSE,akwa_ibom_essien_udim,False,01b81046-b442-4c30-ba2b-248cb83f756a,,,01b81046-b442-4c30-ba2b-248cb83f756a,South-South
False,295.0497968,False,False,True,True,False,False,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,,HEALTH POST,,healthpostdispensary,False,,False,,1342439119907.jpg,5.146649479866028 7.6794809103012085 112.0 4.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Essien Udim,205,205,205.0,False,False,False,False,False,False,False,False,False,False,FALSE,essien_udim,akwa_ibom,south_south,2,1,0.0,0.0,2.0,0.0,False,public,,False,1342439119907.jpg,192668,653.00163596,,False,False,health,True,TRUE,Akwa Ibom,,False,148,FALSE,akwa_ibom_essien_udim,False,cb132153-fb6e-429e-9b06-0ee6535f35a8,,,cb132153-fb6e-429e-9b06-0ee6535f35a8,South-South
