breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Mechanical Issue,,Ikot. Mpok.,,,"Water Scheme, Source within 100m",1337943060907.jpg,No,4.86424958 8.03675544 71.0 5.0,True,Nsit-Atai,538,538,538.0,Tap (unknown lift),No,1337943060907.jpg,water,Akwa Ibom,akwa_ibom_nsit_atai,378ecd6e-8f5a-4b2b-8f3c-0fd1bea6aa4d,Ndon. Omun.,Tap,outlet,,378ecd6e-8f5a-4b2b-8f3c-0fd1bea6aa4d,South-South
Mechanical Issue,,Ikot. Akpan. Ike.,,,"Water Scheme, Source within 100m",1337947937243.jpg,No,4.8697775 8.01833293 75.5999984741211 5.0,True,Nsit-Atai,538,538,538.0,Tap (unknown lift),No,1337947937243.jpg,water,Akwa Ibom,akwa_ibom_nsit_atai,58d8f38f-55a2-4d20-8e34-0db0e3b14264,Ikot. Akpan. Ike.,Tap,outlet,,58d8f38f-55a2-4d20-8e34-0db0e3b14264,South-South
Functional,,Ibedu,,,"Water Scheme, Source within 100m",1337940855499.jpg,Yes,4.76615178 8.02027073 63.20000076293945 5.0,True,Nsit-Atai,538,538,538.0,Tap (unknown lift),No,1337940855499.jpg,water,Akwa Ibom,akwa_ibom_nsit_atai,12602904-de1a-431a-9964-bca3aa7ab6cc,Ward 7,Tap,outlet,,12602904-de1a-431a-9964-bca3aa7ab6cc,South-South
Functional,,Ikot Otu,,,"Water Scheme, Source within 100m",1338031368753.jpg,Yes,4.83452513 8.01470093 65.0 5.0,True,Nsit-Atai,538,538,538.0,Tap (unknown lift),No,1338031368753.jpg,water,Akwa Ibom,akwa_ibom_nsit_atai,8d30a86e-c8dc-4369-a7cf-d563fd2da4ea,Ward 3,Tap,outlet,,8d30a86e-c8dc-4369-a7cf-d563fd2da4ea,South-South
Mechanical Issue,,Ikorobita.,,,"Water Scheme, Source within 100m",1337951335170.jpg,No,4.85493063 8.03813492 70.0999984741211 5.0,True,Nsit-Atai,538,538,538.0,Tap (unknown lift),Don't Know,1337951335170.jpg,water,Akwa Ibom,akwa_ibom_nsit_atai,cc260f3f-efe3-44b9-997f-5363e0629511,Ikoribita.,Tap,outlet,,cc260f3f-efe3-44b9-997f-5363e0629511,South-South
Functional,,Iwok 1,,,"Water Scheme, Source further than 1km",1337984358565.jpg,Yes,4.8055265 8.05913146 56.599998474121094 5.0,True,Nsit-Atai,538,538,538.0,Tap (unknown lift),No,1337984358565.jpg,water,Akwa Ibom,akwa_ibom_nsit_atai,7d578283-3a82-47bc-9b69-5205672b6881,Ward 2,Tap,outlet,,7d578283-3a82-47bc-9b69-5205672b6881,South-South
Functional,,Odot 1,,,"Water Scheme, Source within 100m",1338027988773.jpg,Yes,4.82473138 8.03759935 72.69999694824219 5.0,True,Nsit-Atai,538,538,538.0,Tap (unknown lift),No,1338027988773.jpg,water,Akwa Ibom,akwa_ibom_nsit_atai,39c1c522-97eb-4b66-9f24-938455988ef1,Ward 1,Tap,outlet,,39c1c522-97eb-4b66-9f24-938455988ef1,South-South
Poorly Constructed,,Ikot Esen. Ibedu,,,"Water Scheme, Source within 100m",1337979669476.jpg,No,4.77211964 8.04920328 76.9000015258789 5.0,True,Nsit-Atai,538,538,538.0,Tap (unknown lift),Yes,1337979669476.jpg,water,Akwa Ibom,akwa_ibom_nsit_atai,14e8644a-9f3a-4fe6-8114-72c8682ac5e3,Ward 7,Tap,outlet,,14e8644a-9f3a-4fe6-8114-72c8682ac5e3,South-South
Mechanical Issue,,Ikot. Itie. Udung.,,,"Water Scheme, Source within 100m",1338027674695.jpg,No,4.86901599 8.06126749 79.9000015258789 5.0,True,Nsit-Atai,538,538,538.0,Tap (unknown lift),No,1338027674695.jpg,water,Akwa Ibom,akwa_ibom_nsit_atai,1e671d8f-f7f2-4372-bb4b-8da482ca7bc8,Ikot. Itie. Udung.,Tap,outlet,,1e671d8f-f7f2-4372-bb4b-8da482ca7bc8,South-South
Mechanical Issue,,Ikot Ekong Odot 1,,,"Water Scheme, Source within 100m",1338027442997.jpg,No,4.81836555 8.03360929 66.4000015258789 5.0,True,Nsit-Atai,538,538,538.0,Tap (unknown lift),No,1338027442997.jpg,water,Akwa Ibom,akwa_ibom_nsit_atai,6af3986a-59fb-4a10-b19d-f63e2eca6ef6,Ward 1,Tap,outlet,,6af3986a-59fb-4a10-b19d-f63e2eca6ef6,South-South
Under Construction,,Odot,,,"Water Scheme, Source within 100m",1338026627152.jpg,No,4.83150279 8.03610385 56.29999923706055 5.0,True,Nsit-Atai,538,538,538.0,Tap (unknown lift),Don't Know,1338026627152.jpg,water,Akwa Ibom,akwa_ibom_nsit_atai,f6288f88-1573-4835-a8dc-c4cce002974e,Ward 1,Tap,outlet,,f6288f88-1573-4835-a8dc-c4cce002974e,South-South
,,Odot,,,,1338026405356.jpg,Don't Know,4.83164804 8.03785755 68.80000305175781 5.0,True,Nsit-Atai,538,538,538.0,Tap (unknown lift),Don't Know,1338026405356.jpg,water,Akwa Ibom,akwa_ibom_nsit_atai,e931c4f7-0b16-47dc-9323-a1fb4a7d6ee7,Ward 1,Tap,outlet,,e931c4f7-0b16-47dc-9323-a1fb4a7d6ee7,South-South
