breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Mechanical Issue,,Ikot Obio Eket,,,Stand Alone Water Point,1347272759520.jpg,No,4.712260365486145 7.874332666397095 38.0 4.0,True,Onna,604,604,604.0,Hand Pump,No,1347272759520.jpg,water,Akwa Ibom,akwa_ibom_onna,0ad8a4d9-6e50-42d9-be88-bed502eac564,Awa IV,Borehole,water_source,borehole_tube_well,0ad8a4d9-6e50-42d9-be88-bed502eac564,South-South
Mechanical Issue,,Ikot Akpan Nkpe,,,Stand Alone Water Point,1347094914937.jpg,No,4.704868197441101 7.8156620264053345 53.0 4.0,True,Onna,604,604,604.0,Diesel,No,1347094914937.jpg,water,Akwa Ibom,akwa_ibom_onna,e22401cc-2d1d-41f3-be74-890b3c9de3cf,Awa II,Borehole,water_source,borehole_tube_well,e22401cc-2d1d-41f3-be74-890b3c9de3cf,South-South
Poorly Constructed,,ABAT,,,"Water Scheme, Source within 1km",1347264319855.jpg,No,4.613319039344788 7.862091064453125 36.0 4.0,True,Onna,604,604,604.0,Tap (unknown lift),No,1347264319855.jpg,water,Akwa Ibom,akwa_ibom_onna,31cb8e98-91c7-4dd0-910b-a2a037f8fcdc,ONIONG EAST 1,Tap,outlet,,31cb8e98-91c7-4dd0-910b-a2a037f8fcdc,South-South
Mechanical Issue,,Ikot Ndudot,,,"Water Scheme, Source further than 1km",1347457979253.jpg,No,4.6250832080841064 7.818194031715393 31.0 4.0,True,Onna,604,604,604.0,Tap (unknown lift),No,1347457979253.jpg,water,Akwa Ibom,akwa_ibom_onna,d7308a14-9162-465c-be96-d8e3a87f3751,Oniong west ward III,Tap,outlet,,d7308a14-9162-465c-be96-d8e3a87f3751,South-South
Functional,,Ukpana,,,"Water Scheme, Source within 100m",1346833639337.jpg,Yes,4.59078593 7.82569745 40.099998474121094 5.0,True,Onna,604,604,604.0,Tap (unknown lift),No,1346833639337.jpg,water,Akwa Ibom,akwa_ibom_onna,349011f6-df5c-4439-aa9c-8c4ae8767601,Oniong west 2,Tap,outlet,,349011f6-df5c-4439-aa9c-8c4ae8767601,South-South
Functional,,IKOT NDUA IMAN,,,"Water Scheme, Source within 100m",1347353404761.jpg,Yes,4.633532166481018 7.841008901596069 46.0 3.0,True,Onna,604,604,604.0,Tap (unknown lift),No,1347353404761.jpg,water,Akwa Ibom,akwa_ibom_onna,4db82e5f-d534-4f84-9240-da1725638a00,NUNG NDEM,Tap,outlet,,4db82e5f-d534-4f84-9240-da1725638a00,South-South
Mechanical Issue,,NDON EYO,,,"Water Scheme, Source within 100m",1347274158153.jpg,No,4.6306997537612915 7.854081988334656 52.0 4.0,True,Onna,604,604,604.0,Tap (unknown lift),No,1347274158153.jpg,water,Akwa Ibom,akwa_ibom_onna,0b0631c2-9f51-4d41-91e1-09b487a30ad8,NUNG NDEM 1,Tap,outlet,,0b0631c2-9f51-4d41-91e1-09b487a30ad8,South-South
Functional,,Ikot Udo,,,Stand Alone Water Point,1347443967975.jpg,Yes,4.626064896583557 7.832018136978149 49.0 4.0,True,Onna,604,604,604.0,Diesel,Yes,1347443967975.jpg,water,Akwa Ibom,akwa_ibom_onna,a55779d3-6e37-4ec1-8b16-43c1ed3b9952,Oniong west ward III,Borehole,water_source,borehole_tube_well,a55779d3-6e37-4ec1-8b16-43c1ed3b9952,South-South
Functional,,AFAHA UBIUM,,,"Water Scheme, Source within 100m",1347371400521.jpg,Yes,4.68045967 7.84318868 64.5999984741211 5.0,True,Onna,604,604,604.0,Tap (unknown lift),No,1347371400521.jpg,water,Akwa Ibom,akwa_ibom_onna,7c78a215-aecd-4f28-aacd-0e09927317ed,AWA I,Tap,outlet,,7c78a215-aecd-4f28-aacd-0e09927317ed,South-South
Mechanical Issue,,Ikot Udo,,,"Water Scheme, Source within 100m",1346995252558.jpg,No,4.62715216 7.82905027 32.70000076293945 5.0,True,Onna,604,604,604.0,Tap (unknown lift),No,1346995252558.jpg,water,Akwa Ibom,akwa_ibom_onna,5bb10d12-69f0-45ac-b272-c06397072967,Oniong west 3,Tap,outlet,,5bb10d12-69f0-45ac-b272-c06397072967,South-South
