antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,588.7147858,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,True,False,Primary Helth Clnic Omor,FALSE,primaryhealthclinic,False,,False,,1336400942218.jpg,6.50399661 6.97409421 65.30000305175781 5.0,False,True,FALSE,False,,,False,TRUE,True,True,False,False,False,False,False,False,Ayamelum,76,76,76.0,False,True,True,True,False,False,False,False,False,False,FALSE,ayamelum,anambra,southeast,7,4,,,0.0,,False,public,False,True,1336400942218.jpg,158410,269.077665146,False,False,False,health,False,TRUE,Anambra,,True,148,TRUE,anambra_ayamelum,False,744c0acb-a3e2-4d45-91ae-89562091b0d0,False,False,744c0acb-a3e2-4d45-91ae-89562091b0d0,Southeast
False,588.7147858,True,True,True,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,False,,Health Post Igbakwu,TRUE,healthpostdispensary,False,,False,,1336222565744.jpg,6.54545109 6.94100088 68.19999694824219 5.0,False,True,FALSE,False,True,False,False,TRUE,True,False,True,False,True,True,False,False,Ayamelum,76,76,76.0,False,True,True,True,True,False,False,False,False,False,FALSE,ayamelum,anambra,southeast,0,0,0.0,0.0,4.0,2.0,False,public,,False,1336222565744.jpg,158410,269.077665146,,False,False,health,True,TRUE,Anambra,,True,148,TRUE,anambra_ayamelum,False,765fcee2-bd68-4dab-ac9b-562178857033,False,False,765fcee2-bd68-4dab-ac9b-562178857033,Southeast
False,588.7147858,False,True,True,True,False,True,False,False,True,True,True,False,True,True,TRUE,False,,,False,False,False,True,True,False,False,,Primary Health care Centre,TRUE,primaryhealthcarecentre,False,True,False,True,1336479882116.jpg,6.60944335 6.93840026 83.0999984741211 5.0,False,True,FALSE,False,True,True,False,TRUE,True,False,False,False,True,False,False,False,Ayamelum,76,76,76.0,False,True,True,True,True,False,False,False,False,False,FALSE,ayamelum,anambra,southeast,2,2,1.0,0.0,2.0,1.0,False,public,,False,1336479882116.jpg,158410,269.077665146,,False,False,health,True,TRUE,Anambra,True,True,148,FALSE,anambra_ayamelum,False,81232ad8-7323-4165-aff6-240b57d0a968,False,False,81232ad8-7323-4165-aff6-240b57d0a968,Southeast
False,588.7147858,False,False,True,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,False,,Primary Health Centre,TRUE,primaryhealthcarecentre,False,True,False,True,1336390929067.jpg,6.51255658 6.96244937 71.4000015258789 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Ayamelum,76,76,76.0,False,True,True,True,True,False,False,False,False,False,FALSE,ayamelum,anambra,southeast,1,1,0.0,0.0,5.0,0.0,False,public,False,False,1336390929067.jpg,158410,269.077665146,True,False,False,health,True,FALSE,Anambra,False,True,148,TRUE,anambra_ayamelum,False,d3993713-bcda-4071-8f09-387fc7ab94a7,False,False,d3993713-bcda-4071-8f09-387fc7ab94a7,Southeast
False,588.7147858,False,False,False,False,False,False,False,False,True,True,True,False,,False,FALSE,False,,,False,True,False,True,False,False,False,True,HEALTH CENTER,FALSE,healthpostdispensary,False,True,False,True,1336138969339.jpg,6.52654725 7.00290519 47.0 5.0,False,False,FALSE,False,,,False,FALSE,True,False,False,False,True,True,False,False,Ayamelum,76,76,76.0,False,True,True,True,False,False,False,False,False,False,FALSE,ayamelum,anambra,southeast,1,1,0.0,0.0,0.0,0.0,False,public,,False,1336138969339.jpg,158410,269.077665146,False,False,False,health,False,TRUE,Anambra,False,True,148,TRUE,anambra_ayamelum,False,1d0bc3d2-b0d8-4be3-bddf-06d227a19a27,False,False,1d0bc3d2-b0d8-4be3-bddf-06d227a19a27,Southeast
False,588.7147858,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,False,False,,,False,,,Ezi Primary Health Center Umumbo,,primaryhealthcarecentre,False,,False,,1336134503014.jpg,6.52685481 7.00892006 51.5 5.0,False,False,FALSE,False,False,False,False,FALSE,,False,False,False,False,False,False,False,Ayamelum,76,76,76.0,False,False,False,False,False,False,False,False,False,False,FALSE,ayamelum,anambra,southeast,0,0,0.0,0.0,0.0,0.0,False,,,False,1336134503014.jpg,158410,269.077665146,,False,False,health,False,FALSE,Anambra,,,148,FALSE,anambra_ayamelum,False,216ffffd-77c2-4f41-bf67-89f22f3eec0c,,,216ffffd-77c2-4f41-bf67-89f22f3eec0c,Southeast
False,588.7147858,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,,,"Model Primary Health Care Centre, Omor.",TRUE,wardmodelphccentre,False,,False,,1336395933786.jpg,6.508846879005432 6.943214535713196 98.0 4.0,False,True,FALSE,False,False,False,False,TRUE,True,True,False,False,False,False,False,False,Ayamelum,76,76,76.0,False,True,False,True,True,False,False,False,False,False,FALSE,ayamelum,anambra,southeast,1,0,0.0,0.0,0.0,0.0,False,public,,False,1336395933786.jpg,158410,269.077665146,,False,False,health,False,TRUE,Anambra,,True,148,TRUE,anambra_ayamelum,False,28ce0c15-9052-4cfd-835c-1891a98d023d,,,28ce0c15-9052-4cfd-835c-1891a98d023d,Southeast
False,588.7147858,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,,,False,,,Ward Model PHC Centre,,wardmodelphccentre,False,,False,,1336142549228.jpg,6.47252494 7.00804441 26.600000381469727 5.0,False,False,FALSE,False,True,True,False,FALSE,,False,False,False,False,False,False,False,Ayamelum,76,76,76.0,False,False,False,False,False,False,False,False,False,False,FALSE,ayamelum,anambra,southeast,22,22,0.0,0.0,0.0,0.0,False,public,,False,1336142549228.jpg,158410,269.077665146,,False,False,health,False,TRUE,Anambra,,,148,FALSE,anambra_ayamelum,False,ec8218a8-f4e8-4227-a424-8ae7168b56b1,,,ec8218a8-f4e8-4227-a424-8ae7168b56b1,Southeast
False,588.7147858,False,False,False,False,False,False,False,False,True,True,True,False,,False,FALSE,False,,,False,True,False,True,False,False,False,True,HEALTH CENTER,FALSE,healthpostdispensary,False,True,False,True,1336138969339.jpg,6.52654725 7.00290519 47.0 5.0,False,False,FALSE,False,,,False,FALSE,True,False,False,False,True,True,False,False,Ayamelum,76,76,76.0,False,True,True,True,False,False,False,False,False,False,FALSE,ayamelum,anambra,southeast,1,1,0.0,0.0,0.0,0.0,False,public,,False,1336138969339.jpg,158410,269.077665146,False,False,False,health,False,TRUE,Anambra,False,True,148,TRUE,anambra_ayamelum,False,1d0bc3d2-b0d8-4be3-bddf-06d227a19a27,False,False,1d0bc3d2-b0d8-4be3-bddf-06d227a19a27,Southeast
False,588.7147858,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,False,True,False,,True,Primary Health Centre Ifite 2,FALSE,primaryhealthcarecentre,False,,False,,1336472935727.jpg,6.60647397 6.9583551 73.69999694824219 5.0,False,True,FALSE,False,True,True,False,TRUE,True,False,False,False,False,False,False,False,Ayamelum,76,76,76.0,False,True,False,True,False,False,False,False,False,False,FALSE,ayamelum,anambra,southeast,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1336472935727.jpg,158410,269.077665146,,False,False,health,False,TRUE,Anambra,,True,148,TRUE,anambra_ayamelum,False,ee73dbe2-91f4-468a-8455-06cec9ca8b82,,,ee73dbe2-91f4-468a-8455-06cec9ca8b82,Southeast
