antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,10.01234052,True,True,True,True,False,False,False,False,False,False,False,False,True,True,TRUE,False,,,True,True,False,True,True,False,True,True,ST  JUDGE  HEALTH CENTER.,TRUE,primaryhealthclinic,False,True,False,True,1343385393467.jpg,6.133026480674744 6.7874908447265625 63.0 8.0,False,False,FALSE,False,True,True,False,TRUE,True,False,False,False,False,False,False,False,Onitsha,603,603,603.0,False,True,False,True,True,False,False,False,False,False,FALSE,onitsha_south,anambra,southeast,9,6,3.0,3.0,6.0,3.0,False,public,,True,1343385393467.jpg,136662,13649.3559849,True,False,False,health,True,TRUE,Anambra,True,True,Others,FALSE,anambra_onitsha,False,dbe1ae57-ef31-4c3b-8e2d-16850cfb172d,False,False,dbe1ae57-ef31-4c3b-8e2d-16850cfb172d,Southeast
False,10.01234052,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Methodist health post,,healthpostdispensary,False,,False,,1343474947159.jpg,6.135735511779785 6.780935525894165 72.0 4.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Onitsha,603,603,603.0,False,True,True,False,False,False,False,False,False,False,FALSE,onitsha_south,anambra,southeast,1,1,0.0,0.0,1.0,0.0,False,public,False,True,1343474947159.jpg,136662,13649.3559849,True,False,False,health,True,TRUE,Anambra,,,Others,FALSE,anambra_onitsha,False,2c53a700-6027-4bd5-a997-415664b33662,,,2c53a700-6027-4bd5-a997-415664b33662,Southeast
False,10.01234052,True,True,True,True,False,False,False,False,False,False,False,False,True,True,TRUE,False,3.26633453369e-05,0.00362567081016,True,True,False,True,True,False,,True,ST.MONICAS HEALTH  POST.,TRUE,healthpostdispensary,False,True,False,True,1343383352087.jpg,6.1346787214279175 6.787673234939575 55.0 4.0,False,True,FALSE,False,,,False,TRUE,True,False,False,False,False,False,False,False,Onitsha,603,603,602.0,False,True,False,True,True,False,False,False,False,False,FALSE,onitsha_south,anambra,southeast,6,4,2.0,2.0,4.0,2.0,False,public,,True,1343383352087.jpg,136662,13649.3559849,True,False,False,health,True,TRUE,Anambra,True,True,Others,FALSE,anambra_onitsha,False,2cd102c6-2d5d-4c50-b6e9-528089ab1b9c,,,2cd102c6-2d5d-4c50-b6e9-528089ab1b9c,Southeast
False,10.01234052,False,True,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,False,False,False,True,True,st john pry health care,TRUE,primaryhealthcarecentre,False,True,False,True,1343387923841.jpg,6.1357516050338745 6.770351529121399 54.0 4.0,False,True,FALSE,False,,,False,TRUE,False,False,False,False,True,False,False,False,Onitsha,603,603,603.0,False,True,True,True,True,False,False,False,False,False,FALSE,onitsha_south,anambra,southeast,4,4,0.0,0.0,3.0,0.0,False,public,,False,1343387923841.jpg,136662,13649.3559849,,False,False,health,True,TRUE,Anambra,False,True,Others,FALSE,anambra_onitsha,False,1d4fae9c-95af-47c9-a9f7-920693ac2904,False,False,1d4fae9c-95af-47c9-a9f7-920693ac2904,Southeast
False,10.01234052,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,,,False,True,,Local Govt.Health Post,,healthpostdispensary,False,,False,,1343831463051.jpg,6.138294339179993 6.77357017993927 57.0 4.0,False,True,FALSE,False,True,True,False,FALSE,,False,False,False,False,False,False,False,Onitsha,603,603,603.0,False,True,True,False,False,False,False,False,False,False,FALSE,onitsha_south,anambra,southeast,2,2,0.0,0.0,0.0,0.0,False,public,False,True,1343831463051.jpg,136662,13649.3559849,True,False,False,health,False,TRUE,Anambra,,,Others,FALSE,anambra_onitsha,False,23954738-f5f4-4048-9c8e-84aaffed1d08,False,False,23954738-f5f4-4048-9c8e-84aaffed1d08,Southeast
False,10.01234052,False,False,False,True,False,False,False,False,False,True,False,False,,False,FALSE,False,,,False,True,False,,,False,False,True,Recreational Health Post,,healthpostdispensary,False,,False,,1343397390508.jpg,6.129190921783447 6.781654357910156 52.0 4.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Onitsha,603,603,603.0,False,True,False,False,False,False,False,False,False,False,FALSE,onitsha_south,anambra,southeast,0,0,,,0.0,,False,public,,True,1343397390508.jpg,136662,13649.3559849,,False,False,health,False,TRUE,Anambra,,,Others,FALSE,anambra_onitsha,False,55d32aaa-31c9-4598-926b-1ecc97a814f8,False,False,55d32aaa-31c9-4598-926b-1ecc97a814f8,Southeast
False,10.01234052,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Methodist health post,,healthpostdispensary,False,,False,,1343474947159.jpg,6.135735511779785 6.780935525894165 72.0 4.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Onitsha,603,603,603.0,False,True,True,False,False,False,False,False,False,False,FALSE,onitsha_south,anambra,southeast,1,1,0.0,0.0,1.0,0.0,False,public,False,True,1343474947159.jpg,136662,13649.3559849,True,False,False,health,True,TRUE,Anambra,,,Others,FALSE,anambra_onitsha,False,2c53a700-6027-4bd5-a997-415664b33662,,,2c53a700-6027-4bd5-a997-415664b33662,Southeast
False,10.01234052,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,,,False,True,,Local Govt.Health Post,,healthpostdispensary,False,,False,,1343831463051.jpg,6.138294339179993 6.77357017993927 57.0 4.0,False,True,FALSE,False,True,True,False,FALSE,,False,False,False,False,False,False,False,Onitsha,603,603,603.0,False,True,True,False,False,False,False,False,False,False,FALSE,onitsha_south,anambra,southeast,2,2,0.0,0.0,0.0,0.0,False,public,False,True,1343831463051.jpg,136662,13649.3559849,True,False,False,health,False,TRUE,Anambra,,,Others,FALSE,anambra_onitsha,False,23954738-f5f4-4048-9c8e-84aaffed1d08,False,False,23954738-f5f4-4048-9c8e-84aaffed1d08,Southeast
False,10.01234052,True,True,True,True,False,False,False,False,False,False,False,False,True,True,TRUE,False,3.26633453369e-05,0.00362567081016,True,True,False,True,True,False,,True,ST.MONICAS HEALTH  POST.,TRUE,healthpostdispensary,False,True,False,True,1343383352087.jpg,6.1346787214279175 6.787673234939575 55.0 4.0,False,True,FALSE,False,,,False,TRUE,True,False,False,False,False,False,False,False,Onitsha,603,603,602.0,False,True,False,True,True,False,False,False,False,False,FALSE,onitsha_south,anambra,southeast,6,4,2.0,2.0,4.0,2.0,False,public,,True,1343383352087.jpg,136662,13649.3559849,True,False,False,health,True,TRUE,Anambra,True,True,Others,FALSE,anambra_onitsha,False,2cd102c6-2d5d-4c50-b6e9-528089ab1b9c,,,2cd102c6-2d5d-4c50-b6e9-528089ab1b9c,Southeast
False,10.01234052,False,True,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,False,False,False,True,True,st john pry health care,TRUE,primaryhealthcarecentre,False,True,False,True,1343387923841.jpg,6.1357516050338745 6.770351529121399 54.0 4.0,False,True,FALSE,False,,,False,TRUE,False,False,False,False,True,False,False,False,Onitsha,603,603,603.0,False,True,True,True,True,False,False,False,False,False,FALSE,onitsha_south,anambra,southeast,4,4,0.0,0.0,3.0,0.0,False,public,,False,1343387923841.jpg,136662,13649.3559849,,False,False,health,True,TRUE,Anambra,False,True,Others,FALSE,anambra_onitsha,False,1d4fae9c-95af-47c9-a9f7-920693ac2904,False,False,1d4fae9c-95af-47c9-a9f7-920693ac2904,Southeast
