access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,1014.608427,False,FALSE,True,,,,formal_educ,UBE JSS Ikpele,juniors_sec_only,1347361092268.jpg,,False,,7.96599372 7.76362541 112.4000015258789 5.0,False,False,juniors_sec_only,Agatu,19,19,19.0,1.12727272727273,False,agatu,benue,north_central,FALSE,0.0,0.0,3.0,117.0,3.0,4.0,,3.0,,public,False,1347361092268.jpg,115523,113.859689044,,False,FALSE,FALSE,Inf,39,Inf,29.25,,False,True,UBE JSS Ikpele,education,Benue,32.0,Others,True,False,FALSE,Inf,,FALSE,,benue_agatu,6df2f96f-0272-42c1-b70f-94b06fe4fac8,False,6df2f96f-0272-42c1-b70f-94b06fe4fac8,North-Central
False,False,1014.608427,False,FALSE,False,,,,formal_educ,Methodist Pry School,primary_only,1347120211048.jpg,,False,TRUE,7.90548798 7.78706327 107.5999984741211 3.0,False,False,primary_only,Agatu,19,19,19.0,1.13333333333333,False,agatu,benue,north_central,TRUE,,0.0,8.0,320.0,13.0,13.0,,10.0,95.0,public,False,1347120211048.jpg,115523,113.859689044,,False,FALSE,FALSE,9.14285714285714,40,8,24.6153846153846,80,False,True,Methodist Pry School,education,Benue,40.0,Others,True,False,TRUE,Inf,0.296875,FALSE,,benue_agatu,28d62cc8-0cb6-4599-b28d-14f9021bc139,False,28d62cc8-0cb6-4599-b28d-14f9021bc139,North-Central
False,False,1014.608427,False,TRUE,False,,,,formal_educ,LGEA School. Okpaga,primary_only,1347200617040.jpg,,False,,7.88750852 7.71569146 165.3000030517578 5.0,False,False,primary_only,Agatu,19,19,19.0,1.24,False,agatu,benue,north_central,TRUE,4.0,0.0,4.0,112.0,4.0,4.0,,4.0,26.0,public,False,1347200617040.jpg,115523,113.859689044,,False,FALSE,FALSE,Inf,28,Inf,28,,True,True,LGEA School. Okpaga,education,Benue,30.0,Others,True,False,TRUE,Inf,0.232142857142857,FALSE,,benue_agatu,86db6589-3341-4c92-9501-59751322ed03,False,86db6589-3341-4c92-9501-59751322ed03,North-Central
False,True,1014.608427,True,FALSE,False,,,,formal_educ,Anglican Primary School,primary_only,1347361673615.jpg,,False,,7.896482348442078 7.9002320766448975 100.0 4.0,False,False,primary_only,Agatu,19,19,19.0,1.07476635514019,False,agatu,benue,north_central,TRUE,,0.0,8.0,444.0,14.0,19.0,,19.0,2200.0,public,False,1347361673615.jpg,115523,113.859689044,,False,FALSE,FALSE,63.4285714285714,55.5,6,23.3684210526316,,False,False,Anglican Primary School,education,Benue,0.0,Others,True,False,TRUE,Inf,4.95495495495495,FALSE,,benue_agatu,0f506760-33d2-4518-9700-6a11caca02e5,False,0f506760-33d2-4518-9700-6a11caca02e5,North-Central
False,False,1014.608427,False,TRUE,False,,,,formal_educ,Methodist Pri Sch Egwuma,preprimary_and_primary,1347195857128.jpg,,False,FALSE,7.9045571 7.73329217 163.89999389648438 5.0,False,False,preprimary_and_primary,Agatu,19,19,19.0,1.67405063291139,True,agatu,benue,north_central,FALSE,,0.0,6.0,845.0,9.0,9.0,,8.0,2102.0,public,False,1347195857128.jpg,115523,113.859689044,,False,FALSE,FALSE,422.5,140.833333333333,14.0833333333333,93.8888888888889,845,False,False,Methodist Pri Sch Egwuma,education,Benue,0.0,Others,False,False,FALSE,Inf,2.48757396449704,FALSE,,benue_agatu,7b6c1bb3-8f26-40b5-b7d7-f22e3b8c0119,False,7b6c1bb3-8f26-40b5-b7d7-f22e3b8c0119,North-Central
False,False,1014.608427,False,FALSE,False,,,,formal_educ,LGEA Primary School Aila,primary_only,1347272898610.jpg,False,False,,7.868126034736633 8.005975484848022 93.0 4.0,False,False,primary_only,Agatu,19,19,19.0,1.60416666666667,False,agatu,benue,north_central,FALSE,,0.0,6.0,250.0,2.0,6.0,,6.0,42.0,public,False,1347272898610.jpg,115523,113.859689044,,False,FALSE,FALSE,12.5,41.6666666666667,12.5,41.6666666666667,,False,False,LGEA Primary School Aila,education,Benue,0.0,Others,True,False,TRUE,Inf,0.168,FALSE,,benue_agatu,779e72fe-4e92-4dba-aaf5-dae08e6c3597,False,779e72fe-4e92-4dba-aaf5-dae08e6c3597,North-Central
False,False,1014.608427,False,TRUE,False,,,,formal_educ,LGEA Primary School,primary_only,1347281655962.jpg,,False,,7.872546315193176 7.990584969520569 91.0 4.0,False,False,primary_only,Agatu,19,19,19.0,1.07594936708861,True,agatu,benue,north_central,TRUE,2.0,,8.0,164.0,3.0,5.0,,4.0,2034.0,public,False,1347281655962.jpg,115523,113.859689044,,False,FALSE,FALSE,9.64705882352941,20.5,6.07407407407407,32.8,,False,False,LGEA Primary School,education,Benue,0.0,Others,True,False,TRUE,Inf,12.4024390243902,FALSE,,benue_agatu,0588c4d2-c9d5-492e-965b-256b4f26cd61,False,0588c4d2-c9d5-492e-965b-256b4f26cd61,North-Central
False,False,1014.608427,True,TRUE,False,,,,formal_educ,Community Secondary School Egba,junior_and_senior_sec,1347291307420.jpg,,False,,7.874643802642822 7.958580851554871 91.0 4.0,False,False,junior_and_senior_sec,Agatu,19,19,19.0,2,False,agatu,benue,north_central,FALSE,5.0,0.0,5.0,150.0,0.0,6.0,,4.0,,private,False,1347291307420.jpg,115523,113.859689044,,False,FALSE,FALSE,1,30,1,25,,False,False,Community Secondary School Egba,education,Benue,0.0,Others,False,False,FALSE,Inf,,FALSE,,benue_agatu,e0c26e8d-b1e6-405f-b843-b9b2a7d4139c,False,e0c26e8d-b1e6-405f-b843-b9b2a7d4139c,North-Central
False,False,1014.608427,True,TRUE,True,,,,formal_educ,U.B.E JSS,juniors_sec_only,1347289509748.jpg,,False,,7.878484725952148 7.962920665740967 87.0 4.0,False,False,juniors_sec_only,Agatu,19,19,19.0,1.31746031746032,True,agatu,benue,north_central,TRUE,3.0,0.0,3.0,146.0,3.0,3.0,,3.0,293.0,public,False,1347289509748.jpg,115523,113.859689044,,False,FALSE,FALSE,36.5,48.6666666666667,Inf,48.6666666666667,,False,False,U.B.E JSS,education,Benue,0.0,Others,False,False,TRUE,Inf,2.00684931506849,FALSE,,benue_agatu,3da0faab-a0e5-449f-862f-c4b486e7eecb,False,3da0faab-a0e5-449f-862f-c4b486e7eecb,North-Central
False,True,1014.608427,False,FALSE,False,,,,formal_educ,RCM Primary School,primary_only,1347289230228.jpg,True,True,FALSE,7.878817319869995 7.9620033502578735 89.0 4.0,False,False,primary_only,Agatu,19,19,19.0,0.974226804123711,True,agatu,benue,north_central,FALSE,,0.0,12.0,383.0,2.0,9.0,,9.0,2352.0,public,False,1347289230228.jpg,115523,113.859689044,,False,FALSE,FALSE,12.7666666666667,31.9166666666667,8.14893617021277,42.5555555555556,191.5,False,False,RCM Primary School,education,Benue,0.0,Others,False,False,TRUE,Inf,6.14099216710183,FALSE,,benue_agatu,3c62eba3-4714-4622-b7b0-13f3c1c538d3,False,3c62eba3-4714-4622-b7b0-13f3c1c538d3,North-Central
