access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,True,1834.40356,False,FALSE,False,,,,formal_educ,LGEA Primary Sch. Gbaman Mbayion.,primary_only,1343474661898.jpg,,False,,7.36997801 8.86609247 188.10000610351563 5.0,False,False,primary_only,Gboko,244,244,244.0,0.986547085201794,False,gboko,benue,north_central,TRUE,10.0,,13.0,443.0,6.0,6.0,,6.0,214.0,public,False,1343474661898.jpg,358936,195.669048963,,False,FALSE,FALSE,22.15,34.0769230769231,2.01363636363636,73.8333333333333,,False,True,LGEA Primary Sch. Gbaman Mbayion.,education,Benue,230.0,Others,True,True,TRUE,1,0.483069977426637,FALSE,,benue_gboko,68771191-f548-4f22-a6f1-2e87ea2c96fe,False,68771191-f548-4f22-a6f1-2e87ea2c96fe,North-Central
False,False,1834.40356,False,TRUE,False,,,,formal_educ,LGEA Primary Sch.Yamhim,primary_only,1343744603299.jpg,,False,,7.38728921 8.76313918 169.8000030517578 5.0,False,False,primary_only,Gboko,244,244,244.0,0.72,True,gboko,benue,north_central,FALSE,,0.0,6.0,129.0,0.0,2.0,,2.0,85.0,public,False,1343744603299.jpg,358936,195.669048963,,False,FALSE,FALSE,Inf,21.5,9.92307692307692,64.5,,False,True,LGEA Primary Sch.Yamhim,education,Benue,40.0,Others,True,False,FALSE,Inf,0.65891472868217,FALSE,,benue_gboko,0199e1e9-9f97-4629-8f09-141b91bcb700,False,0199e1e9-9f97-4629-8f09-141b91bcb700,North-Central
False,False,1834.40356,False,FALSE,False,,,,formal_educ,NKST pri. Sch. Pika,primary_and_junior_sec,1343570804700.jpg,,False,FALSE,7.39429313 8.61948136 231.6999969482422 5.0,False,False,primary_and_junior_sec,Gboko,244,244,244.0,1.1010101010101,True,gboko,benue,north_central,FALSE,3.0,2.0,6.0,208.0,0.0,4.0,,3.0,324.0,public,False,1343570804700.jpg,358936,195.669048963,,False,FALSE,FALSE,52,34.6666666666667,9.90476190476191,52,208,True,,NKST pri. Sch. Pika,education,Benue,24.0,Others,True,False,FALSE,Inf,1.55769230769231,FALSE,,benue_gboko,3e7fb81c-9743-4df5-9900-7970268ec0a8,False,3e7fb81c-9743-4df5-9900-7970268ec0a8,North-Central
False,False,1834.40356,False,FALSE,False,,,,formal_educ,N K S T Tor Ajira,primary_only,1343497223723.jpg,,False,,7.36063776 9.08395214 248.39999389648438 5.0,False,False,primary_only,Gboko,244,244,244.0,0.875,False,gboko,benue,north_central,TRUE,0.0,,6.0,150.0,2.0,6.0,,6.0,138.0,public,False,1343497223723.jpg,358936,195.669048963,,False,FALSE,FALSE,3.75,25,3.33333333333333,25,,False,True,N K S T Tor Ajira,education,Benue,1.0,Others,True,False,FALSE,Inf,0.92,FALSE,,benue_gboko,7d6609c7-95e6-4bbf-9ad6-e5a478f06a1c,False,7d6609c7-95e6-4bbf-9ad6-e5a478f06a1c,North-Central
False,True,1834.40356,False,FALSE,False,,,,formal_educ,Mbaanaamber Comm Sec School Ikumbur,junior_and_senior_sec,1343744893587.jpg,,True,FALSE,7.29768009 8.65797591 134.6999969482422 5.0,False,False,junior_and_senior_sec,Gboko,244,244,244.0,1,False,gboko,benue,north_central,TRUE,3.0,2.0,15.0,40.0,1.0,16.0,,5.0,80.0,private,False,1343744893587.jpg,358936,195.669048963,,False,FALSE,FALSE,0.181818181818182,2.66666666666667,0.16,2.5,13.3333333333333,False,True,Mbaanaamber Comm Sec School Ikumbur,education,Benue,30.0,Others,True,False,FALSE,16,2,TRUE,,benue_gboko,8a2e3680-e223-47a0-8092-c7b65bcb1dd9,False,8a2e3680-e223-47a0-8092-c7b65bcb1dd9,North-Central
False,True,1834.40356,True,FALSE,False,,,,formal_educ,L G E A Primary Sch Foga,primary_only,1343570999360.jpg,,False,TRUE,7.2097895 8.78969157 154.8000030517578 5.0,False,False,primary_only,Gboko,244,244,244.0,1.46,True,gboko,benue,north_central,TRUE,3.0,0.0,3.0,123.0,2.0,3.0,,3.0,268.0,public,False,1343570999360.jpg,358936,195.669048963,,False,FALSE,FALSE,4.73076923076923,41,4.92,41,30.75,False,True,L G E A Primary Sch Foga,education,Benue,25.0,Others,True,False,TRUE,Inf,2.17886178861789,FALSE,,benue_gboko,0a2f630c-cd28-4ad0-86d1-06af5a5b1348,False,0a2f630c-cd28-4ad0-86d1-06af5a5b1348,North-Central
False,False,1834.40356,True,FALSE,False,,,,formal_educ,Akimbi nur/pri school,preprimary_and_primary,1343649259977.jpg,,False,,7.38756808 9.09475651 193.1999969482422 5.0,False,False,preprimary_and_primary,Gboko,244,244,244.0,0.882352941176471,False,gboko,benue,north_central,FALSE,,0.0,7.0,160.0,0.0,7.0,,2.0,63.0,private,False,1343649259977.jpg,358936,195.669048963,,False,FALSE,FALSE,Inf,22.8571428571429,8,22.8571428571429,,False,True,Akimbi nur/pri school,education,Benue,0.0,Others,False,False,FALSE,Inf,0.39375,FALSE,,benue_gboko,d067edae-1e05-4a1a-ba42-8f94d175cc27,False,d067edae-1e05-4a1a-ba42-8f94d175cc27,North-Central
False,False,1834.40356,False,FALSE,False,,,,formal_educ,R C M Prim School Akaa Ipav,primary_only,1343483199398.jpg,,False,FALSE,7.38219967 9.10202546 211.10000610351563 5.0,False,False,primary_only,Gboko,244,244,244.0,0.810810810810811,False,gboko,benue,north_central,FALSE,0.0,,6.0,67.0,1.0,4.0,,4.0,192.0,public,False,1343483199398.jpg,358936,195.669048963,,False,FALSE,FALSE,33.5,11.1666666666667,1.91428571428571,16.75,22.3333333333333,True,True,R C M Prim School Akaa Ipav,education,Benue,15.0,Others,True,False,FALSE,Inf,2.86567164179104,FALSE,,benue_gboko,7c2a7406-de4d-44a2-ad80-2a2cf6fb9f12,False,7c2a7406-de4d-44a2-ad80-2a2cf6fb9f12,North-Central
True,False,1834.40356,False,FALSE,False,,,,formal_educ,Queen of Rosary Secondary School,junior_and_senior_sec,1343382552500.jpg,True,True,TRUE,7.33136374 8.9980353 260.79998779296875 5.0,False,False,junior_and_senior_sec,Gboko,244,244,244.0,0,False,gboko,benue,north_central,FALSE,2.0,,30.0,1181.0,2.0,49.0,,8.0,120.0,public,True,1343382552500.jpg,358936,195.669048963,,True,FALSE,FALSE,39.3666666666667,39.3666666666667,39.3666666666667,24.1020408163265,98.4166666666667,False,False,Queen of Rosary Secondary School,education,Benue,0.0,Others,False,False,FALSE,Inf,0.101608806096528,FALSE,,benue_gboko,f2a890eb-d5d2-486c-bee0-c57dbab6addb,False,f2a890eb-d5d2-486c-bee0-c57dbab6addb,North-Central
False,True,1834.40356,False,FALSE,False,,,,formal_educ,Freedom Christian Nursery & Primary School,preprimary_and_primary,1343472992662.jpg,,False,FALSE,7.35286741 8.99927034 256.6000061035156 5.0,False,False,preprimary_and_primary,Gboko,244,244,244.0,0.797752808988764,False,gboko,benue,north_central,FALSE,0.0,,9.0,160.0,0.0,7.0,,3.0,24.0,private,True,1343472992662.jpg,358936,195.669048963,,False,FALSE,FALSE,1.81818181818182,17.7777777777778,1.81818181818182,22.8571428571429,80,True,False,Freedom Christian Nursery & Primary School,education,Benue,0.0,Others,False,False,FALSE,Inf,0.15,FALSE,,benue_gboko,e0f4132e-5e2d-44c1-a418-479842fe4ea5,False,e0f4132e-5e2d-44c1-a418-479842fe4ea5,North-Central
