antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,819.9766276,True,True,True,True,False,True,False,True,True,True,True,True,True,True,TRUE,False,,,True,True,False,True,True,False,False,False,BENUE STATE TEACHING HOSPITAL MAKURDI,TRUE,teachinghospital,False,True,False,True,1343752220440.jpg,7.72482098 8.56846227 106.5999984741211 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Makurdi,490,490,490.0,False,True,True,True,True,False,False,False,False,False,FALSE,makurdi,benue,north_central,0,0,,25.0,122.0,,False,public,False,True,1343752220440.jpg,297398,362.690825555,True,False,False,health,True,TRUE,Benue,True,True,Others,TRUE,benue_makurdi,False,82888f2c-ac44-4198-8f3e-773f15b210c6,False,False,82888f2c-ac44-4198-8f3e-773f15b210c6,North-Central
False,819.9766276,True,True,True,True,True,True,False,True,True,True,True,True,True,True,TRUE,False,,,True,True,False,True,True,False,True,False,"Federal Medical Center, Makurdi",TRUE,federalmedicalcentre,False,True,False,True,1343645585852.jpg,7.74074877 8.51573265 125.69999694824219 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Makurdi,490,490,490.0,False,True,True,True,True,False,False,False,False,False,FALSE,makurdi,benue,north_central,15,15,195.0,37.0,0.0,510.0,False,public,False,True,1343645585852.jpg,297398,362.690825555,True,False,False,health,True,TRUE,Benue,True,True,Others,TRUE,benue_makurdi,False,c8099387-fcfb-444d-8d27-13a78ded9c23,False,False,c8099387-fcfb-444d-8d27-13a78ded9c23,North-Central
False,819.9766276,True,True,True,True,False,True,False,True,True,True,True,True,True,True,TRUE,False,,,True,True,False,True,True,False,False,,45 NAF Hospital Makurdi,TRUE,generalhospital,False,True,False,True,1343746501598.jpg,7.70514997 8.62984602 108.30000305175781 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Makurdi,490,490,490.0,False,True,True,True,True,False,False,False,False,False,FALSE,makurdi,benue,north_central,0,0,10.0,4.0,9.0,,False,public,False,True,1343746501598.jpg,297398,362.690825555,True,False,False,health,True,TRUE,Benue,False,True,Others,TRUE,benue_makurdi,False,358eb8b9-00f0-4ae4-bca0-4449fe7aea1a,False,False,358eb8b9-00f0-4ae4-bca0-4449fe7aea1a,North-Central
False,819.9766276,True,True,True,True,False,True,False,False,True,True,True,True,True,True,TRUE,False,,,True,True,False,True,True,False,False,True,General Hospital North Bank,TRUE,generalhospital,False,True,False,True,1343323684673.jpg,7.75681086 8.54463374 132.6999969482422 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Makurdi,490,490,490.0,False,True,True,True,True,False,False,False,False,False,FALSE,makurdi,benue,north_central,0,0,,,4.0,8.0,False,public,False,True,1343323684673.jpg,297398,362.690825555,True,False,False,health,True,TRUE,Benue,True,True,Others,TRUE,benue_makurdi,False,fa7cb991-a02f-4f11-89f2-d2d4d513dc6d,False,False,fa7cb991-a02f-4f11-89f2-d2d4d513dc6d,North-Central
False,819.9766276,True,True,True,True,False,True,False,False,True,True,True,True,True,True,TRUE,False,,,True,True,False,True,True,False,False,True,General Hospital North Bank,TRUE,generalhospital,False,True,False,True,1343323684673.jpg,7.75681086 8.54463374 132.6999969482422 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Makurdi,490,490,490.0,False,True,True,True,True,False,False,False,False,False,FALSE,makurdi,benue,north_central,0,0,,,4.0,8.0,False,public,False,True,1343323684673.jpg,297398,362.690825555,True,False,False,health,True,TRUE,Benue,True,True,Others,TRUE,benue_makurdi,False,799cf059-c75c-4e5b-9426-dfdab1cffe2c,False,False,799cf059-c75c-4e5b-9426-dfdab1cffe2c,North-Central
,819.9766276,False,False,False,,,,,,,,,,,False,FALSE,,0.0181984741676,2.0166700628,False,True,,True,False,,,,NKST Health Clinic Akile,TRUE,primaryhealthclinic,,True,,True,1343405608814.jpg,7.71988945 8.68225198 99.19999694824219 5.0,,,,,,,,TRUE,True,,,,,,,,Makurdi,490,490,258.0,,True,,True,True,,,,,,,makurdi,benue,north_central,2,2,0.0,0.0,0.0,0.0,,,,,1343405608814.jpg,297398,362.690825555,,,,health,False,,Benue,False,True,Others,FALSE,benue_makurdi,,479598a2-67bf-4aa4-ae63-726c7a9d8e9b,,,479598a2-67bf-4aa4-ae63-726c7a9d8e9b,North-Central
False,819.9766276,False,False,False,True,True,False,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,Primary health centre Tse Aho,TRUE,primaryhealthcarecentre,False,True,False,True,1343344838297.jpg,7.72124542 8.39689463 103.19999694824219 5.0,False,True,FALSE,False,,,False,TRUE,,False,False,False,False,False,False,False,Makurdi,490,490,490.0,False,True,False,True,True,False,False,False,False,False,FALSE,makurdi,benue,north_central,2,2,0.0,0.0,0.0,0.0,False,public,,False,1343344838297.jpg,297398,362.690825555,False,False,False,health,False,TRUE,Benue,False,True,Others,FALSE,benue_makurdi,False,daf4b489-dd3a-4186-9b24-5b162bbf7b60,,,daf4b489-dd3a-4186-9b24-5b162bbf7b60,North-Central
False,819.9766276,False,False,False,False,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Xxx,,healthpostdispensary,False,True,False,False,1343306974835.jpg,7.83714936 8.52107024 125.80000305175781 5.0,False,False,FALSE,False,,,False,TRUE,,False,False,False,True,False,False,False,Makurdi,490,490,490.0,False,True,False,False,False,False,False,False,False,False,FALSE,makurdi,benue,north_central,1,1,0.0,0.0,0.0,0.0,False,public,,False,1343306974835.jpg,297398,362.690825555,True,False,False,health,False,TRUE,Benue,False,False,Others,FALSE,benue_makurdi,False,ca20d3e6-267b-4d75-8f1b-b84ec3fa8ed7,,,ca20d3e6-267b-4d75-8f1b-b84ec3fa8ed7,North-Central
,819.9766276,True,True,True,,,,,,,,,,True,True,TRUE,,,,True,True,,True,False,,,,HOMA HOSPITAL MAKURDI,TRUE,comprehensivehealthcentre,,True,,True,1343841466910.jpg,7.70997143 8.51593445 139.39999389648438 5.0,,,,,,,,TRUE,True,,,,,,,,Makurdi,490,490,490.0,,True,,True,True,,,,,,,makurdi,benue,north_central,4,2,3.0,2.0,3.0,1.0,,,,,1343841466910.jpg,297398,362.690825555,,,,health,True,,Benue,True,True,Others,TRUE,benue_makurdi,,2e719884-dd49-41c2-9618-fc1ba7900394,,,2e719884-dd49-41c2-9618-fc1ba7900394,North-Central
False,819.9766276,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,9.63760314459e-05,0.0106781777425,False,True,False,,,False,False,,PHC ORIBO,TRUE,primaryhealthcarecentre,False,True,False,True,1343903767528.jpg,7.86589641 8.58860746 185.89999389648438 5.0,False,True,FALSE,False,True,True,False,FALSE,,False,False,False,True,False,False,False,Makurdi,490,490,258.0,False,False,True,True,True,False,False,False,False,False,FALSE,makurdi,benue,north_central,4,2,0.0,0.0,1.0,0.0,False,public,False,False,1343903767528.jpg,297398,362.690825555,,False,False,health,True,TRUE,Benue,False,True,Others,FALSE,benue_makurdi,False,701a91e5-106e-430c-b3cb-6bc6ca48837b,False,False,701a91e5-106e-430c-b3cb-6bc6ca48837b,North-Central
