breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,Meleram Town,,,"Water Scheme, Source within 100m",1343306095379.jpg,Yes,12.72640585899353 12.878433465957642 306.0 4.0,True,Gubio,254,254,254.0,Tap (unknown lift),No,1343306095379.jpg,water,Borno,borno_gubio,3f240313-eb36-4b62-98d7-a47e8e205c0b,Meleram,Tap,outlet,,3f240313-eb36-4b62-98d7-a47e8e205c0b,Northeast
Mechanical Issue,,Gubio town,,,"Water Scheme, Source within 100m",1343382053405.jpg,No,12.49096228 12.78066819 304.20001220703125 5.0,True,Gubio,254,254,254.0,Tap (unknown lift),No,1343382053405.jpg,water,Borno,borno_gubio,caae9150-89be-4596-8e7f-b26a2a9b993b,Gubio 1,Tap,outlet,,caae9150-89be-4596-8e7f-b26a2a9b993b,Northeast
Functional,,Gazaure,,,Stand Alone Water Point,,Yes,12.89912141 12.81600286 323.79998779296875 5.0,True,Gubio,254,254,254.0,,No,,water,Borno,borno_gubio,51de34b0-a3d0-46df-99f4-8c9df492b5a7,Gazaure ward,Borehole,water_source,borehole_tube_well,51de34b0-a3d0-46df-99f4-8c9df492b5a7,Northeast
Functional,,Gubio,,,Stand Alone Water Point,1343232347666.jpg,Yes,12.49823114 12.77204923 330.6000061035156 5.0,True,Gubio,254,254,254.0,,No,1343232347666.jpg,water,Borno,borno_gubio,ac012e40-b1ea-4592-aa8d-22abf4c09e9f,Gubio two,Borehole,water_source,borehole_tube_well,ac012e40-b1ea-4592-aa8d-22abf4c09e9f,Northeast
Functional,,Guyana Zannari,,,"Water Scheme, Source within 100m",1343315044588.jpg,Yes,12.575461864471436 12.936256527900696 305.0 6.0,True,Gubio,254,254,254.0,Tap (unknown lift),No,1343315044588.jpg,water,Borno,borno_gubio,b6313bb1-5979-42bb-919c-809e5cec208b,Felo,Tap,outlet,,b6313bb1-5979-42bb-919c-809e5cec208b,Northeast
Mechanical Issue,,Jatori village,,,Stand Alone Water Point,1343377968688.jpg,No,12.48105474 12.74014597 321.20001220703125 5.0,True,Gubio,254,254,254.0,Diesel,No,1343377968688.jpg,water,Borno,borno_gubio,d1d9c8b6-f571-4b1f-9d81-fd3982c210e5,Gubio ll,Borehole,water_source,borehole_tube_well,d1d9c8b6-f571-4b1f-9d81-fd3982c210e5,Northeast
Functional,,Gazaure,,,Stand Alone Water Point,,Yes,12.89912141 12.81600286 323.79998779296875 5.0,True,Gubio,254,254,254.0,,No,,water,Borno,borno_gubio,a36aa827-7000-4162-a7b4-9dc19771d5c2,Gazaure ward,Borehole,water_source,borehole_tube_well,a36aa827-7000-4162-a7b4-9dc19771d5c2,Northeast
Poorly Constructed,,Gazabure village,,,Stand Alone Water Point,1343306320530.jpg,No,12.89849281 12.81619926 338.0 5.0,True,Gubio,254,254,254.0,,No,1343306320530.jpg,water,Borno,borno_gubio,3e26b8ad-aea1-43b7-bec5-bcd0fc091e63,Gazabure ward,Borehole,water_source,borehole_tube_well,3e26b8ad-aea1-43b7-bec5-bcd0fc091e63,Northeast
Functional,,Gubio,,,"Water Scheme, Source within 100m",1343231469260.jpg,Yes,12.492994666099548 12.78607428073883 322.0 3.0,True,Gubio,254,254,254.0,Tap (unknown lift),No,1343231469260.jpg,water,Borno,borno_gubio,8aad803c-39be-4fb1-b29a-2871f08cb0a3,Gubio 1,Tap,outlet,,8aad803c-39be-4fb1-b29a-2871f08cb0a3,Northeast
Mechanical Issue,,Kanguri,,,Stand Alone Water Point,1343378687058.jpg,No,12.749097347259521 12.616440653800964 331.0 4.0,True,Gubio,254,254,254.0,Diesel,No,1343378687058.jpg,water,Borno,borno_gubio,609e7b9e-7f33-4b87-a3ef-7923030825be,Ngetra,Borehole,water_source,borehole_tube_well,609e7b9e-7f33-4b87-a3ef-7923030825be,Northeast
Mechanical Issue,,Gubio two,,,Stand Alone Water Point,1343227815334.jpg,No,12.5020282 12.7801538 334.29998779296875 5.0,True,Gubio,254,254,254.0,Manual,No,1343227815334.jpg,water,Borno,borno_gubio,5d620dca-d553-4dda-bda3-f547bc8f52c0,Gubio two,Borehole,water_source,borehole_tube_well,5d620dca-d553-4dda-bda3-f547bc8f52c0,Northeast
Mechanical Issue,,Ngetra,,,Stand Alone Water Point,1343315227778.jpg,No,12.5818462 12.68138511 334.8999938964844 5.0,True,Gubio,254,254,254.0,,No,1343315227778.jpg,water,Borno,borno_gubio,346d8c0c-eb7b-49db-9377-7b7010df7791,Ngetra,Borehole,water_source,borehole_tube_well,346d8c0c-eb7b-49db-9377-7b7010df7791,Northeast
Functional,,Gubio one,,,Stand Alone Water Point,1343231898119.jpg,Yes,12.49513849 12.77548956 329.0 5.0,False,Gubio,254,254,254.0,,No,1343231898119.jpg,water,Borno,borno_gubio,2d613a4d-421e-4b24-afc3-5ef627746a64,Gubio one,Unimproved Well,water_source,protected_dug_well,2d613a4d-421e-4b24-afc3-5ef627746a64,Northeast
Under Construction,,Jatori village,,,Stand Alone Water Point,1343376563789.jpg,No,12.47439363 12.74127061 327.70001220703125 5.0,True,Gubio,254,254,254.0,Diesel,No,1343376563789.jpg,water,Borno,borno_gubio,586b9e36-2758-442a-839d-69d24f88c9fb,Gubio ll,Borehole,water_source,borehole_tube_well,586b9e36-2758-442a-839d-69d24f88c9fb,Northeast
Functional,,Gubio Town,,,Stand Alone Water Point,1343380375090.jpg,Yes,12.47976175 12.7910182 320.3999938964844 5.0,True,Gubio,254,254,254.0,Diesel,No,1343380375090.jpg,water,Borno,borno_gubio,9153554d-08b8-4526-9b1a-cd1dcd427edd,Gubio l,Borehole,water_source,borehole_tube_well,9153554d-08b8-4526-9b1a-cd1dcd427edd,Northeast
