access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
True,False,2463.091012,True,TRUE,True,,,,formal_educ,Lawanti pr. School,primary_only,1343383426319.jpg,,False,,12.53071239 13.18888233 319.0 5.0,False,False,primary_only,Nganzai,526,526,526.0,2,False,nganzai,borno,northeast,FALSE,0.0,0.0,2.0,30.0,6.0,8.0,,6.0,60.0,public,False,1343383426319.jpg,99799,40.5177882237,,False,FALSE,FALSE,1,15,1,3.75,,True,True,Lawanti pr. School,education,Borno,20.0,Others,False,False,TRUE,Inf,2,FALSE,,borno_nganzai,fbe1083b-c59a-41c3-b4c3-f7d64747c062,False,fbe1083b-c59a-41c3-b4c3-f7d64747c062,Northeast
False,False,2463.091012,True,FALSE,False,,,,formal_educ,Burimari Pry Sch,primary_only,1343387271079.jpg,True,False,,12.570081353187561 13.302791118621826 306.0 4.0,False,False,primary_only,Nganzai,526,526,526.0,1.34666666666667,False,nganzai,borno,northeast,FALSE,0.0,,3.0,352.0,2.0,8.0,,3.0,80.0,public,False,1343387271079.jpg,99799,40.5177882237,,False,FALSE,FALSE,7.04,117.333333333333,7.04,44,,True,False,Burimari Pry Sch,education,Borno,34.0,Others,False,False,FALSE,Inf,0.227272727272727,FALSE,,borno_nganzai,154d36d6-131b-4082-9049-060f43fe7384,False,154d36d6-131b-4082-9049-060f43fe7384,Northeast
False,False,2463.091012,False,TRUE,False,,,,formal_educ,Mile40 pri school,primary_only,1343395894199.jpg,True,False,,12.37724579 13.15304778 301.6000061035156 5.0,False,False,primary_only,Nganzai,526,526,526.0,1.66666666666667,False,nganzai,borno,northeast,TRUE,2.0,0.0,4.0,32.0,2.0,55.0,,2.0,90.0,public,False,1343395894199.jpg,99799,40.5177882237,,False,FALSE,FALSE,0.533333333333333,8,0.533333333333333,0.581818181818182,,False,True,Mile40 pri school,education,Borno,0.0,Others,False,False,FALSE,55,2.8125,FALSE,,borno_nganzai,7b1141f6-7f46-4737-90fe-24d335adf962,False,7b1141f6-7f46-4737-90fe-24d335adf962,Northeast
False,True,2463.091012,False,FALSE,False,,,,formal_educ,Gajiram 2 pry sch,preprimary_and_primary,1343395438448.jpg,True,False,TRUE,12.494357228279114 13.21654200553894 298.0 4.0,False,False,preprimary_and_primary,Nganzai,526,526,526.0,1.18243243243243,False,nganzai,borno,northeast,TRUE,2.0,,14.0,646.0,3.0,12.0,,8.0,200.0,public,False,1343395438448.jpg,99799,40.5177882237,,False,FALSE,FALSE,5.2520325203252,46.1428571428571,5.2520325203252,53.8333333333333,161.5,False,False,Gajiram 2 pry sch,education,Borno,0.0,Others,False,False,FALSE,Inf,0.309597523219814,FALSE,,borno_nganzai,474e86b9-c4f6-422c-96e5-b63fd8c66748,False,474e86b9-c4f6-422c-96e5-b63fd8c66748,Northeast
False,False,2463.091012,True,TRUE,False,,,,formal_educ,Sheriffti Pry sch.,primary_only,1343385650485.jpg,,False,,12.58596979 13.20696248 301.79998779296875 5.0,False,False,primary_only,Nganzai,526,526,526.0,0.875,True,nganzai,borno,northeast,FALSE,2.0,0.0,2.0,150.0,0.0,7.0,,2.0,17.0,public,False,1343385650485.jpg,99799,40.5177882237,,False,FALSE,FALSE,30,75,30,21.4285714285714,,False,True,Sheriffti Pry sch.,education,Borno,50.0,Others,False,False,FALSE,Inf,0.113333333333333,FALSE,,borno_nganzai,9be571ac-b6c1-42ab-8c61-924529779119,False,9be571ac-b6c1-42ab-8c61-924529779119,Northeast
False,False,2463.091012,False,FALSE,False,,,,formal_educ,Miye central primary school,primary_only,1343386968910.jpg,True,False,,12.22396146 13.24745356 302.20001220703125 5.0,False,False,primary_only,Nganzai,526,526,526.0,1.66666666666667,False,nganzai,borno,northeast,TRUE,,0.0,8.0,80.0,7.0,10.0,,3.0,280.0,public,False,1343386968910.jpg,99799,40.5177882237,,False,FALSE,FALSE,4,10,4,8,,False,,Miye central primary school,education,Borno,0.0,Others,,,TRUE,Inf,3.5,FALSE,,borno_nganzai,c09d5974-0ee8-4875-b94c-768efa3e4bdc,False,c09d5974-0ee8-4875-b94c-768efa3e4bdc,Northeast
False,False,2463.091012,False,TRUE,False,,,,formal_educ,Maluri pri school,primary_only,1343388914462.jpg,True,False,,12.24925624 13.18741741 319.8999938964844 5.0,False,False,primary_only,Nganzai,526,526,526.0,0.666666666666667,False,nganzai,borno,northeast,FALSE,4.0,0.0,4.0,20.0,1.0,55.0,,1.0,150.0,public,False,1343388914462.jpg,99799,40.5177882237,,False,FALSE,FALSE,Inf,5,Inf,0.363636363636364,,False,,Maluri pri school,education,Borno,0.0,Others,,False,FALSE,Inf,7.5,FALSE,,borno_nganzai,e3ba1e7e-f637-49e5-a747-403fe27553e4,False,e3ba1e7e-f637-49e5-a747-403fe27553e4,Northeast
True,False,2463.091012,True,TRUE,True,,,,formal_educ,Lawanti pr. School,primary_only,1343383426319.jpg,,False,,12.53071239 13.18888233 319.0 5.0,False,False,primary_only,Nganzai,526,526,526.0,2,False,nganzai,borno,northeast,FALSE,0.0,0.0,2.0,30.0,6.0,8.0,,6.0,60.0,public,False,1343383426319.jpg,99799,40.5177882237,,False,FALSE,FALSE,1,15,1,3.75,,True,True,Lawanti pr. School,education,Borno,20.0,Others,False,False,TRUE,Inf,2,FALSE,,borno_nganzai,fbe1083b-c59a-41c3-b4c3-f7d64747c062,False,fbe1083b-c59a-41c3-b4c3-f7d64747c062,Northeast
False,False,2463.091012,False,FALSE,False,,,,formal_educ,JSS GAJIRAM,juniors_sec_only,1343400852653.jpg,,False,,12.493552565574646 13.207207918167114 313.0 4.0,False,False,juniors_sec_only,Nganzai,526,526,526.0,0.885964912280702,False,nganzai,borno,northeast,TRUE,0.0,,5.0,215.0,2.0,6.0,,4.0,0.0,public,False,1343400852653.jpg,99799,40.5177882237,,False,FALSE,FALSE,5.375,43,5.375,35.8333333333333,,False,False,JSS GAJIRAM,education,Borno,0.0,Others,False,False,FALSE,Inf,0,FALSE,,borno_nganzai,c60498d2-ff71-4ae2-9ef1-5e0e55ed75b2,True,c60498d2-ff71-4ae2-9ef1-5e0e55ed75b2,Northeast
False,False,2463.091012,True,FALSE,True,,,,formal_educ,Sabsabwa Lawanti pry sch.,primary_only,1343398970179.jpg,,False,FALSE,12.5542493 13.14003272 304.1000061035156 5.0,False,False,primary_only,Nganzai,526,526,526.0,2,False,nganzai,borno,northeast,TRUE,0.0,0.0,6.0,180.0,4.0,12.0,,8.0,161.0,public,False,1343398970179.jpg,99799,40.5177882237,,False,FALSE,FALSE,18,30,18,15,60,False,True,Sabsabwa Lawanti pry sch.,education,Borno,24.0,Others,False,False,FALSE,Inf,0.894444444444444,FALSE,,borno_nganzai,55af606d-baf9-452f-a717-f863dc5f94a4,False,55af606d-baf9-452f-a717-f863dc5f94a4,Northeast
False,False,2463.091012,True,FALSE,False,,,,formal_educ,Lawanti pri school,primary_only,1343400110598.jpg,True,False,,12.47404852 13.2391678 315.6000061035156 5.0,False,False,primary_only,Nganzai,526,526,526.0,0.833333333333333,False,nganzai,borno,northeast,TRUE,2.0,0.0,4.0,22.0,2.0,85.0,,2.0,105.0,public,False,1343400110598.jpg,99799,40.5177882237,,False,FALSE,FALSE,0.88,5.5,0.88,0.258823529411765,,False,,Lawanti pri school,education,Borno,0.0,Others,False,False,FALSE,Inf,4.77272727272727,FALSE,,borno_nganzai,5b34235e-a4e0-48e0-903a-806417df4fe8,False,5b34235e-a4e0-48e0-903a-806417df4fe8,Northeast
False,False,2463.091012,False,FALSE,False,0.0507405583226,5.58240664049,,formal_educ,Mulgu pri school,primary_only,1343398979725.jpg,True,False,,12.43100284 13.30824035 319.29998779296875 5.0,False,False,primary_only,Nganzai,526,526,509.0,0.833333333333333,False,nganzai,borno,northeast,TRUE,2.0,0.0,4.0,22.0,0.0,7.0,,2.0,90.0,public,False,1343398979725.jpg,99799,40.5177882237,,False,FALSE,FALSE,Inf,5.5,Inf,3.14285714285714,,False,,Mulgu pri school,education,Borno,0.0,Others,False,False,FALSE,3.5,4.09090909090909,FALSE,,borno_nganzai,59a99c28-6234-4b73-bc7d-0d26216537a7,False,59a99c28-6234-4b73-bc7d-0d26216537a7,Northeast
False,False,2463.091012,True,FALSE,False,,,,formal_educ,Torowa pry sch,primary_only,1343389744042.jpg,,False,FALSE,12.541049122810364 13.282765746116638 313.0 4.0,False,False,primary_only,Nganzai,526,526,526.0,1.65771812080537,False,nganzai,borno,northeast,TRUE,2.0,0.0,6.0,396.0,2.0,13.0,,2.0,88.0,public,False,1343389744042.jpg,99799,40.5177882237,,False,FALSE,FALSE,8.60869565217391,66,8.60869565217391,30.4615384615385,132,False,True,Torowa pry sch,education,Borno,52.0,Others,False,False,FALSE,Inf,0.222222222222222,FALSE,,borno_nganzai,0c53fa0a-1009-4b40-8656-818cebde3c0d,False,0c53fa0a-1009-4b40-8656-818cebde3c0d,Northeast
False,False,2463.091012,False,TRUE,False,,,,formal_educ,Gasarawa primary sch,primary_only,1343384786001.jpg,,False,,12.618114352226257 13.330551981925964 305.0 4.0,False,False,primary_only,Nganzai,526,526,526.0,1.39123630672926,False,nganzai,borno,northeast,FALSE,3.0,2.0,9.0,3056.0,2.0,9.0,,2.0,319.0,public,False,1343384786001.jpg,99799,40.5177882237,,False,FALSE,FALSE,76.4,339.555555555556,76.4,339.555555555556,,False,,Gasarawa primary sch,education,Borno,1002.0,Others,False,False,TRUE,Inf,0.104384816753927,FALSE,,borno_nganzai,c33e89e8-9435-4db6-91ff-1fa5891b800f,False,c33e89e8-9435-4db6-91ff-1fa5891b800f,Northeast
False,False,2463.091012,False,FALSE,False,,,,formal_educ,Maiwa pri school,primary_only,1343391272366.jpg,,False,FALSE,12.32123441 13.23740015 324.20001220703125 5.0,False,False,primary_only,Nganzai,526,526,526.0,1.08333333333333,False,nganzai,borno,northeast,FALSE,2.0,0.0,4.0,25.0,1.0,31.0,,1.0,110.0,public,False,1343391272366.jpg,99799,40.5177882237,,False,FALSE,FALSE,12.5,6.25,12.5,0.806451612903226,12.5,False,,Maiwa pri school,education,Borno,0.0,Others,False,False,FALSE,15.5,4.4,FALSE,,borno_nganzai,182123d8-bb42-4e3b-92df-0a5994548a2e,False,182123d8-bb42-4e3b-92df-0a5994548a2e,Northeast
False,False,2463.091012,False,TRUE,True,,,,formal_educ,Mungun pri school,primary_only,1343394070312.jpg,,False,,12.33538476 13.17479371 290.20001220703125 5.0,False,False,primary_only,Nganzai,526,526,526.0,0.3,False,nganzai,borno,northeast,FALSE,0.0,0.0,1.0,13.0,1.0,24.0,,1.0,25.0,public,False,1343394070312.jpg,99799,40.5177882237,,False,FALSE,FALSE,Inf,13,Inf,0.541666666666667,,False,,Mungun pri school,education,Borno,0.0,Others,False,False,FALSE,Inf,1.92307692307692,FALSE,,borno_nganzai,d9f4f057-e852-4532-9337-2d3e5cf9b94c,False,d9f4f057-e852-4532-9337-2d3e5cf9b94c,Northeast
False,False,2463.091012,True,TRUE,True,,,,formal_educ,Kurnawa pry sch.,primary_only,1343394841662.jpg,,False,,12.675138 13.09362698 293.6000061035156 5.0,False,False,primary_only,Nganzai,526,526,526.0,3,True,nganzai,borno,northeast,FALSE,0.0,0.0,2.0,80.0,0.0,6.0,,2.0,135.0,public,False,1343394841662.jpg,99799,40.5177882237,,False,FALSE,FALSE,16,40,16,13.3333333333333,,False,True,Kurnawa pry sch.,education,Borno,25.0,Others,False,False,FALSE,Inf,1.6875,FALSE,,borno_nganzai,a722b6f6-7d44-47a3-8bb0-96e2111663c5,False,a722b6f6-7d44-47a3-8bb0-96e2111663c5,Northeast
False,False,2463.091012,True,FALSE,False,,,,formal_educ,Kuda Pr. School,primary_only,1343366672322.jpg,,False,,12.492485046386719 13.158676028251648 292.0 4.0,False,False,primary_only,Nganzai,526,526,526.0,1.11111111111111,False,nganzai,borno,northeast,TRUE,2.0,0.0,6.0,190.0,2.0,7.0,,3.0,192.0,public,False,1343366672322.jpg,99799,40.5177882237,,False,FALSE,FALSE,19,31.6666666666667,19,27.1428571428571,,True,True,Kuda Pr. School,education,Borno,40.0,Others,False,False,TRUE,Inf,1.01052631578947,FALSE,,borno_nganzai,e3df819a-34da-49a6-be0a-4a5723d04df8,False,e3df819a-34da-49a6-be0a-4a5723d04df8,Northeast
False,False,2463.091012,True,FALSE,False,,,,formal_educ,Gadai Pr School,primary_only,1343356182224.jpg,,False,,12.399777173995972 12.949066758155823 307.0 4.0,False,False,primary_only,Nganzai,526,526,526.0,1.92857142857143,False,nganzai,borno,northeast,FALSE,,0.0,15.0,410.0,4.0,8.0,,3.0,477.0,public,False,1343356182224.jpg,99799,40.5177882237,,False,FALSE,FALSE,Inf,27.3333333333333,Inf,51.25,,True,,Gadai Pr School,education,Borno,260.0,Others,False,False,TRUE,Inf,1.16341463414634,FALSE,,borno_nganzai,426f2759-34f8-4a20-a626-7e88d130ec2a,False,426f2759-34f8-4a20-a626-7e88d130ec2a,Northeast
False,False,2463.091012,False,FALSE,False,0.0109952891023,1.20909913934,,formal_educ,Badu pr. School,primary_only,1343389310884.jpg,,False,,12.70077621 13.21866429 320.6000061035156 5.0,False,False,primary_only,Nganzai,526,526,264.0,7.09523809523809,False,nganzai,borno,northeast,FALSE,,0.0,10.0,170.0,7.0,12.0,,5.0,40.0,public,False,1343389310884.jpg,99799,40.5177882237,,False,FALSE,FALSE,3.77777777777778,17,3.77777777777778,14.1666666666667,,True,,Badu pr. School,education,Borno,100.0,Others,False,False,FALSE,Inf,0.235294117647059,FALSE,,borno_nganzai,b5221c9f-aea1-4a92-9292-5e2932644bcf,False,b5221c9f-aea1-4a92-9292-5e2932644bcf,Northeast
False,False,2463.091012,False,FALSE,False,,,,formal_educ,Gajiram Central pry sch,primary_only,1343399715164.jpg,,True,TRUE,12.494164109230042 13.207765817642212 316.0 4.0,False,False,primary_only,Nganzai,526,526,526.0,0.997977755308392,False,nganzai,borno,northeast,TRUE,0.0,,14.0,3952.0,12.0,41.0,,11.0,80.0,public,False,1343399715164.jpg,99799,40.5177882237,,False,FALSE,FALSE,32.9333333333333,282.285714285714,32.9333333333333,96.390243902439,658.666666666667,False,,Gajiram Central pry sch,education,Borno,234.0,Others,False,False,FALSE,Inf,0.0202429149797571,FALSE,,borno_nganzai,de361b80-3ee6-4a7e-8e44-591a3143d5dc,True,de361b80-3ee6-4a7e-8e44-591a3143d5dc,Northeast
False,False,2463.091012,True,FALSE,False,,,,formal_educ,Burimari Pry Sch,primary_only,1343387271079.jpg,True,False,,12.570081353187561 13.302791118621826 306.0 4.0,False,False,primary_only,Nganzai,526,526,526.0,1.34666666666667,False,nganzai,borno,northeast,FALSE,0.0,,3.0,352.0,2.0,8.0,,3.0,80.0,public,False,1343387271079.jpg,99799,40.5177882237,,False,FALSE,FALSE,7.04,117.333333333333,7.04,44,,True,False,Burimari Pry Sch,education,Borno,34.0,Others,False,False,FALSE,Inf,0.227272727272727,FALSE,,borno_nganzai,154d36d6-131b-4082-9049-060f43fe7384,False,154d36d6-131b-4082-9049-060f43fe7384,Northeast
False,False,2463.091012,False,TRUE,False,,,,formal_educ,Mile40 pri school,primary_only,1343395894199.jpg,True,False,,12.37724579 13.15304778 301.6000061035156 5.0,False,False,primary_only,Nganzai,526,526,526.0,1.66666666666667,False,nganzai,borno,northeast,TRUE,2.0,0.0,4.0,32.0,2.0,55.0,,2.0,90.0,public,False,1343395894199.jpg,99799,40.5177882237,,False,FALSE,FALSE,0.533333333333333,8,0.533333333333333,0.581818181818182,,False,True,Mile40 pri school,education,Borno,0.0,Others,False,False,FALSE,55,2.8125,FALSE,,borno_nganzai,7b1141f6-7f46-4737-90fe-24d335adf962,False,7b1141f6-7f46-4737-90fe-24d335adf962,Northeast
False,True,2463.091012,False,FALSE,False,,,,formal_educ,Gajiram 2 pry sch,preprimary_and_primary,1343395438448.jpg,True,False,TRUE,12.494357228279114 13.21654200553894 298.0 4.0,False,False,preprimary_and_primary,Nganzai,526,526,526.0,1.18243243243243,False,nganzai,borno,northeast,TRUE,2.0,,14.0,646.0,3.0,12.0,,8.0,200.0,public,False,1343395438448.jpg,99799,40.5177882237,,False,FALSE,FALSE,5.2520325203252,46.1428571428571,5.2520325203252,53.8333333333333,161.5,False,False,Gajiram 2 pry sch,education,Borno,0.0,Others,False,False,FALSE,Inf,0.309597523219814,FALSE,,borno_nganzai,474e86b9-c4f6-422c-96e5-b63fd8c66748,False,474e86b9-c4f6-422c-96e5-b63fd8c66748,Northeast
False,False,2463.091012,True,TRUE,False,,,,formal_educ,Sheriffti Pry sch.,primary_only,1343385650485.jpg,,False,,12.58596979 13.20696248 301.79998779296875 5.0,False,False,primary_only,Nganzai,526,526,526.0,0.875,True,nganzai,borno,northeast,FALSE,2.0,0.0,2.0,150.0,0.0,7.0,,2.0,17.0,public,False,1343385650485.jpg,99799,40.5177882237,,False,FALSE,FALSE,30,75,30,21.4285714285714,,False,True,Sheriffti Pry sch.,education,Borno,50.0,Others,False,False,FALSE,Inf,0.113333333333333,FALSE,,borno_nganzai,9be571ac-b6c1-42ab-8c61-924529779119,False,9be571ac-b6c1-42ab-8c61-924529779119,Northeast
False,False,2463.091012,False,FALSE,False,,,,formal_educ,Miye central primary school,primary_only,1343386968910.jpg,True,False,,12.22396146 13.24745356 302.20001220703125 5.0,False,False,primary_only,Nganzai,526,526,526.0,1.66666666666667,False,nganzai,borno,northeast,TRUE,,0.0,8.0,80.0,7.0,10.0,,3.0,280.0,public,False,1343386968910.jpg,99799,40.5177882237,,False,FALSE,FALSE,4,10,4,8,,False,,Miye central primary school,education,Borno,0.0,Others,,,TRUE,Inf,3.5,FALSE,,borno_nganzai,c09d5974-0ee8-4875-b94c-768efa3e4bdc,False,c09d5974-0ee8-4875-b94c-768efa3e4bdc,Northeast
False,False,2463.091012,False,TRUE,False,,,,formal_educ,Maluri pri school,primary_only,1343388914462.jpg,True,False,,12.24925624 13.18741741 319.8999938964844 5.0,False,False,primary_only,Nganzai,526,526,526.0,0.666666666666667,False,nganzai,borno,northeast,FALSE,4.0,0.0,4.0,20.0,1.0,55.0,,1.0,150.0,public,False,1343388914462.jpg,99799,40.5177882237,,False,FALSE,FALSE,Inf,5,Inf,0.363636363636364,,False,,Maluri pri school,education,Borno,0.0,Others,,False,FALSE,Inf,7.5,FALSE,,borno_nganzai,e3ba1e7e-f637-49e5-a747-403fe27553e4,False,e3ba1e7e-f637-49e5-a747-403fe27553e4,Northeast
