breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,Ebor,0.0445606607584,4.94709180585,"Water Scheme, Source within 100m",1342269123334.jpg,Yes,5.94196929 8.15824441 121.80000305175781 5.0,True,Abi,9,9,757.0,Tap (unknown lift),No,1342269123334.jpg,water,Cross River,cross_river_abi,4bcfa6cd-b8fc-4199-9c0d-83ac4312824b,Imabana,Tap,outlet,,4bcfa6cd-b8fc-4199-9c0d-83ac4312824b,South-South
Functional,,Ezomozo,0.0345846114443,3.83957750847,"Water Scheme, Source within 100m",1342016534258.jpg,Yes,5.93992832 8.14838659 102.19999694824219 5.0,True,Abi,9,9,757.0,Tap (unknown lift),No,1342016534258.jpg,water,Cross River,cross_river_abi,92980935-dde6-46f1-8897-71667c12e829,Imabana,Tap,outlet,,92980935-dde6-46f1-8897-71667c12e829,South-South
Functional,,Lehangha,0.0399052866162,4.43019192992,"Water Scheme, Source within 1km",1342008659781.jpg,Yes,5.95946018 8.14758651 55.0 5.0,True,Abi,9,9,757.0,Tap (unknown lift),No,1342008659781.jpg,water,Cross River,cross_river_abi,332e34de-dfa4-41fd-aa1d-dbc51c39f4ed,Imbana2,Tap,outlet,,332e34de-dfa4-41fd-aa1d-dbc51c39f4ed,South-South
Functional,,Ikpalegwa,0.00346674448475,0.38488311549,Stand Alone Water Point,1342275510977.jpg,Yes,5.93440321 8.11439424 59.099998474121094 5.0,True,Abi,9,9,757.0,Hand Pump,No,1342275510977.jpg,water,Cross River,cross_river_abi,49dfc5cf-f6cb-4d48-8e51-19c633fc863f,Imabana   1,Borehole,water_source,borehole_tube_well,49dfc5cf-f6cb-4d48-8e51-19c633fc863f,South-South
Functional,,Ebor,0.0451625557509,5.01391148381,"Water Scheme, Source within 100m",1342269681204.jpg,Yes,5.94225429 8.1588234 87.9000015258789 5.0,True,Abi,9,9,757.0,Tap (unknown lift),No,1342269681204.jpg,water,Cross River,cross_river_abi,6d3d2a0b-6bdc-47f8-a641-3f40f9dfc444,Imabana2,Tap,outlet,,6d3d2a0b-6bdc-47f8-a641-3f40f9dfc444,South-South
Functional,,ItAkonor,0.0453173709303,5.03110503094,Stand Alone Water Point,1342272424879.jpg,Yes,5.94086362 8.15908378 72.30000305175781 5.0,True,Abi,9,9,757.0,Hand Pump,No,1342272424879.jpg,water,Cross River,cross_river_abi,97effcdc-2488-4521-903a-a35bc81e4ae4,Imabana 1,Borehole,water_source,borehole_tube_well,97effcdc-2488-4521-903a-a35bc81e4ae4,South-South
Functional,,Ebom,0.000513735532423,0.0570400446653,"Water Scheme, Source within 100m",1342096590022.jpg,Yes,5.85005629 7.96376628 35.5 5.0,True,Abi,9,9,16.0,Tap (unknown lift),No,1342096590022.jpg,water,Cross River,cross_river_abi,f926c8b5-20f8-4f07-b486-e255c153c833,Ebom,Tap,outlet,,f926c8b5-20f8-4f07-b486-e255c153c833,South-South
Functional,,Igonigoni,0.000428367382885,0.0475607844061,"Water Scheme, Source within 100m",1342011706257.jpg,Yes,5.86982706 7.96952712 41.70000076293945 5.0,True,Abi,9,9,16.0,Tap (unknown lift),No,1342011706257.jpg,water,Cross River,cross_river_abi,25330c3a-f80e-4fdd-9f43-fa00a18ded00,Igonigoni,Tap,outlet,,25330c3a-f80e-4fdd-9f43-fa00a18ded00,South-South
Mechanical Issue,,Ebor,0.0454013448138,5.04042964799,"Water Scheme, Source within 100m",1342272321777.jpg,No,5.9404196 8.15919231 102.9000015258789 5.0,True,Abi,9,9,757.0,Tap (unknown lift),No,1342272321777.jpg,water,Cross River,cross_river_abi,e2755b07-a8db-47a2-8628-bc6bfb891d54,Imabana2,Tap,outlet,,e2755b07-a8db-47a2-8628-bc6bfb891d54,South-South
Mechanical Issue,,Illike,0.0454124137856,5.04165845847,"Water Scheme, Source within 100m",1342011419725.jpg,No,5.94042883 8.15920293 101.4000015258789 5.0,True,Abi,9,9,757.0,Tap (unknown lift),No,1342011419725.jpg,water,Cross River,cross_river_abi,fd8e229d-25a9-4576-b960-ddbf01a4722b,Imabana,Tap,outlet,,fd8e229d-25a9-4576-b960-ddbf01a4722b,South-South
Functional,,Ebor,0.0464660382206,5.15863041843,"Water Scheme, Source within 100m",1342272798752.jpg,Yes,5.94022329 8.16026749 70.9000015258789 5.0,True,Abi,9,9,757.0,Tap (unknown lift),No,1342272798752.jpg,water,Cross River,cross_river_abi,b1747057-2f35-47a8-985b-9f6ff4543a51,Imabana2,Tap,outlet,,b1747057-2f35-47a8-985b-9f6ff4543a51,South-South
