access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,305.5696255,True,TRUE,False,,,,formal_educ,COMM. PRIMARY SCH. - ANYIKANG- IYE,preprimary_and_primary,1346035635411.jpg,,False,,6.646926999092102 8.908946514129639 167.0 4.0,False,False,preprimary_and_primary,Bekwara,101,101,101.0,1.0531914893617,True,bekwara,cross_river,south_south,FALSE,0.0,,6.0,193.0,0.0,6.0,,4.0,246.0,public,False,1346035635411.jpg,105822,346.310598859,,False,FALSE,FALSE,27.5714285714286,32.1666666666667,2.75714285714286,32.1666666666667,,True,True,COMM. PRIMARY SCH. - ANYIKANG- IYE,education,Cross River,30.0,Others,False,False,FALSE,Inf,1.27461139896373,FALSE,,cross_river_bekwara,96651ea8-64ee-4b9a-a27b-90de654af773,False,96651ea8-64ee-4b9a-a27b-90de654af773,South-South
False,False,305.5696255,False,FALSE,False,,,,formal_educ,ST. SYLVESTER'S PRIMARY SCHOOL,preprimary_and_primary,1346037476301.jpg,True,False,,6.655418872833252 8.907299637794495 163.0 4.0,False,False,preprimary_and_primary,Bekwara,101,101,101.0,1.06289308176101,True,bekwara,cross_river,south_south,TRUE,3.0,,11.0,328.0,0.0,7.0,,6.0,1120.0,public,True,1346037476301.jpg,105822,346.310598859,,False,FALSE,FALSE,Inf,29.8181818181818,13.12,46.8571428571429,,False,True,ST. SYLVESTER'S PRIMARY SCHOOL,education,Cross River,100.0,Others,False,False,FALSE,Inf,3.41463414634146,FALSE,,cross_river_bekwara,e59e882f-7377-4001-b87d-f312e7f18679,False,e59e882f-7377-4001-b87d-f312e7f18679,South-South
False,False,305.5696255,True,FALSE,False,0.00552196441567,0.612670645439,,formal_educ,St David‘s Pry Sch,preprimary_and_primary,1345898456292.jpg,,False,,6.59498658 8.89952881 140.3000030517578 5.0,False,False,preprimary_and_primary,Bekwara,101,101,569.0,1.25333333333333,True,bekwara,cross_river,south_south,TRUE,5.0,,15.0,507.0,13.0,14.0,,12.0,1660.0,public,False,1345898456292.jpg,105822,346.310598859,,False,FALSE,FALSE,42.25,33.8,4.225,36.2142857142857,,True,True,St David‘s Pry Sch,education,Cross River,0.0,Others,False,False,FALSE,Inf,3.2741617357002,FALSE,,cross_river_bekwara,1cea71e1-0bb1-4fb3-82af-37b35ee666cd,False,1cea71e1-0bb1-4fb3-82af-37b35ee666cd,South-South
False,False,305.5696255,False,FALSE,False,0.00566043749626,0.62803212556,,formal_educ,Pour of mercy child academy,preprimary_only,1345905408820.jpg,,False,,6.598631143569946 8.906596899032593 144.0 3.0,False,False,preprimary_only,Bekwara,101,101,569.0,0.571428571428571,False,bekwara,cross_river,south_south,FALSE,3.0,0.0,3.0,33.0,0.0,2.0,,1.0,0.0,private,False,1345905408820.jpg,105822,346.310598859,,False,FALSE,FALSE,2.53846153846154,11,Inf,16.5,,False,True,Pour of mercy child academy,education,Cross River,0.0,Others,True,False,FALSE,Inf,0,FALSE,,cross_river_bekwara,a370427d-9404-4e32-b5ae-ab0b5b6dad37,False,a370427d-9404-4e32-b5ae-ab0b5b6dad37,South-South
False,False,305.5696255,,TRUE,False,0.00413734625832,0.458970638551,,formal_educ,Community Pri. Sch. Ichiakpo,preprimary_and_primary,1346102289021.jpg,,False,,6.755320429801941 8.998902440071106 182.0 4.0,False,False,preprimary_and_primary,Bekwara,101,101,740.0,0.956521739130435,True,bekwara,cross_river,south_south,TRUE,0.0,0.0,,225.0,0.0,7.0,,0.0,0.0,public,False,1346102289021.jpg,105822,346.310598859,,False,FALSE,FALSE,Inf,,Inf,32.1428571428571,,True,,Community Pri. Sch. Ichiakpo,education,Cross River,40.0,Others,True,False,TRUE,Inf,0,FALSE,,cross_river_bekwara,cea9eab3-b7d6-47d4-a803-88a031b20544,False,cea9eab3-b7d6-47d4-a803-88a031b20544,South-South
False,True,305.5696255,False,FALSE,False,0.00136971193459,0.151944372093,,formal_educ,Victory 90 Nursery  /Primary School Gakem,preprimary_only,1346073152385.jpg,,False,FALSE,6.773446798324585 8.989289402961731 183.0 4.0,False,False,preprimary_only,Bekwara,101,101,740.0,0.75,False,bekwara,cross_river,south_south,TRUE,,11.0,20.0,350.0,10.0,14.0,,3.0,0.0,private,False,1346073152385.jpg,105822,346.310598859,,True,FALSE,FALSE,Inf,17.5,1.75,25,175,False,False,Victory 90 Nursery  /Primary School Gakem,education,Cross River,30.0,Others,False,False,TRUE,4.66666666666667,0,FALSE,,cross_river_bekwara,3329a771-67fc-4037-af73-4c3d96aa5e80,False,3329a771-67fc-4037-af73-4c3d96aa5e80,South-South
False,False,305.5696255,False,TRUE,False,,,,religious_with_formal,St Gregory's Primary School,preprimary_and_primary,1345901172270.jpg,,False,,6.734066605567932 8.945397734642029 172.0 4.0,False,False,preprimary_and_primary,Bekwara,101,101,101.0,1.33333333333333,True,bekwara,cross_river,south_south,FALSE,3.0,0.0,10.0,280.0,7.0,7.0,,4.0,220.0,public,False,1345901172270.jpg,105822,346.310598859,,False,FALSE,FALSE,Inf,28,Inf,40,,True,True,St Gregory's Primary School,education,Cross River,0.0,Others,False,False,FALSE,Inf,0.785714285714286,FALSE,,cross_river_bekwara,0a029e2a-ef28-4848-be02-068d71757253,False,0a029e2a-ef28-4848-be02-068d71757253,South-South
False,False,305.5696255,False,FALSE,True,,,,formal_educ,Liberation College,primary_junior_and_senior_sec,1345982366166.jpg,,True,FALSE,6.689391732215881 8.878358602523804 141.0 4.0,False,False,primary_junior_and_senior_sec,Bekwara,101,101,101.0,2,False,bekwara,cross_river,south_south,TRUE,4.0,,10.0,300.0,1.0,14.0,,2.0,120.0,private,True,1345982366166.jpg,105822,346.310598859,,True,FALSE,FALSE,Inf,30,3,21.4285714285714,150,True,True,Liberation College,education,Cross River,120.0,Others,False,False,TRUE,Inf,0.4,FALSE,,cross_river_bekwara,63025309-5126-45a1-97b5-b105a74968d0,False,63025309-5126-45a1-97b5-b105a74968d0,South-South
False,False,305.5696255,False,TRUE,False,,,,formal_educ,Community Primary Sch. Imaya,preprimary_and_primary,1345913630270.jpg,,False,TRUE,6.737011671066284 8.967284560203552 174.0 4.0,False,False,preprimary_and_primary,Bekwara,101,101,101.0,0.987951807228916,True,bekwara,cross_river,south_south,FALSE,4.0,,10.0,165.0,3.0,6.0,,6.0,1035.0,public,False,1345913630270.jpg,105822,346.310598859,,False,FALSE,FALSE,27.5,16.5,16.5,27.5,41.25,True,False,Community Primary Sch. Imaya,education,Cross River,50.0,Others,False,False,FALSE,Inf,6.27272727272727,FALSE,,cross_river_bekwara,e09e8f0e-1ff4-4ffd-9c6a-e888a9a6173d,False,e09e8f0e-1ff4-4ffd-9c6a-e888a9a6173d,South-South
False,False,305.5696255,False,FALSE,False,,,,formal_educ,St Augustine Prim Sch,primary_only,1345969006338.jpg,,False,FALSE,6.648697257041931 8.869560956954956 162.0 4.0,False,False,primary_only,Bekwara,101,101,101.0,1.23880597014925,False,bekwara,cross_river,south_south,FALSE,5.0,0.0,5.0,150.0,4.0,7.0,,5.0,73.0,public,False,1345969006338.jpg,105822,346.310598859,,False,FALSE,FALSE,25,30,18.75,21.4285714285714,50,True,True,St Augustine Prim Sch,education,Cross River,4.0,Others,True,False,FALSE,Inf,0.486666666666667,FALSE,,cross_river_bekwara,0af56cdd-dd86-4f87-ac55-5978717d902e,False,0af56cdd-dd86-4f87-ac55-5978717d902e,South-South
