access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,True,453.1460603,False,FALSE,True,,,,formal_educ,"St. Joseph's School for the blind, Bebuabong",primary_only,1345815791642.jpg,True,True,TRUE,6.672520637512207 9.173004627227783 260.0 4.0,False,False,primary_only,Obudu,554,554,554.0,0.990384615384615,False,obudu,cross_river,south_south,FALSE,0.0,10.0,10.0,207.0,0.0,12.0,,7.0,24.0,private,False,1345815791642.jpg,160106,353.320957693,,True,FALSE,FALSE,10.35,20.7,8.625,17.25,20.7,False,False,"St. Joseph's School for the blind, Bebuabong",education,Cross River,0.0,Others,False,False,FALSE,Inf,0.115942028985507,FALSE,,cross_river_obudu,89f86071-ae63-4d05-aa59-b1d8653c4907,False,89f86071-ae63-4d05-aa59-b1d8653c4907,South-South
False,True,453.1460603,False,FALSE,False,,,,formal_educ,Government Primary School Ngorkpu,primary_only,1346069038370.jpg,,False,FALSE,6.553038954734802 9.061006307601929 198.0 4.0,False,False,primary_only,Obudu,554,554,554.0,0.951219512195122,False,obudu,cross_river,south_south,TRUE,3.0,,8.0,160.0,8.0,12.0,,10.0,888.0,public,True,1346069038370.jpg,160106,353.320957693,,False,FALSE,FALSE,16,20,5.71428571428571,13.3333333333333,53.3333333333333,False,False,Government Primary School Ngorkpu,education,Cross River,0.0,Others,True,False,FALSE,Inf,5.55,FALSE,,cross_river_obudu,272dff19-21d9-4f84-90ce-fd2f87245e75,False,272dff19-21d9-4f84-90ce-fd2f87245e75,South-South
False,False,453.1460603,False,TRUE,False,,,,formal_educ,ST COLMANS PRIMARY SCHOOL NKIRIRA,preprimary_and_primary,1301916545780.jpg,True,False,,6.635967493057251 9.025837182998657 184.0 4.0,False,False,preprimary_and_primary,Obudu,554,554,554.0,1,True,obudu,cross_river,south_south,FALSE,15.0,0.0,15.0,616.0,4.0,16.0,,12.0,1260.0,public,True,1301916545780.jpg,160106,353.320957693,,False,FALSE,FALSE,41.0666666666667,41.0666666666667,30.8,38.5,,False,False,ST COLMANS PRIMARY SCHOOL NKIRIRA,education,Cross River,0.0,Others,True,False,FALSE,Inf,2.04545454545455,TRUE,,cross_river_obudu,ab3e11d9-21d4-487a-853c-b27cd6f9c3e2,False,ab3e11d9-21d4-487a-853c-b27cd6f9c3e2,South-South
False,True,453.1460603,True,FALSE,False,,,,formal_educ,Model Primary School Uwhohikpam Ohong,preprimary_and_primary,1345901022652.jpg,True,False,FALSE,6.591190695762634 9.13239598274231 237.0 4.0,False,False,preprimary_and_primary,Obudu,554,554,554.0,1.04424778761062,True,obudu,cross_river,south_south,TRUE,0.0,2.0,7.0,231.0,3.0,17.0,,15.0,36.0,public,False,1345901022652.jpg,160106,353.320957693,,False,FALSE,FALSE,23.1,33,11.55,13.5882352941176,115.5,False,False,Model Primary School Uwhohikpam Ohong,education,Cross River,0.0,Others,True,False,FALSE,Inf,0.155844155844156,FALSE,,cross_river_obudu,483864d3-523a-4752-9abf-abd5cb32b5c6,False,483864d3-523a-4752-9abf-abd5cb32b5c6,South-South
False,False,453.1460603,False,FALSE,True,,,,formal_educ,COMPREHENSIVE HIGH SCHOOL IGWO,junior_and_senior_sec,1301660505758.jpg,,False,FALSE,6.628881096839905 9.120948314666748 224.0 4.0,False,False,junior_and_senior_sec,Obudu,554,554,554.0,0.923076923076923,False,obudu,cross_river,south_south,FALSE,3.0,,7.0,275.0,0.0,20.0,,3.0,0.0,public,False,1301660505758.jpg,160106,353.320957693,,False,FALSE,FALSE,Inf,39.2857142857143,Inf,13.75,275,False,False,COMPREHENSIVE HIGH SCHOOL IGWO,education,Cross River,0.0,Others,False,False,FALSE,Inf,0,FALSE,,cross_river_obudu,43b8ed7b-aade-4547-8cde-c29decca0a6a,False,43b8ed7b-aade-4547-8cde-c29decca0a6a,South-South
False,True,453.1460603,True,FALSE,True,,,,formal_educ,"Federal College of Education, Staff Secondary School, Obudu",junior_and_senior_sec,1346240350710.jpg,True,False,TRUE,6.676286458969116 9.173492789268494 229.0 4.0,False,False,junior_and_senior_sec,Obudu,554,554,554.0,1.01449275362319,False,obudu,cross_river,south_south,FALSE,0.0,,11.0,417.0,0.0,30.0,,22.0,12.0,,False,1346240350710.jpg,160106,353.320957693,,True,FALSE,FALSE,2.78,37.9090909090909,2.78,13.9,104.25,True,False,"Federal College of Education, Staff Secondary School, Obudu",education,Cross River,200.0,Others,False,False,FALSE,Inf,0.0287769784172662,FALSE,,cross_river_obudu,426b27bc-ae40-4d6b-bd88-96913be4e289,True,426b27bc-ae40-4d6b-bd88-96913be4e289,South-South
False,True,453.1460603,True,FALSE,False,,,,formal_educ,AmityNursary and Primary School Kakum,preprimary_and_primary,1345909874518.jpg,False,True,FALSE,6.621601581573486 9.150688648223877 245.0 4.0,False,False,preprimary_and_primary,Obudu,554,554,554.0,0.832402234636871,False,obudu,cross_river,south_south,TRUE,1.0,2.0,14.0,328.0,19.0,19.0,,16.0,76.0,private,True,1345909874518.jpg,160106,353.320957693,,True,FALSE,FALSE,17.2631578947368,23.4285714285714,2.21621621621622,17.2631578947368,109.333333333333,True,True,AmityNursary and Primary School Kakum,education,Cross River,100.0,Others,True,False,TRUE,Inf,0.231707317073171,FALSE,,cross_river_obudu,dcfbc866-0b92-44a3-9416-2cad72f118e3,False,dcfbc866-0b92-44a3-9416-2cad72f118e3,South-South
False,False,453.1460603,True,FALSE,False,,,,formal_educ,Government Primary School Indiabeb,primary_only,1345904502891.jpg,,False,,6.63987528 9.15417899 226.6999969482422 5.0,False,False,primary_only,Obudu,554,554,554.0,1.21176470588235,False,obudu,cross_river,south_south,FALSE,3.0,,6.0,188.0,5.0,11.0,,7.0,423.0,public,False,1345904502891.jpg,160106,353.320957693,,False,FALSE,FALSE,14.4615384615385,31.3333333333333,5.22222222222222,17.0909090909091,,False,True,Government Primary School Indiabeb,education,Cross River,25.0,Others,True,False,FALSE,Inf,2.25,FALSE,,cross_river_obudu,e1aa7ff8-cbde-410e-a761-6ccba41555b8,False,e1aa7ff8-cbde-410e-a761-6ccba41555b8,South-South
False,False,453.1460603,False,FALSE,False,,,,formal_educ,COMMUNITY SECONDARY SCHOOL UKPE,junior_and_senior_sec,1301838014588.jpg,,True,,6.548806428909302 9.08843457698822 202.0 4.0,False,False,junior_and_senior_sec,Obudu,554,554,554.0,1.40331491712707,False,obudu,cross_river,south_south,FALSE,0.0,12.0,12.0,435.0,8.0,17.0,,10.0,,public,False,1301838014588.jpg,160106,353.320957693,,False,FALSE,FALSE,Inf,36.25,Inf,25.5882352941176,,True,,COMMUNITY SECONDARY SCHOOL UKPE,education,Cross River,0.0,Others,False,False,FALSE,Inf,,FALSE,,cross_river_obudu,f6943f43-4cb3-4177-b032-102b06b14f07,False,f6943f43-4cb3-4177-b032-102b06b14f07,South-South
False,True,453.1460603,False,FALSE,False,,,,formal_educ,"Community Primary School, Kigbor",preprimary_and_primary,1346070828413.jpg,,False,TRUE,6.55210018157959 9.08867597579956 202.0 4.0,False,False,preprimary_and_primary,Obudu,554,554,554.0,1.15555555555556,True,obudu,cross_river,south_south,TRUE,0.0,,10.0,194.0,5.0,12.0,,10.0,36.0,public,False,1346070828413.jpg,160106,353.320957693,,False,FALSE,FALSE,32.3333333333333,19.4,2.425,16.1666666666667,32.3333333333333,True,False,"Community Primary School, Kigbor",education,Cross River,50.0,Others,True,False,TRUE,Inf,0.185567010309278,FALSE,,cross_river_obudu,586a7131-876a-40dd-859a-c24f697c0c82,False,586a7131-876a-40dd-859a-c24f697c0c82,South-South
