breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,OWA OFIE,,,Stand Alone Water Point,1347023919030.jpg,Yes,6.19720415 6.18728279 186.8000030517578 5.0,False,Ika North,322,322,322.0,Manual,No,1347023919030.jpg,water,Delta,delta_ika_north,0b14b7c9-8e6d-43d4-a40e-abc844380478,6,Unimproved,water_source,rainwater_harvesting_scheme,0b14b7c9-8e6d-43d4-a40e-abc844380478,South-South
Mechanical Issue,,OWA OYIBU,,,"Water Scheme, Source within 100m",1347032043975.jpg,No,6.180936098098755 6.191589832305908 178.0 4.0,True,Ika North,322,322,322.0,Tap (unknown lift),No,1347032043975.jpg,water,Delta,delta_ika_north,660e3c9a-25e4-4efd-a307-7db20972b98d,1,Tap,outlet,,660e3c9a-25e4-4efd-a307-7db20972b98d,South-South
Under Construction,,Umunede,,,"Water Scheme, Source within 100m",1347101128415.jpg,No,6.26566826 6.3109773 274.70001220703125 5.0,True,Ika North,322,322,322.0,Tap (unknown lift),No,1347101128415.jpg,water,Delta,delta_ika_north,d441ff8f-6d32-4c31-8e1b-d3352434a038,11,Tap,outlet,,d441ff8f-6d32-4c31-8e1b-d3352434a038,South-South
Functional,,BOJI BOJI OWA,,,"Water Scheme, Source within 100m",1347045669503.jpg,Yes,6.24022897 6.20307729 207.39999389648438 5.0,True,Ika North,322,322,322.0,Tap (unknown lift),Yes,1347045669503.jpg,water,Delta,delta_ika_north,45c17450-8975-475c-b1be-6c57827efecf,5,Tap,outlet,,45c17450-8975-475c-b1be-6c57827efecf,South-South
Functional,,OWA ALERO,,,"Water Scheme, Source within 100m",1347037091437.jpg,Yes,6.207870841026306 6.220702528953552 190.0 4.0,True,Ika North,322,322,322.0,Tap (unknown lift),No,1347037091437.jpg,water,Delta,delta_ika_north,14d3e92b-1d6f-409f-afc3-3be87b9725ff,2,Tap,outlet,,14d3e92b-1d6f-409f-afc3-3be87b9725ff,South-South
Poorly Constructed,,Ute Okpu,,,"Water Scheme, Source within 100m",1347117664526.jpg,No,6.18670736 6.268482 177.10000610351563 5.0,True,Ika North,322,322,322.0,Tap (unknown lift),No,1347117664526.jpg,water,Delta,delta_ika_north,2cb72302-f900-4fa7-b532-219875f1e4fa,9,Tap,outlet,,2cb72302-f900-4fa7-b532-219875f1e4fa,South-South
Functional,,BOJI BOJI OWA,,,"Water Scheme, Source within 100m",1347113274059.jpg,Yes,6.240443587303162 6.202978491783142 201.0 4.0,True,Ika North,322,322,322.0,Tap (unknown lift),Yes,1347113274059.jpg,water,Delta,delta_ika_north,313d3229-d610-4486-bc67-bc229e30fc9d,5,Tap,outlet,,313d3229-d610-4486-bc67-bc229e30fc9d,South-South
Functional,,OWA ALERO,,,"Water Scheme, Source within 100m",1347022463203.jpg,Yes,6.204727292060852 6.2255144119262695 186.0 4.0,True,Ika North,322,322,322.0,Tap (unknown lift),Yes,1347022463203.jpg,water,Delta,delta_ika_north,24d8adf0-f8e8-4d48-9121-d418cfd47db1,2,Tap,outlet,,24d8adf0-f8e8-4d48-9121-d418cfd47db1,South-South
Functional,,Ute Okpu,,,"Water Scheme, Source within 100m",1347113087063.jpg,Yes,6.19376603 6.27130004 185.3000030517578 5.0,True,Ika North,322,322,322.0,Tap (unknown lift),Yes,1347113087063.jpg,water,Delta,delta_ika_north,3931d856-3e16-4ad7-9a69-fa34dbde4227,9,Tap,outlet,,3931d856-3e16-4ad7-9a69-fa34dbde4227,South-South
Mechanical Issue,,Otolokpo,,,"Water Scheme, Source within 100m",1347094370859.jpg,No,6.21671167 6.29836485 234.10000610351563 5.0,True,Ika North,322,322,322.0,Tap (unknown lift),No,1347094370859.jpg,water,Delta,delta_ika_north,628c1a4c-da6f-4043-b796-c2530c1603ac,14,Tap,outlet,,628c1a4c-da6f-4043-b796-c2530c1603ac,South-South
