access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,324.3020835,False,FALSE,False,,,,formal_educ,Sofo Senior Secondary School Onueke,junior_and_senior_sec,1339760455783.jpg,True,True,TRUE,6.170706152915955 8.033339381217957 79.0 4.0,False,False,junior_and_senior_sec,Ezza South,220,220,220.0,0.228260869565217,False,ezza_south,ebonyi,southeast,FALSE,0.0,,6.0,226.0,2.0,8.0,,3.0,30.0,private,True,1339760455783.jpg,133205,410.743583767,,True,FALSE,FALSE,2.65882352941176,37.6666666666667,37.6666666666667,28.25,56.5,False,,Sofo Senior Secondary School Onueke,education,Ebonyi,60.0,148,False,False,FALSE,Inf,0.132743362831858,FALSE,,ebonyi_ezza_south,1611c535-6f4c-4e5a-ab2c-cd9cd8386522,False,1611c535-6f4c-4e5a-ab2c-cd9cd8386522,Southeast
False,False,324.3020835,False,FALSE,False,,,,formal_educ,"St. Charles Nursery and Primary, Nsokkara",preprimary_and_primary,1339682419366.jpg,True,False,,6.090245246887207 8.033527135848999 94.0 4.0,False,False,preprimary_and_primary,Ezza South,220,220,220.0,0.936170212765957,True,ezza_south,ebonyi,southeast,TRUE,0.0,,9.0,91.0,2.0,9.0,,2.0,24.0,private,False,1339682419366.jpg,133205,410.743583767,,False,FALSE,FALSE,10.1111111111111,10.1111111111111,30.3333333333333,10.1111111111111,,False,False,"St. Charles Nursery and Primary, Nsokkara",education,Ebonyi,30.0,148,False,False,FALSE,Inf,0.263736263736264,FALSE,,ebonyi_ezza_south,fd4d7f17-a036-45b5-a77a-78073a017994,False,fd4d7f17-a036-45b5-a77a-78073a017994,Southeast
False,True,324.3020835,False,FALSE,True,,,,formal_educ,"Kingdom Model Senior secondary School, Ikwuator Idembia",junior_and_senior_sec,1339752651173.jpg,,False,FALSE,6.12431971 7.99832605 88.5 5.0,False,False,junior_and_senior_sec,Ezza South,220,220,220.0,0.809716599190283,False,ezza_south,ebonyi,southeast,TRUE,0.0,0.0,7.0,447.0,2.0,19.0,,8.0,,private,False,1339752651173.jpg,133205,410.743583767,,True,FALSE,FALSE,Inf,63.8571428571429,44.7,23.5263157894737,223.5,True,,"Kingdom Model Senior secondary School, Ikwuator Idembia",education,Ebonyi,97.0,148,True,False,TRUE,Inf,,FALSE,,ebonyi_ezza_south,d127b4bf-c18a-435c-ad11-473b4b5d0ff1,False,d127b4bf-c18a-435c-ad11-473b4b5d0ff1,Southeast
False,False,324.3020835,False,FALSE,False,,,,formal_educ,Ezza High School Junior,juniors_sec_only,1339758766061.jpg,True,True,TRUE,6.176655292510986 8.045275211334229 76.0 4.0,False,False,juniors_sec_only,Ezza South,220,220,220.0,3.13,True,ezza_south,ebonyi,southeast,FALSE,12.0,,28.0,413.0,7.0,36.0,,26.0,,public,True,1339758766061.jpg,133205,410.743583767,,True,FALSE,FALSE,17.2083333333333,14.75,8.60416666666667,11.4722222222222,103.25,False,,Ezza High School Junior,education,Ebonyi,60.0,148,False,False,FALSE,Inf,,FALSE,,ebonyi_ezza_south,a889160d-192b-4329-b221-8015dfb57287,False,a889160d-192b-4329-b221-8015dfb57287,Southeast
False,False,324.3020835,False,FALSE,False,,,,formal_educ,"Community Primary School, Acharaukwu, Nsokkara",primary_only,1339682847193.jpg,True,False,FALSE,6.086570620536804 8.027867674827576 77.0 4.0,False,False,primary_only,Ezza South,220,220,220.0,0.875,False,ezza_south,ebonyi,southeast,TRUE,2.0,2.0,12.0,300.0,6.0,8.0,,8.0,62.0,public,False,1339682847193.jpg,133205,410.743583767,,False,FALSE,TRUE,9.375,25,10,37.5,300,True,False,"Community Primary School, Acharaukwu, Nsokkara",education,Ebonyi,150.0,148,False,False,TRUE,Inf,0.206666666666667,FALSE,,ebonyi_ezza_south,f91fb88e-4cdc-4c54-88a7-2e3e5f23ca4d,False,f91fb88e-4cdc-4c54-88a7-2e3e5f23ca4d,Southeast
False,False,324.3020835,False,FALSE,True,,,,formal_educ,Omnium Sanctorum Int‘l College Amudo,primary_and_junior_sec,1339780445753.jpg,True,True,TRUE,6.08735847 8.01648243 82.80000305175781 5.0,False,False,primary_and_junior_sec,Ezza South,220,220,220.0,1.01639344262295,False,ezza_south,ebonyi,southeast,TRUE,2.0,,18.0,246.0,4.0,17.0,,8.0,52.0,private,True,1339780445753.jpg,133205,410.743583767,,True,FALSE,FALSE,Inf,13.6666666666667,1,14.4705882352941,49.2,True,,Omnium Sanctorum Int‘l College Amudo,education,Ebonyi,0.0,148,False,False,TRUE,17,0.211382113821138,FALSE,,ebonyi_ezza_south,b2343d00-feaf-4c7f-bcf1-505e8126e9f8,False,b2343d00-feaf-4c7f-bcf1-505e8126e9f8,Southeast
False,False,324.3020835,False,FALSE,False,,,,formal_educ,Community Secondary School Ukometa,juniors_sec_only,1339701061228.jpg,True,False,FALSE,6.13002295 8.05978664 50.70000076293945 5.0,False,False,juniors_sec_only,Ezza South,220,220,220.0,0.561224489795918,False,ezza_south,ebonyi,southeast,FALSE,2.0,0.0,6.0,459.0,4.0,15.0,,7.0,12.0,public,False,1339701061228.jpg,133205,410.743583767,,False,FALSE,FALSE,51,76.5,1.836,30.6,459,True,,Community Secondary School Ukometa,education,Ebonyi,100.0,148,False,False,FALSE,15,0.0261437908496732,FALSE,,ebonyi_ezza_south,0fad1ccc-a3ad-447a-ac97-ccf8799f940e,False,0fad1ccc-a3ad-447a-ac97-ccf8799f940e,Southeast
False,True,324.3020835,False,FALSE,False,,,,formal_educ,CHRIST THE KING COLLEGE ONUEKKE-UMUNWAGU,juniors_sec_only,1340017630674.jpg,True,False,FALSE,6.15441454 8.03402627 121.0999984741211 5.0,False,False,juniors_sec_only,Ezza South,220,220,220.0,1.06531531531532,True,ezza_south,ebonyi,southeast,FALSE,3.0,0.0,6.0,917.0,0.0,31.0,,18.0,44.0,private,True,1340017630674.jpg,133205,410.743583767,,True,FALSE,TRUE,76.4166666666667,152.833333333333,152.833333333333,29.5806451612903,458.5,True,False,CHRIST THE KING COLLEGE ONUEKKE-UMUNWAGU,education,Ebonyi,720.0,148,False,False,TRUE,7.75,0.0479825517993457,FALSE,,ebonyi_ezza_south,20882375-31ce-4341-8b52-9da2d70b6568,False,20882375-31ce-4341-8b52-9da2d70b6568,Southeast
False,False,324.3020835,False,FALSE,False,,,,formal_educ,Eagle Comprehensive Secondary School Isiugwu Ameka,junior_and_senior_sec,1340194709937.jpg,,False,,6.167707443237305 8.108950853347778 67.0 4.0,False,False,junior_and_senior_sec,Ezza South,220,220,220.0,0.585714285714286,True,ezza_south,ebonyi,southeast,FALSE,,0.0,6.0,111.0,0.0,10.0,,7.0,12.0,private,False,1340194709937.jpg,133205,410.743583767,,False,FALSE,FALSE,27.75,18.5,18.5,11.1,,True,,Eagle Comprehensive Secondary School Isiugwu Ameka,education,Ebonyi,80.0,148,False,False,FALSE,Inf,0.108108108108108,FALSE,,ebonyi_ezza_south,6520a9a0-e0e8-4695-9271-d213736c8e8c,False,6520a9a0-e0e8-4695-9271-d213736c8e8c,Southeast
False,False,324.3020835,,TRUE,False,,,,formal_educ,Our Saviour Angelican Church Amagu,preprimary_and_primary,1340053170642.jpg,True,False,FALSE,6.11472971 8.04698459 81.0 5.0,False,False,preprimary_and_primary,Ezza South,220,220,220.0,0.192307692307692,True,ezza_south,ebonyi,southeast,FALSE,,0.0,,62.0,0.0,6.0,,6.0,8.0,private,False,1340053170642.jpg,133205,410.743583767,,False,FALSE,FALSE,6.2,,0.688888888888889,10.3333333333333,62,True,True,Our Saviour Angelican Church Amagu,education,Ebonyi,0.0,148,False,False,FALSE,Inf,0.129032258064516,FALSE,,ebonyi_ezza_south,357a1738-9703-41b2-a8de-a0cd4cacf43b,False,357a1738-9703-41b2-a8de-a0cd4cacf43b,Southeast
